type: dao
name: combat
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
0	142	2	140	-0,00000	2,82843	2,82843	13	0
1	175	3	177	-0,00000	2,82843	2,82843	16	0
104	19	105	17	0,00000	2,41421	2,41421	16	0
105	152	104	151	0,00000	1,41421	1,41421	9	0
107	36	105	33	-0,00000	3,82843	3,82843	23	0
109	100	112	102	-0,00000	3,82843	3,82843	23	0
11	132	13	129	-0,00000	3,82843	3,82843	23	0
11	178	10	177	0,00000	1,41421	1,41421	6	0
110	157	112	154	-0,00000	3,82843	3,82843	23	0
112	147	112	150	0,00000	3,00000	3,00000	23	0
0	89	1	96	0,00000	7,41421	7,41421	30	0
1	116	3	120	-0,00000	4,82843	4,82843	33	0
10	110	10	106	0,00000	4,00000	4,00000	30	0
10	170	4	174	0,00000	7,65685	7,65685	53	0
100	18	102	24	-0,00000	6,82843	6,82843	49	0
100	184	98	179	-0,00000	5,82843	5,82843	41	0
101	187	95	188	0,00000	6,41421	6,41421	44	0
101	73	104	68	0,00000	6,24264	6,24264	46	0
102	137	98	136	0,00000	4,41421	4,41421	30	0
102	143	106	149	0,00000	7,65685	7,65685	53	0
0	6	8	6	0,00000	8,00000	8,00000	55	0
1	127	3	119	-0,00000	8,82843	8,82843	68	0
1	167	2	176	0,00000	9,41421	9,41421	65	0
10	106	6	113	0,00000	8,65685	8,65685	70	0
10	128	10	137	0,00000	9,00000	9,00000	65	0
10	141	4	134	0,00000	9,48528	9,48528	66	0
100	25	90	24	0,00001	10,41420	10,41421	72	0
100	64	111	65	0,00001	11,41420	11,41421	79	0
100	84	99	95	0,00001	11,41420	11,41421	79	0
100	91	93	83	-0,00001	10,89950	10,89949	76	0
0	41	4	55	-0,00005	15,65690	15,65685	117	0
0	62	2	74	0,00003	12,82840	12,82843	76	0
1	75	11	81	-0,00002	12,48530	12,48528	112	0
10	128	8	114	0,00003	14,82840	14,82843	131	0
10	43	23	38	-0,00003	15,07110	15,07107	151	0
100	158	111	154	-0,00005	12,65690	12,65685	118	0
101	158	112	155	0,00004	12,24260	12,24264	111	0
101	16	90	23	-0,00001	13,89950	13,89949	121	0
101	43	91	32	0,00004	15,14210	15,14214	106	0
102	114	93	102	0,00002	15,72790	15,72792	134	0
0	101	14	112	0,00005	18,55630	18,55635	155	0
