type: dao
name: den000d
algorithm: jpsplus
preprossessing [ms]: 184

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
101	269	102	272	0,00000	3,41421	3,41421	9	0
104	288	104	288	0,00000	0,00000	0,00000	1	0
110	121	111	122	0,00000	1,41421	1,41421	5	0
113	228	111	226	-0,00000	2,82843	2,82843	6	0
114	239	115	240	0,00000	1,41421	1,41421	5	0
116	127	118	129	-0,00000	2,82843	2,82843	6	0
135	112	134	112	0,00000	1,00000	1,00000	4	0
140	228	142	231	-0,00000	3,82843	3,82843	7	0
148	124	146	125	0,00000	2,41421	2,41421	7	0
149	207	150	205	0,00000	2,41421	2,41421	7	0
102	239	99	236	0,00000	4,24264	4,24264	8	0
105	238	109	239	0,00000	4,41421	4,41421	8	0
106	47	110	47	0,00000	4,00000	4,00000	5	0
107	219	105	213	-0,00000	6,82843	6,82843	8	0
108	192	107	196	0,00000	4,41421	4,41421	7	0
108	240	105	244	0,00000	5,24264	5,24264	10	0
109	146	111	151	-0,00000	5,82843	5,82843	7	0
109	242	113	240	-0,00000	4,82843	4,82843	9	0
111	86	111	80	0,00000	6,00000	6,00000	7	0
115	216	114	223	0,00000	7,41421	7,41421	7	0
101	134	109	138	0,00000	9,65685	9,65685	7	0
101	263	110	265	-0,00000	9,82843	9,82843	9	0
101	68	93	76	0,00001	11,31370	11,31371	7	0
101	73	98	66	0,00000	8,24264	8,24264	7	0
102	103	110	106	0,00000	9,24264	9,24264	7	0
103	250	105	239	0,00003	11,82840	11,82843	9	0
103	272	104	262	0,00001	10,41420	10,41421	7	0
104	128	106	138	0,00003	10,82840	10,82843	7	0
104	197	96	197	0,00000	8,00000	8,00000	6	0
105	127	105	116	0,00000	11,00000	11,00000	7	0
100	215	97	228	0,00004	14,24260	14,24264	7	0
100	274	110	281	-0,00001	12,89950	12,89949	7	0
101	218	112	208	0,00004	15,14210	15,14214	10	0
101	88	90	92	-0,00005	12,65690	12,65685	9	0
103	132	108	145	-0,00003	15,07110	15,07107	7	0
103	221	99	207	-0,00005	15,65690	15,65685	9	0
103	279	104	291	0,00001	12,41420	12,41421	7	0
104	86	115	78	0,00001	14,31370	14,31371	14	0
104	89	94	100	0,00004	15,14210	15,14214	9	0
105	234	93	240	-0,00002	14,48530	14,48528	11	0
102	142	84	143	0,00001	18,41420	18,41421	7	0
103	217	116	231	-0,00002	19,38480	19,38478	9	0
103	237	89	224	-0,00002	19,38480	19,38478	15	0
103	85	94	72	0,00002	16,72790	16,72792	11	0
104	196	120	194	0,00003	16,82840	16,82843	7	0
105	139	104	122	0,00001	17,41420	17,41421	8	0
105	45	88	47	0,00003	17,82840	17,82843	9	0
106	125	109	141	0,00004	17,24260	17,24264	8	0
106	228	122	221	-0,00001	18,89950	18,89949	10	0
106	243	92	248	-0,00003	16,07110	16,07107	8	0
100	138	107	119	-0,00001	21,89950	21,89949	12	0
100	253	119	261	0,00001	22,31370	22,31371	11	0
100	276	118	287	0,00005	22,55630	22,55635	10	0
101	263	100	243	0,00001	20,41420	20,41421	9	0
101	71	98	91	0,00004	21,24260	21,24264	9	0
102	210	85	220	0,00004	21,14210	21,14214	15	0
104	108	96	88	0,00001	23,31370	23,31371	10	0
104	200	116	183	-0,00004	21,97060	21,97056	10	0
104	63	108	45	0,00003	20,82840	20,82843	10	0
104	79	121	88	0,00002	20,72790	20,72792	15	0
101	211	122	195	0,00002	27,62740	27,62742	13	0
102	207	123	210	-0,00003	25,07110	25,07107	14	0
103	109	123	127	0,00004	27,45580	27,45584	9	0
103	113	128	116	0,00004	26,24260	26,24264	7	0
103	237	83	222	0,00000	26,21320	26,21320	15	0
103	266	88	248	0,00000	24,21320	24,21320	17	0
103	84	107	110	-0,00005	27,65690	27,65685	10	0
104	111	114	131	0,00004	24,14210	24,14214	9	0
104	217	115	237	0,00005	24,55630	24,55635	9	0
104	239	113	261	0,00002	25,72790	25,72792	13	0
100	270	98	241	0,00003	29,82840	29,82843	11	0
101	190	125	203	-0,00002	29,38480	29,38478	14	0
101	270	83	246	0,00004	31,45580	31,45584	23	0
103	286	83	265	0,00004	30,45580	30,45584	28	0
103	98	127	86	-0,00004	28,97060	28,97056	14	1
104	133	77	128	-0,00003	29,07110	29,07107	10	0
104	147	126	130	0,00003	29,04160	29,04163	11	0
104	64	88	48	-0,00005	29,65690	29,65685	17	0
104	92	104	120	0,00000	28,00000	28,00000	7	0
107	217	100	188	-0,00001	31,89950	31,89949	20	0
100	126	113	97	-0,00002	34,38480	34,38478	12	0
100	220	68	226	-0,00002	34,48530	34,48528	13	0
100	64	128	77	-0,00002	33,38480	33,38478	15	0
101	233	75	213	-0,00003	34,28430	34,28427	13	0
101	234	84	208	0,00003	33,04160	33,04163	14	0
101	258	130	269	0,00005	33,55630	33,55635	18	0
101	94	89	66	-0,00004	32,97060	32,97056	17	0
102	198	114	229	-0,00004	35,97060	35,97056	19	0
102	202	72	196	-0,00002	32,48530	32,48528	13	0
102	242	77	262	-0,00003	33,28430	33,28427	16	0
10	184	33	159	0,00004	37,45580	37,45584	15	0
100	134	64	140	-0,00002	38,48530	38,48528	13	0
100	226	80	255	-0,00003	37,28430	37,28427	33	0
100	78	115	108	0,00000	36,21320	36,21320	19	0
100	83	76	56	0,00001	37,52690	37,52691	15	0
100	88	63	95	-0,00001	39,89950	39,89949	9	0
101	181	118	212	0,00003	38,04160	38,04163	19	0
101	230	69	241	0,00005	36,55630	36,55635	33	0
102	226	66	222	-0,00005	37,65690	37,65685	11	0
104	81	88	49	0,00002	38,62740	38,62742	13	0
100	119	130	89	0,00001	42,42640	42,42641	17	0
100	247	101	287	0,00001	40,41420	40,41421	7	0
101	146	79	167	-0,00005	42,65690	42,65685	20	0
101	193	64	204	0,00005	41,55630	41,55635	21	0
101	196	133	219	0,00001	41,52690	41,52691	17	0
101	300	128	269	-0,00005	42,76960	42,76955	21	0
101	76	66	97	-0,00002	43,69850	43,69848	13	0
103	105	136	88	0,00003	40,04160	40,04163	15	0
103	117	69	140	0,00001	43,52690	43,52691	13	0
103	124	84	92	-0,00002	43,38480	43,38478	18	1
100	129	57	120	0,00002	46,72790	46,72792	18	0
