type: dao
name: den101d
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
10	26	11	27	0,00000	1,41421	1,41421	4	0
10	27	11	26	0,00000	1,41421	1,41421	8	0
10	28	10	26	0,00000	2,00000	2,00000	15	0
10	28	10	28	0,00000	0,00000	0,00000	1	0
10	28	11	29	0,00000	1,41421	1,41421	9	0
10	28	13	29	0,00000	3,41421	3,41421	23	0
10	28	9	28	0,00000	1,00000	1,00000	9	0
10	29	12	27	-0,00000	2,82843	2,82843	16	0
10	29	13	29	0,00000	3,00000	3,00000	23	0
10	30	12	27	-0,00000	3,82843	3,82843	23	0
10	26	10	31	0,00000	5,00000	5,00000	31	0
10	26	12	31	-0,00000	5,82843	5,82843	38	0
10	26	14	28	-0,00000	4,82843	4,82843	25	0
10	26	15	29	0,00000	6,24264	6,24264	35	0
10	26	15	30	0,00000	6,65685	6,65685	38	0
10	26	16	27	0,00000	6,41421	6,41421	27	0
10	27	14	28	0,00000	4,41421	4,41421	29	0
10	27	14	29	-0,00000	4,82843	4,82843	32	0
10	27	8	34	-0,00000	7,82843	7,82843	56	0
10	28	17	29	0,00000	7,41421	7,41421	51	0
10	26	11	35	0,00000	9,41421	9,41421	59	0
10	26	13	34	0,00000	9,24264	9,24264	67	0
10	26	14	36	-0,00005	11,65690	11,65685	84	0
10	26	3	32	-0,00003	10,07110	10,07107	67	0
10	27	18	26	0,00000	8,41421	8,41421	57	0
10	27	21	27	0,00000	11,00000	11,00000	78	0
10	27	9	36	0,00000	9,41421	9,41421	64	0
10	28	11	36	0,00000	8,41421	8,41421	58	0
10	28	11	39	0,00001	11,41420	11,41421	89	0
10	28	19	31	0,00004	10,24260	10,24264	73	0
10	26	11	38	0,00001	12,41420	12,41421	80	0
10	26	18	33	-0,00005	12,65690	12,65685	95	1
10	26	19	19	0,00001	15,41420	15,41421	86	0
10	26	19	32	-0,00003	12,07110	12,07107	76	0
10	26	21	29	0,00004	12,24260	12,24264	80	0
10	26	21	34	-0,00001	14,89950	14,89949	99	0
10	26	4	36	-0,00002	12,48530	12,48528	93	0
10	27	14	38	-0,00005	12,65690	12,65685	98	0
10	27	19	21	0,00003	13,82840	13,82843	88	0
10	27	19	34	-0,00005	13,65690	13,65685	117	0
10	27	21	18	-0,00005	17,65690	17,65685	122	0
10	27	22	19	-0,00003	17,07110	17,07107	122	0
10	27	27	21	-0,00002	19,48530	19,48528	144	0
10	28	24	19	0,00001	18,31370	18,31371	122	0
10	28	26	25	0,00004	17,24260	17,24264	132	1
10	29	23	20	0,00001	17,31370	17,31371	120	0
10	29	24	20	0,00002	17,72790	17,72792	109	0
10	29	24	37	-0,00001	17,89950	17,89949	153	0
10	29	25	22	-0,00001	17,89950	17,89949	141	0
10	29	25	37	0,00001	18,31370	18,31371	129	0
