type: dao
name: den200n
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
100	176	98	344	TRUE	No	Path	Exists	20
100	182	122	346	TRUE	No	Path	Exists	25
100	182	92	329	TRUE	No	Path	Exists	22
100	185	113	330	TRUE	No	Path	Exists	19
100	185	122	343	TRUE	No	Path	Exists	20
100	185	96	342	TRUE	No	Path	Exists	19
100	188	102	331	TRUE	No	Path	Exists	19
100	188	89	317	TRUE	No	Path	Exists	20
100	190	89	323	TRUE	No	Path	Exists	19
100	192	115	344	TRUE	No	Path	Exists	19
100	186	105	190	0,00000	6,65685	6,65685	43	0
100	198	101	194	0,00000	4,41421	4,41421	30	0
100	290	99	286	0,00000	4,41421	4,41421	30	0
100	308	102	313	-0,00000	5,82843	5,82843	41	0
100	329	99	322	0,00000	7,41421	7,41421	51	0
100	332	106	328	0,00000	7,65685	7,65685	53	0
101	187	103	181	-0,00000	6,82843	6,82843	49	0
101	230	96	228	-0,00000	5,82843	5,82843	35	0
101	241	105	236	0,00000	6,65685	6,65685	26	0
101	292	106	289	0,00000	6,24264	6,24264	43	0
100	200	106	206	0,00000	8,48528	8,48528	44	0
100	205	107	198	0,00000	9,89949	9,89949	48	0
100	297	91	293	0,00003	11,82840	11,82843	111	0
100	307	93	302	-0,00000	9,07107	9,07107	69	0
100	319	105	311	-0,00003	10,07110	10,07107	82	0
100	319	92	324	-0,00003	10,07110	10,07107	78	0
100	329	107	332	0,00000	8,24264	8,24264	65	0
100	342	105	334	-0,00003	10,07110	10,07107	69	0
101	186	103	197	0,00003	11,82840	11,82843	96	0
101	326	111	327	0,00001	10,41420	10,41421	72	0
100	184	115	182	0,00003	15,82840	15,82843	141	0
100	207	109	213	-0,00002	13,48530	13,48528	76	0
100	207	95	207	0,00001	12,41420	12,41421	69	0
100	209	111	208	0,00003	14,82840	14,82843	87	0
100	293	100	305	0,00000	12,00000	12,00000	86	0
100	296	108	307	0,00001	14,31370	14,31371	108	0
100	300	104	289	-0,00005	12,65690	12,65685	117	0
100	305	90	314	0,00002	13,72790	13,72792	96	0
100	313	110	320	-0,00001	12,89950	12,89949	113	1
100	325	105	315	-0,00003	12,07110	12,07107	101	0
100	230	117	226	-0,00005	18,65690	18,65685	177	0
100	231	109	217	-0,00001	18,89950	18,89949	150	0
