type: dao
name: den500d
algorithm: jps
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
101	77	104	76	0,00000	3,41421	3,41421	6	0
105	251	104	248	0,00000	3,41421	3,41421	4	0
106	256	108	253	-0,00000	3,82843	3,82843	5	0
107	348	109	349	0,00000	2,41421	2,41421	6	0
111	225	113	223	-0,00000	2,82843	2,82843	2	0
112	246	114	248	-0,00000	2,82843	2,82843	5	0
113	276	113	275	0,00000	1,00000	1,00000	3	0
114	29	115	29	0,00000	1,00000	1,00000	6	0
115	388	115	386	0,00000	2,00000	2,00000	6	0
116	296	114	293	-0,00000	3,82843	3,82843	6	0
10	265	5	266	0,00000	5,41421	5,41421	8	0
105	223	111	221	-0,00000	6,82843	6,82843	4	0
106	264	110	268	0,00000	5,65685	5,65685	3	0
106	344	111	343	0,00000	5,41421	5,41421	7	0
107	280	109	274	-0,00000	6,82843	6,82843	4	0
108	221	114	223	-0,00000	6,82843	6,82843	4	1
11	250	11	255	0,00000	5,00000	5,00000	6	0
11	254	11	248	0,00000	6,00000	6,00000	6	0
111	67	115	72	0,00000	6,65685	6,65685	11	0
112	223	115	227	0,00000	5,24264	5,24264	4	0
10	234	2	232	-0,00000	8,82843	8,82843	4	0
10	265	16	259	0,00000	8,48528	8,48528	12	0
100	346	93	349	0,00000	8,24264	8,24264	10	0
100	68	98	76	-0,00000	8,82843	8,82843	8	0
101	76	98	67	0,00004	10,24260	10,24264	7	0
103	392	94	393	0,00000	9,41421	9,41421	7	0
103	75	101	65	0,00003	10,82840	10,82843	7	0
104	67	109	74	-0,00000	9,07107	9,07107	10	0
105	229	116	227	0,00003	11,82840	11,82843	4	0
106	242	117	241	0,00001	11,41420	11,41421	11	0
100	337	109	349	0,00002	15,72790	15,72792	8	0
100	394	113	393	0,00001	13,41420	13,41421	7	0
101	392	114	391	0,00001	13,41420	13,41421	8	0
102	72	87	72	0,00000	15,00000	15,00000	6	0
103	219	115	227	0,00001	15,31370	15,31371	4	0
103	230	115	223	-0,00001	14,89950	14,89949	4	0
103	68	116	75	-0,00001	15,89950	15,89949	11	0
104	75	92	76	0,00004	15,24260	15,24264	10	1
105	255	106	241	0,00001	14,41420	14,41421	5	0
105	346	91	345	0,00001	14,41420	14,41421	6	0
102	338	85	339	0,00001	17,41420	17,41421	8	0
102	68	117	71	0,00004	16,24260	16,24264	9	0
103	338	84	337	0,00001	19,41420	19,41421	8	0
106	349	121	350	0,00001	19,31370	19,31371	19	0
107	245	123	251	-0,00002	18,48530	18,48528	9	0
108	236	120	246	-0,00002	18,48530	18,48528	18	0
109	392	125	387	-0,00003	18,07110	18,07107	14	0
109	392	93	396	-0,00005	17,65690	17,65685	10	0
109	393	93	391	0,00003	16,82840	16,82843	8	0
110	245	127	250	-0,00003	19,07110	19,07107	11	0
10	236	21	242	-0,00001	20,89950	20,89949	12	0
10	254	28	266	-0,00004	22,97060	22,97056	19	0
100	341	119	350	0,00001	23,31370	23,31371	14	0
102	339	84	331	0,00001	21,31370	21,31371	13	0
104	249	126	247	0,00003	22,82840	22,82843	7	0
104	386	116	401	0,00002	21,72790	21,72792	17	0
109	396	126	386	-0,00001	22,89950	22,89949	13	0
11	227	29	219	-0,00004	22,97060	22,97056	11	0
11	230	29	222	0,00001	21,31370	21,31371	11	0
110	245	131	238	-0,00001	23,89950	23,89949	13	0
10	230	29	216	-0,00004	25,97060	25,97056	13	0
100	257	122	245	-0,00004	26,97060	26,97056	13	0
101	246	123	251	-0,00003	24,07110	24,07107	9	0
101	71	76	67	-0,00005	26,65690	26,65685	11	0
104	68	81	74	-0,00002	25,48530	25,48528	13	0
105	234	116	255	0,00005	25,55630	25,55635	14	0
105	66	125	54	-0,00001	27,89950	27,89949	15	0
107	341	86	332	0,00002	24,72790	24,72792	15	0
109	389	133	386	-0,00005	26,65690	26,65685	12	0
109	393	130	407	-0,00001	26,79900	26,79899	17	0
1	241	18	264	0,00003	30,04160	30,04163	21	0
100	66	71	70	0,00003	31,82840	31,82843	9	0
100	72	84	93	0,00004	31,14210	31,14214	14	0
101	243	130	237	-0,00002	31,48530	31,48528	13	0
101	76	121	59	-0,00002	29,38480	29,38478	18	0
102	252	129	258	0,00002	31,72790	31,72792	13	0
102	399	119	404	0,00001	31,31370	31,31371	20	0
103	256	117	265	-0,00001	30,89950	30,89949	13	0
104	69	133	71	0,00003	29,82840	29,82843	10	0
105	347	90	326	-0,00004	28,97060	28,97056	19	0
10	261	37	247	-0,00004	33,97060	33,97056	26	0
101	338	67	340	0,00003	34,82840	34,82843	10	0
102	250	113	270	0,00004	35,24260	35,24264	12	0
102	253	133	253	-0,00002	33,48530	33,48528	11	0
102	77	72	78	0,00002	33,72790	33,72792	14	1
102	79	72	70	-0,00001	34,89950	34,89949	11	0
102	79	74	78	0,00002	33,72790	33,72792	16	0
103	393	135	387	-0,00002	34,48530	34,48528	17	0
103	70	116	49	-0,00002	34,48530	34,48528	18	0
104	252	135	253	-0,00003	33,07110	33,07107	10	0
1	229	30	246	0,00002	36,62740	36,62742	15	0
100	257	128	235	-0,00000	37,11270	37,11270	18	0
100	392	131	379	-0,00001	39,89950	39,89949	26	0
101	246	135	257	0,00005	38,55630	38,55635	13	0
101	64	67	66	-0,00001	39,89950	39,89949	12	0
101	73	63	69	-0,00005	39,65690	39,65685	12	0
103	220	128	198	-0,00004	39,97060	39,97056	16	0
103	251	136	236	0,00000	39,21320	39,21320	19	0
103	280	121	250	0,00002	38,62740	38,62742	8	0
104	77	125	50	0,00004	37,45580	37,45584	23	0
1	230	37	239	-0,00004	43,87010	43,87006	22	0
1	236	35	245	0,00003	41,04160	41,04163	16	0
10	229	22	265	0,00001	43,31370	43,31371	18	0
10	241	35	225	-0,00002	43,48530	43,48528	35	0
100	259	136	255	-0,00004	42,97060	42,97056	20	0
103	241	138	255	-0,00001	40,79900	40,79899	20	0
104	221	122	190	0,00005	42,55630	42,55635	13	0
104	255	137	262	0,00003	40,04160	40,04163	19	0
105	393	147	389	-0,00005	43,65690	43,65685	16	0
105	77	148	75	0,00003	43,82840	43,82843	11	0
100	395	141	401	0,00004	45,14210	45,14214	23	1
101	243	131	267	0,00002	44,62740	44,62742	22	0
101	254	140	235	-0,00004	46,87010	46,87006	24	0
101	338	55	338	-0,00005	47,65690	47,65685	21	0
101	389	138	407	0,00004	44,45580	44,45584	25	0
102	243	140	266	0,00001	47,52690	47,52691	22	0
