type: dao
name: hrt000d
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
100	331	255	391	TRUE	No	Path	Exists	315
100	595	224	355	TRUE	No	Path	Exists	312
101	237	221	341	TRUE	No	Path	Exists	307
101	652	220	339	TRUE	No	Path	Exists	312
102	201	231	356	TRUE	No	Path	Exists	312
102	381	248	389	TRUE	No	Path	Exists	311
102	672	244	375	TRUE	No	Path	Exists	309
103	539	218	358	TRUE	No	Path	Exists	307
104	252	252	377	TRUE	No	Path	Exists	310
104	268	254	386	TRUE	No	Path	Exists	311
100	267	94	267	0,00000	6,00000	6,00000	44	0
100	659	99	665	0,00000	6,41421	6,41421	44	0
105	198	111	198	0,00000	6,00000	6,00000	44	0
109	205	110	211	0,00000	6,41421	6,41421	44	0
112	170	113	166	0,00000	4,41421	4,41421	30	0
113	203	115	198	-0,00000	5,82843	5,82843	45	0
114	686	118	684	-0,00000	4,82843	4,82843	33	0
118	262	119	256	0,00000	6,41421	6,41421	44	0
119	549	118	543	0,00000	6,41421	6,41421	37	0
124	343	128	348	0,00000	6,65685	6,65685	40	0
100	163	91	167	-0,00005	10,65690	10,65685	85	0
100	639	106	634	-0,00000	8,07107	8,07107	44	0
102	527	100	517	0,00003	10,82840	10,82843	87	0
105	608	108	601	0,00000	8,24264	8,24264	65	0
105	611	113	614	0,00000	9,24264	9,24264	73	0
108	219	116	227	0,00001	11,31370	11,31371	58	0
110	243	101	239	-0,00005	10,65690	10,65685	86	0
110	417	118	415	-0,00000	8,82843	8,82843	68	0
110	587	104	578	-0,00002	11,48530	11,48528	100	0
112	643	118	638	-0,00000	8,07107	8,07107	44	0
102	604	95	592	-0,00001	14,89950	14,89949	134	0
102	644	91	638	-0,00002	13,48530	13,48528	127	0
104	386	93	381	-0,00003	13,07110	13,07107	113	0
104	499	91	492	-0,00001	15,89950	15,89949	148	0
104	588	114	597	-0,00001	14,89950	14,89949	99	0
106	230	105	217	0,00001	13,41420	13,41421	87	1
106	562	118	556	-0,00005	15,65690	15,65685	123	0
107	412	94	408	-0,00005	14,65690	14,65685	137	0
108	411	120	409	0,00003	12,82840	12,82843	108	0
109	549	118	558	0,00002	12,72790	12,72792	65	0
101	667	117	658	0,00002	19,72790	19,72792	205	0
102	567	93	582	0,00002	18,72790	18,72792	192	0
103	596	117	605	0,00002	17,72790	17,72792	174	0
104	434	113	438	-0,00003	18,07110	18,07107	159	0
104	487	119	499	-0,00004	19,97060	19,97056	177	0
105	490	119	477	-0,00002	19,38480	19,38478	136	0
105	509	118	501	0,00001	16,31370	16,31371	153	0
105	514	110	499	-0,00003	17,07110	17,07107	173	0
106	527	96	542	0,00004	19,14210	19,14214	189	1
107	694	118	682	0,00005	16,55630	16,55635	115	0
100	530	112	512	-0,00004	22,97060	22,97056	219	0
100	559	104	537	-0,00005	23,65690	23,65685	253	0
101	621	106	601	-0,00003	22,07110	22,07107	241	0
102	268	83	262	-0,00002	21,48530	21,48528	241	0
102	550	105	529	0,00004	22,24260	22,24264	222	0
102	701	114	682	-0,00004	23,97060	23,97056	262	0
103	395	120	405	-0,00004	21,97060	21,97056	241	1
103	406	83	403	0,00004	21,24260	21,24264	202	0
103	526	92	508	0,00005	22,55630	22,55635	241	0
103	565	95	584	0,00001	22,31370	22,31371	250	0
100	557	107	580	-0,00001	25,89950	25,89949	304	0
101	530	78	537	-0,00001	25,89950	25,89949	314	0
101	700	84	718	0,00003	25,04160	25,04163	176	0
102	405	109	380	-0,00001	27,89950	27,89949	329	1
102	678	123	669	0,00002	24,72790	24,72792	287	0
103	512	128	513	0,00004	26,24260	26,24264	234	0
105	252	96	228	0,00002	27,72790	27,72792	348	0
105	631	116	651	0,00005	24,55630	24,55635	294	0
106	204	83	202	0,00001	26,31370	26,31371	268	0
107	224	100	244	0,00003	25,82840	25,82843	260	0
100	220	97	193	0,00004	28,24260	28,24264	245	0
100	245	86	271	-0,00001	31,79900	31,79899	331	0
100	666	91	691	0,00002	28,72790	28,72792	370	0
101	573	76	582	0,00002	28,72790	28,72792	372	0
101	589	115	613	-0,00001	29,79900	29,79899	318	0
101	651	111	626	0,00004	29,14210	29,14214	392	0
102	601	123	619	0,00004	28,45580	28,45584	257	0
103	583	88	558	0,00000	31,21320	31,21320	397	0
104	662	104	634	0,00000	28,00000	28,00000	198	0
105	265	95	291	0,00004	30,14210	30,14214	400	0
100	204	81	213	0,00000	33,21320	33,21320	560	1
100	227	97	260	0,00004	34,24260	34,24264	279	0
100	558	109	526	0,00002	35,72790	35,72792	485	0
101	221	130	231	0,00004	33,14210	33,14214	457	1
101	606	77	586	-0,00003	32,28430	32,28427	316	0
102	620	73	631	0,00005	33,55630	33,55635	461	0
102	626	77	648	-0,00000	34,11270	34,11270	314	0
104	237	122	228	0,00005	32,55630	32,55635	423	0
104	569	92	541	-0,00004	32,97060	32,97056	429	1
106	630	129	656	0,00001	35,52690	35,52691	328	0
100	217	126	245	-0,00005	38,76960	38,76955	297	0
100	399	137	403	-0,00002	39,48530	39,48528	444	0
100	507	120	528	-0,00001	36,89950	36,89949	747	1
100	663	97	626	0,00004	38,24260	38,24264	378	0
102	165	112	197	0,00005	37,55630	37,55635	370	0
102	620	64	619	0,00001	38,41420	38,41421	268	0
102	638	130	617	-0,00002	36,69850	36,69848	433	1
103	398	137	408	0,00004	38,14210	38,14214	522	0
104	214	135	233	-0,00004	38,87010	38,87006	529	0
105	513	79	485	-0,00005	38,76960	38,76955	297	0
100	545	61	551	-0,00002	41,48530	41,48528	524	1
100	572	89	536	0,00005	40,55630	40,55635	600	0
101	411	129	381	-0,00002	41,59800	41,59798	318	0
102	176	64	187	0,00005	42,55630	42,55635	621	1
102	542	65	534	0,00001	40,31370	40,31371	546	0
102	578	105	538	0,00004	41,24260	41,24264	407	0
102	596	64	588	0,00001	41,31370	41,31371	569	1
102	605	140	611	-0,00002	40,48530	40,48528	506	0
103	350	140	345	0,00004	40,24260	40,24264	284	0
103	557	114	593	0,00005	40,55630	40,55635	566	1
100	173	105	216	-0,00003	45,07110	45,07107	465	0
100	487	136	461	-0,00005	46,76960	46,76955	374	0
100	603	139	590	-0,00002	44,38480	44,38478	697	1
100	633	63	650	0,00003	44,04160	44,04163	697	0
101	184	139	183	0,00001	44,31370	44,31371	364	0
101	594	140	576	0,00004	46,45580	46,45584	687	1
101	651	84	614	0,00003	44,04160	44,04163	697	0
103	433	110	398	0,00002	44,72790	44,72792	356	1
103	559	78	594	0,00004	45,35530	45,35534	598	0
103	618	102	665	0,00001	47,41420	47,41421	331	0
100	540	69	576	0,00002	48,84060	48,84062	507	0
100	555	59	534	-0,00002	49,69850	49,69848	834	1
100	613	67	575	0,00005	51,66900	51,66905	420	0
100	692	142	668	0,00003	51,94110	51,94113	869	1
102	519	70	556	0,00003	50,25480	50,25483	523	0
102	522	51	523	0,00001	51,41420	51,41421	359	0
102	575	90	528	-0,00004	51,97060	51,97056	855	1
102	672	153	670	0,00003	51,82840	51,82843	470	0
103	167	100	215	0,00004	49,24260	49,24264	365	0
103	220	147	237	0,00003	51,04160	51,04163	893	1
100	507	141	480	-0,00003	52,18380	52,18377	811	3
100	510	96	562	-0,00005	53,65690	53,65685	599	1
100	551	135	591	-0,00004	55,08330	55,08326	599	0
100	636	54	614	-0,00000	55,11270	55,11270	1010	1
101	176	136	207	-0,00003	54,28430	54,28427	921	1
101	486	154	482	-0,00005	54,65690	54,65685	589	0
101	548	139	586	-0,00001	54,91170	54,91169	466	0
102	622	82	666	-0,00003	52,28430	52,28427	928	1
103	263	73	303	0,00001	52,42640	52,42641	710	1
103	404	58	384	-0,00003	53,28430	53,28427	925	1
100	163	119	214	-0,00004	58,87010	58,87006	957	1
100	176	86	229	-0,00001	58,79900	58,79899	790	1
100	199	153	186	-0,00002	58,38480	58,38478	840	0
100	563	51	544	-0,00004	56,87010	56,87006	1076	2
100	589	56	618	-0,00001	56,01220	56,01219	903	1
100	611	133	654	0,00005	56,66900	56,66905	790	0
101	619	80	670	-0,00002	59,69850	59,69848	1163	2
101	668	111	616	0,00004	56,14210	56,14214	904	1
102	177	136	221	-0,00003	59,49750	59,49747	331	0
102	177	83	229	-0,00004	59,87010	59,87006	768	1
100	241	50	269	-0,00003	62,18380	62,18377	1106	1
100	538	63	583	0,00000	60,32590	60,32590	785	0
100	687	51	720	0,00005	62,66900	62,66905	973	0
101	223	110	277	0,00000	60,21320	60,21320	1043	1
101	237	44	251	-0,00001	62,79900	62,79899	1013	1
101	626	50	655	-0,00001	63,01220	63,01219	1188	1
101	697	61	693	0,00003	61,94110	61,94113	1927	2
102	190	90	248	-0,00004	62,97060	62,97056	936	1
102	608	43	611	0,00004	60,24260	60,24264	531	0
102	665	114	606	-0,00004	63,97060	63,97056	1140	1
100	205	164	205	-0,00002	66,48530	66,48528	874	1
100	210	58	221	0,00000	67,32590	67,32590	1894	2
101	559	98	495	0,00004	65,24260	65,24264	702	0
101	601	105	666	-0,00005	66,65690	66,65685	788	1
