type: dao
name: hrt002d
algorithm: jps
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
0	28	1	29	0,00000	1,41421	1,41421	3	0
0	28	2	27	0,00000	3,00000	3,00000	5	0
0	29	1	28	0,00000	1,41421	1,41421	3	0
0	29	1	29	0,00000	1,00000	1,00000	3	0
0	29	3	28	0,00000	3,41421	3,41421	7	0
1	28	2	29	0,00000	1,41421	1,41421	3	0
1	28	2	31	0,00000	3,41421	3,41421	5	0
1	28	3	28	0,00000	2,00000	2,00000	5	0
1	29	0	28	0,00000	1,41421	1,41421	4	0
1	29	1	28	0,00000	1,00000	1,00000	4	0
0	28	3	31	-0,00000	4,82843	4,82843	7	0
0	28	4	24	-0,00000	6,82843	6,82843	6	0
0	28	4	25	-0,00000	5,82843	5,82843	6	0
0	28	4	28	0,00000	4,00000	4,00000	5	0
0	28	4	30	-0,00000	4,82843	4,82843	7	0
0	28	4	33	0,00000	7,24264	7,24264	7	0
0	28	5	28	0,00000	5,00000	5,00000	5	0
0	28	6	29	0,00000	6,41421	6,41421	7	0
0	28	7	26	-0,00000	7,82843	7,82843	6	0
0	28	7	27	0,00000	7,41421	7,41421	6	0
0	28	7	25	0,00000	8,24264	8,24264	6	0
0	28	7	31	0,00000	8,24264	8,24264	8	0
0	28	8	30	-0,00000	8,82843	8,82843	8	0
0	28	8	34	-0,00002	10,48530	10,48528	10	0
0	28	9	32	-0,00005	10,65690	10,65685	8	0
0	29	10	28	0,00001	10,41420	10,41421	7	1
0	29	10	33	-0,00005	11,65690	11,65685	9	0
0	29	11	30	0,00001	11,41420	11,41421	6	0
0	29	7	24	-0,00000	9,07107	9,07107	9	0
0	29	7	33	0,00000	8,65685	8,65685	7	0
0	28	11	25	0,00004	12,24260	12,24264	7	0
0	28	11	32	-0,00005	12,65690	12,65685	8	0
0	28	12	22	-0,00002	14,48530	14,48528	11	0
0	28	12	29	0,00001	12,41420	12,41421	7	0
0	28	12	31	0,00004	13,24260	13,24264	8	0
0	28	12	36	-0,00001	15,89950	15,89949	16	0
0	28	13	23	-0,00003	15,07110	15,07107	10	0
0	28	13	24	-0,00005	14,65690	14,65685	10	0
0	28	13	32	-0,00005	14,65690	14,65685	8	0
0	28	14	28	0,00000	14,00000	14,00000	5	0
0	28	13	17	0,00004	18,14210	18,14214	12	0
0	28	14	22	-0,00002	16,48530	16,48528	12	0
0	28	14	33	-0,00003	16,07110	16,07107	11	0
0	28	16	29	0,00001	16,41420	16,41421	7	0
0	28	17	34	-0,00002	19,48530	19,48528	14	0
0	28	19	26	0,00003	19,82840	19,82843	8	0
0	28	6	19	-0,00002	17,48530	17,48528	12	0
0	29	12	37	-0,00002	16,48530	16,48528	16	0
0	29	13	19	0,00004	17,14210	17,14214	14	0
0	29	13	37	-0,00001	16,89950	16,89949	17	0
0	28	10	13	0,00005	22,55630	22,55635	15	0
0	28	10	15	0,00002	21,72790	21,72792	16	0
0	28	11	14	0,00004	21,14210	21,14214	15	0
0	28	16	40	0,00001	23,31370	23,31371	19	1
0	28	16	41	0,00002	23,72790	23,72792	22	0
0	28	18	33	-0,00003	20,07110	20,07107	11	0
0	28	19	25	0,00004	20,24260	20,24264	8	0
0	28	19	31	0,00004	20,24260	20,24264	8	0
0	28	19	33	-0,00003	21,07110	21,07107	11	0
0	28	20	24	0,00004	22,24260	22,24264	11	0
0	28	12	7	0,00002	27,72790	27,72792	14	0
0	28	16	12	-0,00002	24,38480	24,38478	16	0
0	28	16	42	0,00004	24,14210	24,14214	21	0
0	28	17	10	-0,00001	26,79900	26,79899	18	0
0	28	17	12	-0,00002	25,38480	25,38478	19	0
0	28	17	9	-0,00001	27,79900	27,79899	19	0
0	28	20	13	-0,00004	27,97060	27,97056	17	0
0	28	20	40	0,00001	27,31370	27,31371	23	0
0	28	21	39	0,00002	26,72790	26,72792	24	0
0	28	22	34	-0,00002	24,48530	24,48528	16	0
0	28	11	5	0,00004	30,14210	30,14214	16	0
0	28	12	5	0,00002	29,72790	29,72792	15	0
0	28	17	7	-0,00001	29,79900	29,79899	19	0
0	28	20	46	-0,00001	29,79900	29,79899	23	0
0	28	21	42	0,00004	29,14210	29,14214	26	0
0	28	22	14	-0,00004	30,97060	30,97056	19	0
0	28	22	41	0,00004	29,14210	29,14214	24	1
0	28	23	20	-0,00005	28,65690	28,65685	20	0
0	28	24	40	-0,00004	28,97060	28,97056	24	0
0	28	25	20	-0,00005	30,65690	30,65685	21	0
0	28	16	3	-0,00002	33,38480	33,38478	20	0
0	28	23	45	-0,00002	32,38480	32,38478	23	0
0	28	29	36	0,00001	32,31370	32,31371	21	0
0	28	29	38	0,00001	34,31370	34,31371	27	0
0	28	29	39	0,00001	35,31370	35,31371	29	0
0	28	30	30	-0,00002	32,48530	32,48528	19	0
0	29	16	4	-0,00001	32,79900	32,79899	20	0
0	29	17	4	0,00000	33,21320	33,21320	21	0
0	29	18	4	0,00002	33,62740	33,62742	23	0
0	29	20	4	0,00003	35,04160	35,04163	23	0
0	28	24	4	0,00002	38,62740	38,62742	25	0
0	28	28	47	0,00000	38,21320	38,21320	37	0
0	28	30	46	-0,00001	39,79900	39,79899	36	0
0	29	23	6	0,00003	38,04160	38,04163	26	0
0	29	23	7	0,00003	39,04160	39,04163	29	0
0	29	30	19	-0,00003	37,07110	37,07107	28	0
1	28	23	5	0,00000	36,21320	36,21320	22	1
