type: dao
name: hrt201d
algorithm: jpsplus
preprossessing [ms]: 56

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
102	164	101	165	0,00000	1,41421	1,41421	5	0
105	172	108	174	-0,00000	3,82843	3,82843	8	0
105	175	104	177	0,00000	2,41421	2,41421	7	0
112	136	113	138	0,00000	2,41421	2,41421	7	0
115	115	114	112	0,00000	3,41421	3,41421	6	0
116	120	119	121	0,00000	3,41421	3,41421	7	1
117	172	119	172	0,00000	2,00000	2,00000	4	0
120	231	118	232	0,00000	2,41421	2,41421	4	0
121	152	123	152	0,00000	2,00000	2,00000	6	0
121	156	123	153	-0,00000	3,82843	3,82843	7	0
10	138	8	142	-0,00000	4,82843	4,82843	7	0
10	29	12	25	-0,00000	4,82843	4,82843	9	0
100	104	102	100	-0,00000	4,82843	4,82843	10	0
100	110	96	110	0,00000	4,00000	4,00000	5	0
101	177	99	184	-0,00000	7,82843	7,82843	7	0
103	172	100	175	0,00000	4,24264	4,24264	7	0
104	186	101	180	0,00000	7,24264	7,24264	7	0
106	134	110	134	0,00000	4,00000	4,00000	6	0
107	162	103	158	0,00000	5,65685	5,65685	6	0
111	239	117	235	0,00000	7,65685	7,65685	7	0
101	86	98	93	0,00000	8,24264	8,24264	6	0
104	136	113	135	0,00000	9,41421	9,41421	7	0
104	165	103	175	0,00001	10,41420	10,41421	8	0
104	73	94	73	0,00000	10,00000	10,00000	5	0
105	179	107	170	-0,00000	9,82843	9,82843	7	0
105	186	98	183	0,00000	8,24264	8,24264	6	0
108	130	104	139	-0,00005	10,65690	10,65685	7	0
109	99	99	101	0,00003	10,82840	10,82843	7	0
11	134	18	125	-0,00001	11,89950	11,89949	9	0
110	166	102	164	-0,00000	8,82843	8,82843	8	0
100	134	110	139	-0,00003	12,07110	12,07107	7	0
100	154	103	166	0,00004	13,24260	13,24264	7	0
100	90	104	103	-0,00005	14,65690	14,65685	10	0
101	183	98	172	0,00004	12,24260	12,24264	10	0
101	87	98	99	0,00004	13,24260	13,24264	6	0
101	91	108	96	0,00001	13,41420	13,41421	9	0
102	104	92	98	-0,00002	12,48530	12,48528	16	0
102	76	100	63	0,00003	13,82840	13,82843	7	0
104	171	116	171	-0,00005	13,65690	13,65685	10	0
105	100	95	110	0,00004	14,14210	14,14214	12	0
10	26	5	43	-0,00003	19,07110	19,07107	15	0
100	72	86	66	0,00004	18,24260	18,24264	11	0
102	75	94	88	-0,00002	17,48530	17,48528	14	0
104	168	121	163	-0,00003	19,07110	19,07107	17	0
105	131	90	141	0,00004	19,14210	19,14214	14	0
106	139	121	148	0,00002	18,72790	18,72792	8	0
107	105	124	108	0,00004	18,24260	18,24264	13	1
108	76	94	63	-0,00002	19,38480	19,38478	10	0
109	163	94	157	-0,00002	17,48530	17,48528	11	0
11	129	17	146	-0,00002	19,48530	19,48528	12	0
100	98	82	109	0,00005	22,55630	22,55635	15	0
101	107	78	107	0,00000	23,00000	23,00000	8	0
101	155	104	175	0,00004	21,24260	21,24264	6	0
102	100	79	98	0,00003	23,82840	23,82843	14	0
102	159	83	169	0,00002	23,72790	23,72792	14	0
102	77	101	92	-0,00003	21,07110	21,07107	11	0
102	86	99	108	0,00004	23,24260	23,24264	10	0
103	156	101	176	0,00003	20,82840	20,82843	8	0
105	137	123	145	0,00001	21,31370	21,31371	12	0
105	173	120	160	-0,00004	20,97060	20,97056	20	0
10	124	22	142	0,00002	24,72790	24,72792	16	0
10	146	33	137	0,00002	26,72790	26,72792	14	0
10	149	13	125	0,00004	25,24260	25,24264	12	0
100	184	103	159	0,00004	26,24260	26,24264	9	0
100	85	98	60	-0,00005	26,65690	26,65685	9	0
100	89	79	99	0,00004	25,14210	25,14214	8	0
101	115	102	88	0,00001	27,41420	27,41421	8	0
101	171	117	158	-0,00001	24,89950	24,89949	17	0
101	85	83	96	-0,00001	26,79900	26,79899	16	0
102	108	79	99	0,00002	26,72790	26,72792	21	0
10	126	36	135	0,00002	29,72790	29,72792	15	0
10	133	38	132	0,00002	31,72790	31,72792	21	0
100	100	79	88	0,00001	28,31370	28,31371	26	0
100	161	126	173	-0,00004	30,97060	30,97056	17	0
100	183	120	161	0,00004	31,45580	31,45584	23	0
100	186	117	163	0,00000	31,21320	31,21320	22	0
100	86	84	111	0,00002	31,62740	31,62742	12	0
101	157	93	185	-0,00001	31,89950	31,89949	17	0
101	162	126	162	0,00004	29,14210	29,14214	17	0
102	166	87	182	-0,00003	28,07110	28,07107	22	0
10	145	41	137	0,00001	34,31370	34,31371	15	0
100	105	98	72	-0,00005	34,65690	34,65685	16	0
101	167	77	155	-0,00002	32,48530	32,48528	26	1
101	74	97	108	-0,00005	35,65690	35,65685	10	0
101	92	70	103	0,00005	35,55630	35,55635	12	0
102	106	83	87	0,00004	32,14210	32,14214	33	0
102	138	120	113	-0,00002	35,38480	35,38478	17	0
