type: dao
name: hrt201n
algorithm: jps
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
102	198	102	195	0,00000	3,00000	3,00000	6	0
103	198	105	198	0,00000	2,00000	2,00000	6	0
105	167	105	166	0,00000	1,00000	1,00000	7	0
113	262	113	264	0,00000	2,00000	2,00000	4	0
113	264	110	266	-0,00000	3,82843	3,82843	5	0
117	161	116	162	0,00000	1,41421	1,41421	5	0
123	179	121	178	0,00000	2,41421	2,41421	6	0
123	82	120	82	0,00000	3,00000	3,00000	6	0
125	57	128	58	0,00000	3,41421	3,41421	6	0
125	79	123	78	0,00000	2,41421	2,41421	7	0
100	134	94	138	0,00000	7,65685	7,65685	9	0
100	165	104	167	-0,00000	4,82843	4,82843	6	0
100	93	98	96	0,00000	4,41421	4,41421	8	0
102	164	103	170	0,00000	6,41421	6,41421	6	0
102	198	106	197	0,00000	4,41421	4,41421	7	0
102	209	103	203	0,00000	6,41421	6,41421	7	0
103	192	106	196	0,00000	5,24264	5,24264	6	0
104	195	100	199	0,00000	5,65685	5,65685	7	0
107	171	111	173	-0,00000	4,82843	4,82843	5	0
11	174	13	179	-0,00000	5,82843	5,82843	7	0
100	202	105	209	-0,00000	9,07107	9,07107	7	0
100	98	98	107	-0,00000	9,82843	9,82843	6	0
101	107	100	96	0,00001	11,41420	11,41421	7	0
101	121	102	131	0,00001	10,41420	10,41421	8	0
101	121	92	118	0,00004	10,24260	10,24264	6	1
101	167	108	173	0,00000	9,48528	9,48528	7	0
101	190	90	188	0,00003	11,82840	11,82843	6	0
102	169	110	169	0,00000	8,00000	8,00000	7	0
103	134	100	126	0,00000	9,24264	9,24264	9	0
103	207	106	217	0,00004	11,24260	11,24264	7	0
100	106	85	106	0,00000	15,00000	15,00000	5	0
100	122	107	130	0,00003	13,82840	13,82843	9	0
101	121	107	133	-0,00005	15,65690	15,65685	8	0
104	198	90	199	0,00001	14,41420	14,41421	7	0
105	130	94	135	-0,00003	13,07110	13,07107	10	0
105	198	94	190	-0,00001	14,89950	14,89949	10	0
106	99	93	102	0,00004	14,24260	14,24264	8	0
107	108	99	99	0,00001	12,31370	12,31371	9	0
107	210	94	205	-0,00003	15,07110	15,07107	10	0
107	217	100	205	-0,00001	14,89950	14,89949	11	0
101	220	105	204	-0,00005	17,65690	17,65685	9	0
102	130	102	147	0,00003	17,82840	17,82843	7	0
102	208	118	200	0,00001	19,31370	19,31371	11	0
102	210	89	219	0,00002	16,72790	16,72792	11	0
103	195	118	199	-0,00005	16,65690	16,65685	10	0
104	132	98	116	-0,00002	18,48530	18,48528	9	0
104	173	123	172	0,00001	19,41420	19,41421	7	0
104	191	116	197	0,00001	17,31370	17,31371	16	0
104	207	108	189	-0,00005	19,65690	19,65685	10	0
105	170	86	168	0,00003	19,82840	19,82843	10	0
10	158	2	174	-0,00005	21,65690	21,65685	13	0
102	107	86	100	-0,00003	20,07110	20,07107	14	0
102	132	83	140	0,00001	22,31370	22,31371	15	0
102	147	84	138	0,00002	21,72790	21,72792	15	0
102	203	122	205	-0,00002	22,48530	22,48528	11	0
103	139	119	146	-0,00001	22,89950	22,89949	22	0
104	138	127	138	0,00003	23,82840	23,82843	11	0
106	171	121	182	0,00002	20,72790	20,72792	10	0
107	132	98	114	-0,00002	23,48530	23,48528	10	0
107	139	86	140	0,00001	21,41420	21,41421	7	0
10	64	32	73	-0,00002	27,48530	27,48528	19	0
100	116	106	96	0,00005	25,55630	25,55635	18	0
100	146	81	147	0,00005	25,55630	25,55635	17	0
100	200	85	188	-0,00005	24,65690	24,65685	17	0
100	206	78	201	-0,00003	24,07110	24,07107	15	0
100	219	75	216	0,00003	26,82840	26,82843	19	0
101	132	122	142	0,00004	25,14210	25,14214	19	0
101	168	122	160	0,00001	24,31370	24,31371	11	0
102	119	107	101	-0,00002	25,38480	25,38478	16	0
102	189	116	190	0,00004	27,14210	27,14214	20	0
10	67	35	75	0,00004	31,14210	31,14214	20	0
100	134	115	152	-0,00005	30,65690	30,65685	19	0
100	210	74	198	0,00005	31,55630	31,55635	17	0
100	217	107	190	-0,00001	29,89950	29,89949	10	0
100	93	92	119	-0,00001	29,89950	29,89949	22	0
101	115	98	144	0,00004	30,24260	30,24264	9	0
101	126	88	103	-0,00002	28,38480	28,38478	15	0
101	203	120	186	0,00004	30,14210	30,14214	15	0
101	206	73	201	-0,00003	30,07110	30,07107	14	0
101	221	100	192	0,00001	29,41420	29,41421	7	0
100	127	124	145	0,00003	32,04160	32,04163	22	0
100	171	115	193	0,00004	35,24260	35,24264	12	0
100	187	100	221	0,00000	34,00000	34,00000	4	0
101	101	104	129	0,00001	34,31370	34,31371	22	0
101	143	128	142	0,00002	32,72790	32,72792	19	0
101	207	127	189	0,00004	33,45580	33,45584	17	0
102	169	114	143	0,00001	35,31370	35,31371	16	0
103	130	128	150	-0,00003	33,28430	33,28427	19	0
103	165	70	169	-0,00005	34,65690	34,65685	15	0
104	196	122	181	0,00005	32,55630	32,55635	20	1
10	163	46	169	-0,00002	38,48530	38,48528	18	0
10	64	31	44	-0,00005	38,65690	38,65685	37	0
10	70	44	57	-0,00002	39,38480	39,38478	24	0
100	110	111	135	0,00004	36,14210	36,14214	19	0
100	110	91	141	-0,00002	36,48530	36,48528	17	0
100	120	71	142	-0,00003	39,28430	39,28427	16	0
100	220	61	220	0,00000	39,00000	39,00000	9	0
101	134	105	104	0,00004	36,14210	36,14214	25	0
101	147	81	119	-0,00003	36,28430	36,28427	26	0
102	136	93	103	0,00002	36,72790	36,72792	25	0
100	123	65	132	-0,00001	41,79900	41,79899	25	0
100	219	61	215	-0,00005	40,65690	40,65685	20	0
101	173	125	143	-0,00002	41,69850	41,69848	12	0
102	139	85	110	0,00002	42,72790	42,72792	33	0
102	207	65	221	-0,00004	43,97060	43,97056	32	0
102	215	84	189	-0,00003	41,07110	41,07107	27	0
103	215	61	216	0,00001	42,41420	42,41421	9	0
104	134	72	149	-0,00001	42,89950	42,89949	24	0
105	167	119	202	0,00005	42,55630	42,55635	17	0
106	110	107	139	0,00005	43,55630	43,55635	20	0
10	63	46	87	-0,00002	47,69850	47,69848	22	0
10	68	43	44	-0,00003	45,28430	45,28427	34	0
100	135	98	92	-0,00005	44,65690	44,65685	15	0
101	123	118	160	-0,00004	46,97060	46,97056	17	0
101	138	99	93	-0,00002	47,48530	47,48528	23	0
101	143	69	119	0,00000	47,21320	47,21320	34	0
101	168	56	170	0,00003	45,82840	45,82843	14	0
101	216	63	207	0,00004	45,24260	45,24264	30	0
101	97	89	139	-0,00004	46,97060	46,97056	23	0
102	163	57	168	-0,00003	47,07110	47,07107	15	0
100	144	68	117	-0,00002	48,69850	48,69848	38	1
100	163	137	141	0,00003	49,04160	49,04163	16	0
100	164	126	134	-0,00002	48,38480	48,38478	16	0
100	165	108	132	0,00001	50,31370	50,31371	36	0
100	169	130	137	-0,00000	49,11270	49,11270	21	0
100	216	60	204	-0,00002	48,48530	48,48528	43	0
101	146	106	101	-0,00004	50,97060	50,97056	25	0
101	203	107	170	0,00002	49,72790	49,72792	29	0
101	213	66	187	-0,00000	48,11270	48,11270	23	0
103	105	72	133	-0,00002	51,38480	51,38478	28	0
10	57	60	65	0,00001	53,31370	53,31371	26	0
10	68	62	67	-0,00003	54,07110	54,07107	16	0
100	109	119	150	0,00004	55,45580	55,45584	30	0
100	165	106	198	0,00005	52,55630	52,55635	44	0
101	110	122	147	-0,00003	54,28430	54,28427	33	1
101	143	113	173	-0,00001	53,89950	53,89949	28	0
101	166	143	140	-0,00002	55,69850	55,69848	20	0
101	189	62	220	0,00003	55,94110	55,94113	21	0
101	206	62	203	0,00001	53,31370	53,31371	43	0
102	121	61	122	0,00003	54,04160	54,04163	41	0
100	141	102	169	-0,00004	56,97060	56,97056	43	0
101	137	156	142	-0,00003	57,07110	57,07107	20	0
101	139	158	132	-0,00001	59,89950	59,89949	23	0
101	146	102	166	0,00002	59,72790	59,72792	39	0
101	206	118	158	0,00005	58,55630	58,55635	25	0
101	93	93	148	-0,00002	59,48530	59,48528	22	1
102	130	99	170	0,00002	59,62740	59,62742	45	0
102	170	98	137	0,00002	57,72790	57,72792	45	0
103	196	115	155	-0,00005	56,65690	56,65685	27	0
104	221	120	172	-0,00001	56,79900	56,79899	25	0
10	68	66	74	0,00005	61,55630	61,55635	33	0
100	119	114	171	0,00005	61,55630	61,55635	19	0
100	124	122	173	0,00003	61,04160	61,04163	22	0
100	140	159	133	-0,00001	61,89950	61,89949	25	0
100	211	123	158	-0,00002	63,69850	63,69848	30	0
100	96	72	141	-0,00004	61,87010	61,87006	37	0
101	116	147	134	-0,00001	61,89950	61,89949	17	0
101	129	158	142	-0,00002	62,38480	62,38478	22	0
101	173	43	171	-0,00002	60,48530	60,48528	19	0
102	103	72	120	-0,00002	63,38480	63,38478	38	0
100	101	129	144	-0,00000	65,11270	65,11270	32	0
100	138	92	167	-0,00001	64,89950	64,89949	49	0
100	171	98	147	0,00003	66,04160	66,04163	68	0
100	97	64	127	-0,00001	67,79900	67,79899	44	0
101	126	115	184	0,00002	66,72790	66,72792	19	0
101	144	160	132	0,00002	65,72790	65,72792	21	0
101	169	147	128	-0,00004	67,08330	67,08326	32	1
101	169	94	148	-0,00004	66,87010	66,87006	65	0
101	98	125	148	-0,00003	66,18380	66,18377	33	0
102	122	153	128	-0,00001	64,79900	64,79899	28	0
100	138	150	113	0,00005	68,55630	68,55635	46	0
100	205	90	171	-0,00004	68,97060	68,97056	53	0
101	144	157	117	-0,00002	70,69850	70,69848	33	0
101	191	91	166	0,00003	69,04160	69,04163	43	0
102	202	115	142	-0,00005	70,65690	70,65685	23	0
103	200	87	163	-0,00002	69,38480	69,38478	55	1
104	134	116	194	-0,00003	69,07110	69,07107	27	0
104	164	90	216	-0,00002	71,59800	71,59798	57	0
104	200	85	167	0,00002	68,72790	68,72792	52	0
104	202	90	178	0,00005	69,55630	69,55635	65	0
10	52	58	92	-0,00003	73,49750	73,49747	59	0
100	115	160	135	-0,00001	75,89950	75,89949	18	0
100	169	92	220	-0,00005	73,76960	73,76955	56	0
100	190	87	169	0,00000	73,21320	73,21320	46	1
101	115	124	174	0,00003	72,04160	72,04163	28	0
101	127	155	110	-0,00004	75,87010	75,87006	38	0
101	147	90	173	0,00002	75,62740	75,62742	57	0
101	164	155	125	-0,00004	73,08330	73,08326	31	0
101	204	124	143	0,00000	75,21320	75,21320	34	0
102	174	81	190	-0,00004	75,97060	75,97056	71	0
100	147	170	140	0,00001	78,31370	78,31371	21	0
100	190	128	143	0,00001	79,52690	79,52691	37	1
101	116	125	182	-0,00004	78,87010	78,87006	28	0
101	119	92	168	0,00000	77,21320	77,21320	58	0
101	121	92	163	-0,00001	76,79900	76,79899	67	0
101	143	149	107	-0,00002	76,38480	76,38478	44	0
102	166	81	206	0,00002	77,62740	77,62742	75	0
102	172	26	165	-0,00001	78,89950	78,89949	30	0
102	201	124	138	-0,00004	77,97060	77,97056	33	0
103	134	181	134	0,00003	78,82840	78,82843	10	0
10	161	87	174	-0,00002	82,38480	82,38478	31	1
