type: dao
name: lak100c
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
181	462	182	460	0,00000	2,41421	2,41421	13	0
205	255	204	252	0,00000	3,41421	3,41421	17	0
208	577	210	580	-0,00000	3,82843	3,82843	23	0
210	588	212	588	0,00000	2,00000	2,00000	16	0
216	370	217	368	0,00000	2,41421	2,41421	11	0
218	578	218	580	0,00000	2,00000	2,00000	16	0
219	255	222	255	0,00000	3,00000	3,00000	23	0
220	260	218	261	0,00000	2,41421	2,41421	16	0
221	425	222	424	0,00000	1,41421	1,41421	9	0
221	591	224	593	-0,00000	3,82843	3,82843	23	0
165	468	160	471	0,00000	6,24264	6,24264	43	0
177	469	171	468	0,00000	6,41421	6,41421	38	0
200	446	205	444	-0,00000	5,82843	5,82843	45	0
203	392	206	398	0,00000	7,24264	7,24264	52	0
206	439	213	440	0,00000	7,41421	7,41421	51	0
206	583	207	587	0,00000	4,41421	4,41421	20	0
210	250	213	246	0,00000	5,24264	5,24264	36	0
210	250	214	254	0,00000	5,65685	5,65685	30	0
211	254	208	249	0,00000	6,24264	6,24264	43	0
212	421	216	422	0,00000	4,41421	4,41421	30	0
144	442	144	452	0,00000	10,00000	10,00000	66	0
146	445	143	455	0,00004	11,24260	11,24264	92	0
161	471	165	462	-0,00005	10,65690	10,65685	80	0
170	461	161	464	0,00004	10,24260	10,24264	75	0
172	470	163	463	-0,00001	11,89950	11,89949	89	0
205	583	209	576	0,00000	8,65685	8,65685	55	0
206	380	207	389	0,00000	10,00000	10,00000	52	0
209	444	204	438	-0,00000	8,07107	8,07107	44	0
209	587	210	579	0,00000	8,41421	8,41421	58	0
210	247	213	256	0,00004	10,24260	10,24264	90	0
149	465	142	452	-0,00001	15,89950	15,89949	130	0
154	439	168	438	0,00001	14,41420	14,41421	84	0
160	461	169	472	-0,00001	15,89950	15,89949	116	0
164	462	178	466	-0,00005	15,65690	15,65685	151	0
192	441	180	436	0,00004	15,24260	15,24264	85	0
193	435	199	446	-0,00002	13,48530	13,48528	120	0
194	248	205	243	-0,00003	13,07110	13,07107	113	1
200	243	207	256	-0,00001	15,89950	15,89949	147	0
206	576	221	577	0,00001	15,41420	15,41421	107	0
208	393	196	397	-0,00005	13,65690	13,65685	130	0
146	460	147	442	0,00001	18,41420	18,41421	120	0
