type: dao
name: lak100n
algorithm: jpsplus
preprossessing [ms]: 107

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
176	465	176	464	0,00000	1,00000	1,00000	4	0
208	383	208	386	0,00000	3,00000	3,00000	7	0
211	391	213	393	-0,00000	2,82843	2,82843	5	0
211	575	210	575	0,00000	1,00000	1,00000	5	0
219	337	216	339	-0,00000	3,82843	3,82843	6	0
225	437	228	438	0,00000	3,41421	3,41421	6	0
225	587	225	589	0,00000	2,00000	2,00000	3	0
228	319	228	319	0,00000	0,00000	0,00000	1	0
229	342	231	341	0,00000	2,41421	2,41421	7	0
230	316	232	316	0,00000	2,00000	2,00000	6	0
146	449	142	451	-0,00000	4,82843	4,82843	5	0
173	468	174	463	0,00000	5,41421	5,41421	5	0
193	442	191	435	-0,00000	7,82843	7,82843	9	0
197	390	194	395	0,00000	6,24264	6,24264	7	0
199	248	205	249	0,00000	6,41421	6,41421	8	0
205	440	203	447	-0,00000	7,82843	7,82843	5	0
206	443	203	439	0,00000	5,24264	5,24264	5	0
212	577	205	575	-0,00000	7,82843	7,82843	5	0
215	435	221	431	0,00000	7,65685	7,65685	9	0
216	441	212	442	0,00000	4,41421	4,41421	7	0
170	468	178	467	0,00000	8,41421	8,41421	5	0
199	435	192	438	0,00000	8,24264	8,24264	7	0
201	439	204	447	0,00000	9,24264	9,24264	6	0
203	448	199	440	0,00000	9,65685	9,65685	6	0
207	382	203	390	0,00000	9,65685	9,65685	11	0
207	384	211	391	0,00000	8,65685	8,65685	8	0
207	584	214	593	-0,00001	11,89950	11,89949	7	0
208	387	218	386	0,00001	10,41420	10,41421	5	0
211	570	219	572	-0,00000	8,82843	8,82843	7	0
212	572	202	573	0,00001	10,41420	10,41421	5	0
147	457	156	466	-0,00002	14,48530	14,48528	8	0
154	469	146	460	0,00001	12,31370	12,31371	5	0
164	463	153	465	-0,00003	14,07110	14,07107	15	0
180	436	166	436	0,00000	14,00000	14,00000	8	0
192	435	195	446	0,00004	12,24260	12,24264	7	0
194	438	206	446	0,00001	15,31370	15,31371	6	0
200	395	215	395	0,00003	15,82840	15,82843	6	0
203	397	212	386	0,00002	14,72790	14,72792	9	0
207	246	194	245	0,00001	13,41420	13,41421	7	0
207	250	214	263	-0,00001	15,89950	15,89949	10	0
149	467	144	451	-0,00003	18,07110	18,07107	8	0
193	242	210	249	-0,00001	19,89950	19,89949	13	0
196	395	204	408	0,00001	16,31370	16,31371	8	0
198	398	214	394	-0,00005	17,65690	17,65685	5	0
201	388	217	386	0,00003	16,82840	16,82843	5	0
204	446	188	437	0,00002	19,72790	19,72792	8	0
205	403	212	386	-0,00001	19,89950	19,89949	15	0
207	586	226	586	0,00000	19,00000	19,00000	4	0
208	442	215	426	0,00002	19,72790	19,72792	7	0
208	579	221	569	0,00004	17,14210	17,14214	7	0
143	449	160	438	0,00005	21,55630	21,55635	8	0
144	453	156	470	-0,00004	21,97060	21,97056	11	0
153	471	142	454	0,00005	21,55630	21,55635	8	0
172	438	151	440	0,00003	21,82840	21,82843	9	0
197	444	217	443	0,00001	20,41420	20,41421	5	0
201	446	214	431	-0,00002	20,38480	20,38478	6	0
202	439	222	433	-0,00002	22,48530	22,48528	10	0
205	252	186	242	0,00004	23,14210	23,14214	22	0
205	575	224	587	-0,00004	23,97060	23,97056	7	0
205	578	217	596	-0,00004	22,97060	22,97056	6	0
178	464	155	468	-0,00005	24,65690	24,65685	14	0
194	396	218	388	0,00001	27,31370	27,31371	8	0
195	441	218	430	0,00005	27,55630	27,55635	12	0
199	438	224	432	-0,00002	27,48530	27,48528	12	0
201	404	222	418	0,00002	27,62740	27,62742	18	1
202	574	226	581	-0,00001	26,89950	26,89949	10	0
203	253	224	245	-0,00001	24,89950	24,89949	15	0
204	391	228	388	0,00004	25,24260	25,24264	7	0
