type: dao
name: lak201d
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
100	101	101	102	0,00000	1,41421	1,41421	9	0
100	52	101	53	0,00000	1,41421	1,41421	9	0
100	53	100	51	0,00000	2,00000	2,00000	16	0
102	104	103	103	0,00000	1,41421	1,41421	9	0
102	45	102	44	0,00000	1,00000	1,00000	9	0
103	35	102	33	0,00000	2,41421	2,41421	16	0
103	99	105	100	0,00000	2,41421	2,41421	16	0
105	137	104	140	0,00000	3,41421	3,41421	19	0
105	54	105	52	0,00000	2,00000	2,00000	10	0
106	43	107	43	0,00000	1,00000	1,00000	8	0
100	104	105	100	0,00000	6,65685	6,65685	43	0
100	45	94	49	0,00000	7,65685	7,65685	53	0
100	94	97	100	0,00000	7,24264	7,24264	34	0
101	50	96	55	-0,00000	7,07107	7,07107	37	0
102	36	98	38	-0,00000	4,82843	4,82843	34	0
102	47	104	43	-0,00000	4,82843	4,82843	33	0
102	98	100	102	-0,00000	4,82843	4,82843	33	0
103	101	98	102	0,00000	5,41421	5,41421	37	0
103	36	98	35	0,00000	5,41421	5,41421	37	0
103	44	104	51	0,00000	7,41421	7,41421	51	0
10	86	18	87	0,00000	8,41421	8,41421	58	0
100	51	105	43	-0,00003	10,07110	10,07107	82	0
101	33	96	42	-0,00003	11,07110	11,07107	90	0
101	51	107	42	-0,00002	11,48530	11,48528	85	0
101	56	104	46	0,00004	11,24260	11,24264	96	0
102	50	97	58	-0,00003	10,07110	10,07107	78	0
102	95	94	102	-0,00001	10,89950	10,89949	68	0
102	99	95	108	-0,00001	11,89950	11,89949	91	0
103	31	107	39	0,00004	10,24260	10,24264	76	0
103	47	110	40	-0,00002	10,48530	10,48528	64	0
1	93	13	93	0,00000	12,00000	12,00000	75	0
10	83	21	92	0,00002	14,72790	14,72792	123	0
10	85	10	98	0,00000	13,00000	13,00000	85	0
10	88	22	83	-0,00003	14,07110	14,07107	127	0
100	103	89	100	0,00004	12,24260	12,24264	110	0
100	29	105	42	-0,00003	15,07110	15,07107	143	0
100	42	107	30	-0,00001	14,89950	14,89949	118	0
100	51	89	45	-0,00002	13,48530	13,48528	127	0
101	43	105	55	-0,00005	13,65690	13,65685	123	1
101	99	88	106	-0,00001	15,89950	15,89949	159	0
10	105	13	87	0,00004	19,24260	19,24264	173	0
10	87	26	80	-0,00001	18,89950	18,89949	195	0
10	99	15	82	-0,00003	19,07110	19,07107	193	0
100	45	106	31	-0,00002	16,48530	16,48528	161	0
100	99	116	101	0,00001	19,31370	19,31371	165	0
101	43	114	36	-0,00003	17,07110	17,07107	150	0
101	48	114	37	0,00004	18,14210	18,14214	123	0
101	52	100	34	0,00001	18,41420	18,41421	128	0
102	42	115	48	0,00004	17,24260	17,24264	162	0
102	52	102	35	0,00000	17,00000	17,00000	121	0
1	110	19	96	-0,00001	23,79900	23,79899	202	0
1	88	23	85	0,00004	23,24260	23,24264	198	0
10	104	32	103	0,00001	22,41420	22,41421	156	0
10	85	29	88	0,00004	20,24260	20,24264	200	0
10	86	28	98	-0,00004	22,97060	22,97056	238	0
10	87	25	100	-0,00002	20,38480	20,38478	166	0
10	87	30	88	0,00001	20,41420	20,41421	142	0
10	88	27	79	0,00002	20,72790	20,72792	230	0
10	93	28	79	-0,00001	23,79900	23,79899	222	1
10	93	5	111	-0,00003	20,07110	20,07107	198	0
1	90	24	81	0,00002	26,72790	26,72792	269	0
1	92	22	77	0,00000	27,21320	27,21320	259	0
1	94	20	75	-0,00004	26,87010	26,87006	129	0
10	79	30	93	-0,00001	25,79900	25,79899	277	0
10	81	16	105	-0,00002	26,48530	26,48528	308	0
10	88	37	90	0,00003	27,82840	27,82843	261	1
10	89	34	86	0,00004	25,24260	25,24264	254	0
100	106	119	92	0,00004	27,14210	27,14214	239	0
100	43	124	43	0,00003	24,82840	24,82843	168	0
100	44	121	48	0,00001	24,31370	24,31371	244	0
1	89	31	88	0,00001	30,41420	30,41421	198	0
1	94	30	101	-0,00001	31,89950	31,89949	340	0
10	85	37	82	0,00004	28,24260	28,24264	291	1
10	86	33	102	0,00002	29,62740	29,62742	347	0
10	87	35	98	0,00005	29,55630	29,55635	396	0
100	52	119	51	-0,00001	29,79900	29,79899	393	0
101	42	127	37	-0,00003	28,07110	28,07107	260	0
101	43	126	49	0,00001	28,31370	28,31371	296	1
102	30	121	45	0,00004	28,14210	28,14214	233	0
102	54	118	32	-0,00002	30,38480	30,38478	249	0
10	90	41	87	0,00004	32,24260	32,24264	323	0
10	91	43	87	-0,00005	34,65690	34,65685	390	0
10	99	43	105	-0,00002	35,48530	35,48528	404	1
100	29	120	52	0,00003	33,04160	33,04163	257	0
100	29	126	39	0,00001	33,31370	33,31371	248	0
100	43	133	37	-0,00002	35,48530	35,48528	368	0
101	47	129	51	-0,00001	33,79900	33,79899	385	0
101	47	130	38	0,00002	32,72790	32,72792	319	0
101	97	130	98	0,00005	35,55630	35,55635	336	0
102	30	128	42	-0,00001	33,89950	33,89949	272	0
1	93	34	85	0,00001	36,31370	36,31371	442	0
10	103	34	116	-0,00005	38,65690	38,65685	536	1
10	103	49	104	0,00001	39,41420	39,41421	275	0
10	76	43	86	0,00004	37,14210	37,14214	485	0
10	95	46	99	-0,00005	37,65690	37,65685	403	1
10	98	34	71	0,00003	36,94110	36,94113	333	0
100	100	66	102	-0,00002	36,48530	36,48528	379	0
100	101	63	107	-0,00002	39,48530	39,48528	388	0
100	95	132	104	-0,00002	37,48530	37,48528	253	0
100	95	132	98	-0,00004	39,97060	39,97056	372	1
1	72	25	103	0,00003	40,94110	40,94113	432	0
10	105	43	79	-0,00005	43,76960	43,76955	489	0
10	96	49	90	-0,00002	41,48530	41,48528	524	1
100	101	138	100	-0,00001	40,89950	40,89949	411	0
100	104	72	88	0,00003	42,82840	42,82843	483	0
100	32	136	46	-0,00002	42,38480	42,38478	450	1
100	32	137	37	0,00004	42,14210	42,14214	410	0
100	34	135	53	-0,00004	42,87010	42,87006	492	0
100	34	139	36	0,00004	43,14210	43,14214	456	1
100	36	137	31	-0,00002	42,38480	42,38478	519	0
1	72	37	97	0,00004	46,35530	46,35534	562	0
1	90	34	111	0,00000	45,21320	45,21320	632	1
10	105	45	75	0,00001	47,42640	47,42641	473	1
10	105	46	78	-0,00003	47,18380	47,18377	572	0
10	79	55	72	-0,00001	47,89950	47,89949	522	1
10	91	49	105	-0,00001	44,79900	44,79899	698	1
10	98	45	75	0,00001	44,52690	44,52691	630	1
100	100	144	107	-0,00001	46,89950	46,89949	429	0
100	43	143	48	-0,00001	45,89950	45,89949	527	1
101	106	147	110	-0,00005	47,65690	47,65685	322	0
10	100	48	123	0,00002	51,62740	51,62742	613	1
100	39	133	14	-0,00001	51,79900	51,79899	671	1
100	50	145	42	-0,00001	48,89950	48,89949	382	0
100	94	73	123	0,00005	49,55630	49,55635	437	1
100	96	63	122	-0,00002	50,69850	50,69848	497	1
101	46	148	44	-0,00002	49,48530	49,48528	455	0
101	47	146	39	0,00001	48,31370	48,31371	468	0
101	51	143	35	-0,00002	50,38480	50,38478	610	1
101	61	130	29	-0,00004	49,87010	49,87006	488	1
101	94	66	122	-0,00004	51,87010	51,87006	516	1
1	74	53	74	0,00003	52,82840	52,82843	311	0
10	105	58	92	-0,00002	53,38480	53,38478	750	1
10	98	55	72	-0,00005	55,76960	55,76955	912	1
100	100	56	86	-0,00003	54,28430	54,28427	569	1
100	105	52	92	-0,00001	54,79900	54,79899	609	1
100	31	147	43	0,00004	53,14210	53,14214	520	1
100	42	152	37	-0,00003	54,07110	54,07107	606	0
100	50	130	18	0,00004	53,35530	53,35534	829	1
100	57	144	42	-0,00001	54,89950	54,89949	479	0
100	99	153	106	-0,00001	55,89950	55,89949	514	0
1	90	42	117	-0,00003	56,28430	56,28427	819	2
1	92	55	79	-0,00002	59,38480	59,38478	992	1
1	94	33	122	0,00002	56,62740	56,62742	826	2
10	100	65	90	0,00004	59,14210	59,14214	917	1
100	107	51	122	0,00003	56,04160	56,04163	500	0
100	44	125	14	0,00004	56,35530	56,35534	977	2
100	44	129	12	-0,00002	56,69850	56,69848	926	1
100	54	148	46	0,00005	57,55630	57,55635	689	1
100	55	134	19	0,00001	56,52690	56,52691	722	1
100	97	49	118	-0,00002	59,69850	59,69848	620	1
1	108	50	79	-0,00001	61,01220	61,01219	939	2
1	71	35	116	-0,00003	60,49750	60,49747	865	1
10	103	63	94	-0,00002	60,38480	60,38478	1107	2
10	77	48	123	-0,00003	63,49750	63,49747	946	1
10	85	70	87	-0,00002	62,48530	62,48528	845	1
10	91	36	138	0,00002	63,62740	63,62742	868	1
10	91	57	122	0,00003	63,94110	63,94113	1106	2
10	91	64	100	0,00003	61,82840	61,82843	1340	2
100	103	67	136	0,00004	60,14210	60,14214	629	1
100	106	54	79	-0,00003	61,28430	61,28427	705	1
10	100	66	116	0,00005	67,55630	67,55635	1091	2
10	101	70	97	0,00002	66,62740	66,62742	1167	2
10	78	49	125	0,00000	64,32590	64,32590	875	1
10	97	60	121	0,00003	64,04160	64,04163	1087	2
10	97	70	95	0,00004	64,14210	64,14214	1102	1
100	106	43	100	0,00001	67,52690	67,52691	905	2
100	35	123	5	-0,00003	67,18380	67,18377	1106	1
100	36	163	35	0,00001	67,31370	67,31371	899	2
100	94	54	101	0,00001	65,52690	65,52691	835	1
100	98	163	110	-0,00004	67,97060	67,97056	628	1
1	90	70	89	0,00001	69,41420	69,41421	464	0
1	91	54	121	0,00001	69,52690	69,52691	1127	2
10	94	63	122	-0,00002	68,69850	68,69848	1248	2
100	101	41	126	0,00004	69,35530	69,35534	805	1
100	101	61	143	0,00004	70,45580	70,45584	798	1
100	103	40	83	-0,00002	69,69850	69,69848	832	14
100	105	38	84	-0,00003	71,28430	71,28427	862	1
100	38	160	30	-0,00005	71,65690	71,65685	1436	3
100	50	128	4	-0,00003	68,18380	68,18377	1181	2
100	57	131	6	0,00003	71,94110	71,94113	1110	2
1	93	56	125	0,00004	72,35530	72,35534	1121	2
10	100	22	145	-0,00003	73,28430	73,28427	1038	2
10	78	63	109	-0,00001	75,79900	75,79899	1977	5
10	93	71	116	0,00004	75,45580	75,45584	1487	2
10	94	66	124	0,00001	72,52690	72,52691	1347	2
