type: dao
name: lak403d
algorithm: jps
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
177	263	176	262	0,00000	1,41421	1,41421	4	11
181	254	181	255	0,00000	1,00000	1,00000	3	0
181	257	179	258	0,00000	2,41421	2,41421	6	1
186	265	183	263	-0,00000	3,82843	3,82843	6	0
189	248	192	246	-0,00000	3,82843	3,82843	4	0
190	268	187	266	-0,00000	3,82843	3,82843	5	0
195	280	197	278	-0,00000	2,82843	2,82843	4	0
202	282	202	283	0,00000	1,00000	1,00000	5	1
203	282	202	281	0,00000	1,41421	1,41421	4	0
206	291	208	290	0,00000	2,41421	2,41421	6	1
180	252	173	252	0,00000	7,00000	7,00000	5	0
181	269	184	264	0,00000	6,24264	6,24264	6	0
182	262	177	264	-0,00000	5,82843	5,82843	6	1
187	269	194	268	0,00000	7,41421	7,41421	5	0
190	249	186	246	0,00000	5,24264	5,24264	5	0
190	272	190	268	0,00000	4,00000	4,00000	4	1
191	277	197	275	-0,00000	6,82843	6,82843	5	0
192	273	198	274	0,00000	6,41421	6,41421	5	0
194	288	198	288	0,00000	4,00000	4,00000	5	1
195	281	201	281	0,00000	6,00000	6,00000	4	0
178	262	178	254	0,00000	8,00000	8,00000	5	1
178	266	185	271	-0,00000	9,07107	9,07107	7	0
185	252	178	257	-0,00000	9,07107	9,07107	5	0
187	277	198	278	0,00001	11,41420	11,41421	5	1
188	256	183	250	0,00000	8,65685	8,65685	9	0
188	258	183	250	-0,00003	10,07110	10,07107	8	0
189	271	195	277	0,00000	8,48528	8,48528	3	0
191	271	185	264	0,00000	9,48528	9,48528	7	1
194	288	190	280	0,00000	9,65685	9,65685	7	0
197	272	196	280	0,00000	8,41421	8,41421	5	0
177	247	189	249	0,00004	14,24260	14,24264	11	1
183	253	186	265	0,00004	13,24260	13,24264	5	0
185	252	174	248	-0,00005	12,65690	12,65685	7	0
186	274	197	284	0,00004	15,14210	15,14214	8	1
186	275	187	261	0,00001	14,41420	14,41421	6	0
188	248	183	259	-0,00003	13,07110	13,07107	7	0
189	259	196	272	-0,00001	15,89950	15,89949	13	1
193	274	201	284	0,00001	13,31370	13,31371	9	1
195	276	190	266	-0,00003	12,07110	12,07107	5	0
196	292	201	279	-0,00003	15,07110	15,07107	7	0
174	260	178	245	-0,00005	16,65690	16,65685	9	1
177	244	187	253	-0,00003	16,07110	16,07107	11	0
180	267	194	272	-0,00003	16,07110	16,07107	6	0
182	264	175	247	-0,00001	19,89950	19,89949	8	1
182	272	199	277	-0,00003	19,07110	19,07107	8	0
184	252	181	270	0,00004	19,24260	19,24264	5	0
187	263	188	247	0,00004	17,24260	17,24264	8	1
189	249	188	266	-0,00003	19,07110	19,07107	10	0
190	266	195	282	-0,00003	18,07110	18,07107	5	0
190	278	201	292	0,00005	18,55630	18,55635	10	0
178	264	194	274	0,00004	20,14210	20,14214	6	0
178	265	195	276	0,00005	21,55630	21,55635	6	1
183	260	193	277	0,00004	21,14210	21,14214	6	0
184	255	196	271	-0,00004	20,97060	20,97056	12	1
189	261	197	279	0,00001	21,31370	21,31371	10	1
195	289	212	300	0,00005	21,55630	21,55635	11	0
195	289	212	301	-0,00004	21,97060	21,97056	13	0
196	269	198	289	0,00003	20,82840	20,82843	8	1
196	278	202	299	-0,00002	23,48530	23,48528	9	0
196	290	214	304	-0,00001	23,79900	23,79899	12	0
174	257	192	273	0,00002	24,62740	24,62742	7	0
182	269	202	281	-0,00004	24,97060	24,97056	6	0
186	253	195	276	0,00002	26,72790	26,72792	16	1
187	263	198	284	0,00005	25,55630	25,55635	5	0
188	256	188	281	0,00000	25,00000	25,00000	5	0
188	277	185	251	0,00004	27,24260	27,24264	8	1
188	278	205	298	0,00003	27,04160	27,04163	11	0
190	278	184	254	-0,00002	26,48530	26,48528	7	1
192	278	215	289	0,00005	27,55630	27,55635	11	1
193	267	191	246	-0,00004	25,97060	25,97056	8	0
175	246	194	270	-0,00004	31,87010	31,87006	13	1
177	259	196	280	-0,00004	28,87010	28,87006	5	0
187	273	212	289	0,00002	31,62740	31,62742	11	0
191	246	182	272	0,00002	29,72790	29,72792	9	1
191	266	197	295	-0,00002	31,48530	31,48528	5	0
192	264	203	290	0,00005	30,55630	30,55635	19	1
194	291	217	304	-0,00002	28,38480	28,38478	14	1
197	289	226	286	0,00004	30,24260	30,24264	13	0
197	293	186	268	0,00005	29,55630	29,55635	15	0
198	279	221	285	-0,00002	29,38480	29,38478	18	1
178	256	196	283	0,00004	34,45580	34,45584	5	1
180	257	194	284	-0,00001	32,79900	32,79899	5	0
191	273	215	294	-0,00002	32,69850	32,69848	12	1
193	280	188	252	0,00001	32,31370	32,31371	10	0
197	292	226	308	0,00002	35,62740	35,62742	12	0
198	284	174	260	0,00001	34,52690	34,52691	12	1
199	283	228	295	-0,00004	33,97060	33,97056	15	1
200	292	224	315	0,00001	33,52690	33,52691	19	1
202	287	225	312	0,00001	34,52690	34,52691	17	1
202	304	233	300	-0,00005	32,65690	32,65685	10	1
180	252	192	287	-0,00004	39,97060	39,97056	6	0
182	263	209	290	-0,00005	38,76960	38,76955	14	1
183	268	196	298	0,00002	37,62740	37,62742	10	0
189	248	190	285	-0,00001	39,89950	39,89949	11	0
191	279	191	247	0,00004	36,14210	36,14214	8	1
191	284	225	291	-0,00001	36,89950	36,89949	13	0
191	285	223	295	0,00004	36,14210	36,14214	13	1
192	246	200	277	-0,00004	39,87010	39,87006	26	1
192	279	220	305	-0,00005	38,76960	38,76955	15	0
194	275	218	303	0,00003	37,94110	37,94113	16	0
180	262	203	293	0,00001	40,52690	40,52691	10	1
186	270	217	299	-0,00001	43,01220	43,01219	14	1
