type: dao
name: lak512d
algorithm: jpsplus
preprossessing [ms]: 199

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
10	39	131	381	TRUE	No	Path	Exists	2
10	39	136	358	TRUE	No	Path	Exists	3
10	44	265	70	TRUE	No	Path	Exists	2
10	48	131	388	TRUE	No	Path	Exists	4
100	122	289	75	TRUE	No	Path	Exists	2
100	123	268	90	TRUE	No	Path	Exists	1
100	123	281	89	TRUE	No	Path	Exists	2
100	124	143	74	TRUE	No	Path	Exists	1
100	126	128	382	TRUE	No	Path	Exists	1
100	136	131	385	TRUE	No	Path	Exists	1
103	152	109	151	0,00000	6,41421	6,41421	8	0
103	165	101	170	-0,00000	5,82843	5,82843	9	0
104	117	100	121	0,00000	5,65685	5,65685	11	0
104	136	109	137	0,00000	5,41421	5,41421	7	0
105	158	109	152	0,00000	7,65685	7,65685	8	0
106	158	112	158	0,00000	6,00000	6,00000	6	0
106	160	104	156	-0,00000	4,82843	4,82843	9	0
106	178	106	173	0,00000	5,00000	5,00000	6	0
106	394	103	389	0,00000	6,24264	6,24264	11	0
107	163	108	169	0,00000	6,41421	6,41421	7	0
100	167	108	174	-0,00001	10,89950	10,89949	9	0
100	168	109	164	-0,00005	10,65690	10,65685	10	0
101	123	92	117	-0,00002	11,48530	11,48528	15	0
101	126	109	131	-0,00003	10,07110	10,07107	10	0
101	133	100	143	0,00001	10,41420	10,41421	8	0
101	203	107	197	0,00000	8,48528	8,48528	14	0
101	204	92	202	-0,00000	9,82843	9,82843	7	0
102	126	102	135	0,00000	9,00000	9,00000	6	0
102	155	110	147	0,00001	11,31370	11,31371	10	0
103	136	112	141	-0,00003	11,07110	11,07107	8	0
100	125	87	129	-0,00005	14,65690	14,65685	12	0
100	170	105	157	-0,00003	15,07110	15,07107	12	0
100	401	105	388	-0,00003	15,07110	15,07107	12	0
101	130	92	124	-0,00003	12,07110	12,07107	13	0
101	162	95	149	-0,00002	15,48530	15,48528	9	0
101	381	107	392	-0,00002	13,48530	13,48528	12	0
102	151	106	137	-0,00005	15,65690	15,65685	14	0
102	157	111	169	0,00002	15,72790	15,72792	11	0
102	179	108	191	-0,00002	14,48530	14,48528	10	0
104	208	94	199	0,00002	13,72790	13,72792	13	0
100	383	86	373	0,00004	18,14210	18,14214	8	0
101	126	105	144	-0,00005	19,65690	19,65685	11	0
101	207	101	191	0,00000	16,00000	16,00000	6	0
101	209	117	204	-0,00003	18,07110	18,07107	14	0
102	130	85	123	-0,00001	19,89950	19,89949	18	0
102	139	121	137	0,00003	19,82840	19,82843	10	0
102	145	106	129	-0,00005	17,65690	17,65685	14	0
102	160	86	154	-0,00002	18,48530	18,48528	11	0
102	167	111	180	0,00002	16,72790	16,72792	10	0
102	378	107	393	-0,00003	17,07110	17,07107	13	0
100	138	97	159	-0,00003	23,07110	23,07107	12	0
100	141	108	124	0,00001	20,31370	20,31371	13	0
100	176	99	156	-0,00003	22,07110	22,07107	13	0
101	142	104	121	0,00004	22,24260	22,24264	11	0
101	144	95	123	-0,00002	23,48530	23,48528	16	1
101	150	116	135	0,00000	21,21320	21,21320	14	0
101	388	120	381	-0,00001	21,89950	21,89949	12	0
101	393	106	375	-0,00003	20,07110	20,07107	12	0
102	130	80	128	0,00003	22,82840	22,82843	12	0
102	200	85	208	0,00001	20,31370	20,31371	13	0
100	171	112	191	-0,00004	24,97060	24,97056	12	0
100	192	114	171	-0,00001	26,79900	26,79899	19	0
101	144	93	125	-0,00005	24,65690	24,65685	16	0
101	197	87	216	-0,00001	24,79900	24,79899	11	0
102	153	122	135	0,00004	27,45580	27,45584	15	0
102	178	95	153	-0,00001	27,89950	27,89949	15	0
102	184	111	162	0,00002	25,72790	25,72792	17	0
