type: dao
name: lgt604d
algorithm: jps
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
100	100	102	97	-0,00000	3,82843	3,82843	6	1
100	87	102	90	-0,00000	3,82843	3,82843	8	0
100	90	101	89	0,00000	1,41421	1,41421	4	0
100	95	102	96	0,00000	2,41421	2,41421	6	0
101	83	99	86	-0,00000	3,82843	3,82843	7	0
102	118	101	117	0,00000	1,41421	1,41421	3	0
102	151	100	153	-0,00000	2,82843	2,82843	5	0
102	92	101	89	0,00000	3,41421	3,41421	6	0
103	108	100	106	-0,00000	3,82843	3,82843	6	0
104	154	107	152	-0,00000	3,82843	3,82843	7	0
100	102	104	98	0,00000	5,65685	5,65685	6	0
100	88	98	84	-0,00000	4,82843	4,82843	6	1
100	89	103	83	0,00000	7,24264	7,24264	6	0
101	149	97	155	0,00000	7,65685	7,65685	8	0
101	82	96	86	0,00000	6,65685	6,65685	7	0
101	83	106	86	0,00000	6,24264	6,24264	7	0
101	89	99	95	-0,00000	6,82843	6,82843	7	0
101	91	105	94	0,00000	5,24264	5,24264	7	0
102	100	104	93	-0,00000	7,82843	7,82843	6	0
102	101	102	106	0,00000	5,00000	5,00000	6	0
100	103	101	112	0,00000	9,41421	9,41421	6	0
100	104	91	102	-0,00000	9,82843	9,82843	6	0
100	109	100	99	0,00000	10,00000	10,00000	5	0
100	112	104	103	-0,00005	10,65690	10,65685	8	0
100	118	100	109	0,00000	9,00000	9,00000	4	0
100	149	110	151	0,00003	10,82840	10,82843	7	0
100	150	92	151	0,00000	8,41421	8,41421	7	0
100	158	93	153	-0,00000	9,07107	9,07107	7	0
100	91	106	96	-0,00000	8,07107	8,07107	8	0
100	91	97	81	0,00004	11,24260	11,24264	6	0
10	238	22	230	0,00001	15,31370	15,31371	7	0
100	108	87	111	0,00004	14,24260	14,24264	6	0
100	114	91	125	0,00002	14,72790	14,72792	6	1
100	156	115	157	0,00001	15,41420	15,41421	7	0
100	158	113	151	-0,00001	15,89950	15,89949	9	0
100	80	104	92	-0,00005	13,65690	13,65685	9	0
100	82	111	76	-0,00002	13,48530	13,48528	6	0
101	79	114	78	0,00001	13,41420	13,41421	7	0
101	83	98	95	0,00004	13,24260	13,24264	7	0
101	88	92	100	0,00002	15,72790	15,72792	7	0
100	101	89	89	0,00005	16,55630	16,55635	7	0
100	102	100	121	0,00000	19,00000	19,00000	5	0
100	103	82	102	0,00001	18,41420	18,41421	6	0
100	107	86	114	-0,00001	16,89950	16,89949	6	0
100	108	115	104	-0,00005	16,65690	16,65685	8	1
100	108	115	97	0,00005	19,55630	19,55635	9	0
100	110	114	115	-0,00005	16,65690	16,65685	11	0
100	113	85	117	-0,00005	16,65690	16,65685	6	0
100	117	86	122	-0,00003	16,07110	16,07107	5	0
100	117	93	100	-0,00001	19,89950	19,89949	7	0
100	101	87	119	-0,00002	23,38480	23,38478	7	0
100	103	92	84	0,00001	22,31370	22,31371	6	0
100	106	88	90	-0,00004	20,97060	20,97056	6	0
100	109	120	108	0,00001	20,41420	20,41421	6	0
100	110	89	92	0,00005	22,55630	22,55635	7	0
100	113	87	97	-0,00002	21,38480	21,38478	6	0
100	114	107	93	-0,00001	23,89950	23,89949	8	1
100	115	92	98	0,00001	20,31370	20,31371	8	0
100	118	87	102	-0,00002	21,38480	21,38478	5	0
100	86	81	98	-0,00004	23,97060	23,97056	6	0
100	109	77	114	-0,00003	25,07110	25,07107	6	0
100	110	126	109	0,00001	26,41420	26,41421	8	0
100	118	108	94	0,00001	27,31370	27,31371	9	0
100	118	91	95	0,00002	26,72790	26,72792	7	0
100	120	108	97	0,00001	26,31370	26,31371	9	0
100	150	80	137	-0,00004	25,97060	25,97056	9	0
100	157	77	151	-0,00002	25,48530	25,48528	10	0
100	83	91	106	0,00002	26,72790	26,72792	8	0
100	84	124	78	-0,00002	26,48530	26,48528	8	1
100	86	121	98	-0,00004	25,97060	25,97056	8	0
100	103	85	127	0,00000	30,21320	30,21320	10	0
100	105	109	79	0,00002	29,72790	29,72792	11	0
100	110	82	134	0,00004	31,45580	31,45584	10	0
100	116	117	94	0,00003	29,04160	29,04163	12	0
100	116	123	104	0,00004	29,14210	29,14214	10	0
100	116	124	113	-0,00001	28,89950	28,89949	11	1
100	121	76	139	0,00004	31,45580	31,45584	16	0
100	80	105	108	-0,00003	30,07110	30,07107	9	0
100	84	85	107	0,00000	29,21320	29,21320	10	0
100	86	124	100	-0,00001	29,79900	29,79899	10	0
100	101	125	79	-0,00000	34,11270	34,11270	8	0
100	103	128	118	0,00000	34,21320	34,21320	16	0
100	109	84	138	0,00002	35,62740	35,62742	10	1
100	119	126	109	-0,00003	33,07110	33,07107	10	0
100	82	133	77	-0,00003	35,07110	35,07107	8	0
100	85	129	98	-0,00002	34,38480	34,38478	8	0
100	86	126	64	-0,00000	35,11270	35,11270	6	0
100	88	78	112	-0,00000	33,11270	33,11270	8	0
100	91	125	115	0,00003	34,94110	34,94113	12	0
100	91	130	99	0,00001	33,31370	33,31371	10	0
100	109	134	118	0,00002	37,72790	37,72792	13	1
100	110	119	78	-0,00004	39,87010	39,87006	11	0
100	114	130	92	-0,00000	39,11270	39,11270	13	0
100	115	131	104	0,00004	36,14210	36,14214	12	0
100	115	71	140	0,00004	39,35530	39,35534	8	0
100	115	75	143	0,00004	38,35530	38,35534	8	0
100	117	127	91	0,00001	39,52690	39,52691	12	0
100	157	71	139	0,00004	36,45580	36,45584	13	0
100	80	127	107	-0,00003	38,18380	38,18377	10	0
100	90	137	91	0,00001	37,41420	37,41421	7	0
100	106	84	141	0,00002	41,62740	41,62742	11	0
100	110	118	75	0,00004	42,45580	42,45584	11	0
100	112	137	100	-0,00004	41,97060	41,97056	12	0
100	114	131	90	0,00003	40,94110	40,94113	13	0
100	115	135	95	-0,00004	43,87010	43,87006	15	1
100	119	133	100	-0,00001	43,79900	43,79899	12	0
100	121	111	83	0,00005	42,55630	42,55635	10	0
100	149	138	155	-0,00002	40,48530	40,48528	9	0
100	150	78	123	-0,00001	40,79900	40,79899	11	0
100	153	66	132	-0,00002	42,69850	42,69848	10	0
100	107	88	145	0,00002	44,62740	44,62742	13	0
100	109	125	72	0,00004	47,35530	47,35534	11	0
100	110	70	142	0,00001	44,42640	44,42641	9	0
100	110	87	150	0,00000	46,21320	46,21320	12	1
100	116	140	111	-0,00003	44,07110	44,07107	10	0
100	119	133	93	-0,00002	46,69850	46,69848	13	0
100	121	69	152	-0,00005	46,76960	46,76955	17	0
100	121	87	158	0,00004	46,14210	46,14214	19	0
100	151	85	117	0,00001	44,31370	44,31371	12	0
100	154	67	186	0,00003	46,25480	46,25483	7	0
100	100	135	67	0,00005	48,66900	48,66905	7	0
100	109	133	73	0,00005	49,66900	49,66905	9	1
100	111	139	83	-0,00002	50,59800	50,59798	13	0
100	111	94	150	-0,00003	49,28430	49,28427	18	0
100	119	68	155	-0,00001	51,01220	51,01219	14	0
100	153	147	143	0,00004	51,14210	51,14214	21	0
100	156	59	178	-0,00000	50,11270	50,11270	11	0
100	157	63	188	0,00002	49,84060	49,84062	13	0
100	82	129	118	-0,00001	48,01220	48,01219	11	1
100	93	139	63	0,00001	51,42640	51,42641	8	0
100	101	141	65	-0,00001	55,91170	55,91169	10	0
100	101	68	142	0,00003	54,25480	54,25483	11	0
100	107	84	154	0,00002	53,62740	53,62742	14	0
100	112	95	156	0,00001	53,52690	53,52691	20	0
100	114	143	84	0,00001	55,42640	55,42641	13	0
100	150	60	179	-0,00001	52,01220	52,01219	8	1
100	156	82	112	0,00002	52,62740	52,62742	15	0
100	83	153	78	-0,00003	55,07110	55,07107	8	0
100	93	154	97	-0,00005	55,65690	55,65685	8	0
100	99	147	82	0,00003	54,04160	54,04163	11	0
100	121	138	80	-0,00004	59,08330	59,08326	13	0
100	121	145	97	0,00003	59,04160	59,04163	18	0
100	96	72	143	-0,00002	58,59800	58,59798	11	1
100	96	76	145	0,00003	58,94110	58,94113	11	0
101	109	100	151	-0,00000	58,11270	58,11270	24	0
101	109	100	154	0,00004	59,35530	59,35534	22	0
101	109	81	158	-0,00003	57,28430	57,28427	13	0
101	111	88	160	0,00003	56,04160	56,04163	14	0
101	112	148	84	-0,00002	58,59800	58,59798	12	1
101	115	75	164	-0,00005	59,76960	59,76955	12	0
100	103	150	70	0,00005	63,66900	63,66905	11	0
100	106	99	157	-0,00003	62,18380	62,18377	21	0
100	112	144	69	-0,00002	61,81120	61,81118	11	0
100	114	76	167	0,00003	62,94110	62,94113	14	0
100	115	112	151	-0,00002	63,69850	63,69848	31	1
100	121	122	69	-0,00000	61,11270	61,11270	15	0
100	150	158	138	-0,00004	62,97060	62,97056	26	0
100	84	81	137	-0,00004	60,87010	60,87006	10	0
100	95	152	71	0,00003	61,94110	61,94113	9	0
100	95	71	146	-0,00001	63,01220	63,01219	11	0
100	100	92	157	-0,00003	65,28430	65,28427	20	1
100	102	80	161	-0,00003	67,28430	67,28427	15	0
100	103	154	75	-0,00002	65,59800	65,59798	11	0
100	106	159	113	-0,00001	67,79900	67,79899	26	0
100	107	78	162	-0,00000	64,11270	64,11270	14	0
100	111	147	66	0,00001	65,63960	65,63961	11	0
100	116	157	105	0,00003	66,04160	66,04163	19	1
100	118	144	70	-0,00000	66,22540	66,22540	11	0
100	121	153	105	0,00002	67,62740	67,62742	25	0
100	152	85	96	0,00002	65,72790	65,72792	12	0
100	100	166	93	-0,00001	68,89950	68,89949	11	0
100	109	157	79	0,00001	69,42640	69,42641	12	0
100	113	164	108	-0,00004	71,87010	71,87006	20	0
100	120	121	154	-0,00003	71,28430	71,28427	39	0
100	153	112	104	0,00005	69,66900	69,66905	25	0
100	84	163	104	-0,00003	71,28430	71,28427	15	0
100	85	87	147	0,00000	68,21320	68,21320	12	0
100	86	169	84	0,00003	69,82840	69,82843	8	1
100	92	75	152	0,00004	70,35530	70,35534	11	0
100	96	68	152	0,00003	69,25480	69,25483	14	0
100	103	110	154	0,00003	74,94110	74,94113	34	0
100	107	159	68	0,00003	75,15430	75,15433	12	0
100	115	159	77	0,00000	75,32590	75,32590	17	1
100	121	153	81	0,00005	73,66900	73,66905	16	0
100	152	86	87	0,00001	74,31370	74,31371	11	0
100	154	90	90	-0,00001	73,79900	73,79899	18	0
100	81	167	99	0,00004	74,45580	74,45584	12	0
100	92	83	160	0,00003	75,04160	75,04163	15	0
100	92	88	158	0,00002	72,62740	72,62742	16	1
100	95	85	161	0,00000	72,21320	72,21320	14	0
100	105	165	75	0,00001	77,42640	77,42641	13	0
100	105	170	87	0,00004	77,45580	77,45584	16	0
100	105	171	84	-0,00002	79,69850	79,69848	14	0
100	110	122	148	-0,00000	79,11270	79,11270	33	1
100	113	69	178	0,00002	77,84060	77,84062	14	0
100	119	166	108	-0,00003	79,28430	79,28427	22	0
100	154	161	122	0,00001	79,52690	79,52691	38	0
100	154	95	87	-0,00004	78,87010	78,87006	19	0
100	155	172	143	-0,00004	76,97060	76,97056	26	0
100	158	50	212	0,00004	76,46800	76,46804	12	0
100	102	119	150	-0,00003	83,28430	83,28427	32	0
100	150	123	122	-0,00001	81,91170	81,91169	41	0
100	153	176	135	0,00004	83,45580	83,45584	34	0
100	154	178	145	0,00002	81,72790	81,72792	21	0
100	155	176	144	0,00005	80,55630	80,55635	24	1
100	156	97	86	0,00001	81,52690	81,52691	19	0
100	85	164	121	0,00001	82,42640	82,42641	19	0
100	85	95	156	0,00001	80,52690	80,52691	21	0
100	91	73	163	-0,00003	83,18380	83,18377	14	0
100	94	110	150	-0,00003	82,28430	82,28427	25	0
100	104	182	94	0,00004	86,14210	86,14214	15	0
100	105	72	178	-0,00002	84,59800	84,59798	16	0
100	107	173	122	-0,00003	84,18380	84,18377	26	0
100	108	178	89	-0,00004	85,87010	85,87006	18	0
100	109	177	85	0,00003	86,94110	86,94113	17	0
100	113	172	84	-0,00001	84,01220	84,01219	17	1
100	113	181	99	0,00002	87,62740	87,62742	21	0
100	150	172	121	-0,00001	84,01220	84,01219	31	0
100	156	110	87	-0,00001	85,91170	85,91169	25	0
100	156	161	115	0,00004	87,35530	87,35534	39	0
100	100	120	158	-0,00002	89,59800	89,59798	33	1
100	101	155	138	0,00005	91,55630	91,55635	28	0
100	102	186	105	0,00002	91,72790	91,72792	25	0
100	117	171	77	0,00000	89,32590	89,32590	15	0
100	119	140	155	-0,00000	91,11270	91,11270	42	0
100	151	119	85	0,00004	89,56850	89,56854	28	1
100	152	132	116	0,00003	89,25480	89,25483	47	0
100	152	178	126	-0,00005	88,76960	88,76955	36	0
100	156	159	113	0,00001	88,52690	88,52691	40	0
100	158	127	94	0,00005	90,88220	90,88225	31	1
100	102	63	179	0,00000	92,32590	92,32590	23	0
100	104	190	102	0,00004	94,14210	94,14214	21	0
100	112	140	153	0,00001	95,52690	95,52691	36	0
100	81	185	104	-0,00002	95,69850	95,69848	24	0
100	98	154	139	0,00000	94,21320	94,21320	26	1
101	104	129	147	0,00003	92,94110	92,94113	35	0
101	104	181	128	0,00001	92,42640	92,42641	25	0
101	106	159	142	-0,00001	95,79900	95,79899	27	0
