type: dao
name: lgt605d
algorithm: jpsplus
preprossessing [ms]: 7

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
10	24	12	24	0,00000	2,00000	2,00000	4	0
10	24	7	22	-0,00000	3,82843	3,82843	5	0
100	10	98	8	-0,00000	2,82843	2,82843	4	0
100	11	103	11	0,00000	3,00000	3,00000	4	0
100	8	99	8	0,00000	1,00000	1,00000	3	0
101	5	100	7	0,00000	2,41421	2,41421	4	0
103	10	102	11	0,00000	1,41421	1,41421	2	0
103	5	105	5	0,00000	2,00000	2,00000	4	0
103	8	100	8	0,00000	3,00000	3,00000	3	0
104	11	103	12	0,00000	1,41421	1,41421	2	0
10	19	14	22	0,00000	5,24264	5,24264	7	0
10	22	6	24	-0,00000	4,82843	4,82843	5	0
10	24	15	25	0,00000	5,41421	5,41421	5	0
10	26	15	22	0,00000	6,65685	6,65685	5	0
10	27	15	24	0,00000	6,24264	6,24264	7	0
100	11	96	9	-0,00000	4,82843	4,82843	5	0
100	12	95	17	-0,00000	7,07107	7,07107	3	0
100	12	96	17	0,00000	6,65685	6,65685	5	0
100	14	103	8	0,00000	7,24264	7,24264	7	0
100	14	105	9	0,00000	7,65685	7,65685	7	0
10	21	21	21	0,00000	11,00000	11,00000	5	0
10	25	17	20	-0,00000	9,07107	9,07107	5	0
10	26	21	24	0,00003	11,82840	11,82843	5	0
10	27	16	19	-0,00002	10,48530	10,48528	7	0
10	27	17	22	-0,00000	9,07107	9,07107	7	0
10	27	19	27	0,00000	9,00000	9,00000	7	0
100	14	94	9	-0,00000	8,07107	8,07107	5	0
100	7	92	15	0,00001	11,31370	11,31371	3	0
100	7	92	8	0,00000	8,41421	8,41421	5	1
100	7	96	15	0,00000	9,65685	9,65685	5	0
10	18	23	17	-0,00005	15,65690	15,65685	14	0
10	22	23	29	-0,00001	15,89950	15,89949	7	0
10	22	24	19	0,00004	15,24260	15,24264	8	0
10	23	24	27	-0,00005	15,65690	15,65685	6	0
10	24	23	21	0,00004	14,24260	14,24264	5	0
10	25	20	19	-0,00002	12,48530	12,48528	5	0
100	10	88	14	-0,00005	13,65690	13,65685	5	0
100	10	94	20	-0,00002	12,48530	12,48528	5	0
100	12	86	12	0,00000	14,00000	14,00000	4	0
100	14	88	14	0,00000	12,00000	12,00000	5	0
10	20	26	17	0,00004	17,24260	17,24264	12	0
10	21	25	24	0,00004	16,24260	16,24264	8	0
10	22	28	22	0,00000	18,00000	18,00000	4	0
10	23	24	32	0,00002	17,72790	17,72792	9	0
10	23	26	24	0,00001	16,41420	16,41421	5	0
10	27	29	27	0,00000	19,00000	19,00000	7	0
100	10	85	17	-0,00001	17,89950	17,89949	5	0
100	10	86	22	-0,00004	18,97060	18,97056	7	0
100	10	89	23	0,00005	17,55630	17,55635	7	0
100	14	82	18	-0,00005	19,65690	19,65685	8	0
10	18	25	32	-0,00002	21,38480	21,38478	9	0
10	20	30	22	0,00003	20,82840	20,82843	9	0
10	22	30	26	-0,00005	21,65690	21,65685	5	0
10	24	29	20	-0,00005	20,65690	20,65685	5	0
10	24	30	29	-0,00003	22,07110	22,07107	9	0
10	25	28	17	0,00001	21,31370	21,31371	8	0
10	26	29	21	-0,00003	21,07110	21,07107	7	0
10	26	29	22	-0,00005	20,65690	20,65685	7	0
10	26	32	26	0,00000	22,00000	22,00000	4	0
10	26	33	27	0,00001	23,41420	23,41421	6	0
