type: dao
name: orz000d
algorithm: jpsplus
preprossessing [ms]: 10

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
20	121	21	120	0,00000	1,41421	1,41421	3	0
20	78	23	78	0,00000	3,00000	3,00000	4	0
20	82	22	83	0,00000	2,41421	2,41421	5	0
20	85	20	87	0,00000	2,00000	2,00000	4	0
20	96	20	96	0,00000	0,00000	0,00000	1	0
21	14	21	16	0,00000	2,00000	2,00000	3	0
21	41	24	43	-0,00000	3,82843	3,82843	6	0
21	56	22	53	0,00000	3,41421	3,41421	5	0
21	56	24	56	0,00000	3,00000	3,00000	4	0
21	58	22	60	0,00000	2,41421	2,41421	5	0
20	103	24	97	0,00000	7,65685	7,65685	5	0
20	122	24	124	-0,00000	4,82843	4,82843	5	0
20	33	23	38	0,00000	6,24264	6,24264	5	0
20	39	25	37	-0,00000	5,82843	5,82843	5	0
20	40	20	34	0,00000	6,00000	6,00000	4	0
20	40	21	47	0,00000	7,41421	7,41421	6	0
20	44	22	40	-0,00000	4,82843	4,82843	5	0
20	48	21	41	0,00000	7,41421	7,41421	6	0
20	49	25	52	0,00000	6,24264	6,24264	5	0
20	51	26	51	0,00000	6,00000	6,00000	4	0
20	101	28	99	-0,00000	8,82843	8,82843	5	0
20	36	22	44	-0,00000	8,82843	8,82843	5	0
20	37	31	38	0,00001	11,41420	11,41421	5	0
20	39	26	44	-0,00000	8,07107	8,07107	7	0
20	43	29	44	0,00000	9,41421	9,41421	5	0
20	47	26	54	0,00000	9,48528	9,48528	6	0
20	49	30	48	0,00001	10,41420	10,41421	5	0
20	51	27	47	0,00000	8,65685	8,65685	5	0
20	53	28	57	0,00000	9,65685	9,65685	5	0
20	54	27	62	-0,00001	10,89950	10,89949	5	0
19	121	32	127	-0,00002	15,48530	15,48528	11	0
20	101	21	88	0,00001	13,41420	13,41421	5	0
20	101	30	111	0,00001	15,31370	15,31371	10	0
20	33	31	36	0,00004	12,24260	12,24264	6	0
20	33	31	39	-0,00002	13,48530	13,48528	6	0
20	34	24	47	-0,00005	14,65690	14,65685	5	0
20	34	31	45	0,00005	15,55630	15,55635	7	0
20	37	33	42	-0,00003	15,07110	15,07107	7	0
20	39	22	54	0,00003	15,82840	15,82843	6	0
20	39	29	30	0,00002	12,72790	12,72792	5	0
19	121	33	122	0,00004	19,14210	19,14214	15	0
20	100	39	102	0,00003	19,82840	19,82843	5	0
20	101	29	88	0,00002	16,72790	16,72792	9	0
20	102	36	94	0,00001	19,31370	19,31371	9	0
20	103	31	89	0,00005	18,55630	18,55635	8	0
20	121	32	122	0,00002	17,72790	17,72792	10	0
20	121	36	125	0,00001	19,31370	19,31371	10	0
20	15	35	6	0,00002	18,72790	18,72792	10	0
20	33	32	24	0,00001	16,31370	16,31371	9	0
20	34	24	50	-0,00005	17,65690	17,65685	5	0
19	15	33	17	0,00001	21,31370	21,31371	14	0
19	15	37	2	-0,00002	23,38480	23,38478	9	0
20	100	31	116	0,00004	21,14210	21,14214	10	1
20	100	33	83	-0,00002	22,38480	22,38478	13	0
20	102	40	97	-0,00003	22,07110	22,07107	7	0
20	103	31	117	-0,00001	20,89950	20,89949	9	0
20	120	35	121	-0,00002	20,38480	20,38478	12	0
20	121	31	120	0,00004	20,14210	20,14214	14	0
20	122	36	121	0,00005	20,55630	20,55635	15	0
20	122	39	132	0,00004	23,14210	23,14214	13	0
19	121	31	114	0,00004	27,14210	27,14214	17	0
19	122	32	113	0,00001	27,31370	27,31371	13	0
20	100	28	78	0,00001	25,31370	25,31371	7	0
20	100	31	120	0,00004	25,14210	25,14214	10	0
20	100	44	95	-0,00003	26,07110	26,07107	7	0
20	101	38	81	0,00004	27,45580	27,45584	16	0
20	102	33	119	0,00004	24,14210	24,14214	12	0
20	102	37	82	0,00003	27,04160	27,04163	16	0
20	120	41	121	-0,00002	26,38480	26,38478	14	0
20	120	43	127	-0,00001	25,89950	25,89949	8	0
19	14	30	26	0,00001	30,31370	30,31371	15	0
19	16	43	5	0,00005	28,55630	28,55635	11	0
20	100	49	96	-0,00005	30,65690	30,65685	5	0
20	101	46	110	-0,00001	30,89950	30,89949	15	0
20	103	30	125	0,00002	30,72790	30,72792	16	0
20	103	45	109	-0,00005	28,65690	28,65685	11	0
20	103	47	106	0,00004	28,24260	28,24264	6	0
20	103	48	97	-0,00002	30,48530	30,48528	6	0
20	14	31	29	-0,00001	31,89950	31,89949	13	0
20	14	45	17	0,00004	30,14210	30,14214	16	0
19	121	31	109	0,00004	32,14210	32,14214	17	0
19	121	47	133	-0,00004	32,97060	32,97056	15	0
19	14	48	20	-0,00002	35,38480	35,38478	20	0
19	14	51	9	-0,00003	34,07110	34,07107	9	0
19	16	49	9	-0,00001	32,89950	32,89949	11	0
20	100	50	109	0,00002	33,72790	33,72792	14	0
20	103	41	121	0,00004	33,14210	33,14214	15	0
20	103	43	123	-0,00004	35,97060	35,97056	15	0
20	103	50	91	-0,00004	34,97060	34,97056	13	0
20	122	45	115	-0,00004	34,97060	34,97056	20	0
19	14	24	33	-0,00001	39,79900	39,79899	18	0
19	14	31	33	-0,00001	36,89950	36,89949	13	0
20	100	35	133	-0,00001	39,79900	39,79899	17	0
20	101	57	101	0,00000	37,00000	37,00000	4	0
20	102	52	91	0,00005	36,55630	36,55635	15	0
20	103	38	74	0,00004	36,45580	36,45584	17	0
20	120	27	103	0,00000	39,21320	39,21320	22	0
20	122	33	103	0,00002	36,72790	36,72792	19	0
20	16	28	35	-0,00004	39,97060	39,97056	18	0
20	33	23	71	0,00004	39,24260	39,24264	5	0
19	122	48	111	0,00000	41,21320	41,21320	25	0
19	122	56	124	0,00001	40,31370	40,31371	12	0
20	100	24	123	0,00003	41,04160	41,04163	22	0
20	100	32	63	-0,00004	41,97060	41,97056	11	0
20	102	34	66	-0,00001	41,79900	41,79899	15	0
20	102	53	78	0,00003	42,94110	42,94113	20	0
20	102	56	83	-0,00004	43,87010	43,87006	26	0
20	103	31	66	0,00005	41,55630	41,55635	8	0
20	103	38	134	-0,00001	40,79900	40,79899	16	0
20	103	39	136	0,00000	43,21320	43,21320	16	0
19	15	36	39	0,00005	44,55630	44,55635	21	0
20	100	20	120	-0,00002	45,69850	45,69848	23	0
20	101	21	54	0,00001	47,41420	47,41421	5	0
20	101	39	62	-0,00004	46,87010	46,87006	17	0
20	102	49	133	0,00001	46,52690	46,52691	17	0
20	103	21	119	0,00003	45,04160	45,04163	22	0
20	103	51	69	0,00002	46,84060	46,84062	23	0
20	103	57	81	-0,00000	46,11270	46,11270	25	0
20	120	41	101	0,00003	44,04160	44,04163	25	0
20	121	21	98	-0,00003	46,28430	46,28427	22	0
19	122	48	104	0,00000	48,21320	48,21320	26	0
19	15	42	43	0,00003	51,04160	51,04163	24	0
19	15	46	36	0,00000	49,21320	49,21320	26	0
19	15	46	38	0,00003	50,04160	50,04163	26	0
19	15	52	34	0,00004	51,45580	51,45584	29	0
19	16	25	42	0,00000	49,21320	49,21320	26	0
20	100	35	57	0,00000	49,21320	49,21320	15	0
20	102	32	55	-0,00004	51,97060	51,97056	10	0
20	102	45	64	0,00004	48,35530	48,35534	19	0
20	102	52	125	0,00004	48,45580	48,45584	26	0
19	14	22	48	0,00002	55,62740	55,62742	24	0
19	15	29	49	0,00004	54,14210	54,14214	21	0
20	101	33	53	-0,00002	53,38480	53,38478	12	0
20	102	22	48	0,00003	54,82840	54,82843	5	0
20	102	49	62	-0,00001	52,01220	52,01219	23	0
20	120	27	87	0,00000	55,21320	55,21320	25	0
20	120	39	89	-0,00001	55,79900	55,79899	30	0
20	121	46	92	0,00001	53,52690	53,52691	29	0
20	121	47	92	0,00003	53,94110	53,94113	31	0
20	14	38	47	0,00004	53,14210	53,14214	28	0
19	121	21	87	-0,00003	58,28430	58,28427	28	0
19	121	32	82	0,00002	58,72790	58,72792	15	0
19	15	56	40	-0,00000	59,11270	59,11270	35	0
20	100	46	53	-0,00005	57,76960	57,76955	29	0
20	100	48	53	-0,00002	58,59800	58,59798	26	0
20	100	58	121	0,00004	56,35530	56,35534	34	0
20	101	22	42	0,00003	59,82840	59,82843	5	0
20	101	33	50	-0,00002	56,38480	56,38478	12	0
20	101	53	56	0,00005	58,66900	58,66905	23	0
20	103	44	55	0,00003	57,94110	57,94113	25	0
19	121	22	83	-0,00004	61,87010	61,87006	28	0
19	122	24	81	0,00002	62,62740	62,62742	26	0
19	122	41	81	0,00003	63,04160	63,04163	29	0
19	122	44	83	-0,00003	62,28430	62,28427	31	0
19	14	22	53	0,00002	60,62740	60,62742	24	0
19	14	24	55	-0,00001	61,79900	61,79899	24	0
19	14	55	42	-0,00003	60,28430	60,28427	41	0
19	16	23	52	0,00003	60,04160	60,04163	26	0
19	16	55	45	0,00004	62,35530	62,35534	39	0
20	101	48	49	-0,00002	63,59800	63,59798	33	0
19	121	30	77	0,00005	64,55630	64,55635	23	0
19	122	51	84	-0,00003	64,18380	64,18377	33	0
19	14	48	56	-0,00000	66,11270	66,11270	33	0
19	15	42	57	0,00003	65,04160	65,04163	31	0
20	100	34	38	-0,00001	67,79900	67,79899	15	0
20	101	56	50	-0,00001	65,91170	65,91169	27	0
20	102	46	46	-0,00005	66,76960	66,76955	30	0
20	120	28	76	-0,00001	65,79900	65,79899	23	0
20	120	57	86	0,00003	66,25480	66,25483	32	0
20	122	55	81	0,00002	67,84060	67,84062	33	0
19	121	30	71	0,00005	70,55630	70,55635	23	0
19	121	57	83	-0,00004	68,08330	68,08326	34	0
19	14	20	63	0,00004	71,45580	71,45584	26	0
19	16	33	66	0,00002	70,72790	70,72792	20	0
19	16	47	60	0,00001	70,52690	70,52691	46	0
19	16	54	57	0,00001	70,42640	70,42641	33	0
20	100	27	34	-0,00001	68,89950	68,89949	7	0
20	120	45	74	0,00001	71,52690	71,52691	35	1
20	120	53	79	0,00002	69,84060	69,84062	32	0
20	121	43	73	-0,00003	71,28430	71,28427	35	0
19	15	28	70	0,00005	75,55630	75,55635	23	0
19	15	29	69	0,00004	74,14210	74,14214	21	0
20	121	29	66	-0,00004	74,97060	74,97056	20	0
20	14	31	70	-0,00001	72,89950	72,89949	13	0
20	15	25	69	-0,00001	74,79900	74,79899	26	0
20	15	27	69	-0,00004	73,97060	73,97056	25	0
20	15	56	62	0,00002	74,84060	74,84062	35	0
20	17	57	60	-0,00004	74,08330	74,08326	31	0
20	34	32	104	-0,00004	74,97060	74,97056	10	0
20	39	40	103	-0,00003	72,28430	72,28427	21	0
19	121	27	64	-0,00001	78,79900	78,79899	28	0
19	122	20	67	-0,00003	78,28430	78,28427	29	0
20	101	37	30	0,00003	78,04160	78,04163	22	0
20	102	45	35	0,00004	77,35530	77,35534	27	0
20	103	44	33	0,00003	79,94110	79,94113	26	0
20	120	39	65	-0,00001	79,79900	79,79899	37	0
20	121	46	66	0,00001	79,52690	79,52691	40	0
20	122	20	67	-0,00003	77,28430	77,28427	29	0
20	14	37	74	0,00005	78,55630	78,55635	29	0
20	16	28	75	-0,00004	79,97060	79,97056	21	0
19	121	27	62	-0,00001	80,79900	80,79899	28	0
19	14	27	75	0,00005	80,55630	80,55635	24	0
20	100	47	28	-0,00003	83,18380	83,18377	39	0
20	101	30	25	0,00004	80,14210	80,14214	9	0
20	101	32	22	-0,00004	83,97060	83,97056	10	0
20	101	42	29	-0,00000	81,11270	81,11270	23	0
20	121	27	58	-0,00001	83,79900	83,79899	25	0
20	16	34	77	0,00004	81,14210	81,14214	19	0
20	16	43	75	-0,00004	82,87010	82,87006	37	0
20	17	49	72	-0,00005	82,76960	82,76955	45	0
19	121	30	54	0,00005	87,55630	87,55635	23	0
19	16	46	75	-0,00000	85,11270	85,11270	44	0
20	101	33	21	-0,00002	85,38480	85,38478	12	0
20	101	49	27	-0,00001	86,01220	86,01219	39	0
20	102	57	33	0,00000	84,32590	84,32590	37	1
20	14	43	77	0,00003	84,04160	84,04163	38	0
20	14	56	73	0,00001	85,42640	85,42641	48	0
20	15	28	83	0,00005	87,55630	87,55635	23	0
20	15	50	74	0,00004	84,35530	84,35534	45	0
20	16	39	78	0,00000	84,21320	84,21320	32	0
19	122	36	52	-0,00004	89,97060	89,97056	27	0
19	14	54	76	-0,00002	88,59800	88,59798	48	0
19	15	23	82	0,00002	89,62740	89,62742	28	0
20	101	33	15	-0,00002	91,38480	91,38478	18	0
20	103	30	18	0,00004	89,14210	89,14214	9	0
20	120	53	60	0,00002	88,84060	88,84062	47	0
20	14	37	86	0,00005	90,55630	90,55635	29	0
20	36	50	112	0,00001	88,42640	88,42641	41	0
20	37	47	114	-0,00003	88,18380	88,18377	40	0
20	42	36	126	0,00002	90,62740	90,62742	18	0
19	121	28	49	-0,00002	93,38480	93,38478	26	0
19	121	31	47	0,00004	94,14210	94,14214	17	0
19	121	42	51	-0,00004	93,87010	93,87006	37	0
19	121	51	53	-0,00002	95,59800	95,59798	52	0
19	122	55	55	0,00002	94,84060	94,84062	48	0
19	14	57	79	0,00002	92,84060	92,84062	48	0
19	16	56	81	0,00003	95,25480	95,25483	50	0
20	102	50	21	0,00001	93,42640	93,42641	38	0
20	102	52	21	0,00001	95,42640	95,42641	39	0
20	120	28	46	-0,00001	95,79900	95,79899	23	0
19	121	53	52	0,00001	97,42640	97,42641	52	0
19	122	25	45	0,00000	98,21320	98,21320	29	0
19	122	28	44	-0,00004	97,97060	97,97056	24	0
19	122	31	42	0,00002	98,72790	98,72792	15	0
19	122	44	48	-0,00003	97,28430	97,28427	42	0
19	14	24	91	-0,00001	97,79900	97,79899	30	0
19	15	44	91	-0,00004	99,87010	99,87006	44	0
19	15	53	85	-0,00002	97,59800	97,59798	50	0
20	101	38	10	0,00004	98,45580	98,45584	27	0
20	101	38	11	0,00004	97,45580	97,45584	25	0
19	121	20	43	0,00048	102,69800	102,69848	34	0
19	121	43	44	0,00027	101,28400	101,28427	44	0
19	14	47	94	0,00048	103,69800	103,69848	55	0
19	15	32	98	0,00049	101,89900	101,89949	12	0
19	16	22	95	-0,00016	103,45600	103,45584	32	0
19	16	50	91	-0,00045	102,77000	102,76955	56	0
20	101	43	10	-0,00023	102,18400	102,18377	45	0
20	101	45	8	0,00034	103,35500	103,35534	34	0
20	102	40	9	0,00027	101,28400	101,28427	27	0
20	102	48	11	-0,00023	103,18400	103,18377	40	0
19	122	40	36	0,00042	107,62700	107,62742	37	0
20	102	44	7	-0,00045	105,77000	105,76955	40	0
20	102	45	8	0,00034	104,35500	104,35534	34	0
20	103	38	4	-0,00016	106,45600	106,45584	28	0
20	121	22	36	0,00006	107,87000	107,87006	31	0
20	121	46	41	-0,00009	104,52700	104,52691	47	0
20	121	49	39	-0,00045	107,77000	107,76955	53	0
20	122	44	37	0,00027	107,28400	107,28427	43	0
20	122	55	43	-0,00038	105,84100	105,84062	59	0
20	14	23	98	0,00020	104,21300	104,21320	30	0
19	122	25	33	0,00020	110,21300	110,21320	32	0
19	15	22	100	-0,00037	108,04200	108,04163	31	0
19	15	44	100	0,00006	108,87000	108,87006	44	0
19	15	52	98	-0,00023	110,18400	110,18377	61	0
19	16	41	103	-0,00037	111,04200	111,04163	38	0
19	16	57	94	0,00005	108,66900	108,66905	62	0
20	120	29	30	-0,00022	111,38500	111,38478	20	0
20	120	50	38	-0,00002	109,59800	109,59798	52	1
20	122	21	33	0,00006	110,87000	110,87006	32	0
20	16	55	99	-0,00038	111,84100	111,84062	59	0
19	121	36	29	-0,00022	113,38500	113,38478	32	0
19	121	52	37	0,00019	112,01200	112,01219	61	0
20	15	50	103	0,00034	113,35500	113,35534	55	0
20	16	47	104	-0,00009	113,52700	113,52691	54	0
20	17	36	107	-0,00022	112,38500	112,38478	29	0
20	17	55	102	-0,00017	115,25500	115,25483	60	0
20	35	53	119	-0,00038	114,84100	114,84062	67	0
20	37	54	119	-0,00017	113,25500	113,25483	63	0
20	99	57	17	0,00026	113,08300	113,08326	68	0
21	100	59	16	0,00005	114,66900	114,66905	69	0
19	14	50	108	0,00013	118,94100	118,94113	56	0
19	16	29	112	0,00035	117,55600	117,55635	22	0
19	16	52	104	-0,00002	116,59800	116,59798	62	0
20	15	30	116	-0,00008	119,72800	119,72792	21	0
20	17	47	109	0,00013	118,94100	118,94113	61	0
21	123	31	21	-0,00029	117,31400	117,31371	16	0
22	11	31	118	-0,00015	117,65700	117,65685	14	0
22	11	33	120	-0,00015	119,65700	119,65685	20	0
22	11	45	114	0,00042	118,62700	118,62742	46	0
22	121	29	22	0,00035	117,55600	117,55635	19	0
