type: dao
name: orz702d
algorithm: jps
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
103	270	102	271	0,00000	1,41421	1,41421	4	0
110	282	111	282	0,00000	1,00000	1,00000	5	0
128	101	126	103	-0,00000	2,82843	2,82843	5	0
139	367	136	369	-0,00000	3,82843	3,82843	7	0
150	125	150	128	0,00000	3,00000	3,00000	5	0
158	361	160	361	0,00000	2,00000	2,00000	4	0
203	115	205	118	-0,00000	3,82843	3,82843	7	0
263	390	264	393	0,00000	3,41421	3,41421	7	0
285	328	288	326	-0,00000	3,82843	3,82843	6	0
312	267	311	269	0,00000	2,41421	2,41421	8	0
105	85	104	91	0,00000	6,41421	6,41421	7	0
108	364	111	370	0,00000	7,24264	7,24264	7	0
111	72	118	72	0,00000	7,00000	7,00000	6	1
117	281	116	286	0,00000	5,41421	5,41421	5	0
123	314	118	316	-0,00000	5,82843	5,82843	6	0
125	60	120	64	0,00000	6,65685	6,65685	6	0
130	67	131	71	0,00000	4,41421	4,41421	6	0
132	78	128	75	0,00000	5,24264	5,24264	9	0
132	78	137	73	-0,00000	7,07107	7,07107	9	0
139	109	145	107	-0,00000	6,82843	6,82843	8	0
101	53	103	42	0,00003	11,82840	11,82843	5	0
103	107	108	100	-0,00000	9,07107	9,07107	8	0
107	103	113	95	-0,00002	10,48530	10,48528	11	0
112	364	102	362	0,00003	10,82840	10,82843	7	0
113	96	122	90	-0,00002	11,48530	11,48528	7	0
114	314	119	321	-0,00000	9,07107	9,07107	6	0
116	366	109	360	0,00000	9,48528	9,48528	7	1
118	363	108	367	-0,00005	11,65690	11,65685	7	0
120	107	121	117	0,00001	10,41420	10,41421	7	0
123	329	116	320	-0,00001	11,89950	11,89949	5	0
107	78	106	66	0,00001	12,41420	12,41421	7	0
109	96	108	111	0,00001	15,41420	15,41421	7	0
111	359	106	369	-0,00003	12,07110	12,07107	7	0
113	70	122	58	0,00002	15,72790	15,72792	7	0
115	108	110	118	-0,00003	12,07110	12,07107	7	0
115	304	111	290	-0,00005	15,65690	15,65685	9	0
116	81	129	79	0,00003	13,82840	13,82843	7	0
120	96	133	97	0,00001	13,41420	13,41421	7	0
124	93	113	87	-0,00002	13,48530	13,48528	7	1
126	105	120	118	-0,00002	15,48530	15,48528	7	0
100	99	103	81	0,00004	19,24260	19,24264	7	0
102	80	116	91	0,00005	18,55630	18,55635	10	0
102	86	117	82	-0,00005	16,65690	16,65685	11	0
103	100	106	82	0,00004	19,24260	19,24264	8	0
103	84	109	101	-0,00002	19,48530	19,48528	10	0
103	86	116	98	-0,00004	17,97060	17,97056	8	0
112	82	112	63	0,00000	19,00000	19,00000	6	1
115	357	133	353	-0,00005	19,65690	19,65685	12	0
116	64	113	46	0,00004	19,24260	19,24264	6	0
118	365	134	367	0,00003	16,82840	16,82843	7	0
100	372	81	362	0,00004	23,14210	23,14214	5	0
100	90	108	72	0,00001	21,31370	21,31371	12	0
102	64	121	74	0,00004	23,14210	23,14214	15	0
103	371	119	361	0,00004	20,14210	20,14214	6	0
103	375	120	367	-0,00002	21,48530	21,48528	8	0
105	66	123	75	0,00002	21,72790	21,72792	15	0
106	100	127	100	0,00000	21,00000	21,00000	6	0
106	117	121	104	-0,00002	20,38480	20,38478	16	0
110	78	114	97	-0,00005	20,65690	20,65685	8	1
111	369	126	356	-0,00002	20,38480	20,38478	8	0
101	365	79	371	-0,00002	24,48530	24,48528	6	0
104	72	114	92	0,00004	24,14210	24,14214	13	0
104	81	123	96	0,00000	25,21320	25,21320	9	0
106	36	104	61	0,00003	25,82840	25,82843	9	0
108	358	127	372	-0,00001	24,79900	24,79899	9	0
112	79	120	102	0,00001	26,31370	26,31371	9	0
114	119	126	96	-0,00004	27,97060	27,97056	18	0
114	81	133	63	0,00004	26,45580	26,45584	10	0
115	81	111	55	-0,00005	27,65690	27,65685	7	0
116	82	125	103	0,00002	24,72790	24,72792	9	1
100	97	117	119	0,00003	29,04160	29,04163	12	0
102	106	130	106	0,00000	28,00000	28,00000	5	0
102	54	127	63	0,00002	28,72790	28,72792	14	0
104	58	120	81	0,00002	29,62740	29,62742	16	0
104	85	134	83	0,00003	30,82840	30,82843	9	0
105	109	132	119	0,00004	31,14210	31,14214	15	0
105	90	133	97	-0,00001	30,89950	30,89949	7	0
106	359	132	366	-0,00001	28,89950	28,89949	10	0
108	103	136	95	0,00001	31,31370	31,31371	10	1
109	359	140	361	0,00003	31,82840	31,82843	9	0
103	86	109	53	-0,00002	35,48530	35,48528	16	0
104	357	78	380	0,00001	35,52690	35,52691	10	0
104	73	127	99	0,00001	35,52690	35,52691	13	0
106	72	137	83	0,00005	35,55630	35,55635	16	0
106	91	129	66	0,00001	34,52690	34,52691	16	0
107	97	112	66	-0,00003	33,07110	33,07107	15	0
108	62	97	33	0,00005	33,55630	33,55635	12	0
109	285	87	273	0,00003	32,82840	32,82843	14	1
112	360	130	340	0,00002	32,72790	32,72792	14	0
118	285	110	316	-0,00001	34,89950	34,89949	18	0
100	120	129	103	0,00003	36,04160	36,04163	21	0
102	103	135	95	0,00001	36,31370	36,31371	14	0
102	375	136	370	-0,00005	36,65690	36,65685	9	0
103	63	114	97	0,00005	38,55630	38,55635	19	0
105	102	142	102	0,00000	37,00000	37,00000	6	0
105	87	134	113	-0,00005	39,76960	39,76955	9	0
107	112	126	82	-0,00004	37,87010	37,87006	14	1
