type: dao
name: orz800d
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
100	746	103	744	-0,00000	3,82843	3,82843	23	0
104	757	102	758	0,00000	2,41421	2,41421	16	0
129	749	126	750	0,00000	3,41421	3,41421	23	0
15	685	14	684	0,00000	1,41421	1,41421	9	0
168	742	167	745	0,00000	3,41421	3,41421	23	0
170	749	170	748	0,00000	1,00000	1,00000	9	0
175	751	177	751	0,00000	2,00000	2,00000	16	0
19	762	16	761	0,00000	3,41421	3,41421	23	0
202	752	200	751	0,00000	2,41421	2,41421	16	0
23	810	25	809	0,00000	2,41421	2,41421	16	0
11	665	7	668	0,00000	5,24264	5,24264	36	0
116	739	112	736	-0,00000	5,82843	5,82843	39	1
123	747	117	751	0,00000	7,65685	7,65685	53	0
153	756	151	751	-0,00000	5,82843	5,82843	34	0
163	747	164	752	0,00000	5,41421	5,41421	37	0
184	739	189	742	0,00000	6,24264	6,24264	42	0
189	750	185	754	0,00000	5,65685	5,65685	30	0
19	792	17	786	-0,00000	6,82843	6,82843	49	0
19	823	24	819	0,00000	6,65685	6,65685	43	0
195	748	196	743	0,00000	5,41421	5,41421	37	0
0	792	9	799	-0,00001	11,89950	11,89949	90	0
1	782	5	791	-0,00005	10,65690	10,65685	86	0
10	699	10	691	0,00000	8,00000	8,00000	58	0
10	705	1	708	0,00004	10,24260	10,24264	90	0
100	742	92	744	-0,00000	8,82843	8,82843	72	0
11	662	7	669	0,00000	8,65685	8,65685	70	0
11	714	10	722	0,00000	8,41421	8,41421	58	0
11	770	16	779	-0,00003	11,07110	11,07107	90	0
11	781	21	779	0,00003	10,82840	10,82843	93	0
11	816	1	813	0,00004	11,24260	11,24264	97	0
1	706	14	706	0,00000	13,00000	13,00000	93	0
10	707	9	694	0,00001	13,41420	13,41421	93	0
11	680	21	690	0,00004	14,14210	14,14214	72	0
11	751	0	746	-0,00003	13,07110	13,07107	113	0
11	762	2	772	0,00002	13,72790	13,72792	96	0
110	757	121	750	-0,00001	13,89950	13,89949	121	0
117	740	105	747	-0,00001	14,89950	14,89949	134	0
12	761	11	746	0,00001	15,41420	15,41421	107	0
121	758	126	748	-0,00003	12,07110	12,07107	69	0
122	742	112	753	0,00004	15,14210	15,14214	106	0
0	686	13	674	-0,00004	17,97060	17,97056	122	0
1	725	14	712	-0,00002	18,38480	18,38478	93	0
1	757	19	761	-0,00005	19,65690	19,65685	202	0
10	769	26	762	-0,00001	18,89950	18,89949	195	0
10	779	26	782	0,00004	17,24260	17,24264	170	0
10	827	24	836	0,00002	17,72790	17,72792	174	0
11	726	5	711	-0,00002	17,48530	17,48528	174	0
11	809	1	794	0,00004	19,14210	19,14214	190	0
111	736	96	747	0,00005	19,55630	19,55635	159	0
13	694	29	685	0,00002	19,72790	19,72792	205	0
1	751	0	773	0,00001	22,41420	22,41421	153	0
1	805	6	786	-0,00003	21,07110	21,07107	194	1
1	814	11	831	0,00004	21,14210	21,14214	215	0
10	731	5	710	-0,00003	23,07110	23,07107	237	0
10	743	4	725	-0,00002	20,48530	20,48528	219	0
11	690	27	703	-0,00002	21,38480	21,38478	191	0
11	692	15	672	-0,00005	21,65690	21,65685	229	0
11	719	31	715	-0,00005	21,65690	21,65685	229	0
11	811	18	832	-0,00001	23,89950	23,89949	272	0
118	754	135	740	-0,00001	22,79900	22,79899	194	1
1	752	21	763	0,00005	24,55630	24,55635	294	0
1	796	5	771	-0,00005	26,65690	26,65685	224	0
10	770	9	746	0,00001	24,41420	24,41421	170	0
10	776	29	791	0,00000	25,21320	25,21320	241	0
113	738	100	757	-0,00002	24,38480	24,38478	255	0
116	751	95	740	0,00005	25,55630	25,55635	306	0
12	815	6	837	-0,00002	24,48530	24,48528	261	1
13	834	35	821	-0,00002	27,38480	27,38478	312	0
130	745	153	751	-0,00002	25,48530	25,48528	307	0
14	775	5	796	0,00002	24,72790	24,72792	301	0
0	766	24	785	-0,00004	31,87010	31,87006	325	0
1	680	28	684	-0,00005	28,65690	28,65685	317	0
1	716	25	702	-0,00001	29,79900	29,79899	372	0
10	676	28	697	0,00004	28,45580	28,45584	257	0
10	703	30	683	-0,00003	28,28430	28,28427	142	0
10	707	22	683	-0,00004	28,97060	28,97056	382	0
109	754	79	758	-0,00005	31,65690	31,65685	344	0
11	779	35	792	-0,00002	29,38480	29,38478	383	1
111	752	139	743	0,00002	31,72790	31,72792	423	0
115	745	144	740	-0,00003	31,07110	31,07107	329	0
0	772	21	799	-0,00002	35,69850	35,69848	375	0
1	692	29	682	0,00004	32,14210	32,14214	418	1
10	828	0	797	0,00004	35,14210	35,14214	430	0
11	730	5	698	-0,00002	34,48530	34,48528	426	0
11	762	11	795	0,00000	33,00000	33,00000	233	0
116	742	84	737	-0,00003	34,07110	34,07107	365	1
12	753	40	770	0,00003	35,04160	35,04163	432	0
12	810	15	842	0,00004	33,24260	33,24264	346	0
121	737	90	745	0,00001	34,31370	34,31371	339	0
124	749	90	749	0,00000	34,00000	34,00000	240	0
1	671	4	706	0,00004	36,24260	36,24264	260	1
1	780	38	775	-0,00003	39,07110	39,07107	447	0
10	815	0	783	0,00004	36,14210	36,14214	495	0
11	754	2	789	0,00002	38,72790	38,72792	539	1
11	816	23	783	-0,00004	37,97060	37,97056	555	0
115	742	152	740	0,00003	37,82840	37,82843	330	0
116	758	78	762	-0,00005	39,65690	39,65685	301	0
118	749	150	737	-0,00004	36,97060	36,97056	471	1
12	805	7	842	-0,00003	39,07110	39,07107	447	0
13	686	12	724	0,00001	38,41420	38,41421	268	0
0	686	30	714	-0,00002	41,59800	41,59798	313	0
0	732	38	723	0,00002	41,72790	41,72792	570	0
0	800	7	838	-0,00001	40,89950	40,89949	314	1
10	735	46	746	0,00005	40,55630	40,55635	442	0
10	800	23	836	-0,00002	41,38480	41,38478	630	0
102	741	63	738	0,00004	40,24260	40,24264	401	0
11	700	28	734	0,00003	41,04160	41,04163	613	0
11	739	21	776	0,00004	41,14210	41,14214	546	1
115	752	155	744	0,00001	43,31370	43,31371	551	0
12	676	25	712	-0,00002	41,38480	41,38478	630	0
1	761	45	752	0,00002	47,72790	47,72792	618	1
1	788	34	816	-0,00002	44,59800	44,59798	456	0
1	797	3	750	0,00003	47,82840	47,82843	307	0
10	671	19	712	0,00002	44,72790	44,72792	649	1
10	688	23	728	-0,00002	45,38480	45,38478	719	0
10	784	15	741	-0,00003	45,07110	45,07107	537	1
10	790	13	746	0,00004	45,24260	45,24264	462	0
100	749	143	738	0,00005	47,55630	47,55635	681	1
101	749	68	721	-0,00002	44,59800	44,59798	373	0
102	744	71	718	-0,00002	44,69850	44,69848	512	0
0	675	20	718	-0,00003	51,28430	51,28427	771	1
1	744	43	725	-0,00004	49,87010	49,87006	762	1
1	772	5	723	-0,00005	50,65690	50,65685	425	0
1	811	11	764	0,00004	51,14210	51,14214	638	1
1	821	15	777	-0,00001	49,79900	49,79899	709	0
10	738	50	716	-0,00000	49,11270	49,11270	786	1
102	747	60	724	0,00001	51,52690	51,52691	783	1
11	675	33	716	-0,00000	50,11270	50,11270	836	0
11	785	60	782	0,00004	50,24260	50,24264	506	1
11	791	21	836	0,00004	49,14210	49,14214	761	0
1	752	52	754	-0,00005	52,65690	52,65685	436	0
1	754	27	710	-0,00005	54,76960	54,76955	868	1
100	752	51	761	0,00002	52,72790	52,72792	806	1
11	715	52	751	-0,00001	55,91170	55,91169	577	0
11	776	34	822	0,00001	55,52690	55,52691	1013	1
110	750	162	754	-0,00005	53,65690	53,65685	590	0
111	750	60	741	0,00002	54,72790	54,72792	850	0
12	710	8	763	-0,00005	54,65690	54,65685	620	0
126	750	180	752	0,00003	54,82840	54,82843	499	0
13	723	32	768	0,00004	53,45580	53,45584	675	0
0	684	2	741	0,00003	57,82840	57,82843	292	1
0	708	36	748	0,00003	57,25480	57,25483	805	0
0	719	57	715	-0,00005	58,65690	58,65685	650	1
10	689	32	736	-0,00000	56,11270	56,11270	1046	1
10	812	55	781	0,00002	57,84060	57,84062	903	0
100	740	50	760	-0,00003	58,28430	58,28427	1095	1
105	739	57	764	0,00004	58,35530	58,35534	1044	1
106	741	57	718	0,00001	58,52690	58,52691	747	1
107	750	57	770	-0,00003	58,28430	58,28427	937	1
109	746	54	741	-0,00003	57,07110	57,07107	704	0
0	735	54	750	0,00000	60,21320	60,21320	849	1
1	741	53	716	0,00004	62,35530	62,35534	1146	1
1	790	44	744	-0,00002	63,81120	63,81118	563	0
10	767	42	721	-0,00005	62,76960	62,76955	989	1
102	746	54	709	0,00000	63,32590	63,32590	675	1
11	666	5	724	-0,00002	60,48530	60,48528	809	0
11	801	41	752	0,00001	61,42640	61,42641	1114	1
114	742	64	772	0,00001	62,42640	62,42641	967	1
116	755	55	756	0,00001	61,41420	61,41421	429	0
117	747	65	726	-0,00002	60,69850	60,69848	939	1
0	719	62	729	0,00004	66,14210	66,14214	1081	1
0	768	23	713	0,00001	64,52690	64,52691	1043	1
1	691	2	755	0,00001	64,41420	64,41421	450	0
1	704	57	727	0,00001	65,52690	65,52691	1332	1
1	726	61	741	0,00000	66,21320	66,21320	1200	1
1	742	61	746	0,00004	64,14210	64,14214	849	0
1	757	66	751	-0,00002	67,48530	67,48528	823	1
1	773	30	720	-0,00001	65,01220	65,01219	961	1
10	781	27	721	0,00003	67,04160	67,04163	1170	1
102	740	51	774	-0,00004	65,08330	65,08326	1143	1
0	730	66	735	-0,00003	68,07110	68,07107	873	1
0	731	61	714	0,00003	68,04160	68,04163	1340	1
0	756	54	713	-0,00002	71,81120	71,81118	998	1
0	770	12	706	-0,00004	68,97060	68,97056	920	1
1	764	22	702	-0,00002	70,69850	70,69848	1253	1
1	783	55	741	-0,00003	71,39700	71,39697	990	1
1	793	40	741	0,00003	68,15430	68,15433	1006	1
10	668	27	732	0,00003	71,04160	71,04163	1473	2
10	737	17	668	-0,00001	71,89950	71,89949	1087	0
106	753	38	750	0,00004	69,24260	69,24264	716	0
0	714	43	766	0,00005	75,66900	75,66905	1444	1
0	765	34	823	-0,00004	72,08330	72,08326	1353	1
10	654	4	724	-0,00002	72,48530	72,48528	953	1
10	729	13	803	0,00004	75,24260	75,24264	802	0
10	749	14	823	-0,00005	75,65690	75,65685	891	1
100	748	170	738	0,00001	75,31370	75,31371	1278	1
104	742	40	764	-0,00000	73,11270	73,11270	1603	2
11	764	71	733	0,00002	72,84060	72,84062	1210	1
11	821	15	748	-0,00005	74,65690	74,65685	871	0
110	739	39	731	0,00001	74,31370	74,31371	1060	1
10	709	11	788	0,00001	79,41420	79,41421	555	0
100	739	38	773	-0,00004	76,08330	76,08326	1652	2
101	751	33	731	-0,00003	76,28430	76,28427	1708	2
102	750	32	726	0,00003	79,94110	79,94113	1857	2
103	740	27	736	-0,00005	77,65690	77,65685	868	0
103	749	43	789	0,00004	76,56850	76,56854	1172	1
11	731	78	755	0,00003	76,94110	76,94113	1503	2
11	781	79	759	-0,00000	77,11270	77,11270	1770	1
111	753	39	739	-0,00001	77,79900	77,79899	1521	2
114	739	52	781	-0,00003	79,39700	79,39697	1276	1
0	673	57	731	-0,00003	81,61020	81,61017	405	0
0	729	23	801	0,00001	81,52690	81,52691	1516	2
1	757	1	677	0,00000	80,00000	80,00000	562	0
1	762	25	689	0,00003	82,94110	82,94113	1643	2
1	764	68	725	0,00003	83,15430	83,15433	1126	1
10	685	63	746	0,00002	82,95330	82,95332	1117	1
104	739	33	715	0,00003	80,94110	80,94113	1503	1
111	743	32	737	-0,00002	81,48530	81,48528	1173	0
114	742	51	786	-0,00000	81,22540	81,22540	1166	1
115	737	42	718	-0,00004	80,87010	80,87006	1210	1
1	782	0	696	0,00001	86,41420	86,41421	601	0
10	698	24	777	-0,00001	84,79900	84,79899	1621	1
10	757	2	674	0,00001	86,31370	86,31371	1399	1
10	800	39	728	-0,00001	84,01220	84,01219	1838	1
103	743	18	736	-0,00001	87,89950	87,89949	1261	1
109	737	36	764	-0,00003	84,18380	84,18377	1953	2
11	703	21	785	0,00004	86,14210	86,14214	1464	1
12	726	51	796	0,00003	86,15430	86,15433	1345	1
127	748	53	720	-0,00002	85,59800	85,59798	1534	2
13	667	60	733	0,00004	85,46800	85,46804	1393	1
0	698	72	741	-0,00002	89,81120	89,81118	2098	2
0	709	74	748	0,00003	90,15430	90,15433	2148	3
0	792	24	713	0,00003	88,94110	88,94113	1696	2
10	807	35	727	0,00004	90,35530	90,35534	2020	2
102	742	31	695	0,00004	90,46800	90,46804	1287	1
114	742	35	715	-0,00003	90,18380	90,18377	1745	2
114	752	40	713	0,00003	90,15430	90,15433	1884	2
116	750	42	709	-0,00004	90,98280	90,98276	1684	2
117	753	41	782	-0,00001	88,01220	88,01219	1527	1
12	661	67	725	-0,00004	90,29650	90,29646	1421	1
0	787	66	722	-0,00005	94,09550	94,09545	882	0
10	811	52	735	-0,00003	93,39700	93,39697	2405	3
100	753	18	720	0,00005	95,66900	95,66905	2604	3
102	739	35	688	0,00004	94,56850	94,56854	1510	1
