type: dao
name: ost000a
algorithm: jpsplus
preprossessing [ms]: 942

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
105	421	103	420	0,00000	2,41421	2,41421	8	0
107	540	108	541	0,00000	1,41421	1,41421	5	0
119	443	117	441	-0,00000	2,82843	2,82843	6	0
136	476	136	473	0,00000	3,00000	3,00000	5	0
150	785	150	783	0,00000	2,00000	2,00000	5	0
168	444	166	447	-0,00000	3,82843	3,82843	8	0
170	480	167	481	0,00000	3,41421	3,41421	7	0
171	457	170	460	0,00000	3,41421	3,41421	8	0
177	650	174	652	-0,00000	3,82843	3,82843	10	0
255	301	258	303	-0,00000	3,82843	3,82843	8	0
109	252	105	249	0,00000	5,24264	5,24264	11	0
116	488	122	492	0,00000	7,65685	7,65685	9	0
124	615	120	616	0,00000	4,41421	4,41421	7	0
134	482	139	485	0,00000	6,24264	6,24264	6	0
168	784	168	789	0,00000	5,00000	5,00000	7	0
170	252	168	259	-0,00000	7,82843	7,82843	8	0
171	743	173	737	-0,00000	6,82843	6,82843	10	0
173	284	167	280	0,00000	7,65685	7,65685	9	0
179	428	178	432	0,00000	4,41421	4,41421	7	0
187	315	191	313	-0,00000	4,82843	4,82843	7	0
106	242	112	234	-0,00002	10,48530	10,48528	10	0
106	268	96	269	0,00001	10,41420	10,41421	7	0
110	271	119	276	-0,00003	11,07110	11,07107	13	0
110	394	114	384	-0,00005	11,65690	11,65685	10	0
111	386	103	386	0,00000	8,00000	8,00000	6	0
128	432	121	437	-0,00000	9,07107	9,07107	10	0
130	644	140	648	-0,00005	11,65690	11,65685	10	0
131	322	130	311	0,00001	11,41420	11,41421	9	0
137	701	131	710	-0,00002	11,48530	11,48528	7	0
149	399	157	393	-0,00002	10,48530	10,48528	7	0
10	321	6	334	-0,00005	14,65690	14,65685	9	0
100	445	114	445	0,00000	14,00000	14,00000	6	0
106	467	97	457	0,00002	13,72790	13,72792	12	0
108	394	98	402	0,00001	13,31370	13,31371	13	0
110	572	110	559	0,00000	13,00000	13,00000	8	0
111	422	125	420	-0,00005	15,65690	15,65685	14	0
111	446	118	456	-0,00001	12,89950	12,89949	12	0
111	633	102	643	0,00002	13,72790	13,72792	14	0
113	637	101	628	0,00002	15,72790	15,72792	18	0
115	253	104	261	0,00001	14,31370	14,31371	19	0
100	611	105	626	-0,00003	17,07110	17,07107	7	0
103	303	89	297	-0,00002	16,48530	16,48528	12	0
104	384	87	380	-0,00005	18,65690	18,65685	18	0
107	256	115	269	0,00001	16,31370	16,31371	13	0
107	258	121	265	-0,00001	16,89950	16,89949	15	0
111	251	95	242	0,00002	19,72790	19,72792	14	0
113	244	107	258	-0,00002	16,48530	16,48528	16	0
117	281	103	286	-0,00003	16,07110	16,07107	12	0
119	457	116	472	0,00004	16,24260	16,24264	13	0
120	438	134	429	0,00002	17,72790	17,72792	9	0
10	409	7	388	0,00004	22,24260	22,24264	10	0
100	640	103	660	0,00004	21,24260	21,24264	10	0
101	659	85	648	0,00005	20,55630	20,55635	15	1
102	297	99	318	0,00004	22,24260	22,24264	9	0
104	342	126	346	-0,00005	23,65690	23,65685	13	0
105	336	97	355	0,00001	22,31370	22,31371	18	0
106	262	127	267	-0,00003	23,07110	23,07107	12	0
106	696	95	679	0,00005	21,55630	21,55635	9	0
107	676	88	671	0,00004	22,24260	22,24264	17	0
108	427	106	449	0,00003	22,82840	22,82843	11	0
101	334	95	356	-0,00002	24,48530	24,48528	14	0
101	639	115	659	-0,00001	25,79900	25,79899	17	0
102	380	80	388	-0,00001	25,89950	25,89949	30	0
103	352	103	328	0,00000	24,00000	24,00000	8	0
105	602	102	628	0,00004	27,24260	27,24264	8	0
105	670	93	650	-0,00004	24,97060	24,97056	15	0
106	322	129	330	0,00001	26,31370	26,31371	15	0
107	335	88	349	-0,00001	24,79900	24,79899	20	0
108	248	95	270	-0,00002	27,38480	27,38478	23	0
109	650	88	666	0,00002	27,62740	27,62742	11	0
100	250	99	219	0,00001	31,41420	31,41421	8	0
100	657	101	627	0,00001	30,41420	30,41421	7	0
101	292	85	268	0,00002	30,62740	30,62742	23	0
101	306	115	331	-0,00001	30,79900	30,79899	22	0
102	275	119	299	0,00003	31,04160	31,04163	25	0
102	443	82	465	-0,00003	30,28430	30,28427	15	0
104	471	95	444	0,00002	30,72790	30,72792	11	0
104	472	127	455	0,00002	30,62740	30,62742	22	0
107	251	136	257	-0,00002	31,48530	31,48528	14	0
108	529	83	518	0,00005	29,55630	29,55635	15	0
100	262	67	256	-0,00002	35,48530	35,48528	20	0
100	268	109	299	0,00002	34,72790	34,72792	17	0
100	432	129	443	0,00005	33,55630	33,55635	14	0
100	434	131	441	-0,00001	33,89950	33,89949	9	0
103	537	78	532	0,00005	33,55630	33,55635	16	0
106	241	79	222	-0,00004	34,87010	34,87006	19	0
107	445	76	457	-0,00004	35,97060	35,97056	16	0
107	597	104	628	0,00004	32,24260	32,24264	7	0
108	552	93	580	0,00000	34,21320	34,21320	18	0
109	266	127	239	0,00004	34,45580	34,45584	19	0
10	394	20	427	0,00004	37,14210	37,14214	19	0
100	397	74	380	0,00005	36,55630	36,55635	72	0
101	577	78	555	-0,00002	37,38480	37,38478	20	0
101	661	135	647	-0,00001	39,79900	39,79899	17	0
102	425	71	406	-0,00004	38,87010	38,87006	16	0
103	601	83	627	-0,00004	38,97060	38,97056	18	0
104	526	76	540	0,00001	37,31370	37,31371	18	0
105	316	95	351	0,00004	39,14210	39,14214	18	0
105	694	81	667	-0,00003	39,28430	39,28427	21	0
106	463	80	484	-0,00004	37,87010	37,87006	26	0
100	315	131	345	0,00001	43,42640	43,42641	28	0
100	337	112	298	-0,00004	43,97060	43,97056	27	0
100	338	127	308	-0,00003	41,18380	41,18377	34	0
101	274	70	252	-0,00003	41,28430	41,28427	45	0
101	389	64	379	0,00004	41,14210	41,14214	32	0
103	449	79	419	-0,00003	42,28430	42,28427	22	0
106	265	112	226	-0,00002	41,48530	41,48528	14	0
106	278	131	309	0,00004	41,35530	41,35534	29	0
108	441	97	480	0,00005	43,55630	43,55635	14	0
109	231	78	202	-0,00001	43,01220	43,01219	26	0
102	314	127	281	-0,00004	46,87010	46,87006	49	0
102	535	99	579	0,00002	47,72790	47,72792	14	0
103	395	91	360	-0,00004	45,87010	45,87006	69	0
104	221	71	191	-0,00005	47,76960	47,76955	38	0
104	283	68	305	-0,00004	46,87010	46,87006	48	0
104	451	81	488	0,00004	47,35530	47,35534	35	0
106	653	67	634	-0,00004	46,87010	46,87006	24	0
108	278	71	263	-0,00004	44,87010	44,87006	39	0
108	337	108	290	0,00000	47,00000	47,00000	7	0
108	640	96	597	-0,00004	47,97060	47,97056	25	0
100	252	114	295	-0,00001	48,79900	48,79899	26	0
100	576	100	624	0,00000	48,00000	48,00000	6	0
100	615	134	643	-0,00000	49,11270	49,11270	34	0
101	459	150	464	-0,00003	51,07110	51,07107	12	0
102	424	131	460	-0,00001	48,01220	48,01219	24	0
103	391	144	395	0,00003	50,94110	50,94113	39	0
104	418	109	465	-0,00003	49,07110	49,07107	17	0
104	596	120	639	-0,00001	50,79900	50,79899	18	0
105	439	57	435	-0,00005	49,65690	49,65685	10	0
105	547	70	549	0,00004	48,45580	48,45584	38	0
10	421	12	372	-0,00004	55,97060	55,97056	28	0
101	246	118	291	0,00003	52,04160	52,04163	27	0
103	648	105	594	0,00003	54,82840	54,82843	11	0
104	441	109	492	-0,00003	53,07110	53,07107	15	0
105	314	64	342	-0,00002	52,59800	52,59798	43	0
105	413	133	454	-0,00002	52,59800	52,59798	56	0
106	512	66	543	-0,00003	55,18380	55,18377	39	0
107	345	59	334	0,00005	52,55630	52,55635	26	0
107	474	128	428	-0,00002	54,69850	54,69848	30	0
108	611	91	657	0,00003	53,04160	53,04163	21	0
10	457	68	458	0,00001	58,41420	58,41421	6	0
10	473	54	440	0,00005	57,66900	57,66905	23	0
100	276	154	263	-0,00002	59,38480	59,38478	20	0
100	438	49	455	0,00003	58,04160	58,04163	18	0
101	256	63	218	0,00001	58,42640	58,42641	65	0
102	272	79	222	0,00001	59,52690	59,52691	51	0
102	463	50	460	0,00003	59,04160	59,04163	43	1
102	679	143	645	-0,00003	59,18380	59,18377	32	0
103	292	81	340	-0,00000	57,11270	57,11270	68	0
103	560	94	614	0,00002	57,72790	57,72792	9	0
101	331	50	358	-0,00003	62,18380	62,18377	65	0
102	260	101	321	0,00001	61,41420	61,41421	8	0
102	275	143	292	-0,00005	61,65690	61,65685	80	0
102	623	154	644	-0,00002	60,69850	60,69848	38	0
103	565	87	510	-0,00003	63,28430	63,28427	33	0
106	468	162	462	-0,00001	61,79900	61,79899	32	0
107	280	111	220	-0,00005	61,65690	61,65685	11	0
107	318	155	326	0,00004	63,35530	63,35534	100	0
107	456	71	410	-0,00004	62,08330	62,08326	35	0
11	487	63	464	0,00001	61,52690	61,52691	20	0
100	311	159	290	-0,00002	67,69850	67,69848	66	0
100	706	123	648	0,00001	67,52690	67,52691	31	0
101	234	149	265	-0,00002	66,69850	66,69848	74	1
101	287	119	232	-0,00000	64,11270	64,11270	33	0
101	463	49	475	0,00003	65,25480	65,25483	75	0
102	224	125	281	0,00001	66,52690	66,52691	38	0
102	341	41	329	-0,00004	65,97060	65,97056	47	0
103	422	156	390	0,00003	66,25480	66,25483	75	0
103	572	111	634	0,00001	65,31370	65,31371	11	0
104	469	53	434	-0,00003	65,49750	65,49747	30	0
100	225	50	179	0,00001	69,63960	69,63961	54	0
100	336	93	395	0,00004	69,35530	69,35534	64	0
100	359	133	304	0,00005	68,66900	68,66905	72	0
100	395	55	352	0,00005	68,66900	68,66905	107	0
100	526	95	589	0,00000	69,21320	69,21320	22	1
101	582	85	528	0,00005	71,55630	71,55635	51	0
103	336	128	281	0,00004	69,45580	69,45584	98	0
104	272	174	269	0,00004	71,24260	71,24264	13	0
104	311	84	373	-0,00003	70,28430	70,28427	47	0
104	336	153	288	0,00001	70,63960	70,63961	61	0
100	261	116	328	0,00002	73,62740	73,62742	37	0
101	435	39	462	-0,00003	73,18380	73,18377	31	0
101	457	172	449	0,00001	74,31370	74,31371	19	0
