type: dao
name: ost000t
algorithm: jpsplus
preprossessing [ms]: 678

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
104	470	101	471	0,00000	3,41421	3,41421	8	0
112	486	110	483	-0,00000	3,82843	3,82843	10	0
14	406	14	408	0,00000	2,00000	2,00000	6	0
145	493	144	493	0,00000	1,00000	1,00000	4	0
155	692	153	690	-0,00000	2,82843	2,82843	5	0
161	290	159	287	-0,00000	3,82843	3,82843	8	0
169	282	168	279	0,00000	3,41421	3,41421	8	0
173	640	174	643	0,00000	3,41421	3,41421	7	0
183	404	183	405	0,00000	1,00000	1,00000	5	0
188	211	191	211	0,00000	3,00000	3,00000	5	0
103	444	103	438	0,00000	6,00000	6,00000	6	0
121	332	125	336	0,00000	5,65685	5,65685	9	0
121	474	125	479	0,00000	6,65685	6,65685	7	0
122	408	124	412	-0,00000	4,82843	4,82843	7	0
123	415	127	410	0,00000	6,65685	6,65685	11	0
127	423	132	421	0,00000	7,00000	7,00000	11	0
127	446	126	440	0,00000	6,41421	6,41421	7	0
13	507	8	505	-0,00000	5,82843	5,82843	6	0
131	746	132	752	0,00000	6,41421	6,41421	7	0
132	257	132	253	0,00000	4,00000	4,00000	5	0
10	425	21	424	0,00001	11,41420	11,41421	6	0
103	257	95	261	0,00000	9,65685	9,65685	12	0
103	615	94	616	0,00000	9,41421	9,41421	7	0
103	652	113	650	0,00003	10,82840	10,82843	8	0
105	453	100	462	-0,00003	11,07110	11,07107	12	0
107	424	100	418	0,00000	9,48528	9,48528	9	0
112	703	104	707	0,00000	9,65685	9,65685	5	0
114	426	109	431	0,00000	8,24264	8,24264	12	0
119	475	115	483	0,00000	9,65685	9,65685	9	0
120	338	128	333	-0,00003	10,07110	10,07107	11	0
10	399	20	406	-0,00001	12,89950	12,89949	10	0
101	585	103	598	0,00003	13,82840	13,82843	7	0
101	641	93	632	0,00001	12,31370	12,31371	14	0
102	332	114	326	-0,00002	14,48530	14,48528	10	0
103	431	92	422	0,00002	14,72790	14,72792	11	0
104	223	112	234	0,00001	14,31370	14,31371	11	0
104	448	93	453	-0,00003	13,07110	13,07107	9	0
106	427	97	436	0,00002	12,72790	12,72792	8	0
107	315	111	301	-0,00005	15,65690	15,65685	13	0
107	533	106	545	0,00001	12,41420	12,41421	7	0
109	298	95	285	-0,00002	19,38480	19,38478	13	0
111	436	123	448	-0,00004	16,97060	16,97056	8	0
111	452	121	440	0,00004	16,14210	16,14214	14	0
112	340	97	347	-0,00001	17,89950	17,89949	18	0
112	427	107	443	-0,00002	19,48530	19,48528	21	0
113	335	129	343	0,00001	19,31370	19,31371	17	0
116	266	105	281	0,00005	19,55630	19,55635	18	0
117	262	130	250	-0,00004	17,97060	17,97056	14	0
118	304	111	290	-0,00001	16,89950	16,89949	16	0
119	247	126	235	0,00001	16,31370	16,31371	17	0
101	476	118	472	0,00001	20,31370	20,31371	23	0
101	647	108	627	-0,00001	22,89950	22,89949	15	0
103	517	113	533	0,00004	20,14210	20,14214	19	0
104	245	85	241	-0,00005	20,65690	20,65685	12	0
104	305	116	289	-0,00004	20,97060	20,97056	11	0
105	662	107	641	0,00003	21,82840	21,82843	8	0
106	495	87	490	-0,00003	21,07110	21,07107	11	0
107	266	111	246	-0,00005	21,65690	21,65685	11	0
11	462	15	443	-0,00005	20,65690	20,65685	6	0
110	321	117	300	-0,00001	23,89950	23,89949	23	0
100	286	83	267	0,00000	27,21320	27,21320	29	0
100	665	122	658	-0,00001	24,89950	24,89949	10	0
101	680	96	658	-0,00003	24,07110	24,07107	10	0
102	251	79	241	0,00004	27,14210	27,14214	21	0
103	330	88	351	0,00000	27,21320	27,21320	22	0
107	402	125	384	-0,00001	27,79900	27,79899	19	0
108	397	85	390	0,00002	26,72790	26,72792	38	0
109	289	98	311	0,00005	26,55630	26,55635	16	0
109	424	114	446	-0,00005	24,65690	24,65685	15	0
109	671	109	698	0,00000	27,00000	27,00000	6	0
102	302	73	306	-0,00005	30,65690	30,65685	20	0
102	327	124	309	0,00004	29,45580	29,45584	21	0
102	341	132	338	0,00004	31,24260	31,24264	11	0
102	616	87	639	0,00000	29,21320	29,21320	18	0
103	473	80	454	-0,00004	30,87010	30,87006	15	0
103	648	81	670	-0,00000	31,11270	31,11270	13	0
103	665	88	642	0,00000	29,21320	29,21320	15	0
104	444	81	425	-0,00004	30,87010	30,87006	11	0
104	582	99	555	-0,00003	29,07110	29,07107	9	0
105	252	110	223	-0,00003	31,07110	31,07107	9	0
