type: dao
name: ost001d
algorithm: jpsplus
preprossessing [ms]: 24

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
100	123	97	124	0,00000	3,41421	3,41421	6	0
100	151	100	151	0,00000	0,00000	0,00000	1	0
100	93	100	94	0,00000	1,00000	1,00000	6	0
101	82	103	80	-0,00000	2,82843	2,82843	5	0
102	71	100	71	0,00000	2,00000	2,00000	5	0
103	82	101	79	-0,00000	3,82843	3,82843	8	0
104	71	106	69	-0,00000	2,82843	2,82843	5	0
104	76	102	75	0,00000	2,41421	2,41421	6	0
104	95	102	95	0,00000	2,00000	2,00000	6	0
105	100	102	102	-0,00000	3,82843	3,82843	8	0
100	65	95	62	0,00000	6,24264	6,24264	6	0
100	69	98	74	-0,00000	5,82843	5,82843	6	0
100	73	107	74	0,00000	7,41421	7,41421	6	0
100	77	104	71	0,00000	7,65685	7,65685	7	0
100	79	106	81	-0,00000	6,82843	6,82843	8	0
101	85	106	87	-0,00000	5,82843	5,82843	8	0
102	122	97	121	0,00000	5,41421	5,41421	5	0
102	59	103	65	0,00000	6,41421	6,41421	6	0
102	61	102	66	0,00000	5,00000	5,00000	5	0
102	81	98	76	0,00000	6,65685	6,65685	9	0
100	129	102	140	0,00003	11,82840	11,82843	7	0
100	133	104	123	-0,00005	11,65690	11,65685	6	0
100	69	102	60	-0,00000	9,82843	9,82843	6	0
100	72	109	78	-0,00002	11,48530	11,48528	11	0
100	94	96	88	0,00000	8,24264	8,24264	9	0
101	124	91	120	-0,00005	11,65690	11,65685	6	0
101	132	97	123	-0,00005	10,65690	10,65685	6	0
101	140	95	134	0,00003	10,82840	10,82843	12	0
101	66	106	73	-0,00000	9,07107	9,07107	10	0
101	77	100	67	0,00001	10,41420	10,41421	7	0
100	106	111	110	-0,00005	12,65690	12,65685	13	0
100	117	85	119	0,00003	15,82840	15,82843	8	0
100	125	104	136	-0,00005	12,65690	12,65685	7	0
100	130	114	132	0,00003	14,82840	14,82843	7	0
100	135	86	132	0,00004	15,24260	15,24264	7	0
100	67	98	79	0,00003	12,82840	12,82843	6	0
100	69	88	67	0,00003	12,82840	12,82843	6	0
100	75	109	85	0,00002	13,72790	13,72792	16	0
100	78	89	89	0,00005	15,55630	15,55635	12	0
100	80	111	88	0,00001	14,31370	14,31371	14	0
100	103	99	88	-0,00002	18,48530	18,48528	16	0
100	106	105	90	-0,00003	18,07110	18,07107	14	0
100	134	86	122	-0,00004	18,97060	18,97056	6	0
100	135	88	120	-0,00004	19,97060	19,97056	6	0
100	64	84	60	-0,00005	17,65690	17,65685	8	0
100	73	117	78	-0,00003	19,07110	19,07107	13	0
100	76	113	86	0,00004	17,14210	17,14214	18	0
100	78	96	61	-0,00005	18,65690	18,65685	9	0
100	79	106	63	-0,00002	18,48530	18,48528	11	0
100	79	83	85	-0,00002	19,48530	19,48528	10	0
100	105	85	95	0,00005	20,55630	20,55635	14	0
100	106	78	103	0,00004	23,24260	23,24264	12	0
100	107	82	99	0,00001	21,31370	21,31371	16	0
100	125	89	141	0,00005	20,55630	20,55635	8	0
100	133	84	120	-0,00002	21,38480	21,38478	6	0
100	151	81	140	0,00005	23,55630	23,55635	13	0
100	64	99	85	0,00001	21,41420	21,41421	7	0
100	66	82	80	-0,00001	23,79900	23,79899	10	0
100	66	83	75	0,00002	20,72790	20,72792	8	0
100	66	92	85	0,00001	22,31370	22,31371	6	0
100	103	126	103	0,00000	26,00000	26,00000	6	0
100	108	83	90	0,00000	26,21320	26,21320	18	0
100	109	79	97	-0,00004	25,97060	25,97056	16	0
100	129	93	150	-0,00001	25,89950	25,89949	17	0
100	136	79	129	-0,00002	24,48530	24,48528	8	0
100	151	77	139	-0,00004	27,97060	27,97056	13	0
100	64	81	80	0,00002	25,62740	25,62742	12	0
100	71	88	94	-0,00004	27,97060	27,97056	11	0
100	75	79	84	0,00002	24,72790	24,72792	11	0
100	86	105	63	-0,00003	25,07110	25,07107	11	0
100	104	110	79	0,00004	29,14210	29,14214	23	0
100	105	125	90	0,00000	31,21320	31,21320	24	0
100	109	102	79	-0,00005	31,65690	31,65685	18	0
100	117	81	140	-0,00004	30,87010	30,87006	10	0
100	118	91	144	0,00002	29,72790	29,72792	12	0
100	123	78	143	-0,00003	30,28430	30,28427	11	0
100	127	72	124	0,00004	29,24260	29,24264	6	0
100	141	82	122	-0,00001	30,79900	30,79899	17	0
100	150	101	127	0,00004	28,24260	28,24264	13	0
100	63	95	89	-0,00003	28,07110	28,07107	8	0
100	105	123	115	0,00001	32,31370	32,31371	30	0
100	106	121	117	0,00002	34,72790	34,72792	32	0
100	126	74	146	-0,00003	34,28430	34,28427	11	0
