type: dao
name: ost003d
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
100	130	99	127	0,00000	3,41421	3,41421	23	0
100	174	102	173	0,00000	2,41421	2,41421	16	0
100	188	103	189	0,00000	3,41421	3,41421	19	0
100	67	101	66	0,00000	1,41421	1,41421	9	0
100	98	101	98	0,00000	1,00000	1,00000	9	0
101	85	101	84	0,00000	1,00000	1,00000	9	0
102	173	99	171	-0,00000	3,82843	3,82843	23	0
102	78	103	78	0,00000	1,00000	1,00000	9	0
102	94	104	92	-0,00000	2,82843	2,82843	16	0
103	101	102	100	0,00000	1,41421	1,41421	6	0
100	101	102	97	-0,00000	4,82843	4,82843	33	0
100	177	107	175	-0,00000	7,82843	7,82843	57	0
100	65	94	64	0,00000	6,41421	6,41421	44	0
100	85	100	90	0,00000	5,00000	5,00000	37	0
100	91	103	88	0,00000	4,24264	4,24264	23	0
101	125	100	132	0,00000	7,41421	7,41421	51	0
101	140	107	139	0,00000	6,41421	6,41421	29	0
101	148	104	153	0,00000	6,24264	6,24264	43	0
101	150	101	154	0,00000	4,00000	4,00000	29	0
101	153	97	151	-0,00000	4,82843	4,82843	25	0
100	112	94	117	0,00000	8,65685	8,65685	37	0
100	118	89	118	0,00000	11,00000	11,00000	79	0
100	122	105	131	-0,00003	11,07110	11,07107	90	0
100	126	98	134	-0,00000	8,82843	8,82843	69	0
100	63	108	59	0,00000	9,65685	9,65685	52	0
100	69	103	77	0,00000	9,24264	9,24264	76	0
100	73	108	76	0,00000	9,24264	9,24264	73	0
100	74	91	68	-0,00002	11,48530	11,48528	100	0
100	75	108	78	0,00000	9,24264	9,24264	73	0
100	80	110	77	0,00004	11,24260	11,24264	97	0
100	113	99	126	0,00001	13,41420	13,41421	93	0
100	116	112	125	0,00002	15,72790	15,72792	134	0
100	119	109	129	0,00002	13,72790	13,72792	96	0
100	133	105	120	-0,00003	15,07110	15,07107	144	0
100	145	112	139	-0,00003	15,07110	15,07107	138	0
100	148	110	141	-0,00001	12,89950	12,89949	109	0
100	148	111	159	0,00005	15,55630	15,55635	79	0
100	176	105	189	-0,00003	15,07110	15,07107	140	0
100	179	112	176	0,00004	13,24260	13,24264	97	0
100	180	99	168	0,00001	12,41420	12,41421	86	1
100	116	116	116	0,00000	16,00000	16,00000	114	0
100	119	84	112	-0,00001	18,89950	18,89949	155	0
100	120	116	127	-0,00001	18,89950	18,89949	195	0
100	121	94	135	-0,00002	16,48530	16,48528	161	0
100	127	110	115	0,00004	16,14210	16,14214	130	0
100	128	110	113	0,00004	19,14210	19,14214	189	0
100	169	96	184	-0,00005	16,65690	16,65685	163	0
100	181	88	169	-0,00004	16,97060	16,97056	86	0
100	72	86	62	0,00004	18,14210	18,14214	171	0
100	82	116	75	-0,00001	18,89950	18,89949	178	0
100	113	84	106	0,00004	23,14210	23,14214	167	0
100	117	119	124	-0,00001	21,89950	21,89949	240	0
100	117	122	118	0,00001	22,41420	22,41421	156	0
100	123	80	122	0,00001	20,41420	20,41421	142	0
100	149	83	157	0,00001	20,31370	20,31371	175	0
100	173	119	168	-0,00003	21,07110	21,07107	218	0
100	175	81	184	-0,00001	23,89950	23,89949	315	0
100	181	114	164	-0,00001	22,79900	22,79899	204	0
100	185	109	167	0,00002	21,72790	21,72792	219	0
100	69	100	90	0,00000	21,00000	21,00000	149	0
100	125	118	108	0,00003	25,04160	25,04163	176	0
100	151	122	140	0,00005	26,55630	26,55635	320	1
100	153	75	149	0,00004	27,24260	27,24264	242	0
100	170	114	149	-0,00004	27,97060	27,97056	312	0
100	172	126	171	0,00001	26,41420	26,41421	184	0
100	174	75	169	-0,00003	27,07110	27,07107	312	0
100	176	81	159	0,00003	26,04160	26,04163	196	0
100	67	96	90	-0,00005	24,65690	24,65685	238	0
100	83	98	108	-0,00005	26,65690	26,65685	268	0
101	113	118	96	0,00005	27,55630	27,55635	217	1
100	100	122	100	-0,00002	28,38480	28,38478	283	0
100	101	75	100	-0,00001	29,89950	29,89949	351	0
100	113	73	125	-0,00004	31,97060	31,97056	348	0
100	115	124	97	0,00004	31,45580	31,45584	226	0
100	121	90	98	0,00001	30,31370	30,31371	319	0
100	144	89	168	0,00005	28,55630	28,55635	225	0
100	148	123	164	0,00002	29,62740	29,62742	348	0
100	149	72	157	0,00001	31,31370	31,31371	363	0
100	152	77	138	-0,00001	28,79900	28,79899	301	0
100	170	74	159	0,00005	30,55630	30,55635	335	0
100	100	67	103	-0,00001	35,89950	35,89949	365	0
100	101	97	70	0,00004	32,24260	32,24264	280	0
100	117	115	92	-0,00001	33,79900	33,79899	287	0
100	120	128	106	-0,00001	33,79900	33,79899	454	0
100	141	78	166	-0,00000	34,11270	34,11270	165	0
100	171	82	148	-0,00004	33,97060	33,97056	361	1
100	177	130	169	0,00001	33,31370	33,31371	424	0
100	180	73	164	0,00002	33,62740	33,62742	443	0
100	62	96	94	-0,00005	33,65690	33,65685	342	0
100	70	95	103	-0,00003	35,07110	35,07107	388	1
100	100	86	82	-0,00002	38,48530	38,48528	706	0
100	104	100	67	0,00000	37,00000	37,00000	258	0
100	104	103	67	0,00004	38,24260	38,24264	355	1
100	116	98	92	0,00005	37,55630	37,55635	507	0
100	141	135	136	-0,00003	37,07110	37,07107	324	0
100	142	128	165	0,00001	37,52690	37,52691	384	0
100	146	70	163	0,00003	37,04160	37,04163	452	1
100	147	66	157	0,00004	38,14210	38,14214	495	0
100	150	131	163	-0,00002	36,38480	36,38478	504	0
100	167	62	168	0,00001	38,41420	38,41421	259	0
100	121	113	87	0,00004	42,45580	42,45584	482	1
100	126	75	96	0,00003	40,94110	40,94113	404	0
100	129	100	100	0,00003	41,04160	41,04163	825	1
100	141	106	179	-0,00002	40,48530	40,48528	362	0
100	141	89	179	0,00005	42,55630	42,55635	343	0
100	147	64	164	0,00003	43,04160	43,04163	581	1
100	151	125	181	0,00004	40,35530	40,35534	380	0
100	152	93	186	0,00000	40,21320	40,21320	409	0
100	167	57	167	0,00000	43,00000	43,00000	294	0
100	168	138	177	0,00002	41,72790	41,72792	576	0
100	102	111	122	-0,00004	45,97060	45,97056	719	1
100	108	106	125	0,00004	46,45580	46,45584	473	0
100	109	92	80	-0,00003	44,07110	44,07107	646	1
100	116	123	83	-0,00004	44,87010	44,87006	455	0
100	126	135	99	-0,00003	46,18380	46,18377	575	1
100	128	101	93	-0,00000	45,11270	45,11270	829	0
100	128	64	104	0,00003	45,94110	45,94113	645	1
100	129	62	138	-0,00004	47,97060	47,97056	571	0
100	131	71	99	-0,00001	44,01220	44,01219	383	0
100	141	134	174	0,00005	47,66900	47,66905	235	0
100	116	117	74	-0,00002	51,38480	51,38478	406	1
100	116	71	84	0,00004	50,45580	50,45584	611	0
100	117	62	137	0,00002	48,62740	48,62742	680	1
100	128	73	89	-0,00003	50,18380	50,18377	600	0
100	133	119	92	-0,00004	48,87010	48,87006	670	1
100	145	67	180	0,00003	49,25480	49,25483	421	0
100	147	138	119	0,00004	51,35530	51,35534	522	0
100	183	57	166	0,00003	50,04160	50,04163	798	1
100	188	119	144	-0,00004	51,87010	51,87006	781	0
100	188	85	146	0,00000	48,21320	48,21320	643	1
100	108	119	115	0,00002	54,62740	54,62742	708	0
100	112	104	76	-0,00003	52,28430	52,28427	508	1
100	117	102	77	0,00002	54,62740	54,62742	1063	1
100	121	49	128	-0,00001	53,89950	53,89949	627	0
100	122	59	144	-0,00001	54,79900	54,79899	777	1
100	130	98	86	-0,00003	52,28430	52,28427	887	0
100	143	125	188	0,00004	55,35530	55,35534	873	1
100	143	128	185	-0,00002	53,59800	53,59798	789	1
100	150	147	144	0,00002	53,62740	53,62742	802	1
100	151	56	160	0,00002	55,62740	55,62742	1076	1
100	122	47	133	0,00005	57,55630	57,55635	728	0
100	124	45	136	-0,00004	59,97060	59,97056	718	1
100	141	133	186	0,00005	58,66900	58,66905	850	1
100	142	72	188	-0,00002	57,59800	57,59798	745	0
100	152	132	152	-0,00002	59,69850	59,69848	1618	2
100	152	137	113	-0,00001	59,01220	59,01219	653	0
100	171	52	157	0,00004	56,14210	56,14214	1036	1
100	181	49	162	-0,00004	58,87010	58,87006	1010	1
100	62	126	108	-0,00005	56,76960	56,76955	834	1
100	65	74	114	-0,00005	59,76960	59,76955	928	1
100	108	121	127	-0,00003	62,28430	62,28427	895	0
100	109	55	131	0,00003	60,25480	60,25483	617	1
100	114	81	72	0,00004	62,45580	62,45584	1048	1
100	117	76	70	-0,00001	62,79900	62,79899	844	0
100	119	92	72	-0,00002	62,69850	62,69848	1129	1
100	120	106	67	-0,00005	63,76960	63,76955	876	1
