type: dao
name: ost101d
algorithm: jps
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
389	447	392	446	0,00000	3,41421	3,41421	7	0
390	442	391	443	0,00000	1,41421	1,41421	4	0
390	443	392	446	-0,00000	3,82843	3,82843	6	0
390	444	390	444	0,00000	0,00000	0,00000	1	0
390	446	390	448	0,00000	2,00000	2,00000	5	0
391	443	390	446	0,00000	3,41421	3,41421	6	0
391	448	391	446	0,00000	2,00000	2,00000	4	0
391	449	393	446	-0,00000	3,82843	3,82843	6	0
392	444	394	444	0,00000	2,00000	2,00000	4	0
392	445	389	446	0,00000	3,41421	3,41421	5	0
388	443	392	445	-0,00000	4,82843	4,82843	8	0
389	443	393	441	-0,00000	4,82843	4,82843	8	0
389	443	396	445	-0,00000	7,82843	7,82843	7	0
390	444	397	445	0,00000	7,41421	7,41421	5	0
390	446	394	441	0,00000	6,65685	6,65685	8	0
390	447	394	444	0,00000	5,24264	5,24264	7	0
391	442	395	444	-0,00000	4,82843	4,82843	7	0
391	443	395	448	0,00000	6,65685	6,65685	8	0
391	445	394	451	0,00000	7,24264	7,24264	7	0
391	447	393	443	-0,00000	4,82843	4,82843	7	0
389	442	397	443	0,00000	8,41421	8,41421	7	0
389	445	399	441	-0,00005	11,65690	11,65685	8	0
390	445	398	440	-0,00003	10,07110	10,07107	7	0
390	446	398	448	-0,00000	8,82843	8,82843	6	0
391	442	393	450	-0,00000	8,82843	8,82843	7	0
391	443	399	440	0,00000	9,24264	9,24264	7	0
391	444	402	443	0,00001	11,41420	11,41421	5	0
391	448	397	443	-0,00000	8,07107	8,07107	7	0
391	449	391	441	0,00000	8,00000	8,00000	5	0
392	442	396	450	0,00000	9,65685	9,65685	8	0
387	445	400	449	-0,00005	14,65690	14,65685	9	0
388	445	399	448	0,00004	12,24260	12,24264	7	0
388	445	400	447	0,00003	12,82840	12,82843	7	0
389	444	398	455	0,00002	14,72790	14,72792	9	0
389	444	402	439	-0,00005	15,65690	15,65685	12	0
389	447	402	449	0,00003	13,82840	13,82843	9	0
389	447	403	447	0,00000	14,00000	14,00000	6	0
390	447	401	440	-0,00001	13,89950	13,89949	10	0
390	447	403	454	-0,00001	15,89950	15,89949	9	0
390	447	404	451	-0,00005	15,65690	15,65685	7	0
387	445	404	449	-0,00005	18,65690	18,65685	9	0
387	446	406	448	0,00003	19,82840	19,82843	7	0
388	443	399	456	0,00005	17,55630	17,55635	12	0
388	443	401	452	0,00002	16,72790	16,72792	12	0
388	443	404	441	0,00003	16,82840	16,82843	12	0
388	445	403	439	-0,00002	17,48530	17,48528	13	0
388	445	403	448	0,00004	16,24260	16,24264	7	0
388	446	404	440	-0,00002	18,48530	18,48528	14	0
388	446	404	441	-0,00003	18,07110	18,07107	9	0
389	443	406	439	-0,00005	18,65690	18,65685	17	0
387	445	407	439	-0,00002	22,48530	22,48528	20	0
387	445	409	442	0,00004	23,24260	23,24264	13	0
387	446	407	437	0,00002	23,72790	23,72792	15	0
388	443	407	448	-0,00003	21,07110	21,07107	12	0
388	445	406	440	-0,00003	20,07110	20,07107	15	1
388	445	406	456	0,00005	22,55630	22,55635	9	0
388	446	407	435	0,00005	23,55630	23,55635	15	0
388	446	408	455	0,00002	23,72790	23,72792	9	0
389	442	405	459	0,00002	23,62740	23,62742	12	0
389	443	409	436	-0,00001	22,89950	22,89949	16	0
