type: dao
name: oth001d
algorithm: jps
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
100	346	160	259	TRUE	No	Path	Exists	0
100	346	213	204	TRUE	No	Path	Exists	0
100	346	223	87	TRUE	No	Path	Exists	0
100	346	225	199	TRUE	No	Path	Exists	1
100	346	226	179	TRUE	No	Path	Exists	0
100	346	255	96	TRUE	No	Path	Exists	0
100	346	362	282	TRUE	No	Path	Exists	0
100	346	50	57	TRUE	No	Path	Exists	0
100	347	187	218	TRUE	No	Path	Exists	0
100	347	191	217	TRUE	No	Path	Exists	0
102	357	108	357	0,00000	6,00000	6,00000	4	0
104	353	98	356	0,00000	7,24264	7,24264	6	0
108	349	102	348	0,00000	6,41421	6,41421	7	0
109	357	105	358	0,00000	4,41421	4,41421	6	0
110	345	111	350	0,00000	5,41421	5,41421	7	0
110	354	107	358	0,00000	5,24264	5,24264	9	0
112	347	110	353	-0,00000	6,82843	6,82843	7	0
112	350	108	347	0,00000	5,24264	5,24264	7	0
115	350	109	347	0,00000	7,24264	7,24264	7	0
120	349	116	355	0,00000	7,65685	7,65685	7	0
100	356	109	352	-0,00005	10,65690	10,65685	7	1
101	349	94	345	0,00000	9,24264	9,24264	8	0
101	355	92	350	-0,00003	11,07110	11,07107	7	0
102	348	105	358	0,00004	11,24260	11,24264	10	0
103	354	107	347	0,00000	8,65685	8,65685	8	0
103	356	93	356	0,00000	10,00000	10,00000	6	0
103	358	101	349	-0,00000	9,82843	9,82843	6	0
104	347	103	358	0,00001	11,41420	11,41421	7	0
104	358	111	354	0,00000	8,65685	8,65685	7	0
106	350	116	354	-0,00005	11,65690	11,65685	8	0
100	354	111	346	0,00001	14,31370	14,31371	11	0
101	350	115	353	0,00004	15,24260	15,24264	8	0
102	355	92	350	-0,00003	12,07110	12,07107	7	0
103	359	112	349	0,00002	13,72790	13,72792	8	0
104	358	117	357	0,00004	14,24260	14,24264	7	0
105	347	92	353	-0,00002	15,48530	15,48528	8	0
108	347	122	346	0,00001	14,41420	14,41421	7	0
111	356	120	348	0,00001	12,31370	12,31371	10	0
112	354	98	351	0,00004	15,24260	15,24264	6	0
115	344	126	351	-0,00001	13,89950	13,89949	12	0
103	358	119	351	-0,00001	18,89950	18,89949	7	0
104	358	87	352	-0,00002	19,48530	19,48528	8	0
106	358	94	346	-0,00004	16,97060	16,97056	6	0
108	343	118	356	0,00004	17,14210	17,14214	13	0
111	344	129	348	-0,00005	19,65690	19,65685	8	0
111	352	127	347	-0,00003	18,07110	18,07107	10	0
112	356	128	349	-0,00001	18,89950	18,89949	9	0
113	355	97	357	0,00001	17,41420	17,41421	12	0
115	355	131	349	-0,00002	18,48530	18,48528	8	1
116	355	101	349	-0,00002	17,48530	17,48528	7	0
102	353	122	348	-0,00003	22,07110	22,07107	9	0
102	359	121	347	-0,00004	23,97060	23,97056	12	0
104	359	124	351	-0,00001	23,89950	23,89949	8	0
105	347	85	347	0,00000	20,00000	20,00000	6	0
106	346	85	347	0,00001	21,41420	21,41421	12	0
107	345	125	352	-0,00001	20,89950	20,89949	15	0
109	352	89	349	0,00004	21,24260	21,24264	7	0
113	352	92	351	0,00001	21,41420	21,41421	6	0
115	348	94	350	0,00003	21,82840	21,82843	8	0
115	349	136	349	0,00000	21,00000	21,00000	6	0
104	356	82	345	0,00005	26,55630	26,55635	15	0
109	353	84	349	-0,00005	26,65690	26,65685	7	0
110	355	134	350	-0,00003	26,07110	26,07107	10	0
111	343	134	348	-0,00005	25,65690	25,65685	9	0
111	355	135	353	0,00001	27,31370	27,31371	13	0
112	356	135	351	-0,00001	25,89950	25,89949	12	0
114	349	139	347	0,00003	25,82840	25,82843	10	0
116	346	93	350	-0,00005	24,65690	24,65685	9	0
117	354	94	345	0,00001	27,31370	27,31371	11	0
118	351	93	349	0,00003	25,82840	25,82843	6	0
100	45	73	38	-0,00001	29,89950	29,89949	17	0
102	357	77	345	-0,00004	29,97060	29,97056	15	0
105	352	77	344	0,00001	31,31370	31,31371	18	0
112	346	139	355	0,00002	30,72790	30,72792	14	1
113	349	82	347	0,00003	31,82840	31,82843	7	0
113	349	86	345	-0,00005	28,65690	28,65685	12	0
116	349	144	355	-0,00002	30,48530	30,48528	12	0
117	343	143	353	0,00004	30,14210	30,14214	14	0
121	353	149	345	0,00001	31,31370	31,31371	12	0
122	348	151	355	-0,00001	31,89950	31,89949	14	0
103	356	134	353	0,00002	34,72790	34,72792	8	0
106	355	136	352	-0,00001	32,89950	32,89949	12	0
115	344	83	349	-0,00003	34,07110	34,07107	14	0
115	348	81	345	0,00004	35,24260	35,24264	16	0
120	348	87	350	0,00003	33,82840	33,82843	8	0
121	353	88	354	0,00001	33,41420	33,41421	6	0
122	349	153	354	-0,00003	33,07110	33,07107	12	0
123	345	154	345	-0,00003	34,07110	34,07107	14	0
124	347	93	357	0,00002	35,72790	35,72792	21	0
132	250	148	278	0,00002	34,62740	34,62742	14	0
104	356	138	357	-0,00004	39,97060	39,97056	13	0
106	352	140	356	0,00001	37,31370	37,31371	14	0
106	353	142	350	0,00004	37,24260	37,24264	9	0
108	343	142	344	0,00002	37,72790	37,72792	14	0
108	347	144	346	0,00004	37,24260	37,24264	13	0
109	350	73	343	-0,00001	38,89950	38,89949	20	1
110	351	145	344	-0,00001	37,89950	37,89949	14	0
114	353	147	355	0,00001	36,31370	36,31371	12	0
115	345	79	346	0,00001	36,41420	36,41421	13	0
117	350	152	345	-0,00003	37,07110	37,07107	13	0
100	353	138	354	-0,00001	40,89950	40,89949	13	0
101	45	60	43	0,00003	41,82840	41,82843	12	0
105	351	145	344	-0,00001	42,89950	42,89949	16	0
