type: dao
name: rmtst01
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
1	23	3	22	0,00000	2,41421	2,41421	14	0
10	12	13	12	0,00000	3,00000	3,00000	23	0
10	2	8	4	-0,00000	2,82843	2,82843	10	0
10	32	10	33	0,00000	1,00000	1,00000	6	0
10	33	108	16	TRUE	No	Path	Exists	7
10	6	13	6	0,00000	3,00000	3,00000	17	0
10	8	12	8	0,00000	2,00000	2,00000	16	0
10	9	7	10	0,00000	3,41421	3,41421	23	0
100	10	99	7	0,00000	3,41421	3,41421	23	0
100	14	84	10	TRUE	No	Path	Exists	9
1	12	6	12	0,00000	5,00000	5,00000	28	0
1	12	8	12	0,00000	7,00000	7,00000	42	0
1	23	3	16	-0,00000	7,82843	7,82843	27	0
1	29	6	33	-0,00000	7,82843	7,82843	31	0
10	10	4	10	0,00000	6,00000	6,00000	44	0
10	11	13	17	0,00000	7,24264	7,24264	40	0
10	12	3	14	-0,00000	7,82843	7,82843	47	0
10	16	6	13	0,00000	7,00000	7,00000	18	0
10	20	13	15	0,00000	7,41421	7,41421	37	0
10	25	13	19	0,00000	7,24264	7,24264	52	0
1	2	6	9	-0,00000	9,07107	9,07107	53	0
10	23	14	30	0,00000	8,65685	8,65685	68	0
10	3	9	11	-0,00000	9,82843	9,82843	59	0
10	33	13	26	-0,00000	8,82843	8,82843	51	0
10	37	9	33	0,00000	8,41421	8,41421	53	0
10	38	16	32	-0,00000	9,07107	9,07107	41	0
100	14	91	8	-0,00002	11,48530	11,48528	100	0
100	15	103	24	0,00004	10,24260	10,24264	79	0
100	20	91	15	-0,00003	11,07110	11,07107	90	0
100	20	96	27	0,00000	8,65685	8,65685	70	0
1	2	6	12	-0,00003	12,07110	12,07107	70	0
1	20	3	35	0,00003	15,82840	15,82843	52	0
1	23	5	11	-0,00005	13,65690	13,65685	56	0
1	3	12	8	-0,00003	13,07110	13,07107	83	0
10	16	21	22	-0,00002	13,48530	13,48528	78	0
10	20	9	10	0,00004	13,24260	13,24264	67	0
10	21	9	11	0,00004	13,24260	13,24264	81	0
10	24	21	29	-0,00003	13,07110	13,07107	101	0
10	33	16	22	-0,00003	14,07110	14,07107	103	0
100	16	90	27	0,00004	15,14210	15,14214	106	0
1	13	17	4	0,00002	19,72790	19,72792	146	0
1	14	11	20	0,00003	16,82840	16,82843	109	0
1	22	13	9	0,00002	19,72790	19,72792	99	0
1	26	4	10	0,00004	17,24260	17,24264	72	0
1	26	7	11	-0,00002	17,48530	17,48528	59	0
1	29	15	33	0,00003	16,82840	16,82843	82	0
10	10	11	27	0,00004	18,24260	18,24264	129	0
10	12	12	28	0,00001	17,41420	17,41421	106	0
10	12	18	25	-0,00001	16,89950	16,89949	118	1
10	12	21	22	-0,00001	16,89950	16,89949	126	0
1	13	19	4	0,00002	21,72790	21,72792	166	0
1	15	10	25	0,00004	21,24260	21,24264	145	0
1	15	18	2	-0,00002	22,38480	22,38478	150	0
1	2	22	3	0,00004	22,24260	22,24264	97	0
1	23	1	2	-0,00005	22,65690	22,65685	104	0
1	26	13	16	0,00003	20,82840	20,82843	58	0
1	4	1	22	0,00004	20,24260	20,24264	107	0
10	12	26	20	-0,00003	21,07110	21,07107	161	0
10	23	14	4	-0,00005	20,65690	20,65685	139	0
10	23	22	11	-0,00005	21,65690	21,65685	209	0
1	14	13	29	0,00004	25,24260	25,24264	183	1
1	2	20	8	0,00004	25,24260	25,24264	218	0
