type: dao
name: rmtst03
algorithm: jps
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
1	21	2	23	0,00000	2,41421	2,41421	4	0
1	27	3	26	0,00000	2,41421	2,41421	5	0
1	5	3	5	0,00000	2,00000	2,00000	3	0
10	21	11	21	0,00000	1,00000	1,00000	4	0
10	27	12	25	-0,00000	2,82843	2,82843	4	0
10	33	12	32	0,00000	2,41421	2,41421	6	0
10	8	9	9	0,00000	1,41421	1,41421	5	0
100	10	101	10	0,00000	1,00000	1,00000	4	0
100	25	99	22	0,00000	3,41421	3,41421	8	0
100	35	100	32	0,00000	3,00000	3,00000	5	0
1	14	3	18	0,00000	5,41421	5,41421	6	0
1	14	6	11	0,00000	6,24264	6,24264	9	0
1	15	8	13	-0,00000	7,82843	7,82843	8	0
1	20	1	27	0,00000	7,00000	7,00000	4	0
1	5	7	8	0,00000	7,24264	7,24264	10	0
10	12	10	7	0,00000	5,00000	5,00000	6	0
10	13	14	17	-0,00000	6,82843	6,82843	11	0
10	27	12	30	0,00000	6,41421	6,41421	9	0
100	11	101	16	0,00000	5,41421	5,41421	4	0
100	13	95	16	0,00000	6,24264	6,24264	6	0
1	5	9	10	-0,00003	10,07110	10,07107	11	0
10	13	13	22	0,00001	11,41420	11,41421	11	0
10	21	12	30	0,00004	11,24260	11,24264	11	0
10	24	13	16	0,00000	9,24264	9,24264	9	0
10	24	15	16	-0,00003	10,07110	10,07107	10	0
10	34	16	28	0,00000	8,48528	8,48528	9	0
10	38	7	34	0,00000	8,41421	8,41421	11	0
10	4	10	13	0,00001	10,41420	10,41421	11	0
10	8	6	15	0,00000	8,65685	8,65685	7	0
100	13	93	9	0,00000	8,65685	8,65685	7	0
1	12	12	15	0,00001	13,41420	13,41421	12	0
1	13	14	12	0,00001	13,41420	13,41421	10	0
1	23	3	37	0,00003	14,82840	14,82843	8	0
1	24	7	11	-0,00002	15,48530	15,48528	14	0
1	5	14	10	-0,00003	15,07110	15,07107	14	0
10	10	14	21	-0,00005	12,65690	12,65685	13	0
10	11	18	2	-0,00001	12,89950	12,89949	13	0
10	12	18	23	-0,00001	14,89950	14,89949	18	0
10	12	5	2	-0,00003	12,07110	12,07107	10	0
10	2	20	3	0,00001	12,41420	12,41421	10	0
1	23	11	34	-0,00003	18,07110	18,07107	11	0
1	25	6	10	-0,00003	17,07110	17,07107	13	0
1	26	7	9	-0,00002	19,48530	19,48528	15	0
