type: mazes
name: maze512-1-2
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
466	335	467	339	0,00000	7,00000	7,00000	10	0
292	167	295	166	0,00000	4,00000	4,00000	6	0
233	358	231	359	0,00000	5,00000	5,00000	9	0
333	229	331	232	0,00000	5,00000	5,00000	8	0
236	451	237	448	0,00000	4,00000	4,00000	6	0
474	169	477	168	0,00000	4,00000	4,00000	7	0
503	505	501	506	0,00000	5,00000	5,00000	10	0
127	288	129	290	0,00000	4,00000	4,00000	8	0
509	499	511	497	0,00000	4,00000	4,00000	8	0
371	94	367	93	0,00000	7,00000	7,00000	13	0
278	125	277	131	0,00000	11,00000	11,00000	20	0
123	171	119	176	0,00000	11,00000	11,00000	25	0
11	489	17	490	0,00000	11,00000	11,00000	24	0
261	58	263	55	0,00000	9,00000	9,00000	15	0
230	465	239	466	0,00000	10,00000	10,00000	14	0
159	459	153	459	0,00000	10,00000	10,00000	15	0
200	213	199	207	0,00000	11,00000	11,00000	14	0
211	489	218	491	0,00000	9,00000	9,00000	12	0
118	455	113	458	0,00000	8,00000	8,00000	12	0
66	375	73	371	0,00000	11,00000	11,00000	15	0
315	289	325	286	0,00000	15,00000	15,00000	32	0
87	72	83	68	0,00000	12,00000	12,00000	19	0
71	36	79	39	0,00000	13,00000	13,00000	19	0
145	295	155	295	0,00000	14,00000	14,00000	21	0
39	245	39	239	0,00000	14,00000	14,00000	30	0
325	225	329	219	0,00000	14,00000	14,00000	25	0
231	430	239	431	0,00000	15,00000	15,00000	21	0
195	369	192	377	0,00000	15,00000	15,00000	29	0
453	277	456	267	0,00000	13,00000	13,00000	20	0
247	390	241	393	0,00000	15,00000	15,00000	29	0
215	311	213	321	0,00000	16,00000	16,00000	29	0
287	314	283	313	0,00000	17,00000	17,00000	33	0
193	179	179	183	0,00000	18,00000	18,00000	33	0
432	181	441	189	0,00000	17,00000	17,00000	23	0
191	175	204	177	0,00000	19,00000	19,00000	32	0
429	267	433	263	0,00000	16,00000	16,00000	38	0
305	447	300	451	0,00000	17,00000	17,00000	44	0
199	89	205	93	0,00000	18,00000	18,00000	29	0
395	305	389	298	0,00000	17,00000	17,00000	27	0
215	295	217	303	0,00000	18,00000	18,00000	33	0
427	354	431	359	0,00000	21,00000	21,00000	44	0
1	8	8	5	0,00000	20,00000	20,00000	51	0
137	216	143	225	0,00000	23,00000	23,00000	41	0
347	462	359	463	0,00000	23,00000	23,00000	46	0
190	87	185	98	0,00000	22,00000	22,00000	44	0
337	414	333	407	0,00000	21,00000	21,00000	46	0
185	139	177	145	0,00000	22,00000	22,00000	56	0
371	445	363	442	0,00000	21,00000	21,00000	46	0
263	115	253	115	0,00000	22,00000	22,00000	31	0
36	337	31	339	0,00000	21,00000	21,00000	37	0
53	57	49	71	0,00000	26,00000	26,00000	58	0
425	327	427	313	0,00000	24,00000	24,00000	42	0
49	57	37	47	0,00000	26,00000	26,00000	47	1
501	18	495	23	0,00000	25,00000	25,00000	42	0
139	409	148	405	0,00000	25,00000	25,00000	66	0
468	225	455	229	0,00000	25,00000	25,00000	37	0
381	407	384	427	0,00000	27,00000	27,00000	49	0
510	449	506	461	0,00000	24,00000	24,00000	47	0
131	509	121	503	0,00000	24,00000	24,00000	46	0
273	489	274	497	0,00000	27,00000	27,00000	51	0
162	175	166	171	0,00000	30,00000	30,00000	49	0
58	499	56	491	0,00000	28,00000	28,00000	68	0
421	319	419	315	0,00000	30,00000	30,00000	61	0
495	224	487	231	0,00000	29,00000	29,00000	68	0
419	2	427	7	0,00000	31,00000	31,00000	83	0
218	227	220	235	0,00000	30,00000	30,00000	55	0
61	154	69	155	0,00000	31,00000	31,00000	56	0
391	210	378	205	0,00000	30,00000	30,00000	87	0
112	233	109	219	0,00000	29,00000	29,00000	92	0
367	175	364	185	0,00000	31,00000	31,00000	51	0
419	227	417	217	0,00000	32,00000	32,00000	64	0
45	275	42	275	0,00000	35,00000	35,00000	82	0
383	199	368	189	0,00000	33,00000	33,00000	87	0
89	349	78	355	0,00000	33,00000	33,00000	73	0
223	184	251	185	0,00000	35,00000	35,00000	63	0
177	15	182	9	0,00000	35,00000	35,00000	80	0
26	437	14	439	0,00000	34,00000	34,00000	111	0
296	307	311	303	0,00000	35,00000	35,00000	95	0
477	376	479	372	0,00000	34,00000	34,00000	113	0
493	373	481	369	0,00000	32,00000	32,00000	101	0
282	335	280	349	0,00000	38,00000	38,00000	112	0
369	337	382	331	0,00000	39,00000	39,00000	107	0
233	235	229	241	0,00000	38,00000	38,00000	109	0
344	107	347	125	0,00000	39,00000	39,00000	64	0
497	441	499	429	0,00000	38,00000	38,00000	109	0
455	333	441	339	0,00000	36,00000	36,00000	97	0
293	416	291	419	0,00000	37,00000	37,00000	67	0
4	401	15	405	0,00000	39,00000	39,00000	84	0
183	272	163	275	0,00000	39,00000	39,00000	78	0
23	379	41	377	0,00000	36,00000	36,00000	67	0
157	349	156	371	0,00000	41,00000	41,00000	76	0
201	71	179	71	0,00000	42,00000	42,00000	105	0
489	455	475	447	0,00000	42,00000	42,00000	113	0
163	369	175	361	0,00000	40,00000	40,00000	107	0
265	109	251	117	0,00000	42,00000	42,00000	65	0
151	229	157	246	0,00000	43,00000	43,00000	56	0
128	227	131	233	0,00000	41,00000	41,00000	111	0
411	171	424	177	0,00000	43,00000	43,00000	82	1
432	275	411	273	0,00000	43,00000	43,00000	92	0
8	129	7	138	0,00000	40,00000	40,00000	91	0
425	299	425	311	0,00000	44,00000	44,00000	133	0
181	267	201	255	0,00000	44,00000	44,00000	132	0
493	119	499	127	0,00000	46,00000	46,00000	114	0
77	474	75	457	0,00000	45,00000	45,00000	84	0
481	472	473	453	0,00000	45,00000	45,00000	78	0
73	59	49	64	0,00000	45,00000	45,00000	110	0
311	368	310	361	0,00000	44,00000	44,00000	131	0
111	443	114	435	0,00000	45,00000	45,00000	168	0
245	279	265	286	0,00000	47,00000	47,00000	145	0
161	243	154	253	0,00000	45,00000	45,00000	100	0
31	245	44	235	0,00000	51,00000	51,00000	122	0
435	265	437	251	0,00000	48,00000	48,00000	122	0
213	93	194	77	0,00000	51,00000	51,00000	165	0
295	304	319	287	0,00000	49,00000	49,00000	127	0
29	290	11	291	0,00000	51,00000	51,00000	105	1
365	433	376	441	0,00000	49,00000	49,00000	132	0
103	383	89	373	0,00000	48,00000	48,00000	111	0
238	159	224	149	0,00000	48,00000	48,00000	95	0
91	330	113	318	0,00000	50,00000	50,00000	104	0
409	34	403	43	0,00000	51,00000	51,00000	122	0
170	269	147	265	0,00000	55,00000	55,00000	88	0
319	511	340	501	0,00000	55,00000	55,00000	129	0
308	377	317	362	0,00000	52,00000	52,00000	201	0
57	452	45	456	0,00000	54,00000	54,00000	197	0
488	59	491	35	0,00000	53,00000	53,00000	159	0
455	413	453	396	0,00000	55,00000	55,00000	165	0
459	130	451	127	0,00000	55,00000	55,00000	124	0
265	158	270	145	0,00000	52,00000	52,00000	129	0
320	5	306	5	0,00000	52,00000	52,00000	112	1
113	27	126	31	0,00000	55,00000	55,00000	113	0
127	183	111	209	0,00000	58,00000	58,00000	138	0
28	311	44	319	0,00000	56,00000	56,00000	173	0
293	374	309	368	0,00000	58,00000	58,00000	85	0
219	473	199	459	0,00000	58,00000	58,00000	168	0
166	371	165	361	0,00000	57,00000	57,00000	152	0
489	155	511	153	0,00000	56,00000	56,00000	132	0
63	453	44	445	0,00000	57,00000	57,00000	156	0
409	427	431	419	0,00000	58,00000	58,00000	283	0
178	143	201	157	0,00000	59,00000	59,00000	238	0
77	273	68	289	0,00000	57,00000	57,00000	153	0
478	503	475	483	0,00000	63,00000	63,00000	154	0
395	455	401	466	0,00000	61,00000	61,00000	146	1
67	127	41	112	0,00000	61,00000	61,00000	212	0
85	39	87	5	0,00000	60,00000	60,00000	167	0
309	125	297	129	0,00000	60,00000	60,00000	134	0
362	471	349	460	0,00000	62,00000	62,00000	181	0
60	409	63	437	0,00000	63,00000	63,00000	172	0
426	263	431	265	0,00000	61,00000	61,00000	145	0
100	19	109	30	0,00000	60,00000	60,00000	130	0
463	411	450	395	0,00000	63,00000	63,00000	224	0
197	21	171	1	0,00000	66,00000	66,00000	222	0
403	428	395	436	0,00000	66,00000	66,00000	141	0
369	127	359	103	0,00000	66,00000	66,00000	201	0
