type: mazes
name: maze512-32-0
algorithm: jps
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
351	444	356	439	-0,00000	7,07107	7,07107	3	1
68	169	73	173	0,00000	6,65685	6,65685	5	0
101	256	97	257	0,00000	4,41421	4,41421	4	0
234	114	238	120	0,00000	7,65685	7,65685	5	0
31	306	35	309	0,00000	5,24264	5,24264	4	1
45	330	51	333	0,00000	7,24264	7,24264	4	0
91	178	93	182	-0,00000	4,82843	4,82843	4	0
152	2	148	3	0,00000	4,41421	4,41421	4	0
471	148	468	143	0,00000	6,24264	6,24264	7	1
121	230	116	228	-0,00000	5,82843	5,82843	5	0
464	252	474	253	0,00001	10,41420	10,41421	6	1
55	422	54	433	0,00001	11,41420	11,41421	5	0
138	2	141	9	0,00000	8,24264	8,24264	4	0
331	191	340	197	-0,00002	11,48530	11,48528	5	0
238	510	233	502	-0,00003	10,07110	10,07107	5	3
128	170	130	180	0,00003	10,82840	10,82843	4	0
215	284	216	276	0,00000	8,41421	8,41421	4	0
89	374	87	364	0,00003	10,82840	10,82843	5	0
170	503	177	511	-0,00001	10,89950	10,89949	5	2
259	496	262	504	0,00000	9,24264	9,24264	6	3
145	189	135	195	-0,00002	12,48530	12,48528	4	1
414	460	423	471	0,00002	14,72790	14,72792	8	0
403	15	413	24	0,00002	13,72790	13,72792	4	0
115	74	125	84	0,00004	14,14210	14,14214	5	0
113	281	121	292	0,00001	14,31370	14,31371	7	0
4	257	3	242	0,00001	15,41420	15,41421	4	1
208	232	199	220	0,00002	15,72790	15,72792	5	0
86	38	74	39	0,00001	12,41420	12,41421	6	0
316	363	329	357	-0,00002	15,48530	15,48528	6	0
343	79	341	92	0,00003	13,82840	13,82843	6	1
255	384	271	382	0,00003	16,82840	16,82843	4	0
88	189	76	178	0,00005	16,55630	16,55635	4	0
50	22	33	26	-0,00005	18,65690	18,65685	5	1
332	84	349	78	-0,00002	19,48530	19,48528	5	0
243	63	257	56	-0,00001	16,89950	16,89949	5	0
81	142	97	145	0,00004	17,24260	17,24264	5	0
164	238	160	255	-0,00005	18,65690	18,65685	4	1
301	234	300	250	0,00001	16,41420	16,41421	6	0
22	291	8	277	-0,00001	19,79900	19,79899	3	0
110	87	126	78	0,00002	19,72790	19,72792	6	0
244	272	229	286	-0,00001	20,79900	20,79899	6	0
150	311	130	306	-0,00003	22,07110	22,07107	6	0
501	140	505	159	-0,00005	20,65690	20,65685	5	1
142	265	164	267	0,00003	22,82840	22,82843	5	0
274	44	292	51	-0,00001	20,89950	20,89949	6	0
109	368	93	379	0,00005	20,55630	20,55635	5	0
432	122	418	105	-0,00001	22,79900	22,79899	6	0
192	322	175	312	0,00004	21,14210	21,14214	6	0
50	96	62	79	-0,00004	21,97060	21,97056	5	0
95	377	117	378	0,00001	22,41420	22,41421	5	1
151	339	129	347	0,00001	25,31370	25,31371	4	0
262	274	259	300	0,00004	27,24260	27,24264	6	0
455	439	466	416	0,00005	27,55630	27,55635	8	0
