type: mazes
name: maze512-2-0
algorithm: jps
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
68	493	65	488	-0,00000	6,82843	6,82843	8	0
160	221	158	223	0,00000	4,00000	4,00000	8	0
175	139	175	133	0,00000	6,00000	6,00000	7	0
140	11	139	5	0,00000	6,41421	6,41421	5	0
312	424	318	422	0,00000	7,41421	7,41421	6	0
403	241	403	237	0,00000	4,00000	4,00000	7	0
326	470	331	473	0,00000	7,41421	7,41421	7	0
20	235	16	233	0,00000	5,41421	5,41421	5	0
336	2	331	2	0,00000	5,00000	5,00000	6	0
391	139	389	136	0,00000	5,00000	5,00000	6	0
367	430	371	434	0,00003	10,82840	10,82843	9	0
16	200	10	196	0,00000	8,24264	8,24264	9	0
131	400	136	396	0,00001	10,41420	10,41421	10	0
470	146	464	142	0,00000	9,41421	9,41421	9	0
359	82	366	76	0,00004	11,24260	11,24264	12	0
310	50	316	44	0,00003	10,82840	10,82843	11	0
326	485	323	493	0,00001	10,41420	10,41421	10	0
125	60	120	62	-0,00000	9,82843	9,82843	10	0
188	350	197	350	0,00000	9,00000	9,00000	3	0
449	507	445	510	0,00003	11,82840	11,82843	9	0
145	67	136	67	0,00003	13,82840	13,82843	13	0
80	483	85	481	0,00000	15,00000	15,00000	12	0
439	482	446	472	0,00003	15,82840	15,82843	7	0
89	142	94	149	0,00001	15,41420	15,41421	14	0
119	358	122	372	0,00003	15,82840	15,82843	12	0
139	301	131	298	0,00003	15,82840	15,82843	10	0
110	444	107	451	0,00004	12,24260	12,24264	15	0
140	491	139	487	0,00001	12,41420	12,41421	13	1
319	216	315	226	0,00004	14,24260	14,24264	13	0
419	136	410	138	0,00003	13,82840	13,82843	17	0
190	465	187	458	0,00004	16,24260	16,24264	18	0
299	265	308	275	-0,00005	16,65690	16,65685	14	0
260	230	258	236	0,00004	18,24260	18,24264	13	0
113	313	115	320	0,00004	17,24260	17,24264	13	0
194	411	193	394	0,00001	17,41420	17,41421	10	0
460	112	464	109	0,00001	16,41420	16,41421	27	0
26	334	32	340	0,00004	16,24260	16,24264	18	0
473	418	479	430	0,00003	16,82840	16,82843	11	0
211	358	214	351	0,00004	18,24260	18,24264	16	0
428	260	429	271	-0,00003	19,07110	19,07107	20	0
