type: mazes_sub
name: maze512-8-0
algorithm: jpsbb
preprossessing [ms]: 12136165

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
144	48	150	49	0,00000	6,41421	6,41421	5	0
207	298	211	302	0,00000	5,65685	5,65685	3	0
463	418	460	421	0,00000	4,24264	4,24264	4	0
365	35	367	28	-0,00000	7,82843	7,82843	4	0
137	70	130	72	-0,00000	7,82843	7,82843	7	0
396	51	393	57	0,00000	7,24264	7,24264	6	1
68	276	61	274	-0,00000	7,82843	7,82843	4	0
335	160	333	156	-0,00000	4,82843	4,82843	4	0
26	365	26	370	0,00000	5,00000	5,00000	3	0
221	477	218	483	0,00000	7,24264	7,24264	4	0
506	238	504	246	0,00000	9,65685	9,65685	6	0
170	398	179	397	0,00000	9,41421	9,41421	5	0
214	260	221	257	0,00000	8,24264	8,24264	5	0
174	116	170	109	0,00000	8,65685	8,65685	3	0
285	310	276	309	0,00000	9,41421	9,41421	4	0
70	316	64	323	0,00000	9,48528	9,48528	4	0
6	28	11	35	-0,00000	9,07107	9,07107	5	0
482	408	492	406	0,00003	10,82840	10,82843	5	0
328	373	332	363	-0,00005	11,65690	11,65685	5	0
202	231	213	229	0,00003	11,82840	11,82843	4	0
488	95	480	87	0,00004	14,24260	14,24264	7	0
473	125	462	120	-0,00001	15,89950	15,89949	7	0
255	403	250	391	-0,00003	14,07110	14,07107	8	0
484	132	477	143	-0,00001	13,89950	13,89949	5	0
209	6	219	17	0,00004	15,14210	15,14214	5	0
401	448	392	439	0,00002	12,72790	12,72792	4	0
123	261	123	275	0,00000	14,00000	14,00000	3	0
106	333	117	332	0,00004	12,24260	12,24264	6	0
468	298	461	311	-0,00001	15,89950	15,89949	4	0
200	390	213	393	0,00004	14,24260	14,24264	5	0
341	104	324	98	-0,00002	19,48530	19,48528	5	0
399	32	406	18	-0,00005	18,65690	18,65685	5	0
96	174	78	172	0,00003	18,82840	18,82843	4	0
399	276	397	259	0,00003	17,82840	17,82843	5	0
148	440	136	454	-0,00004	18,97060	18,97056	7	0
236	202	239	209	-0,00003	17,07110	17,07107	9	0
330	354	327	338	0,00004	17,24260	17,24264	5	0
483	219	487	210	0,00003	19,82840	19,82843	7	0
273	396	263	388	-0,00005	19,65690	19,65685	7	0
365	218	377	230	-0,00001	19,89950	19,89949	7	0
78	151	97	144	-0,00001	21,89950	21,89949	6	0
362	67	376	82	-0,00001	20,79900	20,79899	4	0
397	440	411	451	-0,00003	22,07110	22,07107	5	0
453	19	464	11	0,00001	20,31370	20,31371	7	0
27	237	8	240	0,00005	23,55630	23,55635	6	0
295	170	296	148	0,00001	22,41420	22,41421	6	0
154	161	150	142	-0,00005	20,65690	20,65685	7	0
312	168	316	169	0,00003	23,82840	23,82843	8	0
109	199	111	221	0,00003	22,82840	22,82843	5	0
251	395	249	412	-0,00005	20,65690	20,65685	7	0
159	67	186	67	0,00000	27,00000	27,00000	4	0
311	400	286	399	0,00001	25,41420	25,41421	4	0
48	289	66	307	0,00004	25,45580	25,45584	5	0
120	109	120	94	-0,00001	24,89950	24,89949	9	0
249	51	226	42	-0,00001	27,89950	27,89949	7	0
343	480	364	472	0,00001	24,31370	24,31371	5	1
361	42	384	46	-0,00005	24,65690	24,65685	4	0
342	193	343	167	0,00001	26,41420	26,41421	5	0
383	100	391	77	0,00001	26,31370	26,31371	5	0
301	348	312	327	0,00004	26,14210	26,14214	6	0
384	474	364	493	0,00000	30,21320	30,21320	9	0
323	263	327	249	0,00004	30,24260	30,24264	7	0
47	339	70	338	-0,00002	28,38480	28,38478	10	0
239	257	211	258	0,00001	28,41420	28,41421	4	0
160	469	131	474	-0,00003	31,07110	31,07107	5	0
391	392	396	419	-0,00005	31,65690	31,65685	8	0
122	507	102	494	-0,00005	30,65690	30,65685	6	0
233	412	233	429	0,00000	30,21320	30,21320	11	0
491	253	495	242	0,00002	29,72790	29,72792	10	1
312	12	302	1	0,00001	30,31370	30,31371	7	0
211	164	205	182	0,00005	33,55630	33,55635	11	0
413	251	384	235	0,00002	35,62740	35,62742	7	0
318	156	299	167	-0,00001	35,89950	35,89949	10	0
444	278	413	266	-0,00004	35,97060	35,97056	7	0
35	363	60	367	0,00004	33,24260	33,24264	6	0
472	455	502	445	0,00004	34,14210	34,14214	7	0
204	43	228	49	-0,00001	33,79900	33,79899	11	0
255	354	258	339	-0,00001	35,89950	35,89949	9	0
393	444	412	461	-0,00001	35,89950	35,89949	10	0
200	302	204	309	-0,00003	34,07110	34,07107	9	0
501	150	477	160	-0,00004	38,97060	38,97056	10	0
311	509	322	481	-0,00002	37,38480	37,38478	10	1
380	474	375	503	0,00004	37,45580	37,45584	12	0
334	370	339	342	0,00005	38,55630	38,55635	9	0
358	376	336	402	-0,00003	36,28430	36,28427	7	0
105	337	89	319	-0,00001	37,89950	37,89949	8	0
438	294	444	328	-0,00002	36,48530	36,48528	6	0
268	211	256	187	-0,00001	37,79900	37,79899	13	0
202	176	217	182	-0,00004	39,97060	39,97056	13	0
216	508	186	497	-0,00003	38,07110	38,07107	7	1
23	363	8	348	-0,00005	41,65690	41,65685	13	0
