type: random
name: random512-15-5
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
117	471	110	473	-0,00000	7,82843	7,82843	42	0
12	245	6	248	-0,00000	7,82843	7,82843	43	0
130	62	126	65	0,00000	5,24264	5,24264	34	0
392	146	390	153	-0,00000	7,82843	7,82843	34	0
197	283	194	279	0,00000	6,41421	6,41421	35	0
246	101	240	99	-0,00000	6,82843	6,82843	40	0
199	312	206	312	0,00000	7,00000	7,00000	46	0
291	179	296	176	0,00000	7,41421	7,41421	43	0
277	417	274	422	-0,00000	6,82843	6,82843	42	0
200	337	196	335	-0,00000	4,82843	4,82843	33	0
14	444	5	447	0,00003	10,82840	10,82843	73	0
6	230	10	223	0,00003	11,82840	11,82843	91	0
400	429	407	435	0,00003	11,82840	11,82843	78	0
343	312	342	320	0,00000	8,41421	8,41421	58	0
503	472	495	478	-0,00005	11,65690	11,65685	81	0
460	450	466	447	0,00000	8,41421	8,41421	59	0
150	10	150	20	0,00000	10,00000	10,00000	51	0
119	218	125	214	-0,00000	8,82843	8,82843	73	0
143	19	144	12	0,00000	8,00000	8,00000	38	0
182	206	178	212	0,00000	10,00000	10,00000	85	1
66	249	70	236	-0,00005	14,65690	14,65685	98	0
25	493	39	495	0,00001	15,41420	15,41421	124	0
446	371	434	365	-0,00005	15,65690	15,65685	126	0
12	235	25	238	0,00004	14,24260	14,24264	92	0
372	407	360	410	-0,00002	15,48530	15,48528	108	0
382	464	390	473	-0,00003	14,07110	14,07107	102	0
303	138	314	142	0,00003	13,82840	13,82843	133	0
120	84	134	87	0,00004	15,24260	15,24264	97	0
185	463	194	473	0,00001	14,31370	14,31371	87	0
280	28	284	17	0,00003	13,82840	13,82843	125	0
376	261	375	246	0,00000	16,00000	16,00000	89	0
438	176	436	193	0,00003	17,82840	17,82843	92	0
194	219	206	210	-0,00001	16,89950	16,89949	122	0
191	476	189	493	0,00003	17,82840	17,82843	102	0
492	110	477	102	-0,00002	19,48530	19,48528	141	0
221	49	222	68	0,00001	19,41420	19,41421	106	0
65	42	58	56	-0,00002	17,48530	17,48528	137	1
226	43	235	33	-0,00003	16,07110	16,07107	113	0
227	434	213	441	-0,00002	17,48530	17,48528	105	0
411	428	427	435	-0,00002	19,48530	19,48528	158	0
464	177	452	196	-0,00004	23,97060	23,97056	165	0
123	278	132	294	0,00001	20,31370	20,31371	148	0
343	159	327	153	0,00003	22,82840	22,82843	276	0
279	188	301	187	0,00003	23,82840	23,82843	196	0
310	342	327	337	0,00004	22,24260	22,24264	249	0
134	479	116	491	-0,00004	22,97060	22,97056	171	0
50	275	66	263	0,00002	22,72790	22,72792	191	0
253	334	247	352	-0,00003	21,07110	21,07107	154	0
402	211	423	208	0,00004	22,24260	22,24264	121	0
237	502	260	504	0,00003	23,82840	23,82843	162	0
395	314	376	298	-0,00001	26,79900	26,79899	208	0
477	364	456	357	-0,00003	25,07110	25,07107	195	0
177	381	154	375	-0,00005	26,65690	26,65685	272	0
97	318	117	329	0,00004	25,14210	25,14214	237	0
269	407	253	391	-0,00004	24,97060	24,97056	244	0
397	332	393	308	-0,00005	25,65690	25,65685	210	1
469	497	485	489	-0,00001	25,89950	25,89949	287	0
337	208	350	225	0,00004	24,14210	24,14214	220	0
123	31	104	39	0,00001	24,31370	24,31371	159	0
217	219	228	240	0,00004	26,14210	26,14214	192	0
421	146	436	165	0,00004	30,14210	30,14214	271	0
483	294	502	313	-0,00004	30,97060	30,97056	349	0
320	2	330	25	-0,00002	31,48530	31,48528	373	1
86	392	63	405	0,00005	29,55630	29,55635	285	0
441	265	420	249	0,00000	28,21320	28,21320	220	0
38	245	12	255	0,00002	30,72790	30,72792	288	0
230	104	209	122	0,00000	30,21320	30,21320	232	0
151	134	156	105	-0,00005	31,65690	31,65685	284	1
400	484	408	511	0,00002	31,72790	31,72792	288	0
218	335	199	318	-0,00002	28,38480	28,38478	267	0
174	381	163	409	0,00004	33,14210	33,14214	259	0
48	272	40	301	-0,00001	32,89950	32,89949	328	0
184	477	216	480	0,00004	33,24260	33,24264	251	0
166	209	188	193	0,00004	32,14210	32,14214	392	1
46	431	51	461	-0,00003	34,07110	34,07107	329	0
135	140	130	172	-0,00005	34,65690	34,65685	325	0
16	18	34	41	0,00005	34,55630	34,55635	411	0
453	378	436	402	-0,00004	33,97060	33,97056	368	0
207	226	194	197	-0,00004	34,97060	34,97056	302	1
153	446	148	418	0,00004	35,14210	35,14214	455	0
443	224	477	216	0,00005	39,55630	39,55635	424	0
449	17	421	0	-0,00002	37,38480	37,38478	380	1
380	228	348	235	0,00001	38,31370	38,31371	427	0
212	200	238	178	0,00004	37,45580	37,45584	376	0
168	289	189	259	-0,00004	39,87010	39,87006	374	0
286	337	290	301	-0,00003	39,07110	39,07107	289	0
29	188	37	157	0,00005	36,55630	36,55635	482	1
229	254	246	226	0,00000	36,21320	36,21320	323	0
482	456	509	433	-0,00004	38,87010	38,87006	388	0
140	462	150	427	0,00004	39,14210	39,14214	381	0
393	238	355	229	0,00002	41,72790	41,72792	383	1
150	419	122	395	0,00004	41,45580	41,45584	461	0
21	190	27	153	-0,00005	40,65690	40,65685	497	0
163	61	133	87	-0,00002	43,69850	43,69848	474	1
237	79	230	116	0,00005	43,55630	43,55635	499	0
31	443	41	482	0,00002	43,72790	43,72792	472	0
391	259	354	259	-0,00005	40,65690	40,65685	447	1
291	361	313	389	0,00002	40,62740	40,62742	532	0
141	440	131	478	0,00004	42,14210	42,14214	461	0
298	216	305	255	-0,00002	42,48530	42,48528	446	1
379	207	362	245	0,00000	46,21320	46,21320	626	0
131	364	171	376	-0,00004	44,97060	44,97056	460	0
226	356	263	334	-0,00003	47,28430	47,28427	552	1
308	174	308	130	-0,00001	47,89950	47,89949	528	0
187	363	226	351	-0,00002	45,38480	45,38478	467	0
374	377	342	353	-0,00003	44,28430	44,28427	445	1
394	244	352	246	0,00002	46,72790	46,72792	521	0
455	270	433	303	0,00003	45,04160	45,04163	556	0
117	141	160	148	-0,00002	46,48530	46,48528	477	1
344	15	315	42	0,00003	46,04160	46,04163	618	0
256	356	232	321	0,00000	50,21320	50,21320	799	1
212	404	221	450	0,00002	49,72790	49,72792	491	0
69	205	70	252	0,00004	48,24260	48,24264	312	0
74	454	94	492	0,00000	49,21320	49,21320	714	1
60	115	104	121	0,00001	49,31370	49,31371	599	0
390	26	419	63	0,00003	51,94110	51,94113	546	1
71	123	36	97	0,00004	50,45580	50,45584	776	0
234	346	189	357	-0,00004	50,97060	50,97056	637	1
57	479	15	464	-0,00001	48,79900	48,79899	683	0
45	289	85	271	0,00002	48,62740	48,62742	493	0
178	185	179	236	-0,00001	55,89950	55,89949	707	1
398	154	433	122	-0,00000	54,11270	54,11270	770	1
107	312	149	334	0,00004	53,45580	53,45584	763	0
253	166	212	193	-0,00000	55,11270	55,11270	785	1
221	191	184	158	-0,00002	53,59800	53,59798	574	0
55	251	90	282	-0,00005	52,76960	52,76955	815	1
73	230	31	204	-0,00000	55,11270	55,11270	781	0
304	470	263	498	0,00004	54,35530	54,35534	651	1
39	252	85	266	-0,00002	52,38480	52,38478	684	0
471	370	469	318	-0,00001	55,89950	55,89949	651	1
121	305	70	295	-0,00002	57,38480	57,38478	732	0
486	67	506	116	-0,00004	57,87010	57,87006	726	1
282	435	282	491	-0,00003	59,07110	59,07107	437	0
135	500	170	464	-0,00000	58,11270	58,11270	923	1
405	115	439	156	-0,00001	58,01220	58,01219	697	0
354	226	380	178	0,00003	59,94110	59,94113	798	1
157	386	189	344	-0,00005	58,76960	58,76955	910	1
174	389	160	440	0,00000	58,21320	58,21320	758	0
299	346	278	298	0,00004	58,45580	58,45584	863	1
268	176	310	146	-0,00005	58,76960	58,76955	641	0
0	245	11	187	0,00002	63,72790	63,72792	660	1
199	128	142	125	0,00001	61,31370	61,31371	725	0
482	388	489	331	0,00001	63,31370	63,31371	819	1
432	260	481	284	-0,00000	60,11270	60,11270	756	0
216	301	158	297	-0,00001	61,89950	61,89949	653	0
364	264	375	210	0,00001	60,31370	60,31371	760	1
394	404	339	417	-0,00002	62,38480	62,38478	1042	0
498	179	452	150	-0,00002	62,59800	62,59798	1148	1
42	94	1	130	-0,00005	61,76960	61,76955	902	1
465	345	478	292	-0,00002	60,38480	60,38478	910	1
184	163	208	218	-0,00003	67,28430	67,28427	1183	1
48	302	86	255	0,00005	65,66900	65,66905	802	0
136	155	157	96	-0,00002	67,69850	67,69848	1017	1
277	426	304	478	-0,00002	66,69850	66,69848	1243	1
386	18	366	75	-0,00003	65,28430	65,28427	842	1
189	422	143	386	-0,00001	65,01220	65,01219	1115	1
356	66	368	7	0,00002	65,62740	65,62742	1044	1
376	118	346	68	-0,00005	64,76960	64,76955	1004	1
166	197	215	169	0,00003	64,94110	64,94113	1291	1
196	273	257	263	0,00002	65,72790	65,72792	825	0
482	90	507	146	-0,00000	68,11270	68,11270	1148	1
497	404	434	401	0,00004	68,14210	68,14214	801	1
276	280	212	278	0,00002	70,72790	70,72792	1000	1
260	103	309	61	-0,00004	71,08330	71,08326	1112	1
242	151	301	130	-0,00004	68,87010	68,87006	1086	0
145	299	196	263	0,00002	68,84060	68,84062	1242	1
510	51	472	3	-0,00005	70,76960	70,76955	1282	2
243	491	269	433	0,00001	70,52690	70,52691	1179	1
191	271	253	251	-0,00004	70,87010	70,87006	1121	1
333	298	347	239	0,00003	69,04160	69,04163	1287	1
414	222	393	160	0,00003	72,94110	72,94113	935	0
117	326	73	280	0,00002	73,84060	73,84062	1261	2
284	164	280	97	0,00001	74,31370	74,31371	1114	0
424	276	392	334	-0,00004	74,08330	74,08326	1162	1
407	204	428	269	-0,00002	75,69850	75,69848	1330	1
357	327	420	306	-0,00003	72,28430	72,28427	1145	1
36	221	14	156	-0,00003	75,28430	75,28427	1160	1
340	177	333	109	0,00005	72,55630	72,55635	845	1
372	32	368	101	-0,00002	73,48530	73,48528	989	1
354	295	394	349	-0,00004	74,08330	74,08326	1266	1
55	105	123	125	-0,00000	77,11270	77,11270	1216	1
204	238	151	286	0,00003	78,15430	78,15433	1360	1
25	241	0	175	0,00001	77,52690	77,52691	1310	1
217	444	292	449	0,00002	78,72790	78,72792	1036	1
242	303	168	302	0,00001	78,31370	78,31371	1052	0
367	379	375	307	0,00000	79,21320	79,21320	1281	1
302	334	358	295	0,00003	76,25480	76,25483	1572	1
