type: rooms
name: 64room_002
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
343	373	345	380	-0,00000	7,82843	7,82843	57	0
48	342	46	337	-0,00000	5,82843	5,82843	41	0
489	136	494	133	0,00000	6,24264	6,24264	43	0
35	403	28	403	0,00000	7,00000	7,00000	51	0
277	211	272	208	0,00000	6,24264	6,24264	43	0
457	230	457	224	0,00000	6,00000	6,00000	44	0
509	163	504	158	-0,00000	7,07107	7,07107	37	0
218	141	219	135	0,00000	6,41421	6,41421	44	0
339	134	334	136	-0,00000	5,82843	5,82843	41	0
341	132	341	138	0,00000	6,00000	6,00000	44	0
154	115	143	114	0,00001	11,41420	11,41421	79	0
68	246	61	245	0,00000	8,24264	8,24264	55	0
342	288	347	297	-0,00003	11,07110	11,07107	90	0
244	280	249	271	-0,00003	11,07110	11,07107	90	0
131	314	134	305	0,00004	10,24260	10,24264	90	0
275	308	267	308	0,00000	8,00000	8,00000	58	0
178	69	185	75	0,00000	9,48528	9,48528	66	0
234	193	238	201	0,00000	9,65685	9,65685	74	0
37	157	39	147	0,00003	10,82840	10,82843	93	0
481	163	491	160	0,00004	11,24260	11,24264	97	0
86	299	75	288	0,00005	15,55630	15,55635	79	0
289	180	300	176	-0,00005	12,65690	12,65685	118	0
421	405	423	420	0,00003	15,82840	15,82843	141	1
282	239	284	226	0,00003	13,82840	13,82843	119	0
221	497	224	510	0,00004	14,24260	14,24264	132	0
55	188	42	184	-0,00005	14,65690	14,65685	140	0
88	87	91	74	0,00004	14,24260	14,24264	132	0
298	233	309	227	-0,00002	13,48530	13,48528	127	0
283	339	287	328	-0,00005	12,65690	12,65685	117	0
74	45	74	30	0,00000	15,00000	15,00000	107	0
511	397	510	414	0,00001	17,41420	17,41421	73	0
203	255	221	254	0,00001	18,41420	18,41421	75	0
186	121	169	114	-0,00001	19,89950	19,89949	212	0
83	12	67	20	0,00001	19,31370	19,31371	211	0
153	26	166	12	-0,00002	19,38480	19,38478	135	0
141	193	139	209	0,00003	16,82840	16,82843	147	0
174	228	167	244	-0,00001	18,89950	18,89949	195	1
206	13	221	23	0,00004	19,14210	19,14214	189	0
231	132	212	133	0,00001	19,41420	19,41421	135	0
395	358	409	363	-0,00003	16,07110	16,07107	155	0
96	45	115	49	-0,00005	20,65690	20,65685	217	0
491	319	489	299	0,00003	20,82840	20,82843	177	0
473	93	456	101	0,00001	20,31370	20,31371	219	0
83	395	77	416	-0,00002	23,48530	23,48528	262	0
291	316	305	299	-0,00001	22,79900	22,79899	204	0
453	152	446	136	-0,00003	20,07110	20,07107	195	0
387	226	408	225	0,00001	21,41420	21,41421	149	0
38	433	22	418	0,00000	22,21320	22,21320	156	1
401	386	421	386	0,00000	20,00000	20,00000	142	0
379	180	365	162	-0,00001	23,79900	23,79899	226	0
300	173	325	172	0,00004	26,24260	26,24264	251	0
419	22	423	47	-0,00005	26,65690	26,65685	282	0
136	118	159	109	0,00002	26,72790	26,72792	338	0
506	46	483	39	-0,00001	25,89950	25,89949	302	0
172	147	166	171	-0,00002	26,48530	26,48528	323	1
309	48	286	58	0,00004	27,14210	27,14214	340	0
189	220	210	214	0,00004	25,24260	25,24264	199	0
484	13	471	35	-0,00002	27,38480	27,38478	338	0
419	467	414	490	-0,00003	25,07110	25,07107	281	0
208	40	231	28	-0,00004	27,97060	27,97056	357	0
66	306	90	296	0,00004	28,14210	28,14214	362	1
35	245	21	260	-0,00002	29,38480	29,38478	468	0
485	164	502	185	0,00003	28,04160	28,04163	271	0
257	228	278	209	-0,00004	28,87010	28,87006	236	0
39	136	49	112	0,00001	29,31370	29,31371	276	0
364	95	355	121	0,00002	29,72790	29,72792	390	1
327	32	352	48	0,00002	31,62740	31,62742	391	0
235	375	212	362	-0,00002	28,38480	28,38478	355	0
445	137	459	161	-0,00004	30,97060	30,97056	378	0
