type: rooms
name: 16room_000
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
297	4	293	3	0,00000	4,41421	4,41421	30	0
306	322	306	328	0,00000	6,00000	6,00000	44	0
111	414	106	413	0,00000	5,41421	5,41421	34	0
10	150	15	152	-0,00000	5,82843	5,82843	41	0
185	36	180	40	0,00000	6,65685	6,65685	43	0
177	259	183	258	0,00000	6,41421	6,41421	41	0
106	306	109	312	0,00000	7,24264	7,24264	52	0
378	46	379	49	0,00000	4,00000	4,00000	25	0
344	169	346	173	-0,00000	4,82843	4,82843	33	0
461	312	461	305	0,00000	7,00000	7,00000	51	0
266	356	273	355	0,00000	9,41421	9,41421	84	0
507	225	500	223	0,00000	9,00000	9,00000	62	0
216	327	209	334	0,00000	9,89949	9,89949	51	0
445	23	442	13	0,00004	11,24260	11,24264	83	0
142	433	145	440	0,00000	9,41421	9,41421	52	0
356	408	366	412	-0,00005	11,65690	11,65685	102	0
434	434	429	430	-0,00005	10,65690	10,65685	65	0
227	23	230	14	0,00004	10,24260	10,24264	74	0
348	475	340	475	0,00000	8,00000	8,00000	58	0
431	303	437	297	0,00000	9,65685	9,65685	40	0
166	259	166	250	-0,00003	12,07110	12,07107	97	0
24	15	23	23	0,00004	13,24260	13,24264	105	0
141	261	148	264	-0,00003	15,07110	15,07107	162	1
441	425	433	437	0,00001	15,31370	15,31371	113	0
149	73	142	74	-0,00003	15,07110	15,07107	173	0
381	360	385	361	0,00003	13,82840	13,82843	157	0
110	77	107	65	0,00004	13,24260	13,24264	116	0
155	341	165	339	-0,00001	13,89950	13,89949	120	0
21	437	31	442	-0,00003	12,07110	12,07107	101	0
124	255	131	247	-0,00005	14,65690	14,65685	97	0
378	333	387	322	0,00004	18,24260	18,24264	220	0
326	154	341	149	-0,00005	17,65690	17,65685	182	0
231	347	232	329	0,00004	19,24260	19,24264	170	0
44	137	29	138	-0,00002	18,48530	18,48528	226	1
344	55	360	60	-0,00001	18,89950	18,89949	175	0
401	344	401	363	0,00000	19,00000	19,00000	73	0
31	345	19	333	-0,00001	19,89950	19,89949	203	0
24	423	38	417	-0,00002	18,48530	18,48528	192	0
81	315	94	323	0,00004	19,24260	19,24264	212	0
474	144	488	147	-0,00002	17,48530	17,48528	154	0
189	364	177	348	-0,00004	20,97060	20,97056	176	0
413	498	429	485	0,00002	23,72790	23,72792	169	0
267	407	248	409	-0,00004	23,97060	23,97056	286	1
230	90	227	72	-0,00003	20,07110	20,07107	202	0
113	289	125	307	-0,00001	23,79900	23,79899	217	0
85	20	102	27	-0,00002	20,48530	20,48528	227	0
230	88	210	95	0,00002	23,72790	23,72792	244	0
150	306	164	292	0,00005	21,55630	21,55635	181	0
389	273	378	274	0,00002	22,72790	22,72792	202	0
170	44	185	42	0,00005	22,55630	22,55635	229	1
113	296	135	292	0,00002	26,72790	26,72792	299	0
407	244	415	264	0,00001	25,31370	25,31371	304	0
203	43	199	24	-0,00001	24,79900	24,79899	287	0
248	31	271	25	-0,00002	25,48530	25,48528	174	0
386	342	375	329	0,00002	26,72790	26,72792	320	0
269	375	247	371	0,00001	25,31370	25,31371	273	1
301	47	278	55	-0,00002	27,48530	27,48528	287	0
365	363	340	364	-0,00003	27,07110	27,07107	250	0
263	228	281	234	-0,00004	24,97060	24,97056	266	0
299	92	300	71	0,00005	25,55630	25,55635	277	0
426	266	443	282	-0,00003	30,07110	30,07107	368	1
438	225	459	231	0,00002	31,62740	31,62742	526	0
255	502	278	492	0,00004	31,14210	31,14214	357	0
26	376	20	353	0,00004	29,14210	29,14214	276	0
337	148	365	152	0,00001	31,31370	31,31371	324	1
411	332	423	348	-0,00002	30,48530	30,48528	325	0
139	161	149	185	0,00001	29,31370	29,31371	225	0
15	243	8	271	-0,00001	30,89950	30,89949	265	0
210	452	214	470	-0,00002	30,48530	30,48528	463	1
79	199	88	220	-0,00001	31,89950	31,89949	350	0
173	150	189	171	-0,00002	33,38480	33,38478	418	0
