type: sc1
name: AcrosstheCape
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
283	492	286	497	0,00000	6,24264	6,24264	43	0
21	40	26	43	0,00000	6,24264	6,24264	43	0
354	660	355	654	0,00000	6,41421	6,41421	44	0
421	18	424	23	0,00000	6,24264	6,24264	43	0
409	636	414	640	0,00000	6,65685	6,65685	40	0
460	570	460	577	0,00000	7,00000	7,00000	51	0
743	425	748	429	0,00000	6,65685	6,65685	43	0
12	450	17	453	0,00000	6,24264	6,24264	43	0
665	308	669	309	0,00000	4,41421	4,41421	30	0
726	722	733	721	0,00000	7,41421	7,41421	51	0
396	671	400	664	0,00000	8,65685	8,65685	70	0
475	633	466	638	-0,00003	11,07110	11,07107	90	0
62	612	57	606	-0,00000	8,07107	8,07107	44	0
287	224	288	214	0,00001	10,41420	10,41421	72	0
299	615	291	611	0,00000	9,65685	9,65685	76	0
670	71	679	69	-0,00000	9,82843	9,82843	79	0
444	623	452	626	0,00000	9,24264	9,24264	73	0
615	210	622	214	0,00000	8,65685	8,65685	70	0
751	28	747	19	-0,00005	10,65690	10,65685	86	0
121	706	130	710	-0,00005	10,65690	10,65685	86	0
141	176	137	188	-0,00005	13,65690	13,65685	130	0
661	177	654	189	-0,00001	14,89950	14,89949	117	0
160	470	157	456	0,00004	15,24260	15,24264	143	0
437	147	430	137	-0,00001	12,89950	12,89949	114	0
435	245	426	235	0,00002	13,72790	13,72792	96	0
579	237	592	242	-0,00003	15,07110	15,07107	139	0
324	144	327	130	0,00004	15,24260	15,24264	143	0
315	252	330	252	0,00000	15,00000	15,00000	107	0
451	594	441	589	-0,00003	12,07110	12,07107	101	0
284	360	297	358	0,00003	13,82840	13,82843	118	0
307	292	290	294	0,00003	17,82840	17,82843	145	0
687	268	668	268	0,00000	19,00000	19,00000	135	0
365	316	353	331	-0,00004	19,97060	19,97056	177	0
383	562	378	546	-0,00003	18,07110	18,07107	186	0
361	313	378	310	0,00004	18,24260	18,24264	181	0
319	590	332	603	-0,00002	18,38480	18,38478	93	0
648	487	666	490	0,00004	19,24260	19,24264	185	0
198	482	209	469	0,00005	17,55630	17,55635	143	0
50	389	63	397	0,00001	16,31370	16,31371	153	0
757	627	741	622	-0,00003	18,07110	18,07107	182	0
695	84	675	78	-0,00002	22,48530	22,48528	246	1
40	347	35	366	-0,00003	21,07110	21,07107	218	0
63	552	55	569	0,00001	20,31370	20,31371	230	0
757	605	764	624	-0,00001	21,89950	21,89949	246	0
737	543	720	534	0,00002	20,72790	20,72792	224	0
355	28	350	10	-0,00003	20,07110	20,07107	215	0
421	141	433	122	-0,00004	23,97060	23,97056	262	0
38	3	15	5	0,00003	23,82840	23,82843	216	0
623	564	642	574	0,00004	23,14210	23,14214	263	1
24	176	12	193	-0,00004	21,97060	21,97056	215	0
35	224	49	245	-0,00001	26,79900	26,79899	305	0
160	628	157	652	0,00004	25,24260	25,24264	254	0
433	710	458	714	-0,00005	26,65690	26,65685	281	0
707	475	703	496	0,00001	24,31370	24,31371	217	0
404	42	425	56	-0,00001	26,79900	26,79899	307	0
105	582	104	556	0,00001	26,41420	26,41421	184	1
98	464	75	474	0,00004	27,14210	27,14214	283	0
121	582	140	600	0,00004	26,45580	26,45584	186	0
265	585	285	598	-0,00002	25,38480	25,38478	288	0
379	253	377	277	0,00003	24,82840	24,82843	229	0
716	33	728	8	-0,00004	29,97060	29,97056	405	0
159	190	155	217	-0,00005	28,65690	28,65685	317	0
680	286	705	302	0,00002	31,62740	31,62742	391	1
752	354	743	329	0,00002	28,72790	28,72792	364	0
301	186	317	162	0,00002	30,62740	30,62742	376	0
382	570	394	543	-0,00004	31,97060	31,97056	443	0
720	157	733	180	-0,00002	28,38480	28,38478	355	1
406	149	377	143	-0,00002	31,48530	31,48528	396	0
592	233	614	217	0,00002	28,62740	28,62742	318	0
749	225	738	199	0,00005	30,55630	30,55635	414	0
76	535	42	536	0,00001	34,41420	34,41421	240	0
324	388	343	413	-0,00004	32,87010	32,87006	370	1
157	395	128	381	-0,00001	34,79900	34,79899	486	0
351	245	379	231	-0,00001	33,79900	33,79899	464	0
479	427	505	448	-0,00002	34,69850	34,69848	368	1
53	541	29	520	-0,00002	32,69850	32,69848	279	0
6	243	37	247	-0,00005	32,65690	32,65685	371	0
445	578	450	545	-0,00003	35,07110	35,07107	424	0
335	593	361	578	0,00000	32,21320	32,21320	419	0
172	225	142	217	0,00001	33,31370	33,31371	443	1
607	222	587	251	-0,00003	37,28430	37,28427	382	0
380	755	346	741	-0,00001	39,79900	39,79899	595	0
504	150	469	153	0,00004	36,24260	36,24264	352	1
729	590	708	560	-0,00002	38,69850	38,69848	494	0
173	707	174	670	0,00001	37,41420	37,41421	261	0
700	237	670	255	0,00004	37,45580	37,45584	488	0
356	553	372	586	0,00002	39,62740	39,62742	583	1
488	461	515	435	-0,00005	37,76960	37,76955	241	0
725	262	693	247	0,00000	38,21320	38,21320	558	0
742	697	766	726	0,00003	38,94110	38,94113	398	1
27	30	34	70	-0,00001	42,89950	42,89949	571	0
297	171	320	138	-0,00000	43,11270	43,11270	429	0
712	514	723	551	0,00005	41,55630	41,55635	610	1
329	21	323	59	-0,00002	40,48530	40,48528	388	0
506	195	506	152	0,00000	43,00000	43,00000	303	0
591	239	624	222	0,00003	40,04160	40,04163	421	0
751	579	721	554	0,00004	40,35530	40,35534	411	0
451	223	433	259	0,00004	43,45580	43,45584	676	0
753	468	728	499	0,00004	41,35530	41,35534	431	0
680	676	695	642	0,00000	40,21320	40,21320	603	1
607	451	572	475	0,00003	44,94110	44,94113	560	0
387	257	350	235	-0,00000	46,11270	46,11270	703	1
38	523	5	552	-0,00001	45,01220	45,01219	343	0
385	734	363	696	-0,00000	47,11270	47,11270	736	0
24	336	34	379	0,00004	47,14210	47,14214	716	1
349	626	311	646	-0,00003	46,28430	46,28427	738	1
341	164	382	156	0,00001	44,31370	44,31371	620	0
18	527	53	555	-0,00002	46,59800	46,59798	555	0
439	245	409	280	0,00001	47,42640	47,42641	491	1
437	654	409	689	-0,00002	46,59800	46,59798	555	0
425	581	458	616	0,00005	48,66900	48,66905	374	0
145	250	181	213	-0,00001	51,91170	51,91169	261	0
354	605	339	560	0,00000	51,21320	51,21320	880	1
255	443	290	478	-0,00003	49,49750	49,49747	247	0
478	457	429	456	0,00004	50,24260	50,24264	494	0
569	292	561	337	0,00001	48,31370	48,31371	692	1
111	562	101	517	0,00004	49,14210	49,14214	718	0
731	240	759	200	-0,00002	51,59800	51,59798	664	1
442	591	402	563	-0,00002	51,59800	51,59798	756	0
129	222	83	231	0,00002	49,72790	49,72792	744	1
264	249	314	256	-0,00001	52,89950	52,89949	739	1
367	230	419	237	-0,00001	54,89950	54,89949	768	0
140	623	160	578	-0,00003	53,28430	53,28427	957	1
460	217	473	170	-0,00002	52,38480	52,38478	885	1
685	211	725	246	-0,00003	54,49750	54,49747	571	0
404	272	440	232	-0,00001	54,91170	54,91169	531	0
678	115	700	71	-0,00000	53,11270	53,11270	942	1
696	204	678	245	0,00005	52,55630	52,55635	897	1
722	554	697	509	0,00004	55,35530	55,35534	940	1
585	298	558	340	-0,00003	53,18380	53,18377	690	0
131	238	80	221	0,00003	58,04160	58,04163	1093	1
109	507	121	557	-0,00003	58,28430	58,28427	853	3
371	375	420	350	0,00004	59,35530	59,35534	931	2
78	265	88	283	-0,00002	59,59800	59,59798	1773	4
571	486	589	536	0,00004	57,45580	57,45584	948	2
508	536	506	586	0,00003	59,94110	59,94113	869	2
365	151	343	102	-0,00000	58,11270	58,11270	752	1
97	715	114	664	-0,00002	59,69850	59,69848	881	0
603	170	625	122	-0,00000	57,11270	57,11270	1070	1
303	98	347	130	0,00003	57,25480	57,25483	786	1
118	539	81	497	0,00001	61,42640	61,42641	839	1
703	447	695	504	-0,00003	62,07110	62,07107	1023	1
739	470	710	519	-0,00001	61,01220	61,01219	749	0
450	414	482	462	0,00003	61,25480	61,25483	1053	1
249	336	279	285	0,00001	63,42640	63,42641	880	1
0	306	41	351	-0,00004	61,98280	61,98276	594	0
350	701	392	746	-0,00003	62,39700	62,39697	555	0
335	195	384	160	-0,00003	63,49750	63,49747	1045	1
91	686	33	691	-0,00003	60,07110	60,07107	755	1
481	465	535	443	-0,00000	63,11270	63,11270	1284	1
328	254	391	250	-0,00005	64,65690	64,65685	738	1
401	763	463	757	-0,00002	64,48530	64,48528	591	0
468	566	516	523	-0,00002	65,81120	65,81118	705	0
614	520	632	578	0,00004	65,45580	65,45584	1323	2
717	525	652	523	0,00003	65,82840	65,82843	612	0
692	689	629	694	-0,00003	65,07110	65,07107	821	1
48	171	108	181	0,00004	64,14210	64,14214	1083	0
