type: sc1
name: AcrosstheCape
algorithm: jpsplus
preprossessing [ms]: 5765

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
283	492	286	497	0,00000	6,24264	6,24264	8	0
21	40	26	43	0,00000	6,24264	6,24264	4	0
354	660	355	654	0,00000	6,41421	6,41421	7	0
421	18	424	23	0,00000	6,24264	6,24264	7	0
409	636	414	640	0,00000	6,65685	6,65685	6	0
460	570	460	577	0,00000	7,00000	7,00000	6	0
743	425	748	429	0,00000	6,65685	6,65685	6	0
12	450	17	453	0,00000	6,24264	6,24264	6	0
665	308	669	309	0,00000	4,41421	4,41421	6	0
726	722	733	721	0,00000	7,41421	7,41421	6	0
396	671	400	664	0,00000	8,65685	8,65685	7	0
475	633	466	638	-0,00003	11,07110	11,07107	9	0
62	612	57	606	-0,00000	8,07107	8,07107	7	0
287	224	288	214	0,00001	10,41420	10,41421	7	0
299	615	291	611	0,00000	9,65685	9,65685	12	0
670	71	679	69	-0,00000	9,82843	9,82843	6	0
444	623	452	626	0,00000	9,24264	9,24264	8	0
615	210	622	214	0,00000	8,65685	8,65685	7	0
751	28	747	19	-0,00005	10,65690	10,65685	6	0
121	706	130	710	-0,00005	10,65690	10,65685	7	0
141	176	137	188	-0,00005	13,65690	13,65685	7	0
661	177	654	189	-0,00001	14,89950	14,89949	15	0
160	470	157	456	0,00004	15,24260	15,24264	6	0
437	147	430	137	-0,00001	12,89950	12,89949	8	0
435	245	426	235	0,00002	13,72790	13,72792	13	0
579	237	592	242	-0,00003	15,07110	15,07107	6	0
324	144	327	130	0,00004	15,24260	15,24264	9	0
315	252	330	252	0,00000	15,00000	15,00000	6	1
451	594	441	589	-0,00003	12,07110	12,07107	7	0
284	360	297	358	0,00003	13,82840	13,82843	8	0
307	292	290	294	0,00003	17,82840	17,82843	8	0
687	268	668	268	0,00000	19,00000	19,00000	6	0
365	316	353	331	-0,00004	19,97060	19,97056	9	0
383	562	378	546	-0,00003	18,07110	18,07107	13	0
361	313	378	310	0,00004	18,24260	18,24264	7	0
319	590	332	603	-0,00002	18,38480	18,38478	5	0
648	487	666	490	0,00004	19,24260	19,24264	9	0
198	482	209	469	0,00005	17,55630	17,55635	7	0
50	389	63	397	0,00001	16,31370	16,31371	8	0
757	627	741	622	-0,00003	18,07110	18,07107	6	0
695	84	675	78	-0,00002	22,48530	22,48528	8	0
40	347	35	366	-0,00003	21,07110	21,07107	11	0
63	552	55	569	0,00001	20,31370	20,31371	8	0
757	605	764	624	-0,00001	21,89950	21,89949	6	0
737	543	720	534	0,00002	20,72790	20,72792	13	0
355	28	350	10	-0,00003	20,07110	20,07107	10	0
421	141	433	122	-0,00004	23,97060	23,97056	9	0
38	3	15	5	0,00003	23,82840	23,82843	4	0
623	564	642	574	0,00004	23,14210	23,14214	7	0
24	176	12	193	-0,00004	21,97060	21,97056	14	0
35	224	49	245	-0,00001	26,79900	26,79899	13	0
160	628	157	652	0,00004	25,24260	25,24264	13	0
433	710	458	714	-0,00005	26,65690	26,65685	8	0
707	475	703	496	0,00001	24,31370	24,31371	16	0
404	42	425	56	-0,00001	26,79900	26,79899	9	0
105	582	104	556	0,00001	26,41420	26,41421	8	0
98	464	75	474	0,00004	27,14210	27,14214	7	0
