type: sc1
name: Aftershock
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
163	428	170	427	0,00000	7,41421	7,41421	51	0
456	332	461	334	-0,00000	5,82843	5,82843	41	0
250	120	256	124	0,00000	7,65685	7,65685	53	0
112	465	116	463	-0,00000	4,82843	4,82843	33	0
390	314	394	315	0,00000	4,41421	4,41421	30	0
495	381	501	377	0,00000	7,65685	7,65685	53	0
490	264	488	260	-0,00000	4,82843	4,82843	30	0
295	268	291	266	-0,00000	4,82843	4,82843	34	0
155	291	156	297	0,00000	6,41421	6,41421	44	0
281	256	286	252	0,00000	6,65685	6,65685	43	0
70	119	68	127	-0,00000	8,82843	8,82843	69	0
422	331	414	328	0,00000	9,24264	9,24264	73	0
171	337	170	328	0,00000	9,41421	9,41421	65	0
423	466	432	467	0,00000	9,41421	9,41421	65	0
301	154	293	154	0,00000	8,00000	8,00000	58	0
302	412	295	416	0,00000	8,65685	8,65685	70	0
99	178	107	175	0,00000	9,24264	9,24264	76	0
476	81	486	81	0,00000	10,00000	10,00000	72	0
42	439	34	441	-0,00000	8,82843	8,82843	72	0
282	293	277	300	-0,00000	9,07107	9,07107	68	0
117	257	111	244	-0,00002	15,48530	15,48528	148	0
151	256	140	246	0,00004	15,14210	15,14214	106	0
39	406	53	402	-0,00005	15,65690	15,65685	159	0
295	426	291	439	-0,00005	14,65690	14,65685	145	0
201	65	215	68	0,00004	15,24260	15,24264	143	0
356	109	364	98	0,00001	14,31370	14,31371	121	0
239	79	248	88	0,00002	12,72790	12,72792	65	0
83	210	70	215	-0,00003	15,07110	15,07107	125	0
261	124	275	120	-0,00005	15,65690	15,65685	159	0
5	95	15	105	0,00004	14,14210	14,14214	72	0
284	256	275	243	0,00002	16,72790	16,72792	153	0
0	105	18	107	0,00003	18,82840	18,82843	151	1
143	76	154	90	0,00005	18,55630	18,55635	164	0
53	475	67	481	-0,00002	16,48530	16,48528	161	0
125	13	142	6	-0,00001	19,89950	19,89949	212	0
470	406	483	410	-0,00003	16,07110	16,07107	108	0
137	28	141	44	-0,00005	17,65690	17,65685	178	0
433	97	419	84	-0,00002	19,38480	19,38478	136	0
338	321	353	318	0,00004	16,24260	16,24264	159	0
453	290	447	276	-0,00002	16,48530	16,48528	161	0
42	362	64	366	-0,00005	23,65690	23,65685	201	0
191	19	184	1	-0,00001	20,89950	20,89949	234	0
109	406	90	397	0,00001	23,31370	23,31371	278	1
401	317	403	337	0,00003	20,82840	20,82843	180	0
318	229	311	210	-0,00001	21,89950	21,89949	252	0
1	130	9	113	0,00001	20,31370	20,31371	215	0
262	169	265	149	0,00004	21,24260	21,24264	211	0
399	311	402	330	0,00004	20,24260	20,24264	200	0
371	421	390	431	0,00004	23,14210	23,14214	263	0
34	367	14	374	-0,00001	22,89950	22,89949	216	0
