type: sc1
name: ArcticStation
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
464	153	468	158	0,00000	6,65685	6,65685	43	0
43	290	41	285	-0,00000	5,82843	5,82843	41	0
359	54	359	58	0,00000	4,00000	4,00000	30	0
741	294	737	289	0,00000	6,65685	6,65685	43	0
401	99	399	93	-0,00000	6,82843	6,82843	48	0
167	227	165	233	-0,00000	6,82843	6,82843	49	0
119	729	121	724	-0,00000	5,82843	5,82843	45	0
560	667	564	661	0,00000	7,65685	7,65685	53	0
150	246	152	253	-0,00000	7,82843	7,82843	57	0
293	69	287	71	-0,00000	6,82843	6,82843	49	0
656	59	650	51	-0,00002	10,48530	10,48528	82	0
616	102	623	94	-0,00001	10,89950	10,89949	76	0
340	421	350	419	0,00003	10,82840	10,82843	93	0
88	286	80	283	0,00000	9,24264	9,24264	73	0
355	210	361	217	0,00000	9,48528	9,48528	66	0
728	746	731	756	0,00004	11,24260	11,24264	97	0
490	413	497	406	-0,00002	10,48530	10,48528	73	0
586	511	592	504	0,00000	9,48528	9,48528	66	0
498	549	491	544	-0,00000	9,07107	9,07107	69	0
406	413	396	416	0,00004	11,24260	11,24264	99	0
258	370	249	379	0,00002	12,72790	12,72792	65	0
537	205	526	214	0,00002	14,72790	14,72792	123	0
567	356	557	346	0,00004	14,14210	14,14214	72	0
635	461	623	468	-0,00001	14,89950	14,89949	134	0
325	746	335	751	-0,00003	12,07110	12,07107	101	0
573	197	569	209	-0,00005	13,65690	13,65685	130	1
752	470	750	482	0,00003	12,82840	12,82843	106	0
256	518	245	508	0,00004	15,14210	15,14214	106	0
122	760	109	763	0,00004	14,24260	14,24264	108	0
320	333	331	341	0,00001	14,31370	14,31371	127	0
113	176	112	195	0,00001	19,41420	19,41421	135	0
517	111	529	98	-0,00004	17,97060	17,97056	125	0
315	646	325	632	0,00004	18,14210	18,14214	145	0
37	194	54	198	-0,00005	18,65690	18,65685	190	0
573	296	558	287	0,00002	18,72790	18,72792	192	0
74	329	85	315	0,00005	18,55630	18,55635	164	0
683	147	699	139	0,00001	19,31370	19,31371	171	0
629	50	635	66	-0,00002	18,48530	18,48528	199	0
627	222	628	239	0,00001	17,41420	17,41421	121	0
8	739	5	755	0,00004	17,24260	17,24264	170	1
550	29	546	48	-0,00005	20,65690	20,65685	217	0
19	192	5	208	-0,00001	21,79900	21,79899	178	0
586	285	607	285	0,00000	21,00000	21,00000	149	0
383	459	374	440	0,00002	22,72790	22,72792	255	0
111	235	94	222	-0,00002	22,38480	22,38478	217	0
6	199	21	213	-0,00001	20,79900	20,79899	146	0
43	182	36	164	-0,00001	20,89950	20,89949	234	0
563	108	561	130	0,00003	22,82840	22,82843	203	0
644	508	648	488	-0,00005	21,65690	21,65685	229	0
393	376	405	392	-0,00004	20,97060	20,97056	202	0
708	231	733	235	-0,00005	26,65690	26,65685	281	0
429	576	406	571	-0,00003	25,07110	25,07107	280	0
203	316	214	294	0,00005	26,55630	26,55635	331	0
525	84	551	86	0,00003	26,82840	26,82843	251	0
344	431	322	418	-0,00002	27,38480	27,38478	337	0
483	595	463	585	0,00004	24,14210	24,14214	262	0
734	283	741	305	-0,00001	24,89950	24,89949	297	1
642	245	627	225	0,00000	26,21320	26,21320	267	0
229	80	229	104	0,00000	24,00000	24,00000	170	0
522	724	496	724	0,00000	26,00000	26,00000	184	0
128	620	106	630	0,00002	28,72790	28,72792	282	0
205	675	221	653	0,00002	28,62740	28,62742	318	0
38	650	66	647	0,00004	29,24260	29,24264	298	0
310	53	281	47	-0,00002	31,48530	31,48528	396	1
722	246	701	269	-0,00002	31,69850	31,69848	262	0
350	454	353	424	0,00004	31,24260	31,24264	311	0
54	277	81	273	-0,00005	28,65690	28,65685	317	0
112	731	119	703	-0,00001	30,89950	30,89949	380	0
244	154	272	153	0,00001	28,41420	28,41421	198	0
293	616	282	643	0,00005	31,55630	31,55635	413	1
130	33	117	61	-0,00002	33,38480	33,38478	460	0
731	744	758	758	-0,00001	32,79900	32,79899	440	0
254	359	288	356	0,00004	35,24260	35,24264	373	0
676	102	696	76	-0,00003	34,28430	34,28427	372	1
26	186	53	206	-0,00003	35,28430	35,28427	414	0
