type: sc1
name: Aurora
algorithm: jpsplus
preprossessing [ms]: 6436

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
749	97	749	104	0,00000	7,00000	7,00000	7	0
8	646	11	642	0,00000	5,24264	5,24264	6	0
271	287	276	283	0,00000	6,65685	6,65685	10	0
814	570	810	571	0,00000	4,41421	4,41421	7	0
579	169	575	163	0,00000	7,65685	7,65685	9	0
548	325	551	321	0,00000	5,24264	5,24264	7	0
89	124	95	127	0,00000	7,24264	7,24264	6	1
195	114	192	120	0,00000	7,24264	7,24264	6	0
146	290	142	287	0,00000	5,24264	5,24264	6	0
114	437	117	433	0,00000	5,24264	5,24264	7	0
358	666	368	669	0,00004	11,24260	11,24264	6	0
840	252	847	248	0,00000	8,65685	8,65685	5	0
428	300	418	301	0,00001	10,41420	10,41421	6	0
895	646	903	641	-0,00003	10,07110	10,07107	8	0
940	471	929	473	0,00003	11,82840	11,82843	6	0
612	654	607	645	-0,00003	11,07110	11,07107	12	0
610	451	617	454	0,00000	8,24264	8,24264	7	0
300	358	291	351	-0,00001	11,89950	11,89949	10	0
10	655	18	663	0,00001	11,31370	11,31371	8	0
490	682	500	680	0,00003	10,82840	10,82843	7	0
70	554	73	540	0,00004	15,24260	15,24264	7	0
717	172	729	170	0,00003	12,82840	12,82843	8	0
521	706	508	702	-0,00005	14,65690	14,65685	13	0
717	683	731	681	0,00003	14,82840	14,82843	8	0
392	601	405	606	-0,00003	15,07110	15,07107	7	0
347	272	348	285	0,00001	13,41420	13,41421	7	0
229	639	240	631	0,00001	14,31370	14,31371	8	0
749	423	739	412	0,00004	15,14210	15,14214	8	0
485	297	472	300	0,00004	14,24260	14,24264	9	0
628	302	638	309	-0,00001	12,89950	12,89949	10	0
386	468	374	483	-0,00004	19,97060	19,97056	7	0
483	499	468	487	-0,00004	19,97060	19,97056	27	0
869	424	854	416	0,00001	18,31370	18,31371	18	0
514	346	499	337	0,00002	18,72790	18,72792	19	0
208	251	218	238	0,00004	17,14210	17,14214	7	0
676	100	669	115	-0,00001	17,89950	17,89949	6	0
881	382	897	375	-0,00001	18,89950	18,89949	8	0
927	418	932	404	-0,00003	16,07110	16,07107	7	0
323	99	309	90	0,00002	17,72790	17,72792	8	0
354	118	337	112	-0,00002	19,48530	19,48528	17	0
719	111	700	114	0,00004	20,24260	20,24264	10	0
863	142	884	147	-0,00003	23,07110	23,07107	8	0
442	456	447	477	-0,00003	23,07110	23,07107	14	0
903	419	911	436	0,00001	20,31370	20,31371	8	0
813	242	790	244	0,00003	23,82840	23,82843	10	0
604	197	619	214	0,00000	23,21320	23,21320	10	0
274	273	258	257	0,00002	22,62740	22,62742	10	0
313	547	317	526	-0,00005	22,65690	22,65685	10	0
134	674	116	665	0,00002	21,72790	21,72792	22	0
464	326	474	343	0,00004	21,14210	21,14214	8	0
58	404	45	385	-0,00002	24,38480	24,38478	18	0
55	166	76	182	0,00002	27,62740	27,62742	14	0
14	387	40	390	0,00004	27,24260	27,24264	6	0
493	444	470	436	0,00001	26,31370	26,31371	11	0
653	394	674	407	-0,00002	26,38480	26,38478	7	0
836	122	857	111	0,00005	25,55630	25,55635	14	0
27	591	42	573	0,00000	24,21320	24,21320	8	0
761	368	740	358	0,00004	25,14210	25,14214	13	0
693	312	682	298	-0,00001	24,89950	24,89949	14	0
126	183	103	189	-0,00002	25,48530	25,48528	17	0
545	503	517	507	-0,00005	29,65690	29,65685	10	0
812	550	809	577	0,00004	28,24260	28,24264	7	0
885	286	860	299	-0,00002	30,38480	30,38478	10	0
818	292	795	306	-0,00001	28,79900	28,79899	14	0
467	205	446	185	-0,00003	29,28430	29,28427	15	0
114	464	143	469	-0,00003	31,07110	31,07107	7	0
717	368	741	381	-0,00002	29,38480	29,38478	12	0
432	259	462	258	0,00001	30,41420	30,41421	6	0
134	434	136	405	0,00003	29,82840	29,82843	8	0
305	683	275	681	0,00003	30,82840	30,82843	6	0
336	321	336	353	0,00000	32,00000	32,00000	6	0
646	410	642	444	-0,00005	35,65690	35,65685	12	1
255	382	281	362	-0,00003	34,28430	34,28427	10	0
326	509	298	520	0,00005	32,55630	32,55635	10	0
980	447	965	418	0,00000	35,21320	35,21320	22	0
645	591	619	573	0,00004	33,45580	33,45584	17	0
123	465	142	492	-0,00004	34,87010	34,87006	11	0
387	227	358	239	-0,00004	33,97060	33,97056	8	0
383	340	390	370	0,00005	34,55630	34,55635	22	0
100	290	129	303	-0,00004	34,97060	34,97056	12	0
555	646	528	624	-0,00000	36,11270	36,11270	39	0
457	673	493	670	0,00004	37,24260	37,24264	8	0
13	622	28	604	-0,00005	38,65690	38,65685	19	0
278	92	314	98	-0,00002	38,48530	38,48528	11	0
527	541	520	506	-0,00001	37,89950	37,89949	11	0
774	216	805	216	0,00002	37,62740	37,62742	22	0
229	698	199	714	0,00002	36,62740	36,62742	30	0
592	177	607	146	0,00000	37,21320	37,21320	15	0
889	512	874	482	-0,00001	36,79900	36,79899	33	0
251	98	222	115	0,00003	36,04160	36,04163	7	0
903	380	935	352	-0,00002	43,59800	43,59798	12	0
537	193	567	219	-0,00005	40,76960	40,76955	6	0
230	281	263	261	0,00003	43,04160	43,04163	15	0
636	85	603	106	-0,00003	42,28430	42,28427	9	0
620	235	641	268	-0,00002	41,69850	41,69848	9	0
167	235	201	255	-0,00003	42,28430	42,28427	26	0
315	338	337	307	-0,00000	40,11270	40,11270	7	0
72	402	101	431	-0,00001	41,01220	41,01219	11	0
632	742	623	704	0,00002	41,72790	41,72792	13	0
709	584	741	599	-0,00002	41,38480	41,38478	19	0
908	292	911	257	0,00001	44,52690	44,52691	31	0
104	564	145	566	0,00004	45,14210	45,14214	13	0
