type: sc1
name: Backwoods
algorithm: jpsplus
preprossessing [ms]: 1394

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
470	505	477	505	0,00000	7,00000	7,00000	4	0
52	353	48	348	0,00000	6,65685	6,65685	7	0
737	423	737	430	0,00000	7,00000	7,00000	7	0
451	399	457	401	-0,00000	6,82843	6,82843	7	0
501	235	506	240	-0,00000	7,07107	7,07107	14	0
737	435	739	440	-0,00000	5,82843	5,82843	7	0
655	45	654	51	0,00000	6,41421	6,41421	7	0
184	485	179	480	-0,00000	7,07107	7,07107	8	0
555	373	551	371	-0,00000	4,82843	4,82843	7	0
716	172	719	178	0,00000	7,24264	7,24264	9	0
418	80	427	73	-0,00001	11,89950	11,89949	9	0
309	1	306	9	0,00000	9,24264	9,24264	5	0
328	48	336	50	0,00004	10,24260	10,24264	14	0
420	197	414	205	-0,00002	10,48530	10,48528	9	0
534	50	524	52	0,00003	10,82840	10,82843	7	0
594	215	590	223	0,00000	9,65685	9,65685	12	0
317	250	325	249	0,00000	8,41421	8,41421	8	0
590	337	593	327	0,00004	11,24260	11,24264	11	0
657	355	660	348	0,00000	8,24264	8,24264	6	0
715	234	708	234	0,00000	8,41421	8,41421	9	0
725	451	735	440	0,00004	15,14210	15,14214	7	0
624	256	629	269	-0,00003	15,07110	15,07107	7	0
639	23	627	31	0,00001	15,31370	15,31371	11	0
407	107	394	109	0,00003	13,82840	13,82843	8	0
80	29	90	23	-0,00002	12,48530	12,48528	9	0
18	56	27	44	0,00002	15,72790	15,72792	6	0
60	274	51	282	0,00001	12,31370	12,31371	11	0
517	15	505	14	0,00001	12,41420	12,41421	7	0
118	94	105	90	-0,00005	14,65690	14,65685	17	0
536	64	541	51	-0,00003	15,07110	15,07107	11	0
28	345	15	358	-0,00002	18,38480	18,38478	5	0
396	105	413	100	-0,00003	19,07110	19,07107	9	0
446	328	460	320	0,00001	17,31370	17,31371	11	0
133	455	121	443	-0,00004	16,97060	16,97056	16	0
326	25	307	24	0,00001	19,41420	19,41421	6	0
171	150	158	161	-0,00001	19,89950	19,89949	25	0
31	260	46	271	0,00005	19,55630	19,55635	11	0
209	437	221	427	0,00004	16,14210	16,14214	11	0
334	24	326	8	0,00001	19,31370	19,31371	7	0
742	234	731	246	0,00005	16,55630	16,55635	11	0
570	328	559	347	0,00005	23,55630	23,55635	16	0
338	76	347	56	0,00002	23,72790	23,72792	9	0
445	491	457	472	-0,00004	23,97060	23,97056	18	0
341	285	324	297	-0,00004	21,97060	21,97056	12	0
331	139	337	121	-0,00003	21,07110	21,07107	13	0
171	248	148	247	0,00001	23,41420	23,41421	7	0
304	247	321	258	0,00005	21,55630	21,55635	9	0
128	481	126	460	0,00003	21,82840	21,82843	10	0
237	14	233	35	-0,00005	22,65690	22,65685	6	0
243	424	266	424	0,00000	23,00000	23,00000	6	0
253	501	230	495	-0,00002	25,48530	25,48528	9	0
732	142	746	122	-0,00001	25,79900	25,79899	10	0
593	35	586	57	-0,00001	24,89950	24,89949	15	0
421	183	440	201	0,00003	27,04160	27,04163	12	0
31	313	7	309	-0,00005	25,65690	25,65685	6	1
575	180	578	156	0,00004	25,24260	25,24264	19	0
12	239	35	246	-0,00001	25,89950	25,89949	13	0
260	357	265	334	-0,00003	25,07110	25,07107	7	0
619	3	595	0	0,00004	25,24260	25,24264	5	0
211	469	188	462	-0,00001	25,89950	25,89949	13	0
254	18	227	14	-0,00005	28,65690	28,65685	6	0
97	322	68	328	-0,00002	31,48530	31,48528	12	0
358	383	358	355	0,00000	28,00000	28,00000	8	0
611	398	637	411	-0,00002	31,38480	31,38478	13	0
732	172	708	187	0,00000	30,21320	30,21320	19	0
212	66	238	77	0,00005	30,55630	30,55635	11	0
28	279	18	254	0,00004	29,14210	29,14214	10	0
62	315	89	307	0,00001	30,31370	30,31371	11	0
699	171	710	146	0,00005	29,55630	29,55635	15	0
664	211	688	193	0,00004	31,45580	31,45584	10	0
321	289	342	314	-0,00002	33,69850	33,69848	19	0
588	81	619	71	0,00004	35,14210	35,14214	18	0
760	444	762	409	0,00003	35,82840	35,82843	8	0
512	446	529	472	0,00003	33,04160	33,04163	10	0
689	222	692	188	0,00004	35,24260	35,24264	12	0
674	350	673	383	0,00001	33,41420	33,41421	7	0
698	194	709	165	0,00005	33,55630	33,55635	15	0
624	8	595	20	-0,00004	33,97060	33,97056	19	0
433	288	431	322	0,00003	34,82840	34,82843	11	0
177	390	204	409	-0,00004	34,87010	34,87006	13	0
75	318	85	353	0,00004	39,14210	39,14214	11	0
319	136	330	101	0,00005	39,55630	39,55635	17	0
483	473	471	441	-0,00004	36,97060	36,97056	15	0
475	461	457	491	0,00004	37,45580	37,45584	14	0
248	61	270	32	-0,00000	38,11270	38,11270	17	0
575	364	606	350	-0,00001	36,79900	36,79899	9	0
