type: sc1
name: BigGameHunters
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
193	110	192	105	0,00000	5,41421	5,41421	37	0
490	229	486	226	0,00000	5,24264	5,24264	36	0
430	221	430	215	0,00000	6,00000	6,00000	44	0
343	247	338	248	0,00000	5,41421	5,41421	37	0
498	204	491	205	0,00000	7,41421	7,41421	51	0
233	430	228	431	0,00000	5,41421	5,41421	37	0
38	55	31	54	0,00000	7,41421	7,41421	51	0
196	1	200	1	0,00000	4,00000	4,00000	30	0
374	235	369	235	0,00000	5,00000	5,00000	37	0
502	218	507	214	0,00000	6,65685	6,65685	43	0
263	475	255	475	0,00000	8,00000	8,00000	58	0
346	141	341	133	-0,00003	10,07110	10,07107	78	0
483	66	490	74	-0,00001	10,89950	10,89949	78	0
96	303	107	302	0,00001	11,41420	11,41421	79	0
197	45	201	53	0,00000	9,65685	9,65685	76	0
480	349	488	356	-0,00001	10,89950	10,89949	76	0
387	159	381	164	-0,00000	8,07107	8,07107	44	0
386	167	383	159	0,00000	9,24264	9,24264	76	0
323	472	332	470	-0,00000	9,82843	9,82843	79	0
428	448	431	458	0,00004	11,24260	11,24264	97	0
259	431	248	439	0,00001	14,31370	14,31371	121	0
376	176	373	190	0,00004	15,24260	15,24264	143	1
462	224	458	211	-0,00005	14,65690	14,65685	145	0
238	381	247	372	-0,00001	13,89950	13,89949	83	0
420	46	428	58	0,00001	15,31370	15,31371	135	0
472	475	482	484	0,00002	13,72790	13,72792	96	0
451	107	445	120	-0,00002	15,48530	15,48528	121	0
327	32	338	35	0,00004	12,24260	12,24264	111	0
396	449	394	461	0,00003	12,82840	12,82843	106	0
212	469	225	467	0,00003	13,82840	13,82843	118	0
226	225	221	209	-0,00003	18,07110	18,07107	186	0
150	138	150	120	0,00000	18,00000	18,00000	128	0
462	217	443	217	0,00000	19,00000	19,00000	135	0
217	196	212	211	-0,00003	17,07110	17,07107	173	0
214	430	229	422	0,00001	18,31370	18,31371	195	0
376	216	375	234	0,00000	19,00000	19,00000	116	0
261	63	250	77	0,00005	18,55630	18,55635	164	0
467	486	473	472	-0,00002	16,48530	16,48528	161	1
466	79	458	94	0,00001	18,31370	18,31371	186	0
180	458	190	471	0,00004	17,14210	17,14214	147	0
91	169	81	153	0,00004	20,14210	20,14214	212	0
74	329	64	311	0,00001	23,31370	23,31371	189	0
486	219	489	241	0,00004	23,24260	23,24264	233	0
481	263	462	267	-0,00005	20,65690	20,65685	217	0
505	230	485	226	-0,00005	21,65690	21,65685	229	0
152	313	172	322	0,00002	23,72790	23,72792	281	1
439	453	440	431	0,00001	22,41420	22,41421	156	0
56	498	42	481	-0,00001	22,79900	22,79899	204	0
4	292	24	283	0,00002	23,72790	23,72792	279	0
262	43	250	60	-0,00004	21,97060	21,97056	215	0
241	242	222	261	-0,00004	26,87010	26,87006	135	0
337	41	311	37	-0,00005	27,65690	27,65685	295	0
408	269	402	244	-0,00002	27,48530	27,48528	337	0
72	157	93	166	0,00002	24,72790	24,72792	287	0
332	351	308	357	-0,00002	26,48530	26,48528	321	0
491	32	511	44	-0,00004	24,97060	24,97056	276	0
72	315	77	338	-0,00003	25,07110	25,07107	234	0
247	333	224	330	0,00004	24,24260	24,24264	244	0
492	293	472	281	-0,00004	24,97060	24,97056	293	0
405	150	393	173	-0,00004	27,97060	27,97056	357	1
110	364	91	343	-0,00004	28,87010	28,87006	242	0
301	159	326	147	-0,00004	29,97060	29,97056	396	0
240	51	212	51	0,00000	28,00000	28,00000	198	0
185	336	194	308	0,00002	31,72790	31,72792	372	0
