type: sc1
name: BlackLotus
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
220	559	214	559	0,00000	6,00000	6,00000	44	0
56	444	60	441	0,00000	5,24264	5,24264	36	0
531	736	536	732	0,00000	6,65685	6,65685	43	0
739	230	734	227	0,00000	6,24264	6,24264	43	0
758	539	760	545	-0,00000	6,82843	6,82843	49	0
222	170	229	171	0,00000	7,41421	7,41421	51	0
623	19	619	23	0,00000	6,24264	6,24264	26	0
497	683	493	684	0,00000	4,41421	4,41421	30	0
340	36	346	33	0,00000	7,24264	7,24264	52	0
708	331	711	335	0,00000	5,24264	5,24264	36	0
459	68	466	71	0,00000	8,24264	8,24264	60	0
438	629	447	626	0,00004	10,24260	10,24264	89	0
15	337	20	346	-0,00003	11,07110	11,07107	90	0
270	23	273	16	0,00000	8,24264	8,24264	65	1
580	285	570	284	0,00001	10,41420	10,41421	72	0
188	15	179	12	0,00004	10,24260	10,24264	80	0
221	273	221	263	0,00000	10,00000	10,00000	72	0
615	276	611	266	-0,00005	11,65690	11,65685	109	0
188	32	195	35	-0,00000	8,82843	8,82843	69	0
93	268	85	263	-0,00003	10,07110	10,07107	78	0
275	580	282	592	-0,00001	14,89950	14,89949	134	0
764	365	751	358	-0,00001	15,89950	15,89949	157	0
365	664	357	652	0,00001	15,31370	15,31371	135	0
470	283	455	285	0,00003	15,82840	15,82843	141	0
731	271	741	261	0,00004	14,14210	14,14214	72	0
688	318	685	332	0,00004	15,24260	15,24264	132	0
118	637	107	641	-0,00005	12,65690	12,65685	118	0
591	571	597	558	-0,00002	15,48530	15,48528	148	0
667	719	659	731	0,00001	15,31370	15,31371	136	0
748	197	736	199	0,00003	12,82840	12,82843	108	0
579	646	560	644	0,00003	19,82840	19,82843	166	0
393	166	403	181	0,00004	19,14210	19,14214	189	1
245	83	253	96	0,00001	16,31370	16,31371	153	0
602	564	617	556	0,00001	18,31370	18,31371	195	0
460	581	472	567	-0,00004	18,97060	18,97056	154	0
92	404	101	391	0,00002	16,72790	16,72792	150	0
345	130	334	142	0,00005	16,55630	16,55635	115	0
693	189	706	180	0,00002	16,72790	16,72792	150	0
206	233	195	247	0,00005	18,55630	18,55635	164	0
393	535	378	532	0,00004	16,24260	16,24264	159	0
92	743	101	726	0,00002	20,72790	20,72792	231	0
681	558	703	562	-0,00005	23,65690	23,65685	248	0
178	209	156	208	0,00001	22,41420	22,41421	156	0
591	294	576	280	-0,00001	20,79900	20,79899	146	1
64	179	78	164	-0,00001	20,79900	20,79899	146	0
364	93	361	73	0,00004	21,24260	21,24264	211	0
203	135	185	143	0,00001	21,31370	21,31371	234	0
571	148	590	158	0,00004	23,14210	23,14214	263	0
736	661	743	677	-0,00001	20,89950	20,89949	131	0
62	700	42	697	0,00004	21,24260	21,24264	209	0
490	2	512	16	-0,00001	27,79900	27,79899	333	0
650	415	667	433	0,00003	25,04160	25,04163	176	0
243	475	251	451	0,00001	27,31370	27,31371	355	1
40	513	64	519	-0,00002	26,48530	26,48528	300	0
688	167	675	148	-0,00002	24,38480	24,38478	236	0
16	659	26	681	0,00004	26,14210	26,14214	330	0
204	600	183	589	0,00005	25,55630	25,55635	306	0
198	31	176	25	-0,00002	24,48530	24,48528	276	1
245	538	229	557	0,00002	25,62740	25,62742	229	0
425	738	442	758	0,00003	27,04160	27,04163	243	0
613	256	590	275	-0,00004	30,87010	30,87006	305	0
412	582	436	566	0,00002	30,62740	30,62742	371	0
726	259	727	290	0,00001	31,41420	31,41421	219	0
751	523	729	540	0,00003	29,04160	29,04163	302	0
58	594	84	586	0,00001	29,31370	29,31371	384	1
705	656	733	658	0,00003	28,82840	28,82843	266	0
514	124	508	151	-0,00002	29,48530	29,48528	354	0
719	482	738	460	-0,00004	29,87010	29,87006	271	0
533	227	530	256	0,00004	30,24260	30,24264	313	0
388	112	404	134	0,00002	28,62740	28,62742	318	0
430	251	406	274	0,00001	33,52690	33,52691	210	0
503	681	529	696	0,00000	32,21320	32,21320	332	1
522	104	497	81	0,00001	34,52690	34,52691	285	0
17	215	23	246	-0,00002	33,48530	33,48528	396	0
702	684	674	696	-0,00004	32,97060	32,97056	354	0
314	169	318	137	-0,00005	33,65690	33,65685	384	0
226	592	200	570	-0,00000	35,11270	35,11270	344	1
604	623	589	651	0,00000	34,21320	34,21320	469	0
736	224	727	194	0,00002	33,72790	33,72792	459	0
94	619	102	589	0,00001	33,31370	33,31371	374	1
347	61	383	56	0,00002	39,72790	39,72792	384	0
164	635	192	615	-0,00003	36,28430	36,28427	445	0
81	429	96	459	0,00000	36,21320	36,21320	519	0
130	705	125	668	-0,00003	39,07110	39,07107	443	1
75	450	112	453	0,00004	38,24260	38,24264	377	0
55	576	60	542	-0,00003	36,07110	36,07107	408	0
648	218	617	238	-0,00003	39,28430	39,28427	524	0
148	287	168	257	-0,00003	38,28430	38,28427	502	1
87	355	102	324	0,00000	37,21320	37,21320	521	0
462	704	495	694	0,00004	37,14210	37,14214	466	1
85	561	96	525	0,00005	40,55630	40,55635	597	0
81	323	42	320	0,00004	40,24260	40,24264	401	0
290	7	254	26	-0,00004	43,87010	43,87006	602	1
521	141	554	159	0,00004	40,45580	40,45584	587	0
452	614	410	613	0,00001	42,41420	42,41421	296	0
605	586	607	628	0,00003	42,82840	42,82843	380	0
407	172	381	202	-0,00005	40,76960	40,76955	385	0
729	614	729	655	0,00000	41,00000	41,00000	283	1
601	554	614	590	-0,00002	41,38480	41,38478	630	0
176	265	206	236	-0,00001	42,01220	42,01219	212	0
535	705	514	742	-0,00002	45,69850	45,69848	563	1
332	686	343	644	0,00005	46,55630	46,55635	721	0
32	211	47	171	0,00000	46,21320	46,21320	715	1
576	240	615	224	0,00002	45,62740	45,62742	741	0
46	438	7	418	-0,00003	47,28430	47,28427	509	1
616	717	651	693	-0,00003	47,28430	47,28427	657	0
70	604	59	561	0,00005	47,55630	47,55635	743	1
335	699	297	716	0,00003	45,04160	45,04163	726	0
546	154	524	117	-0,00000	46,11270	46,11270	703	1
749	618	716	651	0,00005	46,66900	46,66905	233	0
51	334	13	361	-0,00003	49,18380	49,18377	692	1
638	572	596	555	0,00003	49,04160	49,04163	836	0
734	129	759	167	-0,00000	50,11270	50,11270	680	1
155	283	189	248	-0,00004	49,08330	49,08326	247	0
745	556	743	607	0,00003	51,82840	51,82843	348	0
457	588	497	614	-0,00005	50,76960	50,76955	783	1
595	427	645	430	0,00004	51,24260	51,24264	528	0
703	335	667	371	-0,00001	50,91170	50,91169	254	0
465	602	502	574	-0,00002	48,59800	48,59798	634	0
670	491	630	468	0,00001	49,52690	49,52691	802	1
208	555	251	525	0,00001	55,42640	55,42641	854	1
666	266	637	226	-0,00001	52,01220	52,01219	716	0
510	82	497	131	-0,00002	54,38480	54,38478	767	1
267	717	320	716	0,00001	53,41420	53,41421	365	0
76	597	77	649	0,00001	52,41420	52,41421	366	0
125	688	170	667	-0,00002	53,69850	53,69848	748	1
7	415	16	466	0,00002	54,72790	54,72792	594	0
408	610	446	576	-0,00004	52,08330	52,08326	501	0
61	728	30	693	-0,00002	53,59800	53,59798	548	1
511	702	503	650	0,00001	55,31370	55,31371	610	0
378	92	392	144	-0,00001	57,79900	57,79899	1014	1
353	8	302	25	0,00003	58,04160	58,04163	1001	1
