type: sc1
name: BlackLotus
algorithm: jps
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
220	559	214	559	0,00000	6,00000	6,00000	5	0
56	444	60	441	0,00000	5,24264	5,24264	7	0
531	736	536	732	0,00000	6,65685	6,65685	9	0
739	230	734	227	0,00000	6,24264	6,24264	8	0
758	539	760	545	-0,00000	6,82843	6,82843	7	0
222	170	229	171	0,00000	7,41421	7,41421	7	0
623	19	619	23	0,00000	6,24264	6,24264	9	0
497	683	493	684	0,00000	4,41421	4,41421	8	0
340	36	346	33	0,00000	7,24264	7,24264	9	0
708	331	711	335	0,00000	5,24264	5,24264	7	0
459	68	466	71	0,00000	8,24264	8,24264	7	0
438	629	447	626	0,00004	10,24260	10,24264	7	0
15	337	20	346	-0,00003	11,07110	11,07107	7	2
270	23	273	16	0,00000	8,24264	8,24264	9	0
580	285	570	284	0,00001	10,41420	10,41421	7	0
188	15	179	12	0,00004	10,24260	10,24264	9	0
221	273	221	263	0,00000	10,00000	10,00000	6	0
615	276	611	266	-0,00005	11,65690	11,65685	6	0
188	32	195	35	-0,00000	8,82843	8,82843	7	0
93	268	85	263	-0,00003	10,07110	10,07107	11	1
275	580	282	592	-0,00001	14,89950	14,89949	6	0
764	365	751	358	-0,00001	15,89950	15,89949	8	0
365	664	357	652	0,00001	15,31370	15,31371	12	0
470	283	455	285	0,00003	15,82840	15,82843	10	0
731	271	741	261	0,00004	14,14210	14,14214	7	0
688	318	685	332	0,00004	15,24260	15,24264	10	0
118	637	107	641	-0,00005	12,65690	12,65685	13	0
591	571	597	558	-0,00002	15,48530	15,48528	8	0
667	719	659	731	0,00001	15,31370	15,31371	10	0
748	197	736	199	0,00003	12,82840	12,82843	7	0
579	646	560	644	0,00003	19,82840	19,82843	7	1
393	166	403	181	0,00004	19,14210	19,14214	12	0
245	83	253	96	0,00001	16,31370	16,31371	6	0
602	564	617	556	0,00001	18,31370	18,31371	11	0
460	581	472	567	-0,00004	18,97060	18,97056	7	0
92	404	101	391	0,00002	16,72790	16,72792	7	0
345	130	334	142	0,00005	16,55630	16,55635	9	1
693	189	706	180	0,00002	16,72790	16,72792	12	0
206	233	195	247	0,00005	18,55630	18,55635	9	0
393	535	378	532	0,00004	16,24260	16,24264	8	0
92	743	101	726	0,00002	20,72790	20,72792	13	0
