type: sc1
name: BlastFurnace
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
104	328	103	323	0,00000	5,41421	5,41421	37	0
76	557	82	561	0,00000	7,65685	7,65685	53	0
621	735	615	731	0,00000	7,65685	7,65685	53	0
230	181	228	177	-0,00000	4,82843	4,82843	33	0
196	26	202	30	0,00000	7,65685	7,65685	53	0
508	386	504	392	0,00000	7,65685	7,65685	48	0
734	230	729	234	0,00000	6,65685	6,65685	43	0
154	185	148	189	0,00000	7,65685	7,65685	53	0
198	644	199	649	0,00000	5,41421	5,41421	37	0
255	587	255	593	0,00000	6,00000	6,00000	44	0
460	108	455	114	-0,00000	8,07107	8,07107	44	0
103	498	97	503	-0,00000	8,07107	8,07107	44	0
132	177	141	184	-0,00001	11,89950	11,89949	96	0
43	306	37	300	0,00000	8,48528	8,48528	44	0
718	301	725	308	0,00000	9,89949	9,89949	51	0
97	651	87	649	0,00003	10,82840	10,82843	84	0
721	421	727	412	-0,00002	11,48530	11,48528	95	0
602	299	594	301	-0,00000	8,82843	8,82843	72	0
731	492	722	486	-0,00002	11,48530	11,48528	100	0
500	563	505	571	-0,00003	10,07110	10,07107	73	0
603	61	609	50	-0,00002	13,48530	13,48528	126	0
95	307	106	315	0,00001	14,31370	14,31371	127	0
572	710	563	719	0,00002	12,72790	12,72792	65	0
652	517	642	523	-0,00002	12,48530	12,48528	112	0
326	423	313	427	-0,00005	14,65690	14,65685	144	0
68	110	62	123	-0,00002	15,48530	15,48528	148	0
738	325	733	313	-0,00003	14,07110	14,07107	127	0
752	398	758	410	-0,00002	14,48530	14,48528	135	0
155	521	168	524	0,00004	14,24260	14,24264	132	0
270	72	272	87	0,00003	15,82840	15,82843	141	0
743	434	737	450	-0,00002	18,48530	18,48528	200	0
532	168	533	184	0,00001	16,41420	16,41421	114	0
450	568	436	559	0,00002	17,72790	17,72792	174	1
506	453	520	440	-0,00002	19,38480	19,38478	136	0
601	253	585	245	0,00001	19,31370	19,31371	211	0
569	651	583	659	0,00001	17,31370	17,31371	176	0
88	411	95	394	-0,00001	19,89950	19,89949	222	0
380	217	388	232	0,00001	18,31370	18,31371	195	0
474	254	470	269	-0,00005	16,65690	16,65685	163	0
392	134	376	137	0,00004	17,24260	17,24264	169	0
370	240	370	219	0,00000	21,00000	21,00000	149	0
33	50	32	27	0,00001	23,41420	23,41421	163	0
61	68	78	77	0,00002	20,72790	20,72792	224	0
670	48	653	38	0,00004	21,14210	21,14214	231	1
687	39	669	28	0,00005	22,55630	22,55635	240	0
138	134	119	126	0,00001	22,31370	22,31371	250	0
127	622	141	639	-0,00001	22,79900	22,79899	204	0
629	725	648	715	0,00004	23,14210	23,14214	263	0
701	491	702	471	0,00001	20,41420	20,41421	142	0
622	31	606	48	0,00002	23,62740	23,62742	166	0
628	630	651	633	0,00004	24,24260	24,24264	244	0
647	483	649	458	0,00003	25,82840	25,82843	241	0
23	35	3	23	-0,00004	24,97060	24,97056	293	1
157	126	146	149	0,00005	27,55630	27,55635	360	0
462	623	489	623	0,00000	27,00000	27,00000	191	0
224	214	204	195	-0,00004	27,87010	27,87006	196	0
52	439	69	456	0,00003	24,04160	24,04163	121	0
746	482	761	503	0,00000	27,21320	27,21320	266	0
202	624	199	648	0,00004	25,24260	25,24264	254	0
598	270	577	260	0,00004	25,14210	25,14214	303	0
225	232	221	203	-0,00005	30,65690	30,65685	335	1
401	253	383	276	0,00004	30,45580	30,45584	318	0
411	75	432	95	-0,00003	29,28430	29,28427	206	0
678	381	654	396	0,00000	30,21320	30,21320	370	0
694	668	718	679	0,00005	28,55630	28,55635	379	0
211	246	189	228	0,00004	29,45580	29,45584	290	0
737	18	722	42	0,00000	30,21320	30,21320	371	1
640	649	656	674	0,00002	31,62740	31,62742	397	0
12	600	9	572	-0,00003	30,07110	30,07107	256	0
300	652	293	681	-0,00001	31,89950	31,89949	394	0
312	460	336	436	0,00003	33,94110	33,94113	170	0
85	582	57	599	0,00003	35,04160	35,04163	468	1
446	378	463	404	0,00003	33,04160	33,04163	418	0
709	410	742	407	0,00004	34,24260	34,24264	359	0
62	152	95	148	-0,00005	34,65690	34,65685	375	0
720	387	733	357	-0,00002	35,38480	35,38478	502	1
590	312	564	335	0,00001	35,52690	35,52691	325	0
616	36	646	24	-0,00004	34,97060	34,97056	493	0
446	714	463	688	0,00003	33,04160	33,04163	412	0
294	466	271	492	0,00001	35,52690	35,52691	325	1
613	324	602	291	0,00005	37,55630	37,55635	546	0
217	662	229	628	-0,00004	38,97060	38,97056	579	0
65	371	29	380	0,00002	39,72790	39,72792	557	1
21	347	54	336	0,00005	37,55630	37,55635	546	0
377	252	398	221	-0,00002	39,69850	39,69848	524	1
603	454	574	473	-0,00000	39,11270	39,11270	242	0
49	132	53	95	-0,00005	38,65690	38,65685	418	0
472	81	500	103	-0,00000	37,11270	37,11270	411	0
95	354	124	330	0,00003	38,94110	38,94113	398	0
486	286	477	320	0,00002	37,72790	37,72792	497	1
19	365	12	324	-0,00001	43,89950	43,89949	554	0
197	444	210	409	-0,00002	40,38480	40,38478	555	1
735	46	727	8	0,00001	41,31370	41,31371	569	0
309	491	270	486	-0,00003	41,07110	41,07107	477	0
416	237	453	250	-0,00002	42,38480	42,38478	638	1
96	693	136	685	0,00001	43,31370	43,31371	556	0
222	715	183	725	0,00004	43,14210	43,14214	618	1
130	173	160	199	-0,00005	40,76960	40,76955	385	0
655	297	695	298	0,00001	40,41420	40,41421	282	0
178	738	165	703	-0,00002	40,38480	40,38478	608	0
113	305	126	346	-0,00002	46,38480	46,38478	659	1
190	59	147	51	0,00001	46,31370	46,31371	449	0
534	77	504	111	0,00001	46,42640	46,42641	444	0
758	441	745	399	-0,00002	47,38480	47,38478	742	1
145	109	101	116	-0,00001	46,89950	46,89949	639	0
349	576	324	610	0,00004	44,35530	44,35534	568	1
519	103	540	66	-0,00002	45,69850	45,69848	707	0
526	139	487	118	-0,00002	47,69850	47,69848	770	1
225	42	239	84	-0,00001	47,79900	47,79899	747	1
554	161	521	131	0,00001	45,42640	45,42641	399	0
739	497	702	464	0,00002	51,84060	51,84062	655	0
97	639	58	670	0,00002	51,84060	51,84062	645	1
586	467	546	492	0,00004	50,35530	50,35534	788	0
217	349	258	370	-0,00002	49,69850	49,69848	837	1
614	228	579	263	-0,00003	49,49750	49,49747	247	0
523	471	475	463	0,00001	51,31370	51,31371	658	1
638	429	676	454	0,00004	48,35530	48,35534	722	0
353	470	400	474	-0,00005	48,65690	48,65685	445	0
162	521	127	553	0,00003	48,25480	48,25483	425	1
321	419	347	457	-0,00005	48,76960	48,76955	662	0
585	272	617	230	0,00003	55,25480	55,25483	766	1
446	614	499	620	-0,00002	55,48530	55,48528	739	0
321	610	289	643	-0,00004	53,87010	53,87006	750	1
600	726	643	753	-0,00003	54,18380	54,18377	891	1
232	95	269	132	0,00000	52,32590	52,32590	261	0
682	214	725	241	-0,00005	54,76960	54,76955	723	0
695	283	714	330	-0,00004	54,87010	54,87006	1015	1
183	580	191	529	0,00001	54,31370	54,31371	808	1
222	347	275	342	-0,00003	55,07110	55,07107	685	0
698	327	654	354	-0,00003	55,18380	55,18377	785	3
330	141	378	163	-0,00000	57,11270	57,11270	1077	1
59	559	96	532	-0,00002	56,38480	56,38478	719	1
675	15	726	32	0,00003	58,04160	58,04163	1047	1
461	69	463	127	0,00003	58,82840	58,82843	514	0
100	519	58	483	-0,00001	56,91170	56,91169	652	0
477	602	534	601	0,00001	57,41420	57,41421	401	0
84	177	119	132	-0,00003	59,49750	59,49747	826	1
28	114	5	67	0,00001	56,52690	56,52691	1047	1
434	153	492	154	0,00001	58,41420	58,41421	408	0
384	571	406	530	0,00003	56,25480	56,25483	1277	2
342	147	285	135	-0,00004	61,97060	61,97056	1092	0
594	490	533	487	0,00004	62,24260	62,24264	627	0
537	653	584	691	0,00000	63,32590	63,32590	955	1
222	120	227	176	0,00005	60,55630	60,55635	535	0
705	503	648	502	0,00001	61,31370	61,31371	678	1
489	651	476	708	-0,00002	62,38480	62,38478	1098	1
567	493	602	445	-0,00004	63,08330	63,08326	873	1
200	73	238	119	0,00002	61,74010	61,74012	786	1
