type: sc1
name: Brushfire
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
357	194	362	196	-0,00000	5,82843	5,82843	42	0
205	177	200	173	0,00000	6,65685	6,65685	43	0
449	60	442	58	-0,00000	7,82843	7,82843	63	0
452	33	453	28	0,00000	5,41421	5,41421	37	1
106	431	104	435	-0,00000	4,82843	4,82843	33	0
37	100	38	106	0,00000	6,41421	6,41421	44	0
483	85	485	81	-0,00000	4,82843	4,82843	33	0
509	427	502	425	-0,00000	7,82843	7,82843	63	0
270	343	266	345	-0,00000	4,82843	4,82843	34	0
35	333	30	328	-0,00000	7,07107	7,07107	37	0
25	133	32	126	0,00000	9,89949	9,89949	51	0
497	438	502	429	-0,00003	11,07110	11,07107	90	0
56	73	48	78	-0,00003	10,07110	10,07107	78	0
68	502	69	492	0,00001	10,41420	10,41421	72	0
460	415	450	415	0,00000	10,00000	10,00000	72	0
340	228	331	232	-0,00005	10,65690	10,65685	86	0
443	402	453	404	0,00003	10,82840	10,82843	87	0
2	440	9	445	-0,00000	9,07107	9,07107	69	0
396	112	397	101	0,00001	11,41420	11,41421	79	0
114	226	120	231	0,00000	11,00000	11,00000	74	0
154	193	167	187	-0,00002	15,48530	15,48528	148	0
5	479	15	489	0,00004	14,14210	14,14214	72	0
51	360	38	359	0,00001	13,41420	13,41421	80	0
435	490	431	478	-0,00005	13,65690	13,65685	130	0
3	330	3	342	0,00000	12,00000	12,00000	85	0
32	492	36	506	-0,00005	15,65690	15,65685	159	0
33	70	42	81	0,00002	14,72790	14,72792	123	0
110	113	120	119	-0,00002	12,48530	12,48528	112	0
458	57	465	68	-0,00001	13,89950	13,89949	121	0
16	49	2	46	0,00004	15,24260	15,24264	143	0
51	78	62	93	0,00005	19,55630	19,55635	186	0
38	459	51	451	0,00001	16,31370	16,31371	153	0
503	400	502	419	0,00001	19,41420	19,41421	135	0
329	187	328	171	0,00001	16,41420	16,41421	114	0
7	467	3	483	-0,00005	17,65690	17,65685	178	0
94	488	111	488	0,00000	17,00000	17,00000	121	0
499	120	499	103	0,00000	17,00000	17,00000	121	0
32	60	21	75	0,00005	19,55630	19,55635	187	0
473	73	486	83	0,00004	17,14210	17,14214	148	0
77	420	76	404	0,00001	16,41420	16,41421	114	0
201	316	222	318	0,00003	21,82840	21,82843	187	0
46	32	66	29	0,00004	21,24260	21,24264	211	0
499	40	502	21	0,00004	20,24260	20,24264	200	0
56	477	75	480	0,00004	20,24260	20,24264	200	1
476	108	489	93	-0,00002	20,38480	20,38478	166	0
52	435	44	415	0,00001	23,31370	23,31371	265	0
151	92	134	78	-0,00004	23,97060	23,97056	162	0
139	255	159	246	0,00002	23,72790	23,72792	279	0
19	391	1	380	0,00005	22,55630	22,55635	233	0
432	27	452	32	-0,00003	22,07110	22,07107	241	0
477	62	459	42	0,00004	27,45580	27,45584	230	0
410	46	390	35	0,00005	24,55630	24,55635	203	1
175	316	200	312	-0,00005	26,65690	26,65685	282	0
326	195	313	175	-0,00002	25,38480	25,38478	286	0
456	336	434	345	0,00002	25,72790	25,72792	271	0
488	444	469	426	0,00004	26,45580	26,45584	186	0
503	457	511	435	0,00001	25,31370	25,31371	299	0
467	50	441	51	0,00001	26,41420	26,41421	184	0
177	320	199	306	-0,00001	27,79900	27,79899	332	1
299	278	324	284	-0,00002	27,48530	27,48528	316	0
20	459	8	434	-0,00004	29,97060	29,97056	402	0
51	29	32	5	-0,00004	31,87010	31,87006	337	0
339	191	313	202	0,00005	30,55630	30,55635	409	0
198	223	204	196	-0,00002	29,48530	29,48528	368	1
212	199	240	202	0,00004	29,24260	29,24264	297	0
46	59	19	49	0,00004	31,14210	31,14214	426	0
444	446	442	416	0,00003	30,82840	30,82843	262	0
12	115	42	114	0,00001	30,41420	30,41421	207	0
144	263	125	285	-0,00004	29,87010	29,87006	271	0
432	483	442	459	0,00004	28,14210	28,14214	373	1
424	434	450	414	-0,00003	34,28430	34,28427	382	0
120	41	92	55	-0,00001	33,79900	33,79899	464	0
253	276	269	247	0,00002	35,62740	35,62742	494	1
47	477	72	501	0,00003	34,94110	34,94113	227	0
300	307	284	335	0,00002	34,62740	34,62742	471	0
356	280	386	270	0,00004	34,14210	34,14214	466	0
83	408	53	419	0,00005	34,55630	34,55635	479	1
43	79	39	110	-0,00005	32,65690	32,65685	371	0
141	111	107	109	0,00003	34,82840	34,82843	298	0
