type: sc1
name: Brushfire
algorithm: jps
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
357	194	362	196	-0,00000	5,82843	5,82843	7	0
205	177	200	173	0,00000	6,65685	6,65685	7	0
449	60	442	58	-0,00000	7,82843	7,82843	8	1
452	33	453	28	0,00000	5,41421	5,41421	6	0
106	431	104	435	-0,00000	4,82843	4,82843	8	1
37	100	38	106	0,00000	6,41421	6,41421	6	1
483	85	485	81	-0,00000	4,82843	4,82843	6	1
509	427	502	425	-0,00000	7,82843	7,82843	5	1
270	343	266	345	-0,00000	4,82843	4,82843	6	0
35	333	30	328	-0,00000	7,07107	7,07107	5	0
25	133	32	126	0,00000	9,89949	9,89949	7	0
497	438	502	429	-0,00003	11,07110	11,07107	6	0
56	73	48	78	-0,00003	10,07110	10,07107	6	1
68	502	69	492	0,00001	10,41420	10,41421	6	1
460	415	450	415	0,00000	10,00000	10,00000	5	0
340	228	331	232	-0,00005	10,65690	10,65685	10	0
443	402	453	404	0,00003	10,82840	10,82843	6	1
2	440	9	445	-0,00000	9,07107	9,07107	5	1
396	112	397	101	0,00001	11,41420	11,41421	8	0
114	226	120	231	0,00000	11,00000	11,00000	6	0
154	193	167	187	-0,00002	15,48530	15,48528	9	0
5	479	15	489	0,00004	14,14210	14,14214	5	1
51	360	38	359	0,00001	13,41420	13,41421	9	0
435	490	431	478	-0,00005	13,65690	13,65685	10	0
3	330	3	342	0,00000	12,00000	12,00000	5	0
32	492	36	506	-0,00005	15,65690	15,65685	6	0
33	70	42	81	0,00002	14,72790	14,72792	8	1
110	113	120	119	-0,00002	12,48530	12,48528	7	0
458	57	465	68	-0,00001	13,89950	13,89949	6	1
16	49	2	46	0,00004	15,24260	15,24264	7	0
51	78	62	93	0,00005	19,55630	19,55635	8	4
38	459	51	451	0,00001	16,31370	16,31371	7	1
503	400	502	419	0,00001	19,41420	19,41421	6	2
329	187	328	171	0,00001	16,41420	16,41421	7	0
7	467	3	483	-0,00005	17,65690	17,65685	5	1
94	488	111	488	0,00000	17,00000	17,00000	6	0
499	120	499	103	0,00000	17,00000	17,00000	5	1
32	60	21	75	0,00005	19,55630	19,55635	8	1
473	73	486	83	0,00004	17,14210	17,14214	6	0
77	420	76	404	0,00001	16,41420	16,41421	6	1
201	316	222	318	0,00003	21,82840	21,82843	7	0
46	32	66	29	0,00004	21,24260	21,24264	6	1
499	40	502	21	0,00004	20,24260	20,24264	6	1
56	477	75	480	0,00004	20,24260	20,24264	11	0
476	108	489	93	-0,00002	20,38480	20,38478	6	1
52	435	44	415	0,00001	23,31370	23,31371	8	1
151	92	134	78	-0,00004	23,97060	23,97056	22	0
139	255	159	246	0,00002	23,72790	23,72792	9	0
19	391	1	380	0,00005	22,55630	22,55635	15	0
432	27	452	32	-0,00003	22,07110	22,07107	6	1
477	62	459	42	0,00004	27,45580	27,45584	16	1
410	46	390	35	0,00005	24,55630	24,55635	15	1
175	316	200	312	-0,00005	26,65690	26,65685	7	0
326	195	313	175	-0,00002	25,38480	25,38478	13	0
456	336	434	345	0,00002	25,72790	25,72792	13	0
488	444	469	426	0,00004	26,45580	26,45584	25	1
503	457	511	435	0,00001	25,31370	25,31371	7	0
467	50	441	51	0,00001	26,41420	26,41421	6	1
177	320	199	306	-0,00001	27,79900	27,79899	8	0
299	278	324	284	-0,00002	27,48530	27,48528	10	0
20	459	8	434	-0,00004	29,97060	29,97056	7	1
51	29	32	5	-0,00004	31,87010	31,87006	5	1
339	191	313	202	0,00005	30,55630	30,55635	14	0
198	223	204	196	-0,00002	29,48530	29,48528	8	0
212	199	240	202	0,00004	29,24260	29,24264	10	0
46	59	19	49	0,00004	31,14210	31,14214	7	1
444	446	442	416	0,00003	30,82840	30,82843	6	0
12	115	42	114	0,00001	30,41420	30,41421	8	1
144	263	125	285	-0,00004	29,87010	29,87006	21	1
