type: sc1
name: CatwalkAlley
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
80	402	75	397	-0,00000	7,07107	7,07107	37	0
323	235	327	229	0,00000	7,65685	7,65685	53	0
354	441	360	441	0,00000	6,00000	6,00000	44	0
103	318	99	315	0,00000	5,24264	5,24264	36	0
444	251	444	247	0,00000	4,00000	4,00000	30	0
501	419	506	416	0,00000	6,24264	6,24264	43	0
241	363	237	367	0,00000	5,65685	5,65685	27	0
189	429	182	430	0,00000	7,41421	7,41421	51	0
106	228	108	235	-0,00000	7,82843	7,82843	57	0
320	178	324	175	0,00000	5,24264	5,24264	36	1
450	198	440	202	-0,00005	11,65690	11,65685	103	0
206	434	212	427	0,00000	9,48528	9,48528	66	0
147	214	154	217	0,00000	8,24264	8,24264	65	0
328	366	329	358	0,00000	8,41421	8,41421	58	0
122	484	126	492	0,00000	9,65685	9,65685	76	0
484	19	493	18	0,00000	9,41421	9,41421	65	0
170	113	161	110	0,00004	10,24260	10,24264	89	0
422	387	414	386	0,00000	8,41421	8,41421	58	0
382	272	384	283	0,00003	11,82840	11,82843	96	0
466	4	464	15	0,00003	11,82840	11,82843	96	0
345	181	347	195	0,00003	14,82840	14,82843	130	0
444	57	454	62	-0,00003	12,07110	12,07107	101	0
234	53	242	41	0,00001	15,31370	15,31371	135	0
494	86	487	74	-0,00001	14,89950	14,89949	134	0
173	148	159	146	0,00003	14,82840	14,82843	131	0
288	101	278	95	-0,00002	12,48530	12,48528	114	0
141	423	135	412	-0,00002	13,48530	13,48528	126	0
490	71	498	61	0,00001	13,31370	13,31371	111	0
214	270	215	284	0,00001	14,41420	14,41421	100	0
432	264	434	250	0,00003	14,82840	14,82843	131	0
399	30	414	41	0,00005	19,55630	19,55635	187	1
268	488	253	492	-0,00005	16,65690	16,65685	162	0
230	479	219	464	0,00005	19,55630	19,55635	187	0
439	9	454	13	-0,00005	16,65690	16,65685	163	0
31	358	36	341	-0,00003	19,07110	19,07107	202	0
427	30	431	48	-0,00005	19,65690	19,65685	202	0
326	62	341	55	-0,00001	17,89950	17,89949	122	0
205	94	189	95	0,00001	16,41420	16,41421	114	0
46	27	30	34	-0,00001	18,89950	18,89949	197	0
166	201	161	217	-0,00003	18,07110	18,07107	186	0
84	397	91	376	-0,00001	23,89950	23,89949	272	0
86	219	97	238	0,00005	23,55630	23,55635	244	1
152	94	131	99	-0,00003	23,07110	23,07107	237	0
431	393	429	414	0,00003	21,82840	21,82843	187	0
457	322	476	319	0,00004	20,24260	20,24264	193	0
55	215	43	233	-0,00004	22,97060	22,97056	238	0
321	333	302	328	-0,00003	21,07110	21,07107	180	0
314	85	297	77	0,00001	20,31370	20,31371	228	0
202	196	183	200	-0,00005	20,65690	20,65685	217	0
29	482	11	487	-0,00003	20,07110	20,07107	211	1
227	316	221	294	-0,00002	24,48530	24,48528	262	0
422	480	406	462	0,00002	24,62740	24,62742	206	0
252	456	229	460	-0,00005	24,65690	24,65685	264	0
419	105	439	117	-0,00004	24,97060	24,97056	293	0
455	484	436	497	-0,00002	24,38480	24,38478	259	0
211	474	214	497	0,00004	24,24260	24,24264	244	0
4	143	0	168	-0,00005	26,65690	26,65685	252	1
234	102	244	124	0,00004	26,14210	26,14214	330	0
382	167	357	170	0,00004	26,24260	26,24264	266	0
225	404	225	377	0,00000	27,00000	27,00000	191	0
285	224	312	233	0,00002	30,72790	30,72792	421	0
442	238	465	222	0,00002	29,62740	29,62742	203	0
243	19	222	36	0,00003	28,04160	28,04163	271	0
375	255	403	251	-0,00005	29,65690	29,65685	325	1
45	476	31	453	-0,00001	28,79900	28,79899	350	0
392	267	381	241	0,00005	30,55630	30,55635	414	0
143	465	166	449	0,00002	29,62740	29,62742	348	0
259	286	256	314	0,00004	29,24260	29,24264	301	0
82	40	51	38	0,00003	31,82840	31,82843	271	1
58	111	79	89	-0,00002	30,69850	30,69848	216	0
302	195	328	176	-0,00004	33,87010	33,87006	397	0
65	376	51	406	-0,00001	35,79900	35,79899	505	0
28	111	30	145	0,00003	34,82840	34,82843	298	0
263	342	249	370	0,00004	35,45580	35,45584	568	1
419	490	395	469	-0,00002	32,69850	32,69848	297	0
301	18	328	33	0,00000	33,21320	33,21320	453	0
125	506	142	481	0,00003	32,04160	32,04163	390	1
255	239	255	270	-0,00005	32,65690	32,65685	259	0
95	30	127	33	0,00004	33,24260	33,24264	346	0
419	432	388	422	0,00004	35,14210	35,14214	362	0
54	142	24	125	0,00003	37,04160	37,04163	520	0
299	401	326	425	0,00003	36,94110	36,94113	335	0
447	296	486	296	0,00000	39,00000	39,00000	275	0
271	456	302	475	-0,00004	38,87010	38,87006	529	0
377	80	348	105	0,00004	39,35530	39,35534	367	0
511	357	479	367	0,00004	36,14210	36,14214	498	1
22	422	15	456	-0,00001	36,89950	36,89949	474	0
294	37	256	36	0,00001	38,41420	38,41421	268	0
