type: sc1
name: Cauldron
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
63	531	57	528	0,00000	7,24264	7,24264	52	0
55	647	59	646	0,00000	4,41421	4,41421	30	0
182	817	186	811	0,00000	7,65685	7,65685	47	0
763	379	766	373	0,00000	7,24264	7,24264	52	0
860	907	855	911	0,00000	6,65685	6,65685	43	0
404	700	397	702	-0,00000	7,82843	7,82843	42	0
917	510	913	511	0,00000	4,41421	4,41421	30	0
1014	297	1015	292	0,00000	5,41421	5,41421	37	0
402	574	406	568	0,00000	7,65685	7,65685	53	0
795	349	790	349	0,00000	5,00000	5,00000	37	0
124	835	117	840	-0,00000	9,07107	9,07107	70	0
171	12	180	10	-0,00000	9,82843	9,82843	79	0
802	373	806	382	-0,00005	10,65690	10,65685	86	0
775	999	779	1006	0,00000	8,65685	8,65685	70	0
329	430	325	440	-0,00005	11,65690	11,65685	104	0
114	354	121	348	0,00000	9,48528	9,48528	66	0
403	838	394	845	-0,00001	11,89950	11,89949	64	0
869	893	858	892	0,00001	11,41420	11,41421	79	0
419	545	427	551	-0,00002	10,48530	10,48528	82	1
751	765	756	772	-0,00000	9,07107	9,07107	69	0
830	897	833	908	0,00004	12,24260	12,24264	110	0
974	753	988	750	0,00004	15,24260	15,24264	142	0
287	639	281	626	-0,00002	15,48530	15,48528	148	0
532	64	529	50	0,00004	15,24260	15,24264	143	0
1003	919	1014	930	0,00005	15,55630	15,55635	79	0
995	93	986	81	0,00002	15,72790	15,72792	134	0
497	743	508	748	-0,00003	13,07110	13,07107	113	0
882	923	892	932	0,00002	13,72790	13,72792	96	0
572	58	576	44	-0,00005	15,65690	15,65685	149	0
669	324	682	317	-0,00001	15,89950	15,89949	151	0
694	379	681	365	-0,00002	19,38480	19,38478	136	0
401	87	390	99	0,00005	16,55630	16,55635	114	0
641	413	642	431	0,00001	18,41420	18,41421	128	0
361	880	348	868	-0,00004	17,97060	17,97056	126	0
296	963	310	976	-0,00002	19,38480	19,38478	136	0
791	879	779	894	-0,00004	19,97060	19,97056	177	0
667	315	684	315	0,00000	17,00000	17,00000	121	0
543	92	547	108	-0,00005	17,65690	17,65685	178	0
810	654	825	647	-0,00001	17,89950	17,89949	185	0
279	350	279	331	0,00000	19,00000	19,00000	135	0
527	506	507	507	0,00001	20,41420	20,41421	142	0
799	150	800	170	0,00001	20,41420	20,41421	142	0
51	88	70	85	0,00004	20,24260	20,24264	200	0
254	282	271	274	0,00001	20,31370	20,31371	230	0
97	201	105	219	0,00001	21,31370	21,31371	234	0
447	328	464	314	-0,00001	22,79900	22,79899	204	0
1	60	20	49	0,00005	23,55630	23,55635	265	0
621	523	610	542	0,00005	23,55630	23,55635	263	1
890	313	873	327	-0,00001	22,79900	22,79899	204	0
922	278	941	290	-0,00004	23,97060	23,97056	262	0
33	768	11	760	0,00001	25,31370	25,31371	260	0
890	462	910	450	-0,00004	24,97060	24,97056	293	0
384	843	408	842	0,00001	24,41420	24,41421	152	0
35	990	16	973	-0,00001	27,79900	27,79899	278	0
967	803	980	784	-0,00002	24,38480	24,38478	259	1
431	802	449	789	0,00005	24,55630	24,55635	260	0
646	213	659	232	-0,00002	24,38480	24,38478	259	0
462	554	457	531	-0,00003	25,07110	25,07107	289	0
632	235	657	228	-0,00001	27,89950	27,89949	328	0
810	564	832	569	-0,00003	24,07110	24,07107	275	0
441	77	469	82	-0,00003	30,07110	30,07107	272	1
494	744	519	731	-0,00002	30,38480	30,38478	395	0
853	897	825	905	0,00001	31,31370	31,31371	414	0
171	350	200	350	0,00000	29,00000	29,00000	205	0
842	64	814	61	0,00004	29,24260	29,24264	298	0
280	606	302	589	0,00003	29,04160	29,04163	302	0
39	90	29	64	0,00004	30,14210	30,14214	359	1
47	270	25	286	0,00000	29,21320	29,21320	242	0
241	28	247	2	-0,00002	28,48530	28,48528	342	0
743	674	755	701	-0,00004	31,97060	31,97056	444	0
458	195	431	179	0,00002	33,62740	33,62742	440	1
662	754	640	780	-0,00000	35,11270	35,11270	343	0
824	591	852	578	-0,00002	33,38480	33,38478	464	0
321	355	306	327	0,00000	34,21320	34,21320	470	0
681	206	650	218	-0,00004	35,97060	35,97056	507	1
543	465	543	500	0,00000	35,00000	35,00000	247	0
389	400	372	425	0,00003	32,04160	32,04163	387	0
279	422	302	400	-0,00000	32,11270	32,11270	201	0
968	944	934	948	-0,00005	35,65690	35,65685	379	0
219	826	233	853	-0,00001	32,79900	32,79899	440	1
249	741	249	780	0,00000	39,00000	39,00000	275	0
499	370	511	403	-0,00004	37,97060	37,97056	555	0
414	220	445	241	-0,00002	39,69850	39,69848	525	1
804	177	784	206	-0,00003	37,28430	37,28427	466	0
207	265	199	300	0,00001	38,31370	38,31371	515	0
235	46	264	25	-0,00002	37,69850	37,69848	451	0
373	539	387	572	-0,00001	38,79900	38,79899	572	1
898	265	930	252	-0,00002	37,38480	37,38478	481	0
927	883	927	922	0,00000	39,00000	39,00000	275	0
822	837	857	840	0,00004	36,24260	36,24264	352	0
2	816	37	837	-0,00002	43,69850	43,69848	645	0
927	242	927	201	0,00000	41,00000	41,00000	289	0
919	918	925	959	-0,00002	43,48530	43,48528	556	0
991	137	953	142	-0,00003	40,07110	40,07107	464	1
785	727	821	712	0,00000	42,21320	42,21320	650	0
210	403	187	372	0,00001	40,52690	40,52691	491	1
151	277	140	240	0,00005	41,55630	41,55635	618	0
578	449	610	427	-0,00000	41,11270	41,11270	479	0
923	955	885	960	-0,00003	40,07110	40,07107	464	1
127	537	127	578	0,00003	41,82840	41,82843	316	0
862	823	890	827	-0,00001	47,79900	47,79899	1204	1
758	141	726	170	-0,00001	44,01220	44,01219	383	0
73	55	101	91	-0,00002	47,59800	47,59798	595	0
16	860	51	831	-0,00001	47,01220	47,01219	522	1
327	139	351	103	0,00003	45,94110	45,94113	655	0
961	406	999	424	0,00004	45,45580	45,45584	595	1
776	332	774	376	0,00003	44,82840	44,82843	399	0
470	350	471	306	0,00001	44,41420	44,41421	310	0
153	332	136	372	0,00003	47,04160	47,04163	741	0
921	513	948	547	-0,00003	45,18380	45,18377	536	0
35	201	58	241	-0,00000	50,11270	50,11270	695	0
308	926	319	970	0,00005	48,55630	48,55635	767	1
230	671	247	706	-0,00002	49,59800	49,59798	420	0
702	159	746	170	0,00005	48,55630	48,55635	767	1
