type: sc1
name: CrescentMoon
algorithm: jpsplus
preprossessing [ms]: 646

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
434	245	428	241	0,00000	7,65685	7,65685	10	0
91	332	87	327	0,00000	6,65685	6,65685	7	0
362	406	362	399	0,00000	7,00000	7,00000	6	0
222	360	228	363	0,00000	7,24264	7,24264	10	0
4	238	2	244	-0,00000	6,82843	6,82843	5	0
339	309	335	314	0,00000	6,65685	6,65685	11	0
187	267	193	265	-0,00000	6,82843	6,82843	7	0
85	93	82	90	0,00000	4,24264	4,24264	4	0
304	138	310	137	0,00000	6,41421	6,41421	8	0
325	242	324	237	0,00000	5,41421	5,41421	7	0
43	83	39	73	-0,00005	11,65690	11,65685	6	0
24	348	21	338	0,00004	11,24260	11,24264	10	0
201	349	203	340	-0,00000	9,82843	9,82843	8	0
46	51	49	41	0,00004	11,24260	11,24264	5	0
430	498	422	502	0,00000	9,65685	9,65685	6	0
18	44	27	50	-0,00002	11,48530	11,48528	5	0
416	337	414	329	-0,00000	8,82843	8,82843	8	0
208	225	215	230	-0,00000	9,07107	9,07107	12	0
340	324	348	322	-0,00000	8,82843	8,82843	8	0
208	304	217	308	-0,00005	10,65690	10,65685	9	0
61	308	47	310	0,00003	14,82840	14,82843	7	0
400	377	407	366	-0,00001	13,89950	13,89949	9	0
25	96	39	93	0,00004	15,24260	15,24264	6	0
270	143	268	129	0,00003	14,82840	14,82843	9	0
441	452	428	456	-0,00005	14,65690	14,65685	10	0
362	132	351	128	-0,00005	12,65690	12,65685	9	0
254	362	242	355	-0,00001	14,89950	14,89949	9	0
482	492	469	492	0,00000	13,00000	13,00000	5	0
412	503	426	503	0,00000	14,00000	14,00000	5	0
502	435	491	431	-0,00005	12,65690	12,65685	9	0
199	357	204	340	-0,00003	19,07110	19,07107	10	0
191	414	172	413	0,00001	19,41420	19,41421	7	0
183	193	168	187	-0,00002	17,48530	17,48528	11	0
48	281	38	296	0,00004	19,14210	19,14214	7	0
244	214	248	197	-0,00005	18,65690	18,65685	11	0
256	124	273	122	0,00003	17,82840	17,82843	8	0
381	189	371	176	0,00004	17,14210	17,14214	15	0
487	493	501	486	-0,00001	16,89950	16,89949	6	0
52	352	67	341	0,00005	19,55630	19,55635	10	0
485	440	470	429	0,00005	19,55630	19,55635	17	0
209	193	191	206	-0,00002	23,38480	23,38478	22	0
356	103	340	120	0,00002	23,62740	23,62742	15	0
163	241	181	249	0,00001	21,31370	21,31371	7	0
43	292	42	271	0,00001	21,41420	21,41421	7	0
381	358	398	346	-0,00004	21,97060	21,97056	14	0
108	65	93	52	-0,00002	20,38480	20,38478	8	0
27	276	28	255	0,00001	21,41420	21,41421	7	0
