type: sc1
name: Crossroads
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
154	658	154	665	0,00000	7,00000	7,00000	51	0
101	37	105	33	0,00000	5,65685	5,65685	30	0
310	62	303	64	-0,00000	7,82843	7,82843	58	0
451	173	452	168	0,00000	5,41421	5,41421	37	0
509	183	513	177	0,00000	7,65685	7,65685	53	0
724	82	730	81	0,00000	6,41421	6,41421	44	0
610	372	604	368	0,00000	7,65685	7,65685	52	0
490	80	489	74	0,00000	6,41421	6,41421	44	0
90	238	93	234	0,00000	5,24264	5,24264	36	0
439	558	437	551	-0,00000	7,82843	7,82843	57	0
71	237	65	243	0,00000	8,48528	8,48528	44	0
538	303	538	292	0,00000	11,00000	11,00000	79	0
299	618	301	627	-0,00000	9,82843	9,82843	81	1
554	488	544	484	-0,00005	11,65690	11,65685	104	0
585	682	594	689	-0,00001	11,89950	11,89949	96	0
299	615	296	624	0,00004	10,24260	10,24264	90	0
483	513	473	517	-0,00005	11,65690	11,65685	103	0
683	460	681	449	0,00003	11,82840	11,82843	98	0
479	556	486	550	0,00000	9,48528	9,48528	66	0
238	485	234	495	-0,00005	11,65690	11,65685	104	0
30	199	43	201	0,00003	13,82840	13,82843	118	0
270	742	266	734	-0,00003	13,07110	13,07107	149	0
13	196	13	181	0,00000	15,00000	15,00000	107	0
146	548	136	559	0,00004	15,14210	15,14214	106	0
643	370	641	383	0,00003	13,82840	13,82843	119	0
418	216	417	229	0,00001	13,41420	13,41421	93	0
181	557	187	569	-0,00002	14,48530	14,48528	135	0
37	672	42	660	-0,00003	14,07110	14,07107	127	0
132	668	121	677	0,00002	14,72790	14,72792	123	0
115	611	103	614	0,00004	13,24260	13,24264	121	0
70	465	55	462	0,00004	16,24260	16,24264	147	0
475	120	460	111	0,00002	18,72790	18,72792	192	1
513	365	526	378	-0,00002	18,38480	18,38478	93	0
681	708	680	692	0,00001	16,41420	16,41421	114	0
69	647	74	630	-0,00003	19,07110	19,07107	202	0
767	181	762	196	-0,00003	17,07110	17,07107	126	0
64	278	78	288	0,00004	18,14210	18,14214	171	0
642	159	653	172	0,00005	17,55630	17,55635	142	0
546	11	527	13	0,00003	19,82840	19,82843	166	0
521	85	528	102	-0,00001	19,89950	19,89949	218	0
558	407	574	395	-0,00004	20,97060	20,97056	202	0
180	301	161	290	0,00005	23,55630	23,55635	262	0
468	616	466	594	0,00003	22,82840	22,82843	205	1
147	739	162	726	-0,00002	20,38480	20,38478	166	0
192	369	201	352	0,00002	20,72790	20,72792	231	0
682	24	699	36	-0,00004	21,97060	21,97056	160	0
420	135	412	153	0,00001	21,31370	21,31371	235	0
635	37	629	58	-0,00002	23,48530	23,48528	262	0
157	632	138	626	-0,00002	21,48530	21,48528	241	0
171	114	192	111	0,00004	22,24260	22,24264	222	0
481	93	504	99	-0,00002	25,48530	25,48528	307	1
65	194	86	209	0,00000	27,21320	27,21320	299	0
312	536	294	517	0,00004	26,45580	26,45584	186	0
203	132	182	116	0,00002	27,62740	27,62742	280	0
148	273	141	297	-0,00001	26,89950	26,89949	330	0
312	539	314	564	0,00003	25,82840	25,82843	241	0
123	633	103	651	0,00004	27,45580	27,45584	230	0
15	160	35	175	0,00000	26,21320	26,21320	267	0
24	116	39	134	0,00000	24,21320	24,21320	220	1
751	58	737	39	-0,00001	24,79900	24,79899	247	0
172	134	193	153	-0,00004	28,87010	28,87006	242	0
593	219	620	211	0,00001	30,31370	30,31371	384	0
133	296	157	306	0,00004	28,14210	28,14214	370	0
580	613	607	603	0,00004	31,14210	31,14214	419	1
17	152	44	155	0,00004	28,24260	28,24264	291	0
756	498	739	521	0,00003	30,04160	30,04163	335	0
408	512	434	503	0,00002	29,72790	29,72792	228	0
265	747	280	722	-0,00001	31,79900	31,79899	337	0
434	131	460	140	0,00002	29,72790	29,72792	403	1
385	652	390	626	-0,00004	31,97060	31,97056	385	0
162	218	136	199	-0,00004	33,87010	33,87006	396	0
485	66	467	92	0,00004	33,45580	33,45584	408	0
87	65	59	75	0,00004	32,14210	32,14214	428	1
694	497	691	530	0,00004	34,24260	34,24264	359	0
466	489	443	511	-0,00000	32,11270	32,11270	201	0
507	271	477	262	0,00002	33,72790	33,72792	447	0
2	219	21	246	-0,00004	34,87010	34,87006	426	0
146	577	139	545	-0,00001	34,89950	34,89949	448	1
520	441	500	468	-0,00003	35,28430	35,28427	413	0
265	609	275	638	0,00004	33,14210	33,14214	442	0
216	598	205	564	0,00005	38,55630	38,55635	505	1
125	717	140	687	0,00000	36,21320	36,21320	516	0
181	177	145	170	-0,00001	38,89950	38,89949	504	0
96	711	90	676	-0,00002	37,48530	37,48528	456	1
582	37	547	44	-0,00001	37,89950	37,89949	491	0
629	315	664	312	0,00004	36,24260	36,24264	341	0
523	87	559	89	0,00003	36,82840	36,82843	320	0
188	638	152	646	0,00001	39,31370	39,31371	533	1
62	359	81	334	-0,00002	36,38480	36,38478	319	0
523	312	531	348	0,00001	39,31370	39,31371	533	0
128	207	166	216	0,00002	41,72790	41,72792	593	1
345	179	370	149	0,00004	40,35530	40,35534	411	0
119	205	108	169	0,00005	40,55630	40,55635	600	0
76	451	45	473	-0,00000	40,11270	40,11270	476	0
582	207	596	171	-0,00001	41,79900	41,79899	646	0
254	221	293	227	-0,00002	41,48530	41,48528	521	0
595	98	605	134	0,00004	40,14210	40,14214	577	1
639	100	599	102	0,00003	40,82840	40,82843	360	0
178	254	201	223	0,00001	40,52690	40,52691	491	0
312	66	307	106	-0,00003	42,07110	42,07107	477	0
211	450	182	482	-0,00001	44,01220	44,01219	383	1
8	160	29	197	-0,00002	45,69850	45,69848	711	0
58	572	93	599	-0,00003	46,18380	46,18377	575	1
516	49	518	4	0,00003	45,82840	45,82843	410	0
761	69	764	114	0,00004	46,24260	46,24264	469	0
10	150	54	146	-0,00005	45,65690	45,65685	508	0
648	78	608	92	-0,00001	45,79900	45,79899	735	1
109	98	122	140	-0,00002	47,38480	47,38478	767	0
685	685	712	718	-0,00003	44,18380	44,18377	485	0
570	173	613	184	0,00005	47,55630	47,55635	743	0
481	219	444	183	-0,00001	51,91170	51,91169	261	0
