type: sc1
name: DarkContinent
algorithm: jpsplus
preprossessing [ms]: 4288

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
10	520	6	524	0,00000	5,65685	5,65685	8	0
381	42	384	46	0,00000	5,24264	5,24264	7	0
425	15	421	9	0,00000	7,65685	7,65685	6	0
18	332	24	329	0,00000	7,24264	7,24264	6	0
507	102	507	107	0,00000	5,00000	5,00000	5	0
262	542	263	535	0,00000	7,41421	7,41421	9	0
113	149	107	149	0,00000	6,00000	6,00000	6	0
132	269	128	274	0,00000	6,65685	6,65685	7	0
219	26	223	30	0,00000	5,65685	5,65685	5	1
169	29	170	24	0,00000	5,41421	5,41421	8	0
138	71	130	71	0,00000	8,00000	8,00000	6	0
39	463	36	471	0,00000	9,24264	9,24264	9	0
217	204	223	210	0,00000	8,48528	8,48528	5	0
191	14	182	16	-0,00000	9,82843	9,82843	6	0
75	591	83	584	-0,00001	10,89950	10,89949	11	0
82	611	76	605	-0,00000	9,07107	9,07107	12	0
158	241	149	241	0,00000	9,00000	9,00000	7	0
417	13	418	24	0,00001	11,41420	11,41421	6	0
202	566	210	565	0,00000	8,41421	8,41421	7	0
271	524	281	524	0,00000	10,00000	10,00000	7	0
412	422	403	413	0,00002	12,72790	12,72792	16	0
35	511	24	504	-0,00001	13,89950	13,89949	7	0
475	582	488	585	0,00004	14,24260	14,24264	8	0
54	21	44	30	0,00002	13,72790	13,72792	4	0
150	166	140	158	0,00001	13,31370	13,31371	11	0
466	363	456	352	0,00004	15,14210	15,14214	5	0
157	486	160	498	0,00004	13,24260	13,24264	7	0
457	171	451	159	-0,00002	14,48530	14,48528	8	0
170	232	159	238	-0,00002	13,48530	13,48528	9	0
231	409	233	395	0,00003	14,82840	14,82843	9	0
176	465	193	472	-0,00001	19,89950	19,89949	7	0
142	320	133	336	0,00002	19,72790	19,72792	14	0
257	584	259	568	0,00003	16,82840	16,82843	9	0
44	68	27	73	-0,00003	19,07110	19,07107	6	0
363	490	356	507	-0,00001	19,89950	19,89949	7	0
347	434	334	424	0,00004	17,14210	17,14214	9	0
45	30	31	37	-0,00001	16,89950	16,89949	5	0
287	466	297	454	0,00004	16,14210	16,14214	9	0
74	426	60	435	0,00002	17,72790	17,72792	11	0
395	159	381	166	-0,00001	16,89950	16,89949	19	0
195	518	176	515	0,00004	20,24260	20,24264	9	0
40	376	20	384	0,00001	23,31370	23,31371	10	0
223	69	226	49	0,00004	21,24260	21,24264	9	1
418	224	397	221	0,00004	22,24260	22,24264	7	0
482	530	502	538	0,00001	23,31370	23,31371	7	0
157	483	159	504	0,00003	21,82840	21,82843	9	0
69	536	68	516	0,00001	20,41420	20,41421	7	0
198	757	209	738	0,00005	23,55630	23,55635	10	0
243	163	223	166	0,00004	21,24260	21,24264	7	0
412	21	419	1	-0,00001	22,89950	22,89949	6	0
483	264	500	247	0,00003	24,04160	24,04163	10	0
235	418	226	394	0,00002	27,72790	27,72792	22	0
32	582	35	559	0,00004	24,24260	24,24264	10	0
469	656	464	634	-0,00003	24,07110	24,07107	9	0
181	261	192	241	0,00005	24,55630	24,55635	9	0
266	163	269	189	0,00004	27,24260	27,24264	7	0
357	38	382	40	0,00003	25,82840	25,82843	7	0
303	264	325	274	0,00004	26,14210	26,14214	14	0
295	720	288	743	-0,00001	25,89950	25,89949	17	0
295	259	269	259	0,00000	26,00000	26,00000	7	0
478	516	492	493	-0,00001	28,79900	28,79899	10	0
418	11	443	3	0,00001	28,31370	28,31371	6	0
312	713	312	685	0,00000	28,00000	28,00000	6	0
346	148	369	128	-0,00003	31,28430	31,28427	16	0
327	443	350	459	0,00002	29,62740	29,62742	7	0
176	72	166	46	0,00004	30,14210	30,14214	9	0
178	47	174	20	-0,00005	28,65690	28,65685	7	0
72	694	96	683	0,00005	28,55630	28,55635	9	0
337	675	345	701	0,00001	29,31370	29,31371	8	0
478	514	478	483	0,00000	31,00000	31,00000	6	0
116	327	136	303	-0,00003	32,28430	32,28427	11	0
96	492	111	464	0,00000	34,21320	34,21320	15	0
188	397	211	371	0,00001	35,52690	35,52691	12	0
474	201	442	202	0,00001	32,41420	32,41421	7	0
425	411	433	382	0,00001	32,31370	32,31371	17	0
263	239	232	244	-0,00003	33,07110	33,07107	9	1
493	374	469	399	0,00003	34,94110	34,94113	15	0
142	494	110	492	0,00003	32,82840	32,82843	11	0
236	202	261	180	-0,00000	34,11270	34,11270	13	0
487	54	470	27	0,00003	34,04160	34,04163	23	0
45	326	16	301	0,00004	39,35530	39,35534	9	0
335	742	322	711	-0,00002	36,38480	36,38478	21	0
448	257	418	278	-0,00002	38,69850	38,69848	21	0
361	167	363	205	0,00003	38,82840	38,82843	7	0
21	93	25	130	-0,00005	38,65690	38,65685	4	0
484	72	472	39	-0,00004	37,97060	37,97056	11	0
18	691	57	693	0,00003	39,82840	39,82843	6	0
15	420	49	409	0,00005	38,55630	38,55635	14	0
420	189	388	206	0,00003	39,04160	39,04163	15	0
416	142	389	170	-0,00003	39,18380	39,18377	27	0
321	389	299	355	-0,00000	43,11270	43,11270	22	0
321	346	362	353	-0,00001	43,89950	43,89949	13	0
343	691	359	727	0,00002	42,62740	42,62742	10	0
251	220	208	218	0,00003	43,82840	43,82843	8	0
507	244	471	260	0,00002	42,62740	42,62742	23	0
409	540	447	535	-0,00003	40,07110	40,07107	7	0
40	656	75	677	-0,00002	43,69850	43,69848	13	0
258	61	219	57	-0,00005	40,65690	40,65685	9	0
135	327	130	287	-0,00003	42,07110	42,07107	16	0
446	638	417	669	-0,00001	43,01220	43,01219	13	0
103	379	147	384	-0,00003	46,07110	46,07107	13	0
241	710	250	749	-0,00004	44,97060	44,97056	16	0
337	18	381	15	0,00004	45,24260	45,24264	7	0
347	449	318	416	-0,00001	45,01220	45,01219	20	0
214	243	179	265	-0,00000	44,11270	44,11270	13	0
166	265	182	224	0,00002	47,62740	47,62742	16	0
468	141	427	131	0,00004	45,14210	45,14214	13	0
36	43	28	1	0,00001	45,31370	45,31371	6	0
217	527	238	566	-0,00002	47,69850	47,69848	21	0
142	605	103	584	-0,00002	47,69850	47,69848	30	0
152	13	174	53	-0,00000	49,11270	49,11270	10	0
455	315	407	307	0,00001	51,31370	51,31371	18	0
352	213	388	181	0,00003	49,25480	49,25483	15	0
156	183	203	195	-0,00004	51,97060	51,97056	12	0
467	583	481	537	-0,00001	51,79900	51,79899	16	0
86	353	100	307	-0,00001	51,79900	51,79899	9	0
167	753	178	706	0,00005	51,55630	51,55635	22	0
224	533	180	520	-0,00002	49,38480	49,38478	22	0
202	24	186	67	0,00002	49,62740	49,62742	19	0
