type: sc1
name: Desolation
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
281	88	282	82	0,00000	6,41421	6,41421	44	0
242	116	242	109	0,00000	7,00000	7,00000	51	0
342	368	347	366	-0,00000	5,82843	5,82843	45	0
118	34	113	36	-0,00000	5,82843	5,82843	41	0
6	56	5	62	0,00000	6,41421	6,41421	44	0
156	106	154	101	-0,00000	5,82843	5,82843	41	0
223	345	227	345	0,00000	4,00000	4,00000	30	0
206	93	204	89	-0,00000	4,82843	4,82843	33	0
48	147	52	143	0,00000	5,65685	5,65685	30	0
143	128	150	126	-0,00000	7,82843	7,82843	57	0
57	448	61	456	0,00000	9,65685	9,65685	76	0
505	77	502	87	0,00004	11,24260	11,24264	99	0
77	321	75	313	-0,00000	8,82843	8,82843	72	0
448	356	443	348	-0,00003	10,07110	10,07107	78	0
20	12	29	11	0,00000	9,41421	9,41421	65	0
370	434	363	426	-0,00001	10,89950	10,89949	76	0
395	14	404	18	-0,00005	10,65690	10,65685	86	0
132	29	132	20	0,00000	9,00000	9,00000	65	0
363	341	358	335	-0,00000	8,07107	8,07107	44	0
102	59	91	61	0,00003	11,82840	11,82843	96	0
247	374	234	376	0,00003	13,82840	13,82843	120	0
240	428	230	434	-0,00002	12,48530	12,48528	112	1
96	295	105	303	0,00001	12,31370	12,31371	86	0
90	240	103	241	0,00001	13,41420	13,41421	93	0
200	417	192	406	0,00001	14,31370	14,31371	127	0
427	63	437	73	0,00004	14,14210	14,14214	72	0
467	136	458	144	0,00001	12,31370	12,31371	86	0
241	435	244	449	0,00004	15,24260	15,24264	142	0
314	101	326	104	0,00004	13,24260	13,24264	121	0
191	127	176	127	0,00000	15,00000	15,00000	107	0
105	138	124	136	0,00003	19,82840	19,82843	164	0
289	56	299	70	-0,00001	19,89950	19,89949	158	0
337	85	324	75	0,00004	17,14210	17,14214	148	0
274	133	259	145	-0,00004	19,97060	19,97056	177	0
433	58	414	58	0,00000	19,00000	19,00000	135	0
122	304	139	302	0,00003	17,82840	17,82843	161	0
88	155	104	164	0,00002	19,72790	19,72792	205	0
60	329	74	316	-0,00002	19,38480	19,38478	136	0
432	267	447	277	0,00004	19,14210	19,14214	189	1
310	105	314	89	-0,00005	17,65690	17,65685	178	0
378	270	361	258	-0,00004	21,97060	21,97056	214	0
374	215	355	226	0,00005	23,55630	23,55635	251	0
7	24	22	11	-0,00002	20,38480	20,38478	166	0
371	448	390	442	-0,00002	21,48530	21,48528	232	0
83	458	95	475	-0,00004	21,97060	21,97056	222	0
90	443	105	429	-0,00001	20,79900	20,79899	146	0
417	32	424	14	-0,00001	20,89950	20,89949	228	0
151	319	171	327	0,00001	23,31370	23,31371	260	1
213	360	231	350	0,00004	22,14210	22,14214	242	0
477	349	471	369	-0,00002	22,48530	22,48528	246	0
382	287	403	278	0,00002	24,72790	24,72792	287	0
445	466	422	454	-0,00004	27,97060	27,97056	348	0
209	64	230	78	-0,00001	26,79900	26,79899	307	0
408	344	428	331	0,00004	27,14210	27,14214	170	1
127	383	106	374	0,00002	24,72790	24,72792	295	0
501	341	506	363	-0,00003	24,07110	24,07107	270	0
134	265	114	252	-0,00002	25,38480	25,38478	285	0
253	112	237	133	0,00002	27,62740	27,62742	283	0
398	114	417	128	-0,00001	24,79900	24,79899	247	0
220	59	195	57	0,00003	25,82840	25,82843	241	0
490	31	463	37	-0,00002	29,48530	29,48528	355	1
73	468	80	496	-0,00001	30,89950	30,89949	380	0
60	25	44	48	0,00002	29,62740	29,62742	340	0
321	57	352	56	0,00001	31,41420	31,41421	218	0
98	137	71	129	0,00001	30,31370	30,31371	394	0
264	116	289	125	0,00002	28,72790	28,72792	370	1
230	397	202	395	0,00003	28,82840	28,82843	271	0
180	414	205	405	0,00002	28,72790	28,72792	364	0
144	315	117	307	0,00002	31,72790	31,72792	517	0
394	143	400	114	-0,00002	31,48530	31,48528	272	0
207	77	238	83	-0,00002	33,48530	33,48528	423	0
417	469	440	491	-0,00000	32,11270	32,11270	201	0
436	222	406	236	-0,00001	35,79900	35,79899	512	0
54	354	70	383	0,00002	35,62740	35,62742	495	1
402	127	418	101	0,00002	32,62740	32,62742	415	0
88	460	104	434	0,00002	32,62740	32,62742	411	0
106	377	104	411	0,00003	34,82840	34,82843	298	0
443	343	474	336	-0,00001	33,89950	33,89949	448	0
406	64	383	40	-0,00000	34,11270	34,11270	298	1
395	472	361	469	0,00004	35,24260	35,24264	373	0
69	131	84	162	0,00000	37,21320	37,21320	535	0
249	89	266	57	0,00003	39,04160	39,04163	562	1
433	36	404	58	-0,00000	38,11270	38,11270	443	0
343	396	310	384	-0,00004	37,97060	37,97056	555	0
67	224	99	211	-0,00002	37,38480	37,38478	510	1
336	437	368	449	-0,00004	36,97060	36,97056	528	0
322	412	291	391	-0,00002	39,69850	39,69848	478	0
336	444	359	414	0,00001	39,52690	39,52691	456	1
163	389	129	384	-0,00003	36,07110	36,07107	228	0
118	54	139	25	-0,00003	38,28430	38,28427	452	0
409	232	444	249	0,00003	42,04160	42,04163	645	1
226	399	191	386	-0,00002	40,38480	40,38478	608	0
86	130	107	162	-0,00002	40,69850	40,69848	547	0
116	250	89	221	-0,00003	40,18380	40,18377	308	0
432	39	470	44	-0,00003	40,07110	40,07107	464	0
441	350	476	330	-0,00003	43,28430	43,28427	646	0
359	379	323	366	-0,00002	41,38480	41,38478	601	1
431	483	397	503	-0,00003	42,28430	42,28427	617	0
428	29	425	68	0,00004	40,24260	40,24264	402	0
88	458	48	451	-0,00001	42,89950	42,89949	571	0
283	101	317	134	0,00005	47,66900	47,66905	240	0
404	210	359	211	0,00001	45,41420	45,41421	317	0
154	426	195	441	0,00000	47,21320	47,21320	777	1
443	461	426	500	0,00003	46,04160	46,04163	756	0
378	329	343	352	0,00001	44,52690	44,52691	539	1
230	106	250	67	-0,00003	47,28430	47,28427	771	0
245	372	286	386	-0,00001	46,79900	46,79899	758	1
175	132	156	94	-0,00004	45,87010	45,87006	739	1
127	390	111	428	0,00002	44,62740	44,62742	714	0
147	58	103	67	0,00002	47,72790	47,72792	694	1
283	351	247	385	-0,00004	50,08330	50,08326	385	0
217	392	225	344	0,00001	51,31370	51,31371	748	0
221	343	267	355	-0,00004	50,97060	50,97056	840	1
52	183	46	135	-0,00002	50,48530	50,48528	641	0
406	235	362	222	-0,00002	49,38480	49,38478	817	1
339	99	384	109	0,00004	49,14210	49,14214	756	1
279	141	321	123	0,00004	49,45580	49,45584	845	0
84	315	85	364	0,00001	49,41420	49,41421	345	0
271	141	234	112	-0,00001	49,01220	49,01219	616	1
294	406	262	371	0,00003	48,25480	48,25483	425	0
304	323	355	335	-0,00004	55,97060	55,97056	631	0
510	81	471	49	0,00003	52,25480	52,25483	627	0
509	362	458	374	-0,00004	55,97060	55,97056	953	1
71	143	107	183	-0,00001	54,91170	54,91169	531	0
305	87	333	46	-0,00002	52,59800	52,59798	752	1
462	89	411	81	0,00001	54,31370	54,31371	448	0
355	301	408	307	-0,00002	55,48530	55,48528	739	0
13	343	54	376	0,00005	54,66900	54,66905	704	1
106	492	55	485	-0,00001	53,89950	53,89949	729	0
86	259	76	210	0,00004	53,14210	53,14214	843	1
331	419	338	362	-0,00001	59,89950	59,89949	855	1
444	248	401	281	0,00005	56,66900	56,66905	790	0
414	228	422	282	0,00001	57,31370	57,31371	863	1
143	252	94	278	-0,00005	59,76960	59,76955	1130	1
370	213	417	183	0,00001	59,42640	59,42641	1029	1
238	414	191	391	0,00001	56,52690	56,52691	1047	1
359	339	311	366	-0,00003	59,18380	59,18377	1069	1
199	106	143	97	0,00002	59,72790	59,72792	950	1
89	290	137	317	-0,00003	59,18380	59,18377	1085	1
339	44	292	75	0,00002	59,84060	59,84062	929	0
358	402	321	448	0,00000	61,32590	61,32590	802	1
120	268	92	216	-0,00002	63,59800	63,59798	1251	1
3	27	37	74	-0,00004	61,08330	61,08326	959	1
159	448	138	394	-0,00002	62,69850	62,69848	993	1
302	75	243	85	0,00004	63,14210	63,14214	1054	1
410	292	451	337	-0,00004	61,98280	61,98276	610	0
200	409	231	458	0,00002	61,84060	61,84062	1101	1
142	119	196	103	0,00002	60,62740	60,62742	1159	1
74	343	63	284	0,00005	63,55630	63,55635	1068	1
376	85	321	106	-0,00002	63,69850	63,69848	1287	1
89	151	42	103	0,00004	67,46800	67,46804	341	0
67	167	90	223	0,00001	65,52690	65,52691	1363	2
21	452	65	500	-0,00000	66,22540	66,22540	651	0
11	165	33	107	-0,00000	67,11270	67,11270	1419	2
419	78	485	74	-0,00005	67,65690	67,65685	795	0
150	411	198	459	0,00005	67,88220	67,88225	338	0
417	297	445	244	-0,00002	64,59800	64,59798	1217	1
82	181	133	220	0,00003	67,15430	67,15433	1049	1
93	279	70	336	0,00001	66,52690	66,52691	1369	1
212	412	272	394	0,00004	67,45580	67,45584	1386	1
250	385	304	345	0,00004	70,56850	70,56854	1074	1
