type: sc1
name: EbonLakes
algorithm: jps
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
453	318	455	313	-0,00000	5,82843	5,82843	8	0
230	308	228	301	-0,00000	7,82843	7,82843	7	0
457	455	458	459	0,00000	4,41421	4,41421	6	0
150	195	146	194	0,00000	4,41421	4,41421	9	0
14	396	14	391	0,00000	5,00000	5,00000	4	0
217	100	223	97	0,00000	7,24264	7,24264	7	1
198	335	203	339	0,00000	7,24264	7,24264	9	0
225	234	228	240	0,00000	7,24264	7,24264	9	0
17	10	11	12	-0,00000	6,82843	6,82843	4	2
172	129	165	129	0,00000	7,00000	7,00000	6	0
85	239	81	249	-0,00005	11,65690	11,65685	9	0
96	417	104	414	-0,00000	9,82843	9,82843	8	0
151	474	158	469	-0,00000	9,07107	9,07107	7	0
437	400	431	391	-0,00002	11,48530	11,48528	13	0
173	381	165	383	-0,00000	8,82843	8,82843	7	0
216	388	207	386	0,00001	10,41420	10,41421	11	0
230	230	235	237	-0,00000	9,07107	9,07107	7	0
0	379	9	383	-0,00005	10,65690	10,65685	5	1
393	203	386	199	0,00000	8,65685	8,65685	8	0
332	331	335	338	0,00000	8,24264	8,24264	8	1
70	380	80	374	-0,00002	12,48530	12,48528	10	0
67	369	64	356	0,00004	14,24260	14,24264	7	0
129	277	136	290	-0,00001	15,89950	15,89949	8	0
300	373	288	370	0,00004	13,24260	13,24264	9	0
384	192	379	202	-0,00003	12,07110	12,07107	6	1
258	261	263	271	-0,00003	12,07110	12,07107	7	0
44	226	33	236	0,00004	15,14210	15,14214	7	0
429	488	436	498	-0,00001	12,89950	12,89949	7	0
212	104	201	115	0,00005	15,55630	15,55635	8	0
490	34	489	21	0,00001	13,41420	13,41421	6	1
356	396	357	377	0,00001	19,41420	19,41421	7	0
223	89	210	100	0,00005	17,55630	17,55635	11	0
355	88	343	78	0,00004	16,14210	16,14214	10	0
335	62	351	61	0,00001	16,41420	16,41421	7	0
298	495	294	477	-0,00005	19,65690	19,65685	6	1
41	173	23	177	-0,00005	19,65690	19,65685	14	0
505	459	495	472	0,00004	17,14210	17,14214	5	0
474	489	472	472	0,00003	17,82840	17,82843	8	0
347	69	356	54	0,00002	18,72790	18,72792	7	1
404	475	419	484	0,00002	18,72790	18,72792	8	0
306	22	289	11	0,00005	21,55630	21,55635	7	0
340	460	363	461	0,00001	23,41420	23,41421	6	0
339	396	362	394	0,00003	23,82840	23,82843	7	0
225	438	238	455	-0,00002	22,38480	22,38478	6	0
140	29	121	17	-0,00004	23,97060	23,97056	18	1
493	455	479	471	-0,00001	21,79900	21,79899	5	0
398	196	413	183	-0,00002	20,38480	20,38478	12	1
144	186	125	177	0,00002	22,72790	22,72792	19	0
358	375	371	359	-0,00002	21,38480	21,38478	14	0
437	203	438	183	0,00001	20,41420	20,41421	7	0
477	145	490	123	-0,00002	27,38480	27,38478	11	0
34	89	24	67	0,00004	26,14210	26,14214	8	1
77	149	52	144	-0,00003	27,07110	27,07107	7	0
169	51	153	30	0,00002	27,62740	27,62742	21	1
55	420	70	439	0,00000	25,21320	25,21320	7	0
312	243	332	225	0,00004	27,45580	27,45584	8	0
134	16	109	12	-0,00005	26,65690	26,65685	6	0
96	120	85	141	0,00005	25,55630	25,55635	8	1
393	490	415	482	0,00001	25,31370	25,31371	9	0
157	450	132	443	-0,00001	27,89950	27,89949	9	0
134	303	117	280	0,00003	30,04160	30,04163	12	0
251	68	252	92	0,00002	29,72790	29,72792	16	0
377	457	399	474	0,00002	29,62740	29,62742	19	0
135	90	161	89	-0,00003	28,07110	28,07107	10	0
345	375	337	350	0,00001	28,31370	28,31371	10	0
484	392	457	385	-0,00001	29,89950	29,89949	12	0
455	358	479	369	0,00005	28,55630	28,55635	7	1
467	395	453	418	-0,00001	28,79900	28,79899	22	0
216	323	230	297	-0,00001	31,79900	31,79899	12	0
69	79	43	84	-0,00003	28,07110	28,07107	7	0
142	36	170	55	-0,00004	35,87010	35,87006	12	1
128	283	114	253	-0,00001	35,79900	35,79899	16	0
314	400	346	394	-0,00002	34,48530	34,48528	11	0
341	98	372	102	-0,00005	32,65690	32,65685	9	0
107	94	76	90	-0,00005	32,65690	32,65685	7	0
270	261	241	248	-0,00002	34,38480	34,38478	14	1
492	449	503	418	0,00005	35,55630	35,55635	7	0
23	101	37	130	-0,00001	34,79900	34,79899	10	2
458	464	460	498	0,00003	34,82840	34,82843	6	0
415	176	389	155	-0,00002	34,69850	34,69848	25	0
273	98	304	78	-0,00003	39,28430	39,28427	10	1
166	114	177	146	0,00005	36,55630	36,55635	9	0
216	266	185	284	0,00004	38,45580	38,45584	17	0
107	253	73	244	0,00002	37,72790	37,72792	14	0
216	103	232	133	0,00002	36,62740	36,62742	8	0
203	313	208	345	-0,00004	37,97060	37,97056	13	0
468	277	429	275	0,00003	39,82840	39,82843	10	1
43	456	11	446	0,00004	36,14210	36,14214	6	0
392	461	383	427	0,00002	37,72790	37,72792	28	0
482	216	501	187	-0,00004	36,87010	36,87006	12	0
278	67	311	43	0,00003	42,94110	42,94113	13	1
491	254	487	290	-0,00004	40,97060	40,97056	20	1
104	130	109	91	-0,00001	41,89950	41,89949	12	0
477	259	476	281	0,00003	41,04160	41,04163	29	1
29	152	26	110	0,00004	43,24260	43,24264	9	0
234	383	271	395	-0,00004	41,97060	41,97056	11	0
129	1	161	29	-0,00002	43,59800	43,59798	9	1
38	309	73	326	0,00003	42,04160	42,04163	10	1
216	237	207	275	0,00002	41,72790	41,72792	17	0
26	243	24	200	0,00003	43,82840	43,82843	9	0
273	359	305	390	-0,00005	47,76960	47,76955	17	0
219	443	236	482	0,00003	46,04160	46,04163	7	1
182	438	148	463	0,00004	44,35530	44,35534	17	0
79	117	55	152	0,00003	44,94110	44,94113	11	0
45	253	90	251	0,00003	45,82840	45,82843	12	1
33	354	77	350	-0,00005	45,65690	45,65685	6	0
54	442	37	480	0,00003	45,04160	45,04163	11	0
502	393	496	423	-0,00005	44,76960	44,76955	31	1
270	507	229	499	0,00001	44,31370	44,31371	15	0
302	499	261	507	0,00001	44,31370	44,31371	13	0
282	371	291	326	0,00002	48,72790	48,72792	9	0
244	448	238	497	-0,00002	51,48530	51,48528	11	0
44	410	6	377	0,00005	51,66900	51,66905	10	1
299	377	328	339	-0,00001	50,01220	50,01219	15	0
194	352	191	398	-0,00003	48,07110	48,07107	9	0
332	480	293	505	0,00004	49,35530	49,35534	21	0
187	349	217	311	0,00001	50,42640	50,42641	21	0
55	233	32	193	0,00001	49,52690	49,52691	13	0
481	246	441	269	0,00001	49,52690	49,52691	15	0
469	120	500	81	0,00002	51,84060	51,84062	10	1
372	95	319	96	0,00001	53,41420	53,41421	6	0
207	176	256	167	0,00002	52,72790	52,72792	16	0
66	27	19	28	0,00003	54,04160	54,04163	43	1
431	361	442	410	0,00005	53,55630	53,55635	6	0
277	239	238	277	0,00002	54,74010	54,74012	19	1
46	200	18	243	-0,00002	54,59800	54,59798	9	0
459	172	491	211	0,00003	52,25480	52,25483	6	0
68	331	16	323	0,00001	55,31370	55,31371	9	1
419	278	364	279	0,00001	55,41420	55,41421	7	0
99	478	138	442	-0,00001	53,91170	53,91169	15	0
340	221	391	200	-0,00002	59,69850	59,69848	14	1
473	350	463	405	0,00004	59,14210	59,14214	7	0
222	227	165	221	-0,00002	59,48530	59,48528	20	0
489	164	464	119	0,00001	56,52690	56,52691	27	1
138	6	162	54	0,00003	57,94110	57,94113	12	0
26	444	78	434	0,00004	56,14210	56,14214	5	0
338	292	300	336	0,00002	59,74010	59,74012	35	0
459	202	509	225	0,00001	59,52690	59,52691	7	0
327	219	272	227	0,00004	59,14210	59,14214	13	0
42	314	93	297	0,00003	58,04160	58,04163	8	1
245	420	281	374	-0,00004	62,08330	62,08326	26	1
228	288	263	240	-0,00003	62,49750	62,49747	11	0
348	84	297	113	-0,00001	63,01220	63,01219	21	0
349	42	299	75	0,00005	63,66900	63,66905	15	0
415	116	416	160	0,00003	60,25480	60,25483	30	1
475	173	429	213	0,00004	62,56850	62,56854	13	0
328	56	329	118	0,00001	62,41420	62,41421	7	1
232	106	177	122	0,00002	61,62740	61,62742	16	0
64	308	10	284	0,00003	63,94110	63,94113	12	0
35	158	56	103	-0,00002	63,69850	63,69848	23	1
235	324	213	267	-0,00000	66,11270	66,11270	21	0
505	414	446	399	-0,00004	66,87010	66,87006	42	0
457	338	508	300	0,00002	66,74010	66,74012	16	1
281	115	258	58	0,00001	66,52690	66,52691	43	1
74	246	135	237	0,00002	64,72790	64,72792	15	0
345	127	409	123	-0,00005	65,65690	65,65685	12	0
285	357	234	391	-0,00004	65,08330	65,08326	33	0
368	75	353	15	0,00000	66,21320	66,21320	27	1
336	220	390	194	-0,00005	64,76960	64,76955	19	0
511	439	501	392	-0,00003	66,39700	66,39697	36	1
147	354	111	409	-0,00001	69,91170	69,91169	17	0
414	490	480	497	-0,00001	68,89950	68,89949	12	1
456	485	484	426	-0,00002	70,59800	70,59798	10	0
241	110	231	175	0,00004	69,14210	69,14214	17	0
268	64	210	93	-0,00001	70,01220	70,01219	27	0
443	395	449	327	-0,00002	70,48530	70,48528	11	1
216	312	214	369	0,00003	70,25480	70,25483	27	0
423	195	485	175	-0,00003	70,28430	70,28427	12	0
400	385	459	363	-0,00000	68,11270	68,11270	15	1
291	90	281	25	0,00004	69,14210	69,14214	10	0
213	177	157	142	0,00002	72,84060	72,84062	45	0
172	51	111	17	-0,00004	75,08330	75,08326	45	1
270	385	198	382	0,00004	73,24260	73,24264	11	0
241	451	171	462	0,00005	74,55630	74,55635	17	0
189	32	159	93	-0,00001	74,01220	74,01219	61	0
488	136	494	208	0,00001	75,31370	75,31371	11	0
223	233	278	279	0,00002	74,05380	74,05382	14	0
384	496	319	472	0,00003	74,94110	74,94113	42	1
251	262	314	241	-0,00003	74,18380	74,18377	18	0
73	18	11	41	0,00003	72,94110	72,94113	51	1
52	390	33	318	-0,00004	79,87010	79,87006	10	0
52	410	24	478	-0,00002	79,59800	79,59798	20	1
429	493	485	444	-0,00004	76,29650	76,29646	15	0
248	473	177	492	-0,00004	78,87010	78,87006	23	1
201	124	137	95	-0,00001	76,01220	76,01219	28	0
446	483	384	448	-0,00003	76,49750	76,49747	49	0
340	488	399	464	-0,00001	76,79900	76,79899	37	1
313	319	365	377	0,00001	79,53910	79,53911	17	0
181	1	149	64	0,00003	76,25480	76,25483	33	1
352	108	337	35	0,00000	79,21320	79,21320	11	0
240	287	186	347	0,00003	82,36750	82,36753	32	1
273	69	335	117	0,00005	81,88220	81,88225	15	0
38	67	22	143	0,00002	82,62740	82,62742	7	1
62	257	29	190	0,00005	80,66900	80,66905	28	0
375	73	304	49	0,00003	80,94110	80,94113	34	1
474	298	503	366	-0,00001	80,01220	80,01219	16	0
422	256	496	275	-0,00004	83,87010	83,87006	41	2
488	335	426	383	0,00005	81,88220	81,88225	16	0
32	74	31	156	0,00001	82,41420	82,41421	6	1
253	269	317	224	-0,00000	83,22540	83,22540	20	1
481	158	435	224	0,00002	85,05380	85,05382	12	0
198	174	137	134	-0,00005	87,76960	87,76955	45	1
296	343	230	389	0,00002	85,05380	85,05382	32	0
354	421	330	344	0,00003	86,94110	86,94113	33	0
187	362	260	394	0,00003	86,25480	86,25483	23	0
96	477	52	416	0,00002	86,84060	86,84062	30	1
52	284	74	362	-0,00000	87,11270	87,11270	13	1
210	376	126	383	-0,00001	86,89950	86,89949	15	0
389	191	408	112	-0,00004	86,87010	86,87006	29	1
156	195	215	235	-0,00001	87,91170	87,91169	33	0
12	53	54	124	-0,00003	88,39700	88,39697	10	2
48	147	51	60	0,00004	88,24260	88,24264	13	0
253	76	341	80	-0,00002	90,48530	90,48528	16	0
406	157	407	76	0,00003	88,04160	88,04163	35	0
194	291	187	224	-0,00004	91,98280	91,98276	58	1
121	276	144	194	0,00001	91,52690	91,52691	24	0
127	130	209	114	0,00002	88,62740	88,62742	21	0
375	70	313	4	0,00004	91,68120	91,68124	33	1
472	456	442	387	-0,00003	90,39700	90,39697	47	0
510	87	496	163	0,00003	89,25480	89,25483	22	2
463	216	394	159	-0,00003	92,61020	92,61017	31	0
86	151	17	94	-0,00003	92,61020	92,61017	26	1
460	397	503	322	-0,00002	92,81120	92,81118	22	1
418	194	345	144	-0,00002	93,71070	93,71068	43	1
48	457	21	375	-0,00003	93,18380	93,18377	27	1
244	86	311	26	0,00000	92,43860	92,43860	21	1
493	253	504	343	0,00005	94,55630	94,55635	16	1
399	378	484	398	-0,00003	93,28430	93,28427	11	0
270	326	198	273	0,00002	93,95330	93,95332	59	1
47	322	128	320	-0,00001	95,91170	95,91169	25	1
404	116	451	186	0,00005	96,78170	96,78175	26	0
428	312	456	397	-0,00002	96,59800	96,59798	20	2
268	46	243	46	0,00005	98,88220	98,88225	77	1
146	199	87	126	-0,00003	98,61020	98,61017	59	1
97	355	26	289	-0,00000	98,33810	98,33810	14	0
337	311	346	405	-0,00002	99,38480	99,38478	14	0
65	245	144	288	-0,00002	96,81120	96,81118	33	1
273	77	196	124	-0,00001	98,12490	98,12489	46	0
496	259	433	313	0,00005	97,66900	97,66905	61	2
177	97	118	22	0,00000	99,43860	99,43860	65	0
166	362	248	330	0,00025	101,88200	101,88225	26	1
223	131	282	64	-0,00003	101,39700	101,39697	36	0
483	329	432	411	-0,00011	103,12500	103,12489	17	1
370	134	339	49	0,00013	101,94100	101,94113	48	0
127	282	130	192	-0,00023	103,18400	103,18377	62	1
282	96	358	33	0,00045	102,09500	102,09545	15	0
419	178	334	141	-0,00010	100,32600	100,32590	47	1
232	306	184	386	-0,00003	103,39700	103,39697	24	0
485	291	473	388	-0,00044	101,97100	101,97056	13	1
511	395	457	464	0,00033	100,15400	100,15433	51	2
242	389	335	359	0,00041	105,42600	105,42641	30	0
439	175	350	219	0,00040	107,22500	107,22540	31	1
257	374	213	320	-0,00031	104,91200	104,91169	106	0
7	83	108	94	0,00035	105,55600	105,55635	7	2
425	481	340	503	0,00048	106,69800	106,69848	80	1
8	89	55	175	0,00004	105,46800	105,46804	11	2
17	483	22	413	0,00033	104,15400	104,15433	37	1
393	461	313	482	-0,00044	105,97100	105,97056	74	0
333	286	346	386	-0,00022	105,38500	105,38478	20	1
327	105	234	79	0,00026	107,08300	107,08326	39	1
217	389	260	322	0,00047	111,49700	111,49747	93	0
77	392	82	299	0,00019	109,01200	109,01219	37	1
123	297	72	351	-0,00002	108,59800	108,59798	71	1
92	134	31	51	0,00003	108,26700	108,26703	25	1
28	486	121	447	0,00012	109,74000	109,74012	32	0
507	415	452	339	0,00012	110,74000	110,74012	56	1
155	105	236	175	-0,00005	109,99500	109,99495	17	1
123	243	132	151	0,00034	108,35500	108,35534	53	0
123	131	42	148	0,00006	110,87000	110,87006	47	1
394	173	474	135	0,00020	109,21300	109,21320	36	0
333	138	409	79	-0,00031	113,91200	113,91169	71	1
86	479	183	482	0,00018	114,81100	114,81118	61	1
205	346	282	351	-0,00018	113,05400	113,05382	77	0
501	477	391	489	-0,00044	114,97100	114,97056	12	1
315	351	216	387	-0,00031	113,91200	113,91169	43	0
405	469	496	430	0,00032	112,95300	112,95332	24	1
428	265	382	185	0,00026	112,08300	112,08326	52	0
458	493	362	462	0,00027	115,28400	115,28427	81	1
390	416	444	486	0,00004	112,46800	112,46804	34	0
491	163	390	146	0,00047	115,49700	115,49747	55	1
230	144	160	67	-0,00032	117,71100	117,71068	81	1
370	422	457	468	-0,00025	116,78200	116,78175	32	0
437	168	404	271	-0,00002	119,59800	119,59798	48	1
163	131	161	17	0,00028	116,48500	116,48528	22	0
292	114	235	123	-0,00024	119,98300	119,98276	82	1
379	409	442	497	-0,00040	116,43900	116,43860	21	1
258	61	219	164	0,00033	119,15400	119,15433	27	0
482	227	408	140	-0,00020	117,65200	117,65180	42	0
493	132	452	37	-0,00002	119,59800	119,59798	56	1
102	502	185	474	0,00033	118,15400	118,15433	75	0
428	59	408	165	-0,00046	122,56900	122,56854	30	1
493	438	425	346	-0,00048	120,16700	120,16652	60	0
229	316	243	403	-0,00040	122,43900	122,43860	76	1
36	169	140	192	0,00018	121,81100	121,81118	57	0
508	68	398	45	-0,00045	121,77000	121,76955	44	1
414	104	494	50	0,00005	122,66900	122,66905	40	0
131	188	232	236	0,00025	120,88200	120,88225	42	1
295	376	368	285	-0,00041	121,23800	121,23759	28	0
51	348	67	462	0,00042	120,62700	120,62742	23	1
460	189	403	286	0,00017	120,61000	120,61017	38	1
504	432	402	465	-0,00025	124,78200	124,78175	38	1
103	412	208	361	-0,00011	126,12500	126,12489	28	0
459	284	449	319	0,00039	125,02400	125,02439	101	2
453	467	345	440	-0,00039	126,64000	126,63961	68	0
55	247	120	322	-0,00030	127,11300	127,11270	46	0
272	52	179	134	-0,00049	126,96600	126,96551	39	1
222	261	293	344	-0,00011	124,12500	124,12489	42	0
286	377	251	277	0,00003	125,26700	125,26703	75	1
155	136	195	28	-0,00010	126,32600	126,32590	67	0
53	407	151	370	-0,00011	125,12500	125,12489	66	1
401	352	279	376	0,00013	131,94100	131,94113	29	0
242	275	153	370	0,00001	131,86500	131,86501	43	1
439	193	339	122	0,00016	129,40900	129,40916	70	1
506	226	420	298	-0,00039	131,64000	131,63961	49	0
246	63	361	103	-0,00046	131,56900	131,56854	34	1
87	481	201	471	0,00026	128,08300	128,08326	52	0
472	197	364	145	0,00011	129,53900	129,53911	44	1
307	465	182	474	-0,00008	128,72800	128,72792	20	0
455	484	379	402	-0,00018	131,05400	131,05382	90	1
407	281	504	301	-0,00031	131,91200	131,91169	68	1
