type: sc1
name: Elderlands
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
99	40	93	36	0,00000	7,65685	7,65685	53	0
302	630	308	630	0,00000	6,00000	6,00000	44	0
161	460	156	460	0,00000	5,00000	5,00000	37	0
434	261	432	266	-0,00000	5,82843	5,82843	41	0
665	298	669	298	0,00000	4,00000	4,00000	30	0
437	724	439	727	0,00000	4,41421	4,41421	22	0
141	428	143	421	-0,00000	7,82843	7,82843	57	0
195	481	189	482	0,00000	6,41421	6,41421	44	0
142	482	140	487	-0,00000	5,82843	5,82843	41	0
569	187	575	189	-0,00000	6,82843	6,82843	49	0
284	137	278	130	0,00000	9,48528	9,48528	66	0
314	144	319	137	-0,00000	9,07107	9,07107	69	0
579	80	586	74	0,00000	9,48528	9,48528	66	0
148	125	138	122	0,00004	11,24260	11,24264	97	0
617	494	611	485	-0,00002	11,48530	11,48528	100	0
35	761	28	757	0,00000	8,65685	8,65685	70	0
748	71	756	76	-0,00003	10,07110	10,07107	78	0
194	451	198	461	-0,00005	11,65690	11,65685	104	1
165	303	168	294	0,00004	10,24260	10,24264	90	0
212	338	220	342	0,00000	9,65685	9,65685	76	0
448	356	462	360	-0,00005	15,65690	15,65685	159	0
331	612	317	611	0,00001	14,41420	14,41421	91	0
404	744	415	750	-0,00002	13,48530	13,48528	127	0
69	580	69	593	0,00000	13,00000	13,00000	93	0
553	705	562	714	0,00002	12,72790	12,72792	65	0
346	463	349	451	0,00004	13,24260	13,24264	121	0
210	179	213	193	0,00004	15,24260	15,24264	142	0
119	516	108	511	-0,00003	13,07110	13,07107	113	0
592	490	601	501	0,00002	14,72790	14,72792	123	0
380	705	393	710	-0,00003	15,07110	15,07107	138	0
201	496	216	503	-0,00001	17,89950	17,89949	170	0
231	52	245	41	0,00005	18,55630	18,55635	164	0
641	475	655	466	0,00002	17,72790	17,72792	173	0
22	331	38	333	0,00000	18,00000	18,00000	192	1
487	271	503	276	-0,00003	18,07110	18,07107	186	0
189	562	174	558	-0,00005	16,65690	16,65685	158	0
210	347	195	337	0,00004	19,14210	19,14214	190	0
675	506	656	506	0,00000	19,00000	19,00000	135	0
31	367	46	358	0,00002	18,72790	18,72792	190	0
663	595	655	582	0,00001	16,31370	16,31371	153	0
170	622	183	605	0,00005	23,55630	23,55635	285	0
27	373	21	392	-0,00002	21,48530	21,48528	238	0
733	37	713	29	0,00001	23,31370	23,31371	265	0
699	305	684	319	-0,00001	20,79900	20,79899	146	1
100	213	79	211	0,00003	21,82840	21,82843	189	0
248	482	237	500	0,00005	22,55630	22,55635	231	0
307	204	320	220	-0,00002	21,38480	21,38478	191	0
215	552	196	543	0,00002	22,72790	22,72792	255	0
217	102	206	121	0,00005	23,55630	23,55635	263	0
387	749	401	734	-0,00001	20,79900	20,79899	146	0
212	532	232	513	-0,00004	27,87010	27,87006	196	0
57	410	36	424	-0,00001	26,79900	26,79899	306	0
627	481	617	504	0,00004	27,14210	27,14214	346	1
471	553	467	533	0,00002	24,72790	24,72792	181	0
235	514	214	504	0,00004	25,14210	25,14214	303	0
607	650	590	633	0,00003	24,04160	24,04163	121	0
618	297	624	273	-0,00002	26,48530	26,48528	312	0
335	468	333	443	0,00003	25,82840	25,82843	241	0
482	438	457	432	-0,00002	27,48530	27,48528	251	0
146	314	157	291	0,00005	27,55630	27,55635	355	1
258	610	239	632	-0,00004	29,87010	29,87006	271	0
406	1	425	22	-0,00004	28,87010	28,87006	242	0
646	325	640	299	-0,00002	28,48530	28,48528	336	0
635	138	612	124	-0,00001	28,79900	28,79899	360	0
504	207	489	184	0,00000	29,21320	29,21320	301	0
571	586	555	611	0,00002	31,62740	31,62742	355	0
517	67	525	93	0,00001	29,31370	29,31371	376	0
619	105	640	86	-0,00004	28,87010	28,87006	242	0
240	521	236	491	-0,00005	31,65690	31,65685	357	0
499	139	512	162	-0,00002	28,38480	28,38478	355	0
588	647	562	626	-0,00002	34,69850	34,69848	368	1
548	454	548	486	0,00000	32,00000	32,00000	226	0
697	135	672	114	-0,00002	33,69850	33,69848	334	0
695	594	671	620	0,00003	35,94110	35,94113	293	0
301	174	290	146	0,00005	32,55630	32,55635	448	0
538	195	564	214	-0,00004	33,87010	33,87006	389	1
706	526	698	496	0,00001	33,31370	33,31371	448	0
83	15	49	14	0,00001	34,41420	34,41421	240	0
590	104	620	90	-0,00001	35,79900	35,79899	505	0
262	312	289	292	-0,00003	35,28430	35,28427	415	1
550	688	583	701	-0,00002	38,38480	38,38478	566	0
128	234	100	206	-0,00002	39,59800	39,59798	198	0
31	40	39	74	0,00001	37,31370	37,31371	495	0
364	391	397	391	0,00001	36,31370	36,31371	443	1
235	513	252	543	0,00003	37,04160	37,04163	518	0
611	255	581	271	0,00002	36,62740	36,62742	517	0
364	465	395	452	-0,00002	36,38480	36,38478	518	1
603	158	633	134	0,00003	39,94110	39,94113	431	0
408	334	379	317	0,00003	36,04160	36,04163	480	0
237	614	254	646	0,00003	39,04160	39,04163	566	1
521	704	505	670	0,00002	40,62740	40,62742	610	0
563	324	532	353	-0,00001	43,01220	43,01219	330	0
71	114	36	133	-0,00004	42,87010	42,87006	639	1
287	404	256	430	-0,00005	41,76960	41,76955	429	0
56	237	97	236	0,00001	41,41420	41,41421	289	0
509	254	469	260	-0,00002	42,48530	42,48528	526	0
164	186	200	172	-0,00001	41,79900	41,79899	645	1
593	296	630	304	0,00001	40,31370	40,31371	546	0
531	248	573	244	-0,00005	43,65690	43,65685	475	1
571	556	570	513	0,00001	43,41420	43,41421	300	0
566	162	609	173	0,00005	47,55630	47,55635	743	0
267	685	227	670	0,00000	46,21320	46,21320	750	1
152	690	127	727	0,00004	47,35530	47,35534	463	0
231	494	228	539	0,00004	46,24260	46,24264	466	0
475	341	479	384	-0,00005	44,65690	44,65685	495	1
688	574	658	541	0,00001	45,42640	45,42641	399	0
666	307	620	304	0,00004	47,24260	47,24264	486	0
315	145	320	102	-0,00003	45,07110	45,07107	516	0
685	260	684	307	0,00001	47,41420	47,41421	331	0
494	157	523	124	-0,00001	45,01220	45,01219	429	1
454	681	481	718	-0,00003	48,18380	48,18377	629	0
333	352	350	311	0,00003	48,04160	48,04163	786	1
451	25	403	34	0,00002	51,72790	51,72792	740	0
530	139	495	170	0,00001	48,42640	48,42641	540	1
430	366	392	392	0,00001	50,52690	50,52691	780	0
576	591	620	605	-0,00001	49,79900	49,79899	816	1
482	246	491	292	0,00002	49,72790	49,72792	743	1
570	77	526	91	-0,00001	49,79900	49,79899	834	0
80	165	51	126	-0,00001	51,01220	51,01219	696	1
322	240	316	194	-0,00002	48,48530	48,48528	598	0
366	740	419	743	0,00004	54,24260	54,24264	568	0
435	421	384	425	0,00001	54,31370	54,31371	883	0
203	521	243	491	0,00001	52,42640	52,42641	720	1
517	117	469	131	-0,00001	53,79900	53,79899	936	0
307	169	265	197	-0,00002	53,59800	53,59798	839	1
187	576	236	590	-0,00001	54,79900	54,79899	924	1
394	327	356	293	-0,00004	52,08330	52,08326	457	0
54	170	94	206	-0,00001	54,91170	54,91169	531	0
609	42	583	87	-0,00005	55,76960	55,76955	977	1
575	34	534	63	0,00004	55,35530	55,35534	695	1
552	567	569	618	0,00003	58,04160	58,04163	1090	1
628	171	581	141	0,00001	59,42640	59,42641	1022	1
407	299	399	354	0,00001	58,31370	58,31371	875	0
426	318	409	369	0,00003	58,04160	58,04163	1047	1
646	67	622	28	0,00002	58,84060	58,84062	716	1
457	484	508	467	0,00003	58,04160	58,04163	956	1
207	164	213	219	-0,00002	57,48530	57,48528	776	0
276	514	274	458	-0,00005	57,65690	57,65685	701	1
165	562	119	593	0,00002	58,84060	58,84062	952	0
244	654	254	600	0,00004	58,14210	58,14214	944	1
572	660	511	657	0,00004	62,24260	62,24264	631	1
238	510	186	536	-0,00005	62,76960	62,76955	1247	1
517	64	566	98	-0,00004	63,08330	63,08326	1061	1
458	361	437	416	-0,00002	63,69850	63,69848	1296	1
