type: sc1
name: Entanglement
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
442	335	443	329	0,00000	6,41421	6,41421	44	0
245	54	249	52	-0,00000	4,82843	4,82843	33	0
244	37	245	30	0,00000	7,41421	7,41421	51	0
270	277	274	283	0,00000	7,65685	7,65685	53	0
193	293	188	289	0,00000	6,65685	6,65685	42	0
234	380	239	378	-0,00000	5,82843	5,82843	45	0
475	297	479	295	-0,00000	4,82843	4,82843	33	0
40	19	44	19	0,00000	4,00000	4,00000	30	0
445	327	442	322	0,00000	6,24264	6,24264	43	0
486	106	490	105	0,00000	4,41421	4,41421	30	0
149	316	147	307	-0,00000	9,82843	9,82843	73	0
20	230	22	219	0,00003	11,82840	11,82843	96	0
25	340	27	332	-0,00000	8,82843	8,82843	68	0
255	182	261	187	-0,00000	8,07107	8,07107	44	0
368	227	376	233	-0,00002	10,48530	10,48528	82	0
458	448	469	448	0,00000	11,00000	11,00000	46	0
85	424	92	415	-0,00001	11,89950	11,89949	96	0
153	290	152	298	0,00000	8,41421	8,41421	58	0
127	128	126	117	0,00001	11,41420	11,41421	79	0
80	55	71	59	-0,00005	10,65690	10,65685	86	1
270	162	260	171	0,00002	13,72790	13,72792	96	0
151	202	152	189	0,00001	13,41420	13,41421	93	0
283	475	290	464	-0,00001	13,89950	13,89949	121	0
214	504	201	498	-0,00002	15,48530	15,48528	153	0
151	377	162	387	0,00004	15,14210	15,14214	106	0
49	242	37	234	0,00001	15,31370	15,31371	135	0
63	232	73	227	-0,00003	12,07110	12,07107	101	0
506	310	507	297	0,00001	13,41420	13,41421	93	0
144	13	153	24	0,00002	14,72790	14,72792	123	0
306	353	312	341	-0,00002	14,48530	14,48528	113	0
186	166	188	184	0,00003	18,82840	18,82843	154	0
142	10	127	13	0,00004	16,24260	16,24264	159	0
62	237	45	241	-0,00005	18,65690	18,65685	190	0
336	339	323	331	0,00001	16,31370	16,31371	155	0
469	280	481	290	0,00004	16,14210	16,14214	130	0
254	125	258	143	-0,00005	19,65690	19,65685	202	1
22	234	16	251	-0,00002	19,48530	19,48528	216	0
192	39	204	49	0,00004	16,14210	16,14214	130	0
156	302	165	288	0,00002	17,72790	17,72792	174	0
309	349	310	333	0,00004	17,24260	17,24264	120	0
447	259	428	251	0,00001	22,31370	22,31371	250	0
478	192	460	198	-0,00002	20,48530	20,48528	218	0
380	411	378	392	0,00004	21,24260	21,24264	247	0
253	171	269	155	0,00002	22,62740	22,62742	114	0
129	249	115	265	-0,00001	21,79900	21,79899	178	0
209	388	215	368	-0,00002	22,48530	22,48528	246	1
366	268	354	287	-0,00004	23,97060	23,97056	262	0
317	245	298	236	0,00002	22,72790	22,72792	255	0
222	438	239	427	0,00005	21,55630	21,55635	221	0
244	419	244	440	0,00000	21,00000	21,00000	149	0
69	224	53	242	0,00002	24,62740	24,62742	206	0
93	160	85	181	-0,00004	27,97060	27,97056	263	0
420	297	400	308	0,00004	25,14210	25,14214	316	0
102	66	77	71	-0,00003	27,07110	27,07107	305	1
117	361	105	376	0,00004	25,14210	25,14214	168	0
99	183	104	159	-0,00003	26,07110	26,07107	291	0
380	263	357	274	0,00005	27,55630	27,55635	354	0
338	331	314	325	-0,00002	26,48530	26,48528	323	0
225	116	204	124	0,00001	24,31370	24,31371	283	1
412	41	394	61	0,00004	27,45580	27,45584	230	0
485	258	476	231	0,00002	30,72790	30,72792	420	0
459	219	445	196	-0,00001	28,79900	28,79899	350	0
276	458	256	481	-0,00003	31,28430	31,28427	285	0
131	241	130	269	0,00001	28,41420	28,41421	198	0
233	473	261	482	0,00002	31,72790	31,72792	425	1
326	486	296	484	0,00003	30,82840	30,82843	262	0
254	454	237	430	0,00003	31,04160	31,04163	358	0
259	130	287	132	0,00003	28,82840	28,82843	229	0
255	445	279	464	-0,00004	31,87010	31,87006	337	0
24	207	14	232	0,00004	29,14210	29,14214	392	1
214	353	247	355	0,00003	33,82840	33,82843	289	0
263	317	272	286	0,00002	34,72790	34,72792	466	0
113	258	143	267	0,00002	33,72790	33,72792	454	1
269	136	239	149	-0,00002	35,38480	35,38478	497	0
221	323	222	355	0,00001	32,41420	32,41421	226	0
274	176	268	145	-0,00002	33,48530	33,48528	412	0
241	348	246	381	-0,00003	35,07110	35,07107	406	0
490	111	462	92	-0,00004	35,87010	35,87006	447	0
301	487	269	494	-0,00001	34,89950	34,89949	461	1
292	249	318	266	0,00003	33,04160	33,04163	395	0
69	282	33	288	-0,00002	38,48530	38,48528	474	0
231	349	234	312	0,00004	38,24260	38,24264	377	0
343	208	339	234	0,00000	39,21320	39,21320	654	1
92	234	98	269	-0,00002	37,48530	37,48528	456	0
239	75	217	45	-0,00000	39,11270	39,11270	476	1
173	7	208	13	-0,00002	37,48530	37,48528	456	0
82	420	51	438	0,00004	38,45580	38,45584	388	0
171	296	197	317	0,00003	37,04160	37,04163	445	0
35	180	67	195	-0,00001	38,79900	38,79899	460	0
47	266	80	258	0,00001	36,31370	36,31371	478	1
356	400	328	429	-0,00002	40,59800	40,59798	205	0
445	217	482	225	0,00001	40,31370	40,31371	546	0
33	302	48	267	0,00000	41,21320	41,21320	627	1
86	64	47	73	0,00002	42,72790	42,72792	421	0
83	188	66	223	0,00003	42,04160	42,04163	645	1
154	293	146	256	0,00001	40,31370	40,31371	511	0
164	45	181	10	0,00003	42,04160	42,04163	640	1
274	5	234	10	-0,00003	42,07110	42,07107	491	0
153	344	142	308	0,00005	40,55630	40,55635	555	1
108	476	144	461	0,00000	42,21320	42,21320	648	0
97	229	85	188	-0,00004	45,97060	45,97056	676	1
211	118	255	111	-0,00001	46,89950	46,89949	637	0
150	202	162	244	-0,00004	46,97060	46,97056	733	1
431	198	403	162	-0,00002	47,59800	47,59798	595	0
254	153	270	115	0,00002	44,62740	44,62742	720	1
50	328	43	283	-0,00001	47,89950	47,89949	512	0
221	381	250	348	-0,00001	45,01220	45,01219	414	0
15	219	12	264	0,00004	46,24260	46,24264	466	0
248	385	223	350	0,00004	45,35530	45,35534	604	1
213	56	225	16	-0,00004	44,97060	44,97056	704	0
153	346	156	381	0,00002	50,62740	50,62742	660	1
274	10	237	40	0,00001	49,42640	49,42641	595	0
291	474	244	486	-0,00004	51,97060	51,97056	859	1
486	26	452	57	0,00001	51,52690	51,52691	583	0
382	502	401	458	-0,00004	51,87010	51,87006	670	1
226	145	268	128	0,00003	49,04160	49,04163	835	1
238	496	207	459	0,00002	49,84060	49,84062	562	0
345	201	304	179	-0,00000	50,11270	50,11270	825	1
389	248	339	251	0,00004	51,24260	51,24264	530	0
152	255	108	268	-0,00002	49,38480	49,38478	818	1
487	119	463	74	0,00003	54,94110	54,94113	919	0
499	202	509	250	0,00004	52,14210	52,14214	821	0
236	64	217	16	-0,00004	55,87010	55,87006	1046	1
201	192	175	149	0,00001	55,52690	55,52691	763	1
163	199	127	240	-0,00001	55,91170	55,91169	587	0
182	28	227	5	0,00001	54,52690	54,52691	980	1
287	293	247	328	-0,00003	54,49750	54,49747	566	0
356	265	324	306	0,00003	54,25480	54,25483	723	1
253	129	255	184	0,00003	55,82840	55,82843	500	0
505	201	466	239	0,00002	54,74010	54,74012	275	0
312	308	297	267	-0,00002	57,69850	57,69848	685	1
163	0	113	19	-0,00004	57,87010	57,87006	914	1
172	161	119	167	-0,00004	57,97060	57,97056	735	0
318	459	262	461	0,00003	56,82840	56,82843	509	0
303	459	254	438	-0,00002	57,69850	57,69848	576	1
390	225	344	204	0,00003	58,94110	58,94113	703	0
82	210	104	163	-0,00000	56,11270	56,11270	861	1
30	261	74	230	0,00002	56,84060	56,84062	883	1
194	67	207	112	0,00001	58,42640	58,42641	1147	1
340	437	374	395	-0,00001	59,01220	59,01219	650	0
453	211	408	173	0,00002	60,74010	60,74012	743	1
76	213	101	163	0,00004	60,35530	60,35534	1027	1
142	151	187	119	-0,00001	62,01220	62,01219	974	1
120	506	128	456	-0,00005	60,76960	60,76955	697	0
153	368	208	385	0,00003	62,04160	62,04163	1207	1
125	97	73	74	0,00001	61,52690	61,52691	1123	1
235	73	253	18	0,00004	62,45580	62,45584	1238	2
121	146	80	190	-0,00004	60,98280	60,98276	512	0
