type: sc1
name: Eruption
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
126	194	132	196	-0,00000	6,82843	6,82843	49	0
321	139	326	136	0,00000	6,24264	6,24264	43	0
433	334	437	334	0,00000	4,00000	4,00000	30	0
431	116	428	120	0,00000	5,24264	5,24264	36	0
291	248	296	248	0,00000	5,00000	5,00000	37	0
209	468	213	468	0,00000	4,00000	4,00000	30	0
383	119	382	126	0,00000	7,41421	7,41421	51	0
449	172	445	175	0,00000	5,24264	5,24264	36	0
221	498	215	497	0,00000	6,41421	6,41421	26	0
394	304	397	307	0,00000	4,24264	4,24264	23	0
292	223	285	215	-0,00001	10,89950	10,89949	76	0
120	327	117	319	0,00000	9,24264	9,24264	76	0
251	203	250	213	0,00001	10,41420	10,41421	72	0
88	74	97	81	-0,00001	11,89950	11,89949	89	0
316	134	326	136	0,00003	10,82840	10,82843	87	0
470	389	467	399	0,00004	11,24260	11,24264	99	0
78	131	84	140	-0,00002	11,48530	11,48528	97	0
20	221	11	217	-0,00005	10,65690	10,65685	86	0
438	194	429	190	-0,00005	10,65690	10,65685	86	0
181	479	171	477	0,00003	10,82840	10,82843	87	0
460	227	447	226	0,00001	13,41420	13,41421	93	0
376	477	368	489	0,00001	15,31370	15,31371	135	0
358	162	365	172	-0,00001	12,89950	12,89949	114	0
449	35	459	29	-0,00002	12,48530	12,48528	112	0
274	127	271	138	0,00004	12,24260	12,24264	111	0
472	174	477	186	-0,00003	14,07110	14,07107	127	0
168	345	168	360	0,00000	15,00000	15,00000	107	0
178	432	169	442	0,00002	13,72790	13,72792	96	0
448	215	435	221	-0,00002	15,48530	15,48528	148	0
289	21	287	35	0,00003	14,82840	14,82843	129	0
258	145	264	129	-0,00002	18,48530	18,48528	199	1
330	211	315	222	0,00005	19,55630	19,55635	186	0
218	254	234	245	0,00002	19,72790	19,72792	205	0
311	286	326	274	-0,00004	19,97060	19,97056	173	0
435	388	446	375	0,00005	17,55630	17,55635	142	0
161	60	156	46	-0,00003	16,07110	16,07107	157	0
353	318	367	307	0,00005	18,55630	18,55635	164	0
204	257	185	258	0,00001	19,41420	19,41421	135	0
340	400	354	386	-0,00001	19,79900	19,79899	100	0
398	22	380	19	0,00004	19,24260	19,24264	184	0
322	441	305	456	0,00000	23,21320	23,21320	190	0
370	139	375	118	-0,00003	23,07110	23,07107	203	0
344	423	350	443	-0,00002	22,48530	22,48528	257	1
56	410	42	425	-0,00001	20,79900	20,79899	146	0
212	203	196	217	-0,00001	21,79900	21,79899	178	0
279	19	297	30	0,00005	22,55630	22,55635	237	0
55	376	43	394	-0,00004	22,97060	22,97056	238	0
166	57	183	43	-0,00001	22,79900	22,79899	204	0
435	212	414	206	-0,00002	23,48530	23,48528	269	0
63	233	60	254	0,00004	22,24260	22,24264	221	0
43	379	53	359	0,00004	24,14210	24,14214	285	0
251	245	234	226	0,00003	26,04160	26,04163	218	1
127	344	137	322	0,00004	26,14210	26,14214	318	0
215	279	210	304	-0,00003	27,07110	27,07107	312	0
185	406	167	424	0,00003	26,04160	26,04163	166	0
137	106	143	83	-0,00002	25,48530	25,48528	301	0
242	162	255	140	-0,00002	27,38480	27,38478	339	0
353	420	348	444	-0,00003	26,07110	26,07107	291	1
145	219	146	192	0,00001	27,41420	27,41421	183	0
362	117	383	106	0,00002	26,72790	26,72792	186	0
159	11	185	24	-0,00002	31,38480	31,38478	395	0
399	138	402	116	0,00004	30,45580	30,45584	249	0
499	186	489	210	0,00004	28,14210	28,14214	353	0
136	476	140	506	-0,00005	31,65690	31,65685	344	1
399	53	404	27	-0,00003	28,07110	28,07107	310	0
125	43	101	26	0,00003	31,04160	31,04163	359	0
393	162	380	182	0,00001	28,31370	28,31371	251	0
317	93	301	115	0,00002	28,62740	28,62742	297	0
295	434	318	421	-0,00002	28,38480	28,38478	354	1
174	128	193	149	-0,00004	28,87010	28,87006	242	0
206	499	220	481	-0,00002	32,38480	32,38478	377	0
157	312	128	327	0,00000	35,21320	35,21320	406	0
402	433	370	427	-0,00002	34,48530	34,48528	418	0
478	32	447	35	0,00004	32,24260	32,24264	328	0
347	455	321	479	0,00003	35,94110	35,94113	293	0
317	219	308	190	0,00002	32,72790	32,72792	328	0
109	396	116	365	-0,00001	33,89950	33,89949	372	0
241	205	266	229	0,00003	34,94110	34,94113	224	0
109	454	84	474	-0,00003	33,28430	33,28427	347	0
299	446	322	468	-0,00000	32,11270	32,11270	159	1
247	122	217	103	-0,00004	37,87010	37,87006	444	0
456	237	475	208	-0,00004	36,87010	36,87006	472	0
166	428	133	443	0,00000	39,21320	39,21320	577	1
133	83	105	57	-0,00005	38,76960	38,76955	297	0
271	245	251	214	-0,00003	39,28430	39,28427	524	0
383	74	388	39	-0,00003	37,07110	37,07107	424	0
195	283	208	314	-0,00002	36,38480	36,38478	518	1
205	128	192	126	-0,00001	36,79900	36,79899	671	0
101	12	112	44	0,00005	36,55630	36,55635	451	0
272	190	256	157	0,00002	39,62740	39,62742	585	0
179	270	139	267	0,00004	41,24260	41,24264	407	0
400	254	405	224	0,00002	41,62740	41,62742	319	0
241	183	279	197	-0,00001	43,79900	43,79899	641	1
268	205	238	181	-0,00002	41,69850	41,69848	516	0
394	233	368	200	-0,00005	43,76960	43,76955	480	1
158	85	180	119	-0,00000	43,11270	43,11270	570	0
