type: sc1
name: Expedition
algorithm: jps
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
144	822	149	820	-0,00000	5,82843	5,82843	7	0
444	889	451	891	-0,00000	7,82843	7,82843	7	0
903	195	906	191	0,00000	5,24264	5,24264	9	0
251	920	253	925	-0,00000	5,82843	5,82843	7	1
202	867	197	865	-0,00000	5,82843	5,82843	9	0
431	565	431	571	0,00000	6,00000	6,00000	6	0
462	445	465	450	0,00000	6,24264	6,24264	12	0
133	785	129	790	0,00000	6,65685	6,65685	7	0
569	418	574	413	-0,00000	7,07107	7,07107	8	1
526	291	520	292	0,00000	6,41421	6,41421	8	0
310	323	316	329	0,00000	8,48528	8,48528	7	0
573	361	562	361	0,00000	11,00000	11,00000	6	0
556	723	555	715	0,00000	8,41421	8,41421	7	0
739	430	731	436	-0,00005	11,65690	11,65685	10	0
659	388	652	381	0,00000	9,89949	9,89949	9	0
42	840	33	833	-0,00001	11,89950	11,89949	9	1
749	273	740	273	0,00000	9,00000	9,00000	6	0
384	599	380	590	-0,00005	10,65690	10,65685	12	0
115	277	125	280	0,00004	11,24260	11,24264	7	0
781	523	782	533	0,00001	10,41420	10,41421	7	0
617	955	627	949	-0,00002	12,48530	12,48528	11	1
617	53	616	40	0,00001	13,41420	13,41421	7	0
163	975	165	963	0,00003	12,82840	12,82843	8	0
869	542	879	536	-0,00002	12,48530	12,48528	10	0
520	225	507	229	-0,00005	14,65690	14,65685	13	0
205	340	193	333	-0,00001	14,89950	14,89949	15	0
937	655	944	667	-0,00001	14,89950	14,89949	10	0
444	562	456	561	0,00001	12,41420	12,41421	8	0
908	204	917	214	0,00002	13,72790	13,72792	11	0
21	889	32	894	-0,00003	13,07110	13,07107	6	0
283	306	274	320	0,00002	17,72790	17,72792	8	0
477	243	473	226	-0,00005	18,65690	18,65685	12	0
884	69	898	59	0,00004	18,14210	18,14214	16	1
991	827	977	836	0,00002	17,72790	17,72792	13	0
785	680	781	663	-0,00005	18,65690	18,65685	7	0
693	640	680	631	0,00002	16,72790	16,72792	14	0
241	124	259	121	0,00004	19,24260	19,24264	6	0
159	878	142	877	0,00001	17,41420	17,41421	7	0
750	6	765	13	-0,00001	17,89950	17,89949	9	1
783	370	794	360	-0,00003	18,07110	18,07107	14	0
308	319	324	335	0,00002	22,62740	22,62742	11	0
683	991	692	974	0,00002	20,72790	20,72792	10	0
628	84	648	88	-0,00005	21,65690	21,65685	8	0
423	653	417	672	-0,00002	21,48530	21,48528	14	0
1012	294	1001	278	0,00005	20,55630	20,55635	9	2
350	633	361	616	0,00005	21,55630	21,55635	11	0
727	130	709	140	0,00004	22,14210	22,14214	8	0
638	611	620	603	0,00001	21,31370	21,31371	22	0
125	865	111	880	-0,00001	20,79900	20,79899	16	1
683	985	671	968	-0,00004	21,97060	21,97056	17	0
512	359	501	338	0,00005	25,55630	25,55635	21	0
220	407	228	430	-0,00004	27,97060	27,97056	12	0
375	706	351	710	-0,00005	25,65690	25,65685	8	0
161	577	140	589	-0,00004	25,97060	25,97056	9	1
160	398	176	377	0,00002	27,62740	27,62742	14	0
905	539	917	519	-0,00004	24,97060	24,97056	9	0
357	500	381	505	-0,00003	26,07110	26,07107	12	0
121	269	120	293	0,00001	24,41420	24,41421	7	0
523	587	500	580	-0,00001	25,89950	25,89949	15	0
882	385	907	386	0,00001	25,41420	25,41421	8	0
205	377	212	406	-0,00001	31,89950	31,89949	7	0
442	236	470	231	-0,00003	30,07110	30,07107	7	0
410	783	433	796	-0,00002	28,38480	28,38478	10	0
377	522	386	547	0,00002	28,72790	28,72792	15	0
630	77	632	106	0,00003	29,82840	29,82843	7	1
994	503	996	533	0,00003	30,82840	30,82843	7	0
616	190	635	214	-0,00004	31,87010	31,87006	12	0
454	436	479	426	0,00004	29,14210	29,14214	20	0
665	685	641	673	-0,00004	28,97060	28,97056	23	0
292	448	318	438	0,00004	30,14210	30,14214	18	1
51	835	39	865	-0,00004	34,97060	34,97056	7	0
