type: sc1
name: FloodedPlains
algorithm: jps
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
205	491	207	486	-0,00000	5,82843	5,82843	7	0
689	313	685	317	0,00000	5,65685	5,65685	9	0
54	734	57	728	0,00000	7,24264	7,24264	9	0
40	140	36	140	0,00000	4,00000	4,00000	6	1
558	298	554	301	0,00000	5,24264	5,24264	8	0
172	554	177	555	0,00000	5,41421	5,41421	6	0
39	320	33	322	-0,00000	6,82843	6,82843	8	0
705	415	710	417	-0,00000	5,82843	5,82843	8	0
191	351	187	350	0,00000	4,41421	4,41421	8	0
736	554	737	547	0,00000	7,41421	7,41421	7	1
687	384	697	387	0,00004	11,24260	11,24264	9	0
614	17	612	27	0,00003	10,82840	10,82843	6	0
528	304	529	295	0,00000	9,41421	9,41421	7	0
495	344	506	346	0,00003	11,82840	11,82843	7	0
433	325	424	318	-0,00001	11,89950	11,89949	11	0
326	342	319	345	0,00000	8,24264	8,24264	7	0
373	27	364	34	-0,00001	11,89950	11,89949	12	1
513	310	507	304	0,00000	8,48528	8,48528	8	0
182	234	175	228	0,00000	9,48528	9,48528	8	0
743	576	744	566	0,00001	10,41420	10,41421	8	0
739	739	730	751	0,00002	15,72790	15,72792	9	0
723	63	711	54	0,00002	15,72790	15,72792	7	1
609	157	620	167	0,00004	15,14210	15,14214	7	0
135	129	131	143	-0,00005	15,65690	15,65685	9	0
151	117	152	102	0,00001	15,41420	15,41421	7	1
390	138	401	135	0,00004	12,24260	12,24264	10	0
481	597	471	589	0,00001	13,31370	13,31371	7	0
466	581	469	595	0,00004	15,24260	15,24264	9	0
141	595	131	605	0,00001	15,31370	15,31371	12	0
600	405	613	412	-0,00001	15,89950	15,89949	7	1
34	636	19	626	0,00004	19,14210	19,14214	15	0
205	17	222	17	0,00000	17,00000	17,00000	5	0
569	647	570	662	-0,00003	17,07110	17,07107	12	0
709	565	705	547	-0,00005	19,65690	19,65685	8	0
758	730	744	717	-0,00002	19,38480	19,38478	12	0
238	262	247	247	0,00002	18,72790	18,72792	9	0
331	50	324	65	-0,00001	17,89950	17,89949	9	0
161	292	175	283	0,00002	17,72790	17,72792	9	0
335	76	349	81	-0,00003	16,07110	16,07107	11	0
107	724	92	730	-0,00002	17,48530	17,48528	8	0
400	1	408	18	0,00001	20,31370	20,31371	5	1
299	739	290	721	0,00002	21,72790	21,72792	7	0
524	256	504	251	-0,00003	22,07110	22,07107	11	0
695	18	715	17	0,00001	20,41420	20,41421	8	1
509	578	532	577	0,00001	23,41420	23,41421	7	0
497	490	515	479	0,00005	22,55630	22,55635	9	1
525	303	523	326	0,00003	23,82840	23,82843	7	0
122	344	123	323	0,00001	21,41420	21,41421	8	0
738	44	756	33	0,00005	22,55630	22,55635	10	0
120	329	135	345	0,00000	22,21320	22,21320	9	0
44	281	65	267	-0,00001	26,79900	26,79899	7	1
588	110	573	131	0,00000	27,21320	27,21320	7	0
219	94	197	88	-0,00002	24,48530	24,48528	11	0
617	370	593	366	-0,00005	25,65690	25,65685	11	1
350	485	332	501	0,00002	24,62740	24,62742	13	0
741	155	738	180	0,00004	26,24260	26,24264	12	0
162	306	154	284	0,00001	25,31370	25,31371	10	0
571	130	565	152	-0,00002	24,48530	24,48528	8	0
35	365	49	344	-0,00001	26,79900	26,79899	11	1
273	596	283	575	0,00004	25,14210	25,14214	9	0
693	226	696	254	0,00004	29,24260	29,24264	9	0
51	518	26	510	0,00001	28,31370	28,31371	10	0
713	314	697	292	0,00002	28,62740	28,62742	14	0
478	468	489	493	0,00005	29,55630	29,55635	9	1
171	224	197	219	-0,00003	28,07110	28,07107	12	0
25	719	13	746	-0,00004	31,97060	31,97056	7	0
589	162	571	185	0,00004	30,45580	30,45584	15	1
252	51	225	43	0,00001	30,31370	30,31371	19	0
677	622	690	645	-0,00002	28,38480	28,38478	11	0
227	135	198	138	0,00004	30,24260	30,24264	9	0
406	673	432	656	0,00003	33,04160	33,04163	19	0
368	130	355	157	-0,00002	32,38480	32,38478	20	0
267	481	243	456	0,00003	34,94110	34,94113	13	0
525	431	510	460	0,00000	35,21320	35,21320	15	1
491	636	488	605	0,00004	32,24260	32,24264	7	0
589	475	618	459	0,00002	35,62740	35,62742	8	0
280	467	288	437	0,00001	33,31370	33,31371	7	0
113	546	97	572	0,00002	32,62740	32,62742	18	0
340	699	337	730	0,00004	32,24260	32,24264	9	0
448	200	480	206	-0,00002	34,48530	34,48528	8	1
381	23	409	45	-0,00000	37,11270	37,11270	8	0
367	42	377	76	0,00005	39,55630	39,55635	14	0
239	194	216	222	0,00001	37,52690	37,52691	13	0
