type: sc1
name: GladiatorPits
algorithm: jpsplus
preprossessing [ms]: 3442

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
411	355	412	362	0,00000	7,41421	7,41421	7	1
724	441	726	435	-0,00000	6,82843	6,82843	6	0
555	103	562	101	-0,00000	7,82843	7,82843	7	0
652	114	651	118	0,00000	4,41421	4,41421	9	0
64	499	68	496	0,00000	5,24264	5,24264	8	0
756	373	751	373	0,00000	5,00000	5,00000	4	0
113	308	114	304	0,00000	4,41421	4,41421	6	0
753	363	754	368	0,00000	5,41421	5,41421	5	0
441	378	436	381	0,00000	6,24264	6,24264	9	0
662	307	669	308	0,00000	7,41421	7,41421	8	0
515	118	523	126	0,00001	11,31370	11,31371	6	0
54	242	62	247	-0,00003	10,07110	10,07107	8	0
58	419	55	426	0,00000	8,24264	8,24264	6	0
300	505	308	499	-0,00002	10,48530	10,48528	7	0
550	216	557	219	0,00000	8,24264	8,24264	7	0
276	443	284	450	-0,00001	10,89950	10,89949	7	0
164	175	171	167	-0,00001	10,89950	10,89949	11	0
712	225	715	234	0,00004	10,24260	10,24264	9	0
617	304	610	297	0,00000	9,89949	9,89949	12	0
365	419	373	426	-0,00001	10,89950	10,89949	5	0
80	344	68	350	-0,00002	14,48530	14,48528	8	0
127	400	119	388	0,00001	15,31370	15,31371	11	0
570	324	559	333	0,00002	14,72790	14,72792	8	0
323	448	335	453	-0,00003	14,07110	14,07107	6	0
693	130	690	118	0,00004	13,24260	13,24264	9	0
686	186	689	200	0,00004	15,24260	15,24264	7	0
216	163	211	175	-0,00003	14,07110	14,07107	9	0
290	191	291	177	0,00001	14,41420	14,41421	6	0
359	226	365	214	-0,00002	14,48530	14,48528	9	0
476	315	475	301	0,00001	14,41420	14,41421	8	0
574	422	560	434	-0,00004	18,97060	18,97056	10	0
225	417	225	401	0,00000	16,00000	16,00000	6	0
690	194	693	179	0,00004	16,24260	16,24264	8	0
158	495	175	501	-0,00002	19,48530	19,48528	9	0
423	239	409	244	-0,00003	16,07110	16,07107	15	0
356	420	358	437	0,00003	17,82840	17,82843	7	0
706	57	702	39	-0,00005	19,65690	19,65685	6	0
585	407	571	394	-0,00002	19,38480	19,38478	12	0
261	299	272	312	0,00005	17,55630	17,55635	10	0
198	214	184	222	0,00001	17,31370	17,31371	14	0
42	464	52	448	0,00004	20,14210	20,14214	6	0
22	119	23	99	0,00001	20,41420	20,41421	6	0
548	278	568	286	0,00001	23,31370	23,31371	8	0
466	397	471	378	-0,00003	21,07110	21,07107	7	0
715	482	698	496	-0,00001	22,79900	22,79899	6	0
373	318	369	297	-0,00005	22,65690	22,65685	9	0
692	294	711	305	0,00005	23,55630	23,55635	8	0
358	262	376	248	-0,00001	23,79900	23,79899	15	0
136	390	115	389	0,00001	21,41420	21,41421	7	0
377	158	354	158	0,00000	23,00000	23,00000	6	0
674	440	655	425	0,00000	25,21320	25,21320	17	0
327	468	301	465	0,00004	27,24260	27,24264	7	0
502	211	517	229	0,00000	24,21320	24,21320	10	0
38	422	60	427	-0,00003	24,07110	24,07107	7	0
377	284	397	303	-0,00004	27,87010	27,87006	8	0
347	65	345	41	0,00003	24,82840	24,82843	7	0
11	52	9	78	0,00003	26,82840	26,82843	5	0
308	324	308	349	0,00000	25,00000	25,00000	6	0
47	431	25	424	-0,00001	24,89950	24,89949	6	0
719	463	699	479	0,00002	26,62740	26,62742	8	0
662	29	663	59	0,00001	30,41420	30,41421	8	0
506	48	478	42	-0,00002	30,48530	30,48528	9	0
641	153	668	162	0,00002	30,72790	30,72792	7	0
448	284	477	288	-0,00005	30,65690	30,65685	7	0
93	36	67	45	0,00002	29,72790	29,72792	8	0
670	124	647	143	-0,00004	30,87010	30,87006	9	0
74	494	101	487	-0,00001	29,89950	29,89949	11	0
250	196	258	169	0,00001	30,31370	30,31371	7	0
130	56	154	73	0,00003	31,04160	31,04163	11	0
407	366	435	371	-0,00003	30,07110	30,07107	7	0
258	378	283	358	-0,00003	33,28430	33,28427	16	0
534	232	560	213	-0,00004	33,87010	33,87006	20	0
165	139	191	159	-0,00003	34,28430	34,28427	12	0
9	496	8	462	0,00001	34,41420	34,41421	6	0
93	480	120	494	-0,00001	32,79900	32,79899	9	0
44	95	19	116	-0,00002	33,69850	33,69848	10	0
708	217	680	198	-0,00004	35,87010	35,87006	22	0
324	417	294	427	-0,00001	35,89950	35,89949	11	0
184	130	188	164	-0,00005	35,65690	35,65685	8	0
173	183	208	183	0,00000	35,00000	35,00000	6	0
433	235	406	213	-0,00000	36,11270	36,11270	18	0
322	96	325	127	0,00004	36,24260	36,24264	11	0
521	428	535	396	-0,00001	37,79900	37,79899	12	0
350	99	333	128	0,00003	36,04160	36,04163	7	0
182	89	158	119	0,00003	39,94110	39,94113	15	0
193	475	224	493	0,00004	38,45580	38,45584	12	0
46	315	9	319	-0,00005	38,65690	38,65685	6	0
521	195	495	167	-0,00005	38,76960	38,76955	21	0
593	440	560	454	-0,00001	38,79900	38,79899	11	0
576	454	540	453	0,00001	36,41420	36,41421	7	0
120	498	94	465	-0,00005	43,76960	43,76955	11	0
492	215	525	240	0,00004	43,35530	43,35534	18	0
696	385	668	353	-0,00002	43,59800	43,59798	24	0
146	117	184	128	0,00005	42,55630	42,55635	7	0
71	57	42	88	-0,00001	43,01220	43,01219	6	0
186	169	222	155	-0,00001	41,79900	41,79899	16	0
91	6	96	47	-0,00003	43,07110	43,07107	9	0
204	413	240	397	0,00002	42,62740	42,62742	13	0
78	134	76	177	0,00003	43,82840	43,82843	8	1
12	248	53	247	0,00001	41,41420	41,41421	5	0
422	209	433	252	0,00005	47,55630	47,55635	14	0
608	431	599	390	0,00002	44,72790	44,72792	10	0
45	417	11	445	-0,00002	45,59800	45,59798	6	0
297	164	303	207	-0,00002	45,48530	45,48528	9	0
737	99	718	61	-0,00004	45,87010	45,87006	22	0
104	34	84	70	-0,00003	44,28430	44,28427	10	0
527	365	563	337	-0,00002	47,59800	47,59798	8	0
111	225	104	180	-0,00001	47,89950	47,89949	18	0
698	141	660	121	-0,00003	46,28430	46,28427	23	0
388	62	354	89	-0,00003	45,18380	45,18377	11	0
350	256	303	262	-0,00002	49,48530	49,48528	11	0
210	256	249	234	-0,00000	48,11270	48,11270	18	0
41	467	82	444	0,00001	50,52690	50,52691	9	0
64	498	25	473	0,00004	49,35530	49,35534	8	0
620	235	572	239	-0,00005	49,65690	49,65685	12	0
534	448	579	464	0,00002	51,62740	51,62742	10	0
348	36	382	20	0,00001	51,31370	51,31371	32	0
657	38	704	33	-0,00003	49,07110	49,07107	6	0
699	319	660	289	0,00001	51,42640	51,42641	39	0
