type: sc1
name: GreenerPastures
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
116	336	111	331	-0,00000	7,07107	7,07107	37	0
359	465	363	462	0,00000	5,24264	5,24264	36	0
638	360	643	363	0,00000	6,24264	6,24264	43	0
235	389	242	389	0,00000	7,00000	7,00000	51	0
343	276	345	269	-0,00000	7,82843	7,82843	57	0
44	119	45	124	0,00000	5,41421	5,41421	37	0
567	317	566	311	0,00000	6,41421	6,41421	44	0
172	372	175	375	0,00000	4,24264	4,24264	23	0
74	23	81	21	-0,00000	7,82843	7,82843	57	1
490	331	489	338	0,00000	7,41421	7,41421	51	0
761	346	767	352	0,00000	8,48528	8,48528	44	0
571	273	562	280	-0,00001	11,89950	11,89949	94	0
4	152	1	144	0,00000	9,24264	9,24264	76	0
132	185	133	175	0,00001	10,41420	10,41421	72	0
699	139	706	143	0,00000	8,65685	8,65685	70	0
110	216	116	224	-0,00002	10,48530	10,48528	82	0
205	194	196	191	-0,00005	11,65690	11,65685	110	0
63	499	56	505	0,00000	9,48528	9,48528	66	0
520	313	529	308	-0,00003	11,07110	11,07107	90	0
544	136	549	142	-0,00000	8,07107	8,07107	44	0
248	293	259	297	-0,00005	12,65690	12,65685	118	0
754	171	743	178	-0,00001	13,89950	13,89949	121	0
651	240	642	251	0,00002	14,72790	14,72792	123	0
448	501	457	490	0,00002	14,72790	14,72792	123	0
105	164	93	165	0,00001	12,41420	12,41421	86	0
257	452	247	447	-0,00003	12,07110	12,07107	100	0
612	493	610	479	0,00003	14,82840	14,82843	131	0
291	14	282	6	0,00001	12,31370	12,31371	86	0
551	46	549	59	0,00003	13,82840	13,82843	118	1
232	478	243	483	-0,00003	13,07110	13,07107	113	0
160	173	144	178	-0,00003	18,07110	18,07107	184	0
46	46	46	30	0,00000	16,00000	16,00000	114	0
287	355	271	348	-0,00001	18,89950	18,89949	198	0
719	395	723	377	-0,00005	19,65690	19,65685	202	0
64	296	49	293	0,00004	16,24260	16,24264	159	0
473	149	467	135	-0,00002	16,48530	16,48528	105	0
626	386	642	384	0,00003	16,82840	16,82843	151	0
