type: sc1
name: HotZone
algorithm: jps
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
39	422	39	428	0,00000	6,00000	6,00000	6	0
420	155	418	150	-0,00000	5,82843	5,82843	7	1
475	353	474	346	0,00000	7,41421	7,41421	6	0
361	405	354	407	-0,00000	7,82843	7,82843	7	0
390	130	390	124	0,00000	6,00000	6,00000	7	0
181	377	178	382	0,00000	6,24264	6,24264	12	0
461	303	463	299	-0,00000	4,82843	4,82843	8	0
347	370	351	372	-0,00000	4,82843	4,82843	7	1
431	473	437	475	-0,00000	6,82843	6,82843	6	0
509	442	510	447	0,00000	5,41421	5,41421	5	1
156	184	157	195	0,00001	11,41420	11,41421	7	0
145	405	154	411	-0,00002	11,48530	11,48528	8	0
484	422	492	414	0,00001	11,31370	11,31371	6	1
258	282	257	271	0,00001	11,41420	11,41421	8	0
28	477	20	479	-0,00000	8,82843	8,82843	6	0
53	484	62	480	-0,00005	10,65690	10,65685	7	1
54	135	45	135	0,00000	9,00000	9,00000	7	0
312	314	307	323	-0,00003	11,07110	11,07107	9	0
78	459	80	451	-0,00000	8,82843	8,82843	7	1
222	22	220	33	0,00003	11,82840	11,82843	7	0
461	234	475	233	0,00001	14,41420	14,41421	7	0
36	94	41	104	-0,00003	12,07110	12,07107	7	2
472	291	460	291	0,00000	12,00000	12,00000	6	0
306	224	314	236	0,00001	15,31370	15,31371	8	0
123	465	118	453	-0,00003	14,07110	14,07107	7	1
424	14	415	2	0,00002	15,72790	15,72792	7	1
153	192	141	183	0,00002	15,72790	15,72792	9	1
210	35	224	36	0,00001	14,41420	14,41421	8	0
10	315	19	323	0,00001	12,31370	12,31371	7	1
268	246	277	238	0,00001	12,31370	12,31371	9	1
398	373	387	360	0,00005	17,55630	17,55635	11	0
252	281	264	271	0,00004	16,14210	16,14214	7	0
191	37	182	50	0,00002	16,72790	16,72792	11	0
457	497	472	500	0,00004	16,24260	16,24264	5	0
441	395	454	408	-0,00002	18,38480	18,38478	6	1
432	481	448	478	0,00004	17,24260	17,24264	6	0
459	132	455	148	-0,00005	17,65690	17,65685	11	0
501	293	489	282	0,00005	16,55630	16,55635	11	2
61	487	60	470	0,00001	17,41420	17,41421	7	0
294	310	293	291	0,00001	19,41420	19,41421	7	1
470	462	451	450	-0,00004	23,97060	23,97056	14	0
427	488	430	468	0,00004	21,24260	21,24264	5	0
358	414	339	417	0,00004	20,24260	20,24264	8	0
432	107	431	128	0,00001	21,41420	21,41421	7	0
292	69	285	49	-0,00001	22,89950	22,89949	11	0
305	337	323	351	-0,00001	23,79900	23,79899	12	1
467	301	445	304	0,00004	23,24260	23,24264	9	0
32	152	47	135	0,00000	23,21320	23,21320	10	0
442	131	434	111	0,00001	23,31370	23,31371	9	1
124	484	122	504	0,00003	20,82840	20,82843	7	0
327	433	324	456	0,00004	24,24260	24,24264	11	0
78	229	105	230	0,00001	27,41420	27,41421	7	1
17	312	44	314	0,00003	27,82840	27,82843	5	1
200	308	176	307	0,00001	24,41420	24,41421	8	0
101	505	86	484	0,00000	27,21320	27,21320	9	0
206	320	228	315	-0,00003	24,07110	24,07107	11	1
434	409	456	419	0,00004	26,14210	26,14214	8	0
122	470	108	491	-0,00001	26,79900	26,79899	7	1
210	115	228	98	0,00003	25,04160	25,04163	11	0
489	89	472	108	0,00003	26,04160	26,04163	15	0
85	83	58	74	0,00002	30,72790	30,72792	11	1
