type: sc1
name: IceFloes
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
295	236	292	242	0,00000	7,24264	7,24264	48	0
375	289	374	294	0,00000	5,41421	5,41421	37	0
48	93	45	88	0,00000	6,24264	6,24264	43	0
5	163	2	158	0,00000	6,24264	6,24264	43	0
73	126	76	123	0,00000	4,24264	4,24264	23	0
158	216	151	214	-0,00000	7,82843	7,82843	63	0
304	190	308	184	0,00000	7,65685	7,65685	47	0
92	144	88	148	0,00000	5,65685	5,65685	30	0
275	132	270	132	0,00000	5,00000	5,00000	37	0
327	200	326	204	0,00000	4,41421	4,41421	30	0
367	96	370	88	0,00000	9,24264	9,24264	74	0
134	224	141	231	-0,00002	10,48530	10,48528	79	0
112	21	114	31	0,00003	10,82840	10,82843	93	0
52	332	55	324	0,00000	9,24264	9,24264	68	0
118	81	109	77	-0,00005	10,65690	10,65685	86	0
180	78	188	73	-0,00003	10,07110	10,07107	78	0
260	373	251	374	0,00000	9,41421	9,41421	65	0
97	271	88	266	-0,00003	11,07110	11,07107	86	0
353	266	355	274	-0,00000	8,82843	8,82843	68	0
47	316	57	314	0,00003	10,82840	10,82843	92	0
201	131	198	120	0,00004	12,24260	12,24264	111	0
191	56	188	69	0,00004	14,24260	14,24264	132	0
352	161	338	162	0,00001	14,41420	14,41421	100	1
119	291	125	278	-0,00002	15,48530	15,48528	148	0
133	298	136	310	0,00004	13,24260	13,24264	121	0
123	347	134	343	-0,00005	12,65690	12,65685	111	0
276	303	284	315	0,00001	15,31370	15,31371	135	0
349	120	336	118	0,00003	13,82840	13,82843	118	0
13	115	9	129	-0,00005	15,65690	15,65685	159	0
226	11	219	22	-0,00001	13,89950	13,89949	121	0
275	372	291	364	0,00001	19,31370	19,31371	211	0
335	164	350	173	0,00002	18,72790	18,72792	190	0
167	77	167	60	0,00000	17,00000	17,00000	121	0
104	339	121	339	0,00000	17,00000	17,00000	121	0
151	167	165	160	-0,00001	16,89950	16,89949	164	0
207	360	217	346	0,00004	18,14210	18,14214	170	0
196	285	179	283	0,00003	17,82840	17,82843	145	1
222	313	228	327	-0,00002	16,48530	16,48528	161	0
49	136	33	128	0,00001	19,31370	19,31371	186	0
60	267	70	282	0,00004	19,14210	19,14214	181	0
194	254	175	258	-0,00005	20,65690	20,65685	174	0
285	355	269	370	0,00000	22,21320	22,21320	156	0
125	276	131	257	-0,00002	21,48530	21,48528	247	0
127	154	115	171	-0,00004	21,97060	21,97056	206	0
238	252	223	241	0,00004	20,14210	20,14214	187	0
182	302	189	283	-0,00001	21,89950	21,89949	239	0
93	325	73	324	0,00001	20,41420	20,41421	142	0
101	158	87	141	-0,00001	22,79900	22,79899	204	1
109	49	89	41	0,00001	23,31370	23,31371	265	0
209	258	190	254	-0,00005	20,65690	20,65685	192	0
102	73	114	50	-0,00004	27,97060	27,97056	356	0
238	169	230	145	0,00001	27,31370	27,31371	332	0
50	243	63	264	-0,00002	26,38480	26,38478	288	0
90	338	69	324	-0,00001	26,79900	26,79899	300	1
16	164	28	147	-0,00001	24,89950	24,89949	272	0
126	33	144	51	0,00004	25,45580	25,45584	128	0
321	297	305	279	-0,00002	26,38480	26,38478	270	0
