type: sc1
name: IceFloes
algorithm: jpsplus
preprossessing [ms]: 491

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
295	236	292	242	0,00000	7,24264	7,24264	11	0
375	289	374	294	0,00000	5,41421	5,41421	6	0
48	93	45	88	0,00000	6,24264	6,24264	10	0
5	163	2	158	0,00000	6,24264	6,24264	6	0
73	126	76	123	0,00000	4,24264	4,24264	4	0
158	216	151	214	-0,00000	7,82843	7,82843	7	0
304	190	308	184	0,00000	7,65685	7,65685	10	0
92	144	88	148	0,00000	5,65685	5,65685	5	0
275	132	270	132	0,00000	5,00000	5,00000	5	0
327	200	326	204	0,00000	4,41421	4,41421	10	0
367	96	370	88	0,00000	9,24264	9,24264	8	0
134	224	141	231	-0,00002	10,48530	10,48528	11	0
112	21	114	31	0,00003	10,82840	10,82843	7	0
52	332	55	324	0,00000	9,24264	9,24264	9	0
118	81	109	77	-0,00005	10,65690	10,65685	8	0
180	78	188	73	-0,00003	10,07110	10,07107	10	0
260	373	251	374	0,00000	9,41421	9,41421	5	0
97	271	88	266	-0,00003	11,07110	11,07107	10	0
353	266	355	274	-0,00000	8,82843	8,82843	7	0
47	316	57	314	0,00003	10,82840	10,82843	7	0
201	131	198	120	0,00004	12,24260	12,24264	8	0
191	56	188	69	0,00004	14,24260	14,24264	7	0
352	161	338	162	0,00001	14,41420	14,41421	7	0
119	291	125	278	-0,00002	15,48530	15,48528	12	0
133	298	136	310	0,00004	13,24260	13,24264	9	0
123	347	134	343	-0,00005	12,65690	12,65685	8	0
276	303	284	315	0,00001	15,31370	15,31371	7	0
349	120	336	118	0,00003	13,82840	13,82843	7	0
13	115	9	129	-0,00005	15,65690	15,65685	7	0
226	11	219	22	-0,00001	13,89950	13,89949	10	0
275	372	291	364	0,00001	19,31370	19,31371	12	0
335	164	350	173	0,00002	18,72790	18,72792	9	0
167	77	167	60	0,00000	17,00000	17,00000	6	0
104	339	121	339	0,00000	17,00000	17,00000	7	0
151	167	165	160	-0,00001	16,89950	16,89949	11	0
207	360	217	346	0,00004	18,14210	18,14214	9	0
196	285	179	283	0,00003	17,82840	17,82843	9	0
222	313	228	327	-0,00002	16,48530	16,48528	6	0
49	136	33	128	0,00001	19,31370	19,31371	13	0
60	267	70	282	0,00004	19,14210	19,14214	10	0
194	254	175	258	-0,00005	20,65690	20,65685	13	0
285	355	269	370	0,00000	22,21320	22,21320	13	0
125	276	131	257	-0,00002	21,48530	21,48528	9	0
127	154	115	171	-0,00004	21,97060	21,97056	19	0
238	252	223	241	0,00004	20,14210	20,14214	14	0
182	302	189	283	-0,00001	21,89950	21,89949	7	0
93	325	73	324	0,00001	20,41420	20,41421	8	0
101	158	87	141	-0,00001	22,79900	22,79899	14	0
109	49	89	41	0,00001	23,31370	23,31371	11	0
209	258	190	254	-0,00005	20,65690	20,65685	14	0
