type: sc1
name: Isolation
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
117	366	124	367	0,00000	7,41421	7,41421	51	0
122	144	118	143	0,00000	4,41421	4,41421	30	0
402	123	398	125	-0,00000	4,82843	4,82843	34	0
417	243	412	246	0,00000	6,24264	6,24264	43	0
336	80	343	78	-0,00000	7,82843	7,82843	57	0
146	179	140	182	0,00000	7,24264	7,24264	52	0
507	353	506	357	0,00000	4,41421	4,41421	30	0
105	193	110	198	-0,00000	7,07107	7,07107	37	0
246	310	240	308	-0,00000	6,82843	6,82843	49	0
139	145	132	145	0,00000	7,00000	7,00000	51	0
325	169	321	178	-0,00005	10,65690	10,65685	86	0
439	427	447	421	-0,00005	11,65690	11,65685	71	0
40	42	49	44	-0,00000	9,82843	9,82843	73	0
390	430	395	438	-0,00003	10,07110	10,07107	78	0
107	401	112	409	-0,00003	10,07110	10,07107	78	0
430	421	424	413	-0,00002	10,48530	10,48528	82	0
336	423	337	432	0,00000	9,41421	9,41421	65	0
173	495	180	501	0,00000	9,48528	9,48528	66	0
67	454	65	446	-0,00002	10,48530	10,48528	91	0
401	148	394	143	-0,00000	9,07107	9,07107	69	0
6	310	19	305	-0,00003	15,07110	15,07107	151	0
329	184	339	192	0,00001	13,31370	13,31371	111	0
125	44	133	34	0,00001	13,31370	13,31371	111	0
281	9	273	19	0,00001	13,31370	13,31371	111	0
175	72	190	73	0,00001	15,41420	15,41421	107	0
44	401	55	391	0,00004	15,14210	15,14214	106	0
18	191	6	188	0,00004	13,24260	13,24264	121	1
423	376	409	379	0,00004	15,24260	15,24264	142	0
452	489	438	492	0,00004	15,24260	15,24264	142	0
402	18	410	26	-0,00003	13,07110	13,07107	89	0
28	2	39	17	0,00005	19,55630	19,55635	186	0
69	240	54	246	-0,00002	17,48530	17,48528	185	0
321	472	306	462	0,00004	19,14210	19,14214	141	0
186	443	200	429	-0,00001	19,79900	19,79899	100	0
143	217	130	227	0,00004	17,14210	17,14214	147	0
405	403	391	415	-0,00004	18,97060	18,97056	154	0
437	139	423	151	-0,00004	18,97060	18,97056	154	0
390	294	372	290	-0,00005	19,65690	19,65685	202	0
362	367	376	354	-0,00002	19,38480	19,38478	136	0
365	374	370	358	-0,00003	18,07110	18,07107	186	0
389	300	370	297	0,00004	20,24260	20,24264	200	1
3	436	23	440	-0,00001	23,89950	23,89949	158	0
283	29	299	16	-0,00002	21,38480	21,38478	191	0
139	254	147	237	0,00001	20,31370	20,31371	230	0
73	363	76	341	0,00004	23,24260	23,24264	233	0
53	18	69	30	-0,00004	20,97060	20,97056	202	0
498	82	492	62	-0,00002	22,48530	22,48528	246	0
346	347	338	367	0,00001	23,31370	23,31371	265	0
261	224	259	246	0,00003	22,82840	22,82843	203	0
104	219	86	214	-0,00003	20,07110	20,07107	206	1
23	339	48	341	0,00003	25,82840	25,82843	237	0
206	200	209	176	0,00004	25,24260	25,24264	255	0
41	118	66	123	-0,00003	27,07110	27,07107	312	0
43	188	68	192	-0,00005	26,65690	26,65685	281	0
180	93	166	73	-0,00001	25,79900	25,79899	278	0
454	163	466	143	-0,00004	24,97060	24,97056	293	0
84	173	108	172	0,00001	24,41420	24,41421	170	1
507	379	493	363	-0,00003	27,07110	27,07107	256	0
449	171	450	197	0,00001	26,41420	26,41421	184	0
110	137	86	141	-0,00005	25,65690	25,65685	264	0
183	250	188	224	-0,00003	28,07110	28,07107	310	0
351	42	366	19	0,00000	29,21320	29,21320	346	0
461	390	491	389	0,00001	30,41420	30,41421	212	0
472	51	500	44	-0,00001	30,89950	30,89949	380	0
217	298	200	322	0,00003	31,04160	31,04163	291	1
361	327	370	303	-0,00002	29,48530	29,48528	243	0
250	209	228	189	-0,00003	30,28430	30,28427	250	0
467	1	465	29	0,00003	28,82840	28,82843	271	0
393	85	416	101	0,00002	29,62740	29,62742	348	0
451	372	474	389	0,00003	30,04160	30,04163	336	0
16	467	49	465	0,00003	33,82840	33,82843	289	1
482	389	471	359	0,00005	34,55630	34,55635	454	0
466	437	436	442	-0,00001	32,89950	32,89949	399	0
433	436	405	422	-0,00001	33,79900	33,79899	466	0
208	188	179	172	0,00002	35,62740	35,62742	494	1
505	230	476	215	0,00000	35,21320	35,21320	493	0
353	436	387	437	0,00001	34,41420	34,41421	240	0
177	93	161	65	0,00002	34,62740	34,62742	470	1
441	128	413	117	0,00005	32,55630	32,55635	444	0
348	388	380	389	0,00001	32,41420	32,41421	226	0
32	45	67	53	0,00001	38,31370	38,31371	515	0
40	5	77	2	0,00004	38,24260	38,24264	378	0
487	58	484	22	0,00004	37,24260	37,24264	366	1
126	272	156	253	-0,00004	37,87010	37,87006	501	0
0	33	37	34	0,00001	37,41420	37,41421	258	0
104	363	115	397	0,00005	38,55630	38,55635	563	0
506	180	493	214	-0,00002	39,38480	39,38478	590	1
241	291	239	255	0,00001	37,41420	37,41421	390	0
438	110	429	77	0,00002	36,72790	36,72792	490	0
397	171	429	187	0,00002	38,62740	38,62742	569	1
50	389	24	419	-0,00005	40,76960	40,76955	318	0
192	451	156	432	-0,00004	43,87010	43,87006	676	0
117	399	130	437	-0,00002	43,38480	43,38478	675	1
479	148	453	178	-0,00005	40,76960	40,76955	385	0
110	143	143	122	-0,00002	41,69850	41,69848	583	1
184	89	144	96	-0,00001	42,89950	42,89949	571	0
220	329	181	340	0,00005	43,55630	43,55635	661	0
306	45	317	83	0,00005	42,55630	42,55635	638	1
75	324	66	286	0,00002	41,72790	41,72792	419	0
316	194	349	174	-0,00003	41,28430	41,28427	590	1
161	362	138	399	0,00001	46,52690	46,52691	699	0
348	429	355	474	-0,00001	47,89950	47,89949	658	1
503	292	493	249	0,00004	47,14210	47,14214	716	0
463	355	485	317	-0,00000	47,11270	47,11270	713	1
167	248	207	233	0,00000	46,21320	46,21320	750	0
74	265	117	261	-0,00005	44,65690	44,65685	491	1
292	265	332	284	-0,00004	47,87010	47,87006	688	0
2	407	39	432	0,00004	47,35530	47,35534	626	1
477	332	510	356	-0,00003	45,28430	45,28427	661	0
65	331	51	370	-0,00001	44,79900	44,79899	712	1
116	471	136	428	-0,00003	51,28430	51,28427	873	1
415	367	370	353	-0,00001	50,79900	50,79899	858	0
477	276	440	310	-0,00004	51,08330	51,08326	448	0
15	306	34	350	-0,00004	51,87010	51,87006	857	1
164	88	186	46	-0,00000	51,11270	51,11270	869	1
461	209	496	241	0,00003	48,25480	48,25483	425	0
364	7	322	23	0,00002	48,62740	48,62742	821	1
461	212	496	249	-0,00003	51,49750	51,49747	388	0
374	162	411	190	-0,00002	48,59800	48,59798	634	0
180	264	188	217	0,00001	50,31370	50,31371	732	1
429	84	431	139	0,00003	55,82840	55,82843	500	0
49	276	60	228	0,00005	52,55630	52,55635	783	1
399	220	356	248	-0,00002	54,59800	54,59798	878	1
193	419	152	453	-0,00004	55,08330	55,08326	670	0
155	118	118	156	0,00000	53,32590	53,32590	268	0
29	345	54	388	0,00004	53,35530	53,35534	830	1
185	415	164	459	-0,00002	52,69850	52,69848	934	1
296	338	337	370	0,00003	54,25480	54,25483	668	0
134	55	159	12	0,00004	53,35530	53,35534	901	1
250	497	198	499	0,00003	52,82840	52,82843	468	0
141	254	196	259	-0,00003	57,07110	57,07107	710	0
14	247	5	300	0,00002	56,72790	56,72792	889	0
20	271	14	215	-0,00002	58,48530	58,48528	749	1
319	388	282	430	0,00000	57,32590	57,32590	568	0
143	424	89	419	-0,00003	56,07110	56,07107	691	1
460	353	499	393	-0,00004	59,08330	59,08326	901	0
392	166	446	155	0,00005	58,55630	58,55635	986	1
137	266	107	311	0,00001	57,42640	57,42641	937	1
74	339	104	383	0,00001	56,42640	56,42641	902	1
482	502	510	455	-0,00002	58,59800	58,59798	1044	1
412	255	381	305	0,00002	62,84060	62,84062	1148	1
155	403	122	451	0,00005	61,66900	61,66905	1031	1
86	171	98	112	-0,00004	63,97060	63,97056	1140	1
386	407	357	457	-0,00001	62,01220	62,01219	1161	1
110	263	142	310	0,00003	60,25480	60,25483	998	1
209	446	191	499	0,00004	60,45580	60,45584	1174	1
4	407	60	393	-0,00001	61,79900	61,79899	987	1
455	162	399	146	0,00002	62,62740	62,62742	1210	1
149	102	126	156	0,00001	63,52690	63,52691	1293	1
45	141	97	113	-0,00002	63,59800	63,59798	1198	1
370	404	384	344	-0,00001	65,79900	65,79899	1248	1
35	487	91	462	0,00004	66,35530	66,35534	1392	2
489	65	465	10	0,00003	64,94110	64,94113	1339	1
436	153	500	160	-0,00001	66,89950	66,89949	970	1
47	257	55	319	-0,00002	66,48530	66,48528	797	0
265	301	248	242	0,00003	66,04160	66,04163	1324	1
434	233	376	212	-0,00002	66,69850	66,69848	1399	1
47	139	60	80	-0,00002	64,38480	64,38478	1123	1
77	332	114	383	0,00000	66,32590	66,32590	1105	1
34	372	75	324	-0,00004	64,98280	64,98276	808	0
177	220	114	238	0,00004	70,45580	70,45584	1473	1
296	75	312	12	0,00002	69,62740	69,62742	1402	1
132	46	185	88	-0,00003	70,39700	70,39697	1067	1
144	246	116	304	-0,00002	69,59800	69,59798	1490	2
340	472	278	477	0,00003	69,04160	69,04163	954	1
92	272	28	263	0,00005	68,55630	68,55635	821	0
69	231	104	285	-0,00003	68,49750	68,49747	1294	1
394	428	451	457	-0,00001	69,01220	69,01219	1183	1
354	229	386	287	0,00003	71,25480	71,25483	1502	1
361	285	423	261	0,00003	71,94110	71,94113	1595	2
64	259	28	235	0,00003	75,94110	75,94113	2496	3
103	418	49	464	0,00002	73,05380	73,05382	908	0
435	194	379	152	-0,00003	73,39700	73,39697	1249	1
462	404	447	335	0,00000	75,21320	75,21320	1542	2
80	223	59	286	0,00002	75,84060	75,84062	2042	2
331	370	345	437	-0,00001	72,79900	72,79899	1341	2
177	434	189	502	-0,00004	72,97060	72,97056	1359	1
433	70	418	139	0,00000	75,21320	75,21320	1521	2
422	256	357	233	0,00001	74,52690	74,52691	1690	1
400	160	454	107	0,00002	75,95330	75,95332	380	0
18	356	30	291	0,00000	78,21320	78,21320	1736	2
4	310	8	388	-0,00005	79,65690	79,65685	833	0
367	391	349	462	0,00004	78,45580	78,45584	1725	2
47	108	109	145	0,00000	77,32590	77,32590	1634	2
216	72	141	64	0,00001	78,31370	78,31371	1242	1
326	22	382	73	-0,00001	77,12490	77,12489	836	0
56	371	123	348	0,00001	76,52690	76,52691	1768	2
492	150	473	220	-0,00004	77,87010	77,87006	1720	2
266	316	264	238	0,00003	78,82840	78,82843	738	0
471	316	403	344	-0,00002	79,59800	79,59798	1805	2
372	295	443	266	-0,00001	83,01220	83,01219	2060	2
62	78	59	158	-0,00003	82,07110	82,07107	903	1
461	154	492	223	0,00002	81,84060	81,84062	2003	2
110	442	163	504	0,00002	83,95330	83,95332	1177	1
422	245	339	247	0,00003	83,82840	83,82843	804	0
404	240	399	321	-0,00003	83,07110	83,07107	1109	0
144	172	71	195	0,00001	82,52690	82,52691	1987	2
194	212	123	239	-0,00003	82,18380	82,18377	2002	3
44	398	13	330	0,00002	82,84060	82,84062	2077	2
436	502	511	483	-0,00004	82,87010	82,87006	1802	2
119	51	49	91	0,00004	86,56850	86,56854	1604	2
15	179	66	116	-0,00002	84,71070	84,71068	1553	1
28	382	59	308	0,00002	86,84060	86,84062	2156	2
125	227	112	308	-0,00002	86,38480	86,38478	1753	1
33	429	44	443	0,00004	86,35530	86,35534	3371	7
387	462	467	472	0,00004	84,14210	84,14214	1478	2
151	100	78	68	0,00003	86,25480	86,25483	2199	3
121	469	106	464	0,00005	86,66900	86,66905	3526	5
443	224	368	251	-0,00003	86,18380	86,18377	2195	3
493	200	420	167	0,00005	86,66900	86,66905	2216	3
131	317	176	247	0,00001	88,63960	88,63961	2023	2
432	163	499	223	0,00001	91,85280	91,85281	1188	1
412	146	396	61	0,00002	91,62740	91,62742	2046	2
436	279	363	316	0,00000	88,32590	88,32590	1878	2
395	504	460	445	-0,00003	90,61020	90,61017	1189	1
376	381	311	322	0,00000	89,43860	89,43860	1067	1
149	297	186	222	0,00000	90,32590	90,32590	2351	2
73	16	69	104	-0,00005	89,65690	89,65685	1031	1
58	87	147	86	0,00001	89,41420	89,41421	625	0
393	390	479	381	0,00002	89,72790	89,72792	1541	2
99	86	171	31	0,00005	94,78170	94,78175	1869	1
144	429	195	500	-0,00001	92,12490	92,12489	1945	2
232	474	144	462	-0,00004	92,97060	92,97056	1837	1
137	297	173	218	-0,00001	93,91170	93,91169	2556	3
215	325	277	258	0,00004	92,68120	92,68124	964	1
284	411	377	413	0,00003	93,82840	93,82843	921	0
435	223	380	296	0,00005	95,78170	95,78175	1947	2
453	442	492	407	-0,00002	95,59800	95,59798	4077	5
396	414	309	430	0,00002	93,62740	93,62742	2110	3
163	363	110	437	0,00002	95,95330	95,95332	2059	2
71	380	19	304	0,00001	97,53910	97,53911	2263	2
34	216	60	251	-0,00001	97,91170	97,91169	3407	4
36	383	69	465	-0,00002	99,81120	99,81118	2803	4
426	233	496	255	0,00000	99,43860	99,43860	2825	3
509	174	422	143	0,00002	99,84060	99,84062	2790	3
350	294	421	231	-0,00005	97,09550	97,09545	1343	1
59	118	141	160	-0,00003	99,39700	99,39697	2701	3
445	456	473	378	0,00005	97,88220	97,88225	2837	3
120	444	215	436	0,00001	98,31370	98,31371	1674	1
55	137	151	143	-0,00002	98,48530	98,48528	1594	1
324	321	397	391	-0,00005	101,99500	101,99495	917	0
254	294	241	198	-0,00022	101,38500	101,38478	2144	3
64	142	154	109	0,00005	103,66900	103,66905	3011	3
505	287	411	271	0,00042	100,62700	100,62742	1896	2
267	491	333	416	-0,00033	103,51000	103,50967	1427	2
434	127	439	27	0,00007	102,07100	102,07107	1316	1
16	71	40	86	0,00042	101,62700	101,62742	3427	4
18	165	90	95	-0,00048	102,16700	102,16652	1210	0
349	461	347	359	0,00043	102,82800	102,82843	1011	0
443	352	434	273	0,00048	101,69800	101,69848	3394	4
350	181	254	202	0,00048	104,69800	104,69848	2719	3
413	60	410	163	-0,00036	104,24300	104,24264	1159	1
176	28	266	18	-0,00003	107,39700	107,39697	1582	2
20	384	126	386	0,00043	106,82800	106,82843	1046	0
325	301	371	215	-0,00018	105,05400	105,05382	2967	4
478	185	464	276	0,00028	105,48500	105,48528	2748	3
425	223	382	310	0,00018	104,81100	104,81118	3072	4
45	441	128	496	-0,00047	106,36800	106,36753	2459	3
142	152	198	68	-0,00004	107,19600	107,19596	1811	2
92	268	55	339	0,00014	106,14200	106,14214	2632	2
399	404	473	485	-0,00020	111,65200	111,65180	1446	1
381	92	424	22	0,00033	110,15400	110,15433	4749	6
143	46	109	140	0,00026	108,08300	108,08326	3287	4
50	504	109	420	-0,00040	108,43900	108,43860	2243	2
253	498	303	413	-0,00024	110,98300	110,98276	1933	2
374	179	270	190	0,00035	108,55600	108,55635	2175	2
173	445	75	417	-0,00002	109,59800	109,59798	3236	4
283	69	213	0	-0,00011	109,12500	109,12489	1805	2
238	499	328	447	0,00011	111,53900	111,53911	2096	2
24	62	96	119	0,00047	108,49700	108,49747	2335	3
382	394	401	465	0,00045	113,09500	113,09545	6719	9
306	326	276	228	-0,00003	115,39700	115,39697	2157	2
402	498	507	475	-0,00009	114,52700	114,52691	2962	3
60	458	137	378	-0,00020	113,65200	113,65180	1395	1
386	194	478	234	-0,00017	113,25500	113,25483	1920	2
58	429	135	496	-0,00047	112,36800	112,36753	2931	3
60	308	106	403	-0,00018	114,05400	114,05382	3388	5
